Name,Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value)
Geneid,Reactome Gene Sets,6,R-MMU-5653656,Vesicle-mediated transport,,-4.5,4.5,5.6,20504,566,88,11,12,3.5,11839|12663|14069|16551|20334|20739|73804|74760|77057|108800|328561,Areg|Chml|F8|Kif11|Sec23a|Spta1|Kif2c|Rab3il1|Ston1|Ston2|Apol10b,-2
Geneid,Reactome Gene Sets,6,R-MMU-199991,Membrane Trafficking,,-4,4.4,5.2,20504,533,88,10,11,3.4,11839|12663|14069|16551|20334|20739|73804|74760|77057|108800,Areg|Chml|F8|Kif11|Sec23a|Spta1|Kif2c|Rab3il1|Ston1|Ston2,-1.6
Geneid,GO Biological Processes,19,GO:0007059,chromosome segregation,19_GO:0009987 cellular process,-4,5.5,5.5,20504,338,88,8,9.1,3.1,23834|54141|73804|79456|83560|108000|208628|219114,Cdc6|Spag5|Kif2c|Recql4|Tex14|Cenpf|Kntc1|Ska3,-1.6
Geneid,GO Biological Processes,19,GO:0000819,sister chromatid segregation,19_GO:0009987 cellular process,-3.8,7.4,5.8,20504,188,88,6,6.8,2.7,23834|54141|73804|79456|83560|208628,Cdc6|Spag5|Kif2c|Recql4|Tex14|Kntc1,-1.4
Geneid,GO Biological Processes,19,GO:0098813,nuclear chromosome segregation,19_GO:0009987 cellular process,-3.8,6,5.4,20504,273,88,7,8,2.9,23834|54141|73804|79456|83560|108000|208628,Cdc6|Spag5|Kif2c|Recql4|Tex14|Cenpf|Kntc1,-1.4
Geneid,GO Biological Processes,19,GO:0000226,microtubule cytoskeleton organization,19_GO:0009987 cellular process,-3.5,3.8,4.6,20504,620,88,10,11,3.4,12449|16551|54141|72205|73804|78801|110082|219114|231214|627872,Ccnf|Kif11|Spag5|Eml2|Kif2c|Ak7|Dnah5|Ska3|Cc2d2a|Dnah7a,-1.2
Geneid,GO Biological Processes,19,GO:0051301,cell division,19_GO:0009987 cellular process,-3.5,3.8,4.6,20504,621,88,10,11,3.4,12449|12534|14173|16551|23834|54141|73804|83560|208628|219114,Ccnf|Cdk1|Fgf2|Kif11|Cdc6|Spag5|Kif2c|Tex14|Kntc1|Ska3,-1.2
Geneid,Reactome Gene Sets,6,R-MMU-5694530,Cargo concentration in the ER,,-3.5,22,7.7,20504,32,88,3,3.4,1.9,11839|14069|20334,Areg|F8|Sec23a,-1.2
Geneid,GO Biological Processes,19,GO:0008608,attachment of spindle microtubules to kinetochore,19_GO:0009987 cellular process,-3.4,21,7.6,20504,33,88,3,3.4,1.9,54141|73804|83560,Spag5|Kif2c|Tex14,-1.2
Geneid,GO Biological Processes,19,GO:0051928,positive regulation of calcium ion transport,19_GO:0051179 localization,-3.4,8,5.6,20504,145,88,5,5.7,2.5,11941|15945|20193|22393|233081,Atp2b2|Cxcl10|S100a1|Wfs1|Ffar1,-1.1
