Gene,TotalEvidenceCounts,EvidenceHit:Geneid,EvidenceGO:Geneid,EvidencePPI:Geneid
234396,3.0,1,1,1
231214,3.0,1,1,1
242341,3.0,1,1,1
83560,3.0,1,1,1
110082,3.0,1,1,1
208628,3.0,1,1,1
16475,3.0,1,1,1
271639,3.0,1,1,1
60505,3.0,1,1,1
108800,3.0,1,1,1
73804,3.0,1,1,1
108000,3.0,1,1,1
80906,3.0,1,1,1
77057,3.0,1,1,1
20739,3.0,1,1,1
26875,3.0,1,1,1
78801,3.0,1,1,1
23859,3.0,1,1,1
79456,3.0,1,1,1
20334,3.0,1,1,1
11975,3.0,1,1,1
11839,3.0,1,1,1
18602,3.0,1,1,1
94190,3.0,1,1,1
23834,3.0,1,1,1
627872,3.0,1,1,1
14069,3.0,1,1,1
54141,3.0,1,1,1
208084,3.0,1,1,1
83453,2.0,1,0,1
56461,2.0,1,0,1
434218,2.0,1,0,1
328561,2.0,1,0,1
20305,2.0,1,0,1
17387,2.0,1,1,0
19272,2.0,1,1,0
623474,2.0,1,0,1
12449,2.0,1,0,1
320609,2.0,1,0,1
74760,2.0,1,0,1
12828,2.0,1,0,1
319148,2.0,1,0,1
11910,2.0,1,0,1
619309,2.0,1,0,1
237711,2.0,1,0,1
11870,2.0,1,1,0
320664,2.0,1,1,0
19376,2.0,1,0,1
227377,2.0,1,1,0
14130,2.0,1,0,1
52033,2.0,1,0,1
16551,2.0,1,0,1
74145,2.0,1,0,1
22658,2.0,1,0,1
12273,2.0,1,0,1
269389,2.0,1,0,1
66423,2.0,1,1,0
231125,2.0,1,1,0
68428,2.0,1,1,0
66066,2.0,1,0,1
15945,2.0,1,0,1
22351,2.0,1,1,0
11941,2.0,1,0,1
242646,2.0,1,0,1
19301,2.0,1,0,1
54670,2.0,1,0,1
56702,2.0,1,0,1
214968,2.0,1,1,0
72205,2.0,1,0,1
55983,2.0,1,0,1
66813,2.0,1,0,1
103765,2.0,1,0,1
71685,2.0,1,0,1
64291,2.0,1,0,1
238393,2.0,1,0,1
27078,2.0,1,0,1
232431,2.0,1,1,0
17888,2.0,1,0,1
22393,2.0,1,0,1
69706,2.0,1,0,1
545156,2.0,1,0,1
30959,2.0,1,0,1
16184,2.0,1,0,1
71751,2.0,1,1,0
319229,2.0,1,0,1
12663,2.0,1,0,1
233081,2.0,1,0,1
20947,2.0,1,1,0
12534,2.0,1,0,1
76131,2.0,1,0,1
23947,2.0,1,0,1
22117,2.0,1,0,1
13448,2.0,1,0,1
223646,2.0,1,0,1
14173,2.0,1,0,1
219114,2.0,1,0,1
70024,2.0,1,0,1
12709,2.0,1,0,1
20193,2.0,1,0,1
29815,2.0,1,1,0
668173,2.0,1,0,1
17231,2.0,1,0,1
11803,2.0,1,0,1
16467,1.0,1,0,0
320088,1.0,1,0,0
100416761,1.0,1,0,0
54403,1.0,1,0,0
72287,1.0,1,0,0
24099,1.0,1,0,0
78250,1.0,1,0,0
70638,1.0,1,0,0
320712,1.0,1,0,0
83398,1.0,1,0,0
11565,1.0,1,0,0
75323,1.0,1,0,0
71884,1.0,1,0,0
58207,1.0,1,0,0
14766,1.0,1,0,0
246190,1.0,1,0,0
94217,1.0,1,0,0
72080,1.0,1,0,0
112407,1.0,1,0,0
69590,1.0,1,0,0
626359,1.0,1,0,0
17349,1.0,1,0,0
109212,1.0,1,0,0
105245440,1.0,1,0,0
22063,1.0,1,0,0
229672,1.0,1,0,0
240063,1.0,1,0,0
69454,1.0,1,0,0
108699,1.0,1,0,0
102640951,1.0,1,0,0
109267,1.0,1,0,0
102633523,1.0,1,0,0
76917,1.0,1,0,0
22685,1.0,1,0,0
12035,1.0,1,0,0
56279,1.0,1,0,0
320705,1.0,1,0,0
629079,1.0,1,0,0
100038713,1.0,1,0,0
75472,1.0,1,0,0
18356,1.0,1,0,0
72180,1.0,1,0,0
72401,1.0,1,0,0
11501,1.0,1,0,0
100048701,1.0,1,0,0
106757,1.0,1,0,0
213248,1.0,1,0,0
320051,1.0,1,0,0
112415,1.0,1,0,0
103712,1.0,1,0,0
71761,1.0,1,0,0
105244162,1.0,1,0,0
235043,1.0,1,0,0
22701,1.0,1,0,0
226841,1.0,1,0,0
52055,1.0,1,0,0
100503104,1.0,1,0,0
20148,1.0,1,0,0
26877,1.0,1,0,0
381101,1.0,1,0,0
381836,1.0,1,0,0
234258,1.0,1,0,0
381823,1.0,1,0,0
76415,1.0,1,0,0
52793,1.0,1,0,0
232078,1.0,1,0,0
15248,1.0,1,0,0
71804,1.0,1,0,0
240327,1.0,1,0,0
195733,1.0,1,0,0
319545,1.0,1,0,0
65963,1.0,1,0,0
257943,1.0,1,0,0
19012,1.0,1,0,0
243963,1.0,1,0,0
209478,1.0,1,0,0
16178,1.0,1,0,0
64082,1.0,1,0,0
74466,1.0,1,0,0
12294,1.0,1,0,0
50784,1.0,1,0,0
212032,1.0,1,0,0
170753,1.0,1,0,0
14570,1.0,1,0,0
93707,1.0,1,0,0
268729,1.0,1,0,0
69120,1.0,1,0,0
217887,1.0,1,0,0
12121,1.0,1,0,0
77558,1.0,1,0,0
70918,1.0,1,0,0
109637,1.0,1,0,0
17082,1.0,1,0,0
11640,1.0,1,0,0
67305,1.0,1,0,0
74685,1.0,1,0,0
245020,1.0,1,0,0
73598,1.0,1,0,0
11768,1.0,1,0,0
213582,1.0,1,0,0
