,gene,Geneid,genename,dfin_change,dfin_log2FC,dfin_padj,dfin_Change Metric
1,1,ENSMUSG00000032841,Prr5l,Up,19.3710065614656,6.73568188031848e-31,584.454618622674
2,2,ENSMUSG00000034035,Ccdc17,Up,22.1422876059355,1.65808108820452e-25,548.694616121249
3,3,ENSMUSG00000108090,ENSMUSG00000108090,Up,20.1597985395843,3.10838878030599e-26,514.225348948132
4,4,ENSMUSG00000026700,Tnfsf4,Up,19.7215522629416,3.10838878030599e-26,503.046797531098
5,5,ENSMUSG00000033910,Gucy1a1,Up,22.0202610990323,6.50153797042659e-23,488.563178406069
6,6,ENSMUSG00000113669,ENSMUSG00000113669,Up,21.0658965444619,8.49271556242995e-23,464.944421405245
7,7,ENSMUSG00000044033,Ccdc141,Up,19.8820507192098,2.34104235030204e-20,390.296400535711
8,8,ENSMUSG00000079037,Prnp,Up,20.8159940387063,1.26820758395449e-18,372.539883070259
9,9,ENSMUSG00000110647,ENSMUSG00000110647,Up,19.6348115444118,2.56530198293768e-19,365.028062062478
10,10,ENSMUSG00000010047,Hyal2,Up,21.5575938848028,1.17431554940725e-17,364.974703415529
11,11,ENSMUSG00000045573,Penk,Up,20.9063745353222,1.53815117708617e-16,330.592520969983
12,12,ENSMUSG00000109713,Pvrig,Up,19.6360447884915,2.47681544802907e-17,326.078248095648
13,13,ENSMUSG00000020953,Coch,Up,20.9386783286012,4.13750358832172e-16,322.105166634006
14,14,ENSMUSG00000053746,Ptrh1,Up,20.9777153510268,5.04343397776962e-16,320.901852486873
15,15,ENSMUSG00000038963,Slco4a1,Up,20.4428511581142,5.5750754987446e-16,311.830125458403
16,16,ENSMUSG00000043833,2900005J15Rik,Up,22.4697156894616,1.70858952706365e-14,309.348715776197
17,17,ENSMUSG00000032377,Plscr4,Up,16.9948678855047,1.09991840086736e-17,288.209838371862
18,18,ENSMUSG00000022015,Tnfsf11,Up,17.8757296693031,2.51618224090486e-16,278.848117390918
19,19,ENSMUSG00000031903,Pla2g15,Up,20.394495563163,9.63300640581539e-14,265.459611217887
20,20,ENSMUSG00000022793,B4galt4,Up,18.8258412329943,1.00289451044183e-13,244.712304814255
21,21,ENSMUSG00000039193,Nlrc4,Up,19.7201942838846,9.70395380434843e-13,236.899705175873
22,22,ENSMUSG00000043953,Ccrl2,Up,20.3526648290566,5.22872529022271e-12,229.610708503471
23,23,ENSMUSG00000016529,Il10,Up,19.3468220601251,2.55721639386273e-12,224.272859844888
24,24,ENSMUSG00000110597,ENSMUSG00000110597,Up,20.4866741143824,4.20663146182798e-11,212.571073191895
25,25,ENSMUSG00000061825,Ces2c,Up,17.3557612379978,6.76321671448249e-13,211.216953562402
26,26,ENSMUSG00000055305,Zfp93,Up,20.3959865964767,4.78824690398254e-11,210.482981038978
27,27,ENSMUSG00000114302,ENSMUSG00000114302,Up,20.3940345830602,1.55190053784261e-10,200.047861186944
28,28,ENSMUSG00000043153,Crppa,Up,18.3946040220982,1.92527001037185e-11,197.107533068347
29,29,ENSMUSG00000054418,ENSMUSG00000054418,Up,19.696870084667,1.20985909700249e-10,195.339084351497
30,30,ENSMUSG00000080984,ENSMUSG00000080984,Up,18.2892977600883,4.51205459610493e-11,189.214228100527
31,31,ENSMUSG00002074862,ENSMUSG00002074862,Up,19.0157325428574,1.37793644860711e-10,187.50978042611
32,32,ENSMUSG00000087651,1500009L16Rik,Up,18.0761647908833,4.51205459610493e-11,187.009234186605
33,33,ENSMUSG00000022425,Enpp2,Up,16.0815590639977,7.96627664748363e-12,178.485117074875
34,34,ENSMUSG00000055407,Map6,Up,16.5223088716716,1.98727434207839e-11,176.817489674535
35,35,ENSMUSG00000106940,ENSMUSG00000106940,Up,20.0662074599723,1.54635383015194e-09,176.797155992385
36,36,ENSMUSG00000005413,Hmox1,Up,20.0803724213678,2.27472233061519e-09,173.55609677245
37,37,ENSMUSG00000076615,Ighg3,Up,19.2492372835178,1.44291770930353e-09,170.177856907476
38,38,ENSMUSG00000031765,Mt1,Up,18.2079726606239,5.3077236101106e-10,168.880616103854
39,39,ENSMUSG00000094335,Igkv1-117,Up,26.9821945381192,6.1446155025538e-07,167.600044049232
40,40,ENSMUSG00000115969,ENSMUSG00000115969,Up,17.4823707597611,3.67064534684696e-10,164.950671130512
41,41,ENSMUSG00000098008,A930001A20Rik,Up,20.0042441293128,7.1806941180598e-09,162.911234940355
42,42,ENSMUSG00000076940,Iglv2,Up,19.7477241075316,1.6153853319602e-08,153.868813206557
43,43,ENSMUSG00000084575,Gm23656,Up,19.1120168872225,1.06837652991168e-08,152.347155048109
44,44,ENSMUSG00000029641,Rasl11a,Up,20.0455476967818,2.51513109789992e-08,152.334924420062
45,45,ENSMUSG00000026796,Niban2,Up,16.1373067796327,7.14214436524005e-10,147.594573347068
46,46,ENSMUSG00000032489,Kif9,Up,19.020262165761,1.9154563633385e-08,146.793204888899
47,47,ENSMUSG00000113425,ENSMUSG00000113425,Up,21.0068060650444,1.14404355056086e-07,145.819950991178
48,48,ENSMUSG00000046798,Cldn12,Up,18.951299086298,2.03446689624642e-08,145.764852592622
49,49,ENSMUSG00000033847,Pla2g4c,Up,20.4273573893015,7.88896895477175e-08,145.095105943557
50,50,ENSMUSG00000001665,Gstt3,Up,16.6595786294477,2.14746670939514e-09,144.406453038558
