_MEMBER_Geneid,_LogP_Geneid,GO,Description,_PATTERN_,_RANK_,GiniIndex
1,-3.9,mmu04022,cGMP-PKG signaling pathway,M1,1,0
1,-2.1,GO:1901214,regulation of neuron death,M1,1,0
1,-3.4,GO:0097190,apoptotic signaling pathway,M1,1,0
1,-3,GO:0050849,negative regulation of calcium-mediated signaling,M1,1,0
1,-2.6,GO:0032943,mononuclear cell proliferation,M1,1,0
1,-2.8,GO:0043062,extracellular structure organization,M1,1,0
1,-2.1,GO:0046209,nitric oxide metabolic process,M1,1,0
1,-2.6,GO:0050854,regulation of antigen receptor-mediated signaling pathway,M1,1,0
1,-3.4,GO:0032689,negative regulation of interferon-gamma production,M1,1,0
1,-3.2,GO:0032700,negative regulation of interleukin-17 production,M1,1,0
1,-3.5,GO:0002701,negative regulation of production of molecular mediator of immune response,M1,1,0
1,-3.3,GO:0050777,negative regulation of immune response,M1,1,0
1,-2.5,GO:0002757,immune response-activating signal transduction,M1,1,0
1,-4.3,mmu04924,Renin secretion,M1,1,0
1,-2.4,GO:0046686,response to cadmium ion,M1,1,0
1,-2.2,R-MMU-3000178,ECM proteoglycans,M1,1,0
1,-3,GO:0030168,platelet activation,M1,1,0
1,-3,mmu04540,Gap junction,M1,1,0
1,-2.5,GO:0032675,regulation of interleukin-6 production,M1,1,0
1,-3,ko04270,Vascular smooth muscle contraction,M1,1,0
1,-2,GO:0051235,maintenance of location,M1,1,0
1,-3.3,GO:0070663,regulation of leukocyte proliferation,M1,1,0
1,-2.6,GO:0001954,positive regulation of cell-matrix adhesion,M1,1,0
1,-3.4,GO:0019722,calcium-mediated signaling,M1,1,0
1,-2.8,GO:1903038,negative regulation of leukocyte cell-cell adhesion,M1,1,0
1,-3.2,GO:0016045,detection of bacterium,M1,1,0
1,-2.4,GO:0009595,detection of biotic stimulus,M1,1,0
1,-3.8,GO:0002698,negative regulation of immune effector process,M1,1,0
1,-2.4,GO:0042130,negative regulation of T cell proliferation,M1,1,0
1,-2.2,GO:0050729,positive regulation of inflammatory response,M1,1,0
1,-2,GO:0002831,regulation of response to biotic stimulus,M1,1,0
1,-2.3,GO:0055074,calcium ion homeostasis,M1,1,0
1,-2.7,GO:0051894,positive regulation of focal adhesion assembly,M1,1,0
1,-2.8,GO:0042311,vasodilation,M1,1,0
1,-2.6,GO:0022408,negative regulation of cell-cell adhesion,M1,1,0
1,-2.8,GO:0050878,regulation of body fluid levels,M1,1,0
1,-3,GO:0097435,supramolecular fiber organization,M1,1,0
1,-3.4,GO:0045066,regulatory T cell differentiation,M1,1,0
1,-3.2,GO:0001944,vasculature development,M1,1,0
1,-2.7,GO:0002440,production of molecular mediator of immune response,M1,1,0
1,-2.3,GO:1903670,regulation of sprouting angiogenesis,M1,1,0
1,-3.5,GO:0032663,regulation of interleukin-2 production,M1,1,0
1,-2.2,GO:0060401,cytosolic calcium ion transport,M1,1,0
1,-3.2,GO:0045986,negative regulation of smooth muscle contraction,M1,1,0
1,-3.3,GO:0042113,B cell activation,M1,1,0
1,-2.5,GO:0050871,positive regulation of B cell activation,M1,1,0
1,-3,ko04540,Gap junction,M1,1,0
1,-2.8,GO:0032731,positive regulation of interleukin-1 beta production,M1,1,0
1,-3,GO:0050868,negative regulation of T cell activation,M1,1,0
1,-3.9,ko04022,cGMP-PKG signaling pathway,M1,1,0
1,-3,GO:0098543,detection of other organism,M1,1,0
1,-2.5,GO:0002832,negative regulation of response to biotic stimulus,M1,1,0
1,-3.2,GO:0048844,artery morphogenesis,M1,1,0
1,-2,GO:0032651,regulation of interleukin-1 beta production,M1,1,0
1,-4.4,ko04924,Renin secretion,M1,1,0
1,-2.3,GO:0051260,protein homooligomerization,M1,1,0
1,-3.7,ko04730,Long-term depression,M1,1,0
1,-2.1,GO:0098662,inorganic cation transmembrane transport,M1,1,0
1,-2.9,GO:0002719,negative regulation of cytokine production involved in immune response,M1,1,0
1,-2.8,GO:0007159,leukocyte cell-cell adhesion,M1,1,0
1,-2.8,GO:0030198,extracellular matrix organization,M1,1,0
1,-2.1,GO:0043114,regulation of vascular permeability,M1,1,0
1,-2.3,GO:0002699,positive regulation of immune effector process,M1,1,0
1,-2.2,GO:0006936,muscle contraction,M1,1,0
1,-3.3,GO:0032623,interleukin-2 production,M1,1,0
1,-2.2,GO:2000027,regulation of animal organ morphogenesis,M1,1,0
1,-2,GO:0002449,lymphocyte mediated immunity,M1,1,0
1,-3.8,GO:0050864,regulation of B cell activation,M1,1,0
1,-3.2,GO:0022407,regulation of cell-cell adhesion,M1,1,0
1,-2.4,GO:0060402,calcium ion transport into cytosol,M1,1,0
1,-2.1,GO:0032102,negative regulation of response to external stimulus,M1,1,0
1,-3.1,GO:0002377,immunoglobulin production,M1,1,0
1,-2.9,WP4466,Oxidative stress and redox pathway,M1,1,0
1,-2.1,GO:0055076,transition metal ion homeostasis,M1,1,0
1,-2.5,GO:0070269,pyroptosis,M1,1,0
1,-2.4,GO:0098655,cation transmembrane transport,M1,1,0
1,-2.4,GO:1903131,mononuclear cell differentiation,M1,1,0
1,-2.9,GO:0042129,regulation of T cell proliferation,M1,1,0
1,-2.8,GO:0010761,fibroblast migration,M1,1,0
1,-2.6,GO:0043065,positive regulation of apoptotic process,M1,1,0
1,-2.3,GO:0002764,immune response-regulating signaling pathway,M1,1,0
1,-3.9,GO:0045932,negative regulation of muscle contraction,M1,1,0
1,-2.3,GO:0002700,regulation of production of molecular mediator of immune response,M1,1,0
1,-2.1,GO:2001057,reactive nitrogen species metabolic process,M1,1,0
1,-2.7,GO:1904706,negative regulation of vascular associated smooth muscle cell proliferation,M1,1,0
1,-3.2,GO:0048514,blood vessel morphogenesis,M1,1,0
1,-2.9,GO:0070661,leukocyte proliferation,M1,1,0
1,-2.1,GO:0030308,negative regulation of cell growth,M1,1,0
1,-3.6,GO:0045589,regulation of regulatory T cell differentiation,M1,1,0
1,-2.1,ko04060,Cytokine-cytokine receptor interaction,M1,1,0
1,-2.4,GO:0045428,regulation of nitric oxide biosynthetic process,M1,1,0
1,-2.7,GO:0042102,positive regulation of T cell proliferation,M1,1,0
1,-3.1,ko04621,NOD-like receptor signaling pathway,M1,1,0
1,-2.6,GO:0048008,platelet-derived growth factor receptor signaling pathway,M1,1,0
1,-3.5,GO:0032944,regulation of mononuclear cell proliferation,M1,1,0
1,-4.6,GO:0050866,negative regulation of cell activation,M1,1,0
1,-2.4,ko01524,Platinum drug resistance,M1,1,0
1,-2.1,GO:0010811,positive regulation of cell-substrate adhesion,M1,1,0
1,-3.7,mmu04730,Long-term depression,M1,1,0
1,-2.8,GO:0002696,positive regulation of leukocyte activation,M1,1,0
1,-4.1,GO:0032703,negative regulation of interleukin-2 production,M1,1,0
1,-2.7,GO:0090257,regulation of muscle system process,M1,1,0
1,-2.1,GO:0090316,positive regulation of intracellular protein transport,M1,1,0
1,-3,GO:0002637,regulation of immunoglobulin production,M1,1,0
1,-2.5,GO:0046475,glycerophospholipid catabolic process,M1,1,0
1,-2.5,GO:0150117,positive regulation of cell-substrate junction organization,M1,1,0
