_MEMBER_Geneid,_LogP_Geneid,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff,GROUP_ID,FirstInGroupByEnrichment,FirstInGroupByLogP,BestLogPInGroup,BestEnrichmentInGroup,URL
1,-4.9683730164928885,GO:0002695,M1,1,0,GO Biological Processes,19,negative regulation of leukocyte activation,19_GO:0002376 immune system process,-4.9683730164928885,5.727374301675977,6.304695696387262,20504,200,179,10,5.58659217877095,1.7165790419586175,14204|15368|16153|16768|19122|20371|22164|22174|22259|26365,Il4i1|Hmox1|Il10|Lag3|Prnp|Foxp3|Tnfsf4|Tyro3|Nr1h3|Ceacam1,-0.9473422875489133,0,1,1,1,-4.9683730164928885,18.086445163187296,
1,-4.879285386629604,GO:0002683,M1,1,0,GO Biological Processes,19,negative regulation of immune system process,19_GO:0002376 immune system process,-4.879285386629604,3.7352441097886806,5.568045230443386,20504,460,179,15,8.379888268156424,2.0710377117554297,12483|14204|15368|15951|16153|16768|19122|19271|20371|22164|22174|22259|26365|66058|102640920,Cd22|Il4i1|Hmox1|Ifi204|Il10|Lag3|Prnp|Ptprj|Foxp3|Tnfsf4|Tyro3|Nr1h3|Ceacam1|Tmem176a|Pvrig,-0.9473422875489133,0,1,0,0,-4.9683730164928885,18.086445163187296,
1,-4.559990289708198,GO:0050866,M1,1,0,GO Biological Processes,19,negative regulation of cell activation,19_GO:0048519 negative regulation of biological process,-4.559990289708198,5.13665856652554,5.828776052125911,20504,223,179,10,5.58659217877095,1.7165790419586175,14204|15368|16153|16768|19122|20371|22164|22174|22259|26365,Il4i1|Hmox1|Il10|Lag3|Prnp|Foxp3|Tnfsf4|Tyro3|Nr1h3|Ceacam1,-0.8994902031393079,0,1,0,0,-4.9683730164928885,18.086445163187296,
1,-4.074452856099702,GO:0032703,M1,1,0,GO Biological Processes,19,negative regulation of interleukin-2 production,19_GO:0048519 negative regulation of biological process,-4.074452856099702,16.969997930891783,7.792440969208541,20504,27,179,4,2.2346368715083798,1.1047638975330267,16768|19122|20371|26365,Lag3|Prnp|Foxp3|Ceacam1,-0.8241687852500013,0,1,0,0,-4.9683730164928885,18.086445163187296,
1,-3.931624403098856,GO:0051250,M1,1,0,GO Biological Processes,19,negative regulation of lymphocyte activation,19_GO:0002376 immune system process,-3.931624403098856,5.454642192072359,5.440698309273909,20504,168,179,8,4.4692737430167595,1.5444131906381393,14204|16153|16768|19122|20371|22164|22174|26365,Il4i1|Il10|Lag3|Prnp|Foxp3|Tnfsf4|Tyro3|Ceacam1,-0.8241687852500013,0,1,0,0,-4.9683730164928885,18.086445163187296,
1,-3.8319254456471343,GO:0002698,M1,1,0,GO Biological Processes,19,negative regulation of immune effector process,19_GO:0002376 immune system process,-3.8319254456471343,6.167941555651053,5.547164730367517,20504,130,179,7,3.910614525139665,1.4488842683882197,12483|14204|15368|16153|20371|22164|26365,Cd22|Il4i1|Hmox1|Il10|Foxp3|Tnfsf4|Ceacam1,-0.8241687852500013,0,1,0,0,-4.9683730164928885,18.086445163187296,
1,-3.5751795515388274,GO:0045589,M1,1,0,GO Biological Processes,19,regulation of regulatory T cell differentiation,19_GO:0002376 immune system process,-3.5751795515388274,12.727498448168838,6.6090475210452055,20504,36,179,4,2.2346368715083798,1.1047638975330267,14204|16768|20371|22164,Il4i1|Lag3|Foxp3|Tnfsf4,-0.7071784400479173,0,1,0,0,-4.9683730164928885,18.086445163187296,
1,-3.569439437811549,GO:0045785,M1,1,0,GO Biological Processes,19,positive regulation of cell adhesion,19_GO:0022610 biological adhesion,-3.569439437811549,3.1549095729571057,4.444857458698139,20504,472,179,13,7.262569832402234,1.9397518453705516,11629|12774|14204|16412|18186|18606|19271|20371|21943|22164|26365|58859|72049,Aif1|Ccr5|Il4i1|Itgb1|Nrp1|Enpp2|Ptprj|Foxp3|Tnfsf11|Tnfsf4|Ceacam1|Efemp2|Tnfrsf13c,-0.7071784400479173,0,1,0,0,-4.9683730164928885,18.086445163187296,
1,-3.557620445515533,GO:0050670,M1,1,0,GO Biological Processes,19,regulation of lymphocyte proliferation,19_GO:0002376 immune system process,-3.557620445515533,4.277706947309859,4.803377450250528,20504,241,179,9,5.027932960893855,1.6333007780116042,11629|12483|14204|16153|19122|20371|22164|26365|72049,Aif1|Cd22|Il4i1|Il10|Prnp|Foxp3|Tnfsf4|Ceacam1|Tnfrsf13c,-0.7071784400479173,0,1,0,0,-4.9683730164928885,18.086445163187296,
1,-3.5244668784120026,GO:0032663,M1,1,0,GO Biological Processes,19,regulation of interleukin-2 production,19_GO:0032501 multicellular organismal process,-3.5244668784120026,8.548319853247728,5.807631709409274,20504,67,179,5,2.793296089385475,1.231629492225852,16768|19122|20371|22164|26365,Lag3|Prnp|Foxp3|Tnfsf4|Ceacam1,-0.6898191401276189,0,1,0,0,-4.9683730164928885,18.086445163187296,
