Name,Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value)
Geneid,GO Biological Processes,19,GO:0045785,positive regulation of cell adhesion,19_GO:0022610 biological adhesion,-7.3,6.8,8.1,20504,472,83,13,16,4,11629|12774|14204|16412|18186|18606|19271|20371|21943|22164|26365|58859|72049,Aif1|Ccr5|Il4i1|Itgb1|Nrp1|Enpp2|Ptprj|Foxp3|Tnfsf11|Tnfsf4|Ceacam1|Efemp2|Tnfrsf13c,-4
Geneid,GO Biological Processes,19,GO:0002695,negative regulation of leukocyte activation,19_GO:0002376 immune system process,-6.9,11,9.2,20504,200,83,9,11,3.4,14204|15368|16153|19122|20371|22164|22174|22259|26365,Il4i1|Hmox1|Il10|Prnp|Foxp3|Tnfsf4|Tyro3|Nr1h3|Ceacam1,-3.7
Geneid,GO Biological Processes,19,GO:0050866,negative regulation of cell activation,19_GO:0048519 negative regulation of biological process,-6.5,10,8.6,20504,223,83,9,11,3.4,14204|15368|16153|19122|20371|22164|22174|22259|26365,Il4i1|Hmox1|Il10|Prnp|Foxp3|Tnfsf4|Tyro3|Nr1h3|Ceacam1,-3.4
Geneid,GO Biological Processes,19,GO:0030155,regulation of cell adhesion,19_GO:0022610 biological adhesion,-6.4,4.8,6.9,20504,772,83,15,18,4.2,11629|12774|14204|16153|16412|18186|18606|19122|19271|20371|21943|22164|26365|58859|72049,Aif1|Ccr5|Il4i1|Il10|Itgb1|Nrp1|Enpp2|Prnp|Ptprj|Foxp3|Tnfsf11|Tnfsf4|Ceacam1|Efemp2|Tnfrsf13c,-3.3
Geneid,GO Biological Processes,19,GO:0019932,second-messenger-mediated signaling,19_GO:0023052 signaling,-6.3,8,7.9,20504,308,83,10,12,3.6,12483|12774|16438|17540|19122|19271|21943|26365|54195|60596,Cd22|Ccr5|Itpr1|Irag1|Prnp|Ptprj|Tnfsf11|Ceacam1|Gucy1b1|Gucy1a1,-3.3
Geneid,GO Biological Processes,19,GO:0050670,regulation of lymphocyte proliferation,19_GO:0002376 immune system process,-6.2,9.2,8.2,20504,241,83,9,11,3.4,11629|12483|14204|16153|19122|20371|22164|26365|72049,Aif1|Cd22|Il4i1|Il10|Prnp|Foxp3|Tnfsf4|Ceacam1|Tnfrsf13c,-3.3
Geneid,GO Biological Processes,19,GO:0032944,regulation of mononuclear cell proliferation,19_GO:0050789 regulation of biological process,-6.2,9.1,8.1,20504,245,83,9,11,3.4,11629|12483|14204|16153|19122|20371|22164|26365|72049,Aif1|Cd22|Il4i1|Il10|Prnp|Foxp3|Tnfsf4|Ceacam1|Tnfrsf13c,-3.3
Geneid,GO Biological Processes,19,GO:0002698,negative regulation of immune effector process,19_GO:0002376 immune system process,-6,13,9,20504,130,83,7,8.4,3.1,12483|14204|15368|16153|20371|22164|26365,Cd22|Il4i1|Hmox1|Il10|Foxp3|Tnfsf4|Ceacam1,-3.1
Geneid,GO Biological Processes,19,GO:0070663,regulation of leukocyte proliferation,19_GO:0050789 regulation of biological process,-6,8.5,7.8,20504,261,83,9,11,3.4,11629|12483|14204|16153|19122|20371|22164|26365|72049,Aif1|Cd22|Il4i1|Il10|Prnp|Foxp3|Tnfsf4|Ceacam1|Tnfrsf13c,-3.1
Geneid,GO Biological Processes,19,GO:0006954,inflammatory response,19_GO:0050896 response to stimulus,-5.8,4.7,6.5,20504,739,83,14,17,4.1,12774|13058|15368|16153|16412|17948|17951|20371|21943|22164|22174|22259|225192|268973,Ccr5|Cybb|Hmox1|Il10|Itgb1|Naip2|Naip5|Foxp3|Tnfsf11|Tnfsf4|Tyro3|Nr1h3|Hrh4|Nlrc4,-3
