Cluster,Score,Type,Gene,Symbol,Network
1,1.5,Clustered,60596,Gucy1a1,Geneid_SUB1
1,1.5,Clustered,18575,Pde1c,Geneid_SUB1
1,1.5,Seed,12495,Entpd1,Geneid_SUB1
1,1.5,Clustered,54195,Gucy1b1,Geneid_SUB1
2,1.0,Clustered,16578,Kif9,Geneid_SUB1
2,1.0,Seed,103768,Tubg2,Geneid_SUB1
2,1.0,Clustered,16580,Kifc5b,Geneid_SUB1
3,1.0,Seed,11937,Atp2a1,Geneid_SUB1
3,1.0,Clustered,16438,Itpr1,Geneid_SUB1
3,1.0,Clustered,11629,Aif1,Geneid_SUB1
4,1.0,Seed,12467,Cct6b,Geneid_SUB2
4,1.0,Clustered,50525,Spag6l,Geneid_SUB2
4,1.0,Clustered,242891,Cct8l1,Geneid_SUB2
5,1.0,Clustered,268973,Nlrc4,Geneid_SUB3
5,1.0,Clustered,17951,Naip5,Geneid_SUB3
5,1.0,Seed,17948,Naip2,Geneid_SUB3
6,1.0,Seed,12774,Ccr5,Geneid_SUB4
6,1.0,Clustered,225192,Hrh4,Geneid_SUB4
6,1.0,Clustered,18619,Penk,Geneid_SUB4
