,gene,Geneid,genename,dfin_change,dfin_log2FC,dfin_padj,dfin_Change Metric
1,1,ENSMUSG00000039911,Spsb1,Down,-25.4278195374192,5.23820786354121e-34,-846.258615645515
2,2,ENSMUSG00000030178,Klra13-ps,Down,-26.0989635378674,4.92348424211104e-28,-712.703382960228
3,3,ENSMUSG00000031932,Gpr83,Down,-25.951659988934,1.12171183203664e-27,-699.400317139898
4,4,ENSMUSG00000096393,Fam240a,Down,-25.5079843294875,4.20771524688443e-27,-672.797412591835
5,5,ENSMUSG00000005803,Sqor,Down,-25.9295524144664,2.57918599517353e-24,-611.639696696824
6,6,ENSMUSG00000027380,Acoxl,Down,-25.1982910970712,2.1473470787034e-24,-596.395616925967
7,7,ENSMUSG00000040703,Cyp2s1,Down,-25.7938358618316,1.5706738786673e-22,-562.40657831475
8,8,ENSMUSG00000007379,Dennd2c,Down,-25.0942218495336,5.90672594045273e-23,-557.810754290591
9,9,ENSMUSG00000103168,Gm30948,Down,-26.0284116373605,1.0077071687276e-21,-546.509856599691
10,10,ENSMUSG00000030774,Pak1,Down,-25.371956555471,1.22511641574522e-19,-479.829942428151
11,11,ENSMUSG00000000617,Grm6,Down,-25.4450256378791,1.48724900154888e-19,-479.069179808928
12,12,ENSMUSG00000043740,B430306N03Rik,Down,-25.0515443465265,1.68125689492259e-19,-470.326860462513
13,13,ENSMUSG00000030352,Tspan9,Down,-25.5982205689433,8.79182847079305e-19,-462.199443050417
14,14,ENSMUSG00000073102,Drc1,Down,-25.233418356567,1.11010765204573e-18,-453.056813964878
15,15,ENSMUSG00000087685,ENSMUSG00000087685,Down,-24.0474672296763,9.96913708115745e-18,-408.839224998134
16,16,ENSMUSG00000100798,Gm19589,Down,-22.8858036352586,6.33825232657636e-17,-370.704944739924
17,17,ENSMUSG00000058881,Zfp516,Down,-24.5005172183787,3.92295884740308e-15,-352.96391431589
18,18,ENSMUSG00000000303,Cdh1,Down,-25.9362182733449,9.56145865079273e-14,-337.675967418057
19,19,ENSMUSG00000061769,Klra6,Down,-24.8661799061755,5.47272878111084e-14,-329.770207060092
20,20,ENSMUSG00000105472,ENSMUSG00000105472,Down,-23.9178499000717,1.891511391116e-14,-328.22922341943
21,21,ENSMUSG00000102139,ENSMUSG00000102139,Down,-24.9106962034025,1.69214307381171e-13,-318.148523926484
22,22,ENSMUSG00000020808,Pimreg,Down,-26.3853913016223,1.29395039881002e-12,-313.671705190615
23,23,ENSMUSG00000025461,Scart1,Down,-25.2572033312556,3.77626073591007e-12,-288.511468388715
24,24,ENSMUSG00000096746,Trav7d-3,Down,-24.2472600579733,1.99245601219416e-12,-283.707764005673
25,25,ENSMUSG00000046794,Ppp1r3b,Down,-24.0710489765584,3.73399236687511e-12,-275.079773162755
26,26,ENSMUSG00000102620,ENSMUSG00000102620,Down,-24.0097536572363,7.48095008837497e-12,-267.133557439045
27,27,ENSMUSG00000000530,Acvrl1,Down,-25.2275060256962,9.06438149439277e-11,-253.351311692193
28,28,ENSMUSG00000112642,Gm17849,Down,-25.0975033753598,2.52439767590506e-10,-240.881877721726
29,29,ENSMUSG00000022286,Grhl2,Down,-26.2104944199634,1.85653815191298e-09,-228.851588273771
30,30,ENSMUSG00000112381,ENSMUSG00000112381,Down,-25.059939280862,1.03930447297999e-09,-225.119880066186
31,31,ENSMUSG00000085417,ENSMUSG00000085417,Down,-25.4711686511922,2.95406823904381e-09,-217.258357374665
32,32,ENSMUSG00000026628,Atf3,Down,-22.9610907294331,5.68583822201079e-10,-212.280002329018
33,33,ENSMUSG00000024124,Prss30,Down,-25.0157373898405,4.50214931804026e-09,-208.795856017687
34,34,ENSMUSG00000045672,Col27a1,Down,-22.4421612369908,6.79880629232296e-10,-205.740024222853
35,35,ENSMUSG00000051804,Adam6b,Down,-23.4824494111264,2.17148599840513e-09,-203.434164699344
36,36,ENSMUSG00000107266,ENSMUSG00000107266,Down,-12.2559758309728,2.79775192675557e-17,-202.875506327361
37,37,ENSMUSG00000023963,Cyp39a1,Down,-23.8555993069988,4.7056820370472e-09,-198.654579044221
38,38,ENSMUSG00000097561,ENSMUSG00000097561,Down,-29.7730630684359,2.60180459156255e-07,-196.047442366347
39,39,ENSMUSG00000042745,Id1,Down,-24.3420226600879,1.29807177756061e-08,-191.978261571247
40,40,ENSMUSG00000004110,Cacna1e,Down,-22.1561829457515,4.87131433065472e-09,-184.170032518729
41,41,ENSMUSG00000085735,ENSMUSG00000085735,Down,-23.1256883692749,1.19639953243564e-08,-183.204565420707
42,42,ENSMUSG00000020439,Smtn,Down,-20.6669120521639,1.97701429536807e-09,-179.884599767571
43,43,ENSMUSG00000052534,Pbx1,Down,-21.5079914671732,4.7056820370472e-09,-179.105162524443
44,44,ENSMUSG00000028573,Fggy,Down,-24.1885705344626,5.17227731413359e-08,-176.245621675152
45,45,ENSMUSG00000056596,Trnp1,Down,-21.2436275580674,6.75046092297849e-09,-173.574597565905
46,46,ENSMUSG00000100548,ENSMUSG00000100548,Down,-23.1296631821893,9.33274629980662e-08,-162.601313359953
47,47,ENSMUSG00000019796,Lrp11,Down,-21.6364535148639,3.06044274213974e-08,-162.580979587502
48,48,ENSMUSG00000030345,Dyrk4,Down,-23.93764869337,3.90017510226675e-07,-153.414377186703
49,49,ENSMUSG00000110317,ENSMUSG00000110317,Down,-26.0961915234417,1.76569418171707e-06,-150.133595329506
50,50,ENSMUSG00000089987,ENSMUSG00000089987,Down,-24.5964131298421,1.04561703354527e-06,-147.101981089231
51,51,ENSMUSG00000036172,Cd200r3,Down,-25.4412302230289,2.04422869823303e-06,-144.747129323376
52,52,ENSMUSG00000021565,Slc6a19,Down,-11.8591055685363,9.9521826447182e-13,-142.333953475517
53,53,ENSMUSG00000031502,Col4a1,Down,-22.635650364245,7.80463994115056e-07,-138.250564934385
54,54,ENSMUSG00000110425,ENSMUSG00000110425,Down,-28.3159774852801,1.76750022360494e-05,-134.575662033256
55,55,ENSMUSG00000097191,Mm2pr,Down,-23.5750434511527,2.33892708325472e-06,-132.750676376627
56,56,ENSMUSG00000022157,Mcpt8,Down,-27.9170177639226,2.46127772619359e-05,-128.665050801113
57,57,ENSMUSG00000102323,ENSMUSG00000102323,Down,-23.0926195993589,2.84373832838743e-06,-128.07421699534
58,58,ENSMUSG00000022449,Adamts20,Down,-20.2931469345672,6.27982961652865e-07,-125.859155359087
59,59,ENSMUSG00000005628,Tmod4,Down,-21.5364502348088,1.54756148762401e-06,-125.134358559814
60,60,ENSMUSG00000037594,Clba1,Down,-24.5942167840736,9.60601955655344e-06,-123.400413690339
61,61,ENSMUSG00000064202,Spata6l,Down,-20.3056025804131,9.54858631380648e-07,-122.240964587403
62,62,ENSMUSG00000036863,Syde2,Down,-22.0857846458443,3.45801284847197e-06,-120.614299568804
63,63,ENSMUSG00000063171,Rps4l,Down,-23.0453173420619,6.49711322559411e-06,-119.542503710317
64,64,ENSMUSG00000097100,ENSMUSG00000097100,Down,-21.428803999063,3.62485224700691e-06,-116.58790158545
65,65,ENSMUSG00000066235,Pomgnt2,Down,-23.9553875840318,1.42745631816274e-05,-116.07432548848
66,66,ENSMUSG00000071324,Armc2,Down,-21.8573776918936,6.03960241921369e-06,-114.073471656034
67,67,ENSMUSG00000046223,Plaur,Down,-11.3889167136936,1.36205627896915e-10,-112.360830859324
68,68,ENSMUSG00000105985,ENSMUSG00000105985,Down,-25.2300797353536,3.59441875547207e-05,-112.131842986157
69,69,ENSMUSG00000073433,Arhgdig,Down,-24.2461146005736,2.39793895317113e-05,-112.020974352237
70,70,ENSMUSG00000031790,Mmp15,Down,-25.7935549125297,8.0029024366523e-05,-105.669809992879
71,71,ENSMUSG00000102808,ENSMUSG00000102808,Down,-22.2273655613974,1.90865800160249e-05,-104.896981319758
72,72,ENSMUSG00000025330,Padi4,Down,-24.4371542411163,5.29289616502554e-05,-104.500764597645
73,73,ENSMUSG00000108830,ENSMUSG00000108830,Down,-25.7407704950119,0.000141628667298437,-99.0723344407799
74,74,ENSMUSG00000002059,Rab34,Down,-25.6474537680579,0.000152850547014544,-97.8638357780494
75,75,ENSMUSG00000033900,Map9,Down,-23.6144524286466,7.59544305209388e-05,-97.2784825713521
76,76,ENSMUSG00000035435,Abca17,Down,-21.8833271652337,4.27163196727735e-05,-95.6171447808267
77,77,ENSMUSG00000015980,Lrrc27,Down,-20.5461294251727,2.2820000292326e-05,-95.3686474953658
78,78,ENSMUSG00000059498,Fcgr3,Down,-25.242004340823,0.00020536334119863,-93.079312420693
79,79,ENSMUSG00000023927,Satb1,Down,-4.57737296535397,8.65672941533087e-21,-91.8342141328683
80,80,ENSMUSG00000028121,Bcar3,Down,-23.7903641655413,0.000148314302330893,-91.0889499637228
81,81,ENSMUSG00000116659,ENSMUSG00000116659,Down,-24.2890562069713,0.00017938597137636,-90.9919422536949
82,82,ENSMUSG00000038042,Ptpdc1,Down,-19.2565395567607,2.6824191409529e-05,-88.030757600507
83,83,ENSMUSG00000106049,ENSMUSG00000106049,Down,-24.0707989908459,0.000239793131767186,-87.1402221518296
84,84,ENSMUSG00000038775,Vill,Down,-18.3116790957224,1.90164140909244e-05,-86.4470816569034
85,85,ENSMUSG00000111664,ENSMUSG00000111664,Down,-20.833144464189,7.33084093717624e-05,-86.141848296988
86,86,ENSMUSG00000040752,Myh6,Down,-24.5353108926803,0.000350018043089406,-84.7918156584198
87,87,ENSMUSG00000035279,Ssc5d,Down,-23.4098735403239,0.000276038517502231,-83.3164495696637
88,88,ENSMUSG00000027048,Abcb11,Down,-23.1776611467341,0.000302815473612503,-81.5580624805226
89,89,ENSMUSG00000032715,Trib3,Down,-19.1197451800962,8.3899459322985e-05,-77.9366861134553
90,90,ENSMUSG00000021007,Spata7,Down,-23.3426697965815,0.000463994839389066,-77.8124828037462
91,91,ENSMUSG00000116280,ENSMUSG00000116280,Down,-22.0204194524298,0.000336746867663027,-76.470232135982
92,92,ENSMUSG00000030996,Art1,Down,-23.744588299988,0.000609415442111145,-76.3409063667672
93,93,ENSMUSG00000053158,Fes,Down,-23.7119548229023,0.000621386290276233,-76.0356632823775
94,94,ENSMUSG00000042589,Cux2,Down,-20.8327775385163,0.000263830449595138,-74.5537418753442
95,95,ENSMUSG00000000957,Mmp14,Down,-23.515985500947,0.00071685103956833,-73.9476879384322
96,96,ENSMUSG00000019302,Atp6v0a1,Down,-15.9171133575771,2.70681628704089e-05,-72.7020713483942
97,97,ENSMUSG00000104936,ENSMUSG00000104936,Down,-23.3751518037583,0.000792428442372767,-72.4872794607404
98,98,ENSMUSG00000017009,Sdc4,Down,-23.1268038242659,0.000939634016573866,-70.0057896032258
99,99,ENSMUSG00000101595,ENSMUSG00000101595,Down,-22.9668114017975,0.00104915510513469,-68.4218127865534
100,100,ENSMUSG00000054474,Thnsl2,Down,-21.1097879624378,0.00062209391026657,-67.6810210722023
101,101,ENSMUSG00000076481,Trbv30,Down,-22.4912604006196,0.00144963099956428,-63.8468975069396
102,102,ENSMUSG00000038781,Stap2,Down,-18.6618458676605,0.000433740746903946,-62.7554912670111
103,103,ENSMUSG00000000365,Rnf17,Down,-18.6450913000123,0.000552127860238983,-60.744967952186
104,104,ENSMUSG00000028278,Rragd,Down,-18.2046372851966,0.000537839926177161,-59.5172755910862
105,105,ENSMUSG00000051497,Kcnj16,Down,-22.0185325793807,0.00199118375103975,-59.4696049628358
106,106,ENSMUSG00000104764,ENSMUSG00000104764,Down,-21.9475603667232,0.00207056901985782,-58.9052830702542
107,107,ENSMUSG00000026480,Ncf2,Down,-21.5568221247636,0.0018942089411511,-58.6900028639226
108,108,ENSMUSG00000113679,Gm10432,Down,-18.8871125614164,0.000875335856818853,-57.7534902743882
109,109,ENSMUSG00000025014,Dntt,Down,-11.055733801409,6.28704133636082e-06,-57.5069928864619
110,110,ENSMUSG00000020669,Sh3yl1,Down,-21.6782211399961,0.00283233095433249,-55.2329858279573
111,111,ENSMUSG00000051586,Mical3,Down,-10.2997824498965,4.41420069322226e-06,-55.1568586183325
112,112,ENSMUSG00000011305,Plin5,Down,-19.7433121728066,0.00193928296175968,-53.5509468717925
113,113,ENSMUSG00000104339,ENSMUSG00000104339,Down,-11.8078794386647,3.32647117024243e-05,-52.8758758406252
114,114,ENSMUSG00000082395,ENSMUSG00000082395,Down,-20.7302576102173,0.00456971882673562,-48.5110939388175
115,115,ENSMUSG00000098447,ENSMUSG00000098447,Down,-20.7062918910067,0.0046326268463851,-48.332060844144
116,116,ENSMUSG00000033967,Rnf225,Down,-20.5437583754775,0.00511344130944993,-47.071640834787
117,117,ENSMUSG00000113012,ENSMUSG00000113012,Down,-17.466712947754,0.00219650257035801,-46.4312090579752
118,118,ENSMUSG00000048218,Amigo2,Down,-10.229923555198,3.32495542296492e-05,-45.8117886517947
119,119,ENSMUSG00000030518,Fam189a1,Down,-19.8250326305399,0.00520607620418211,-45.2702534361313
120,120,ENSMUSG00000076866,Trdv2-2,Down,-9.19642765233617,1.54305798473768e-05,-44.2496945634745
121,121,ENSMUSG00000033192,Lpcat2,Down,-17.4339064832969,0.00384881574004469,-42.0971811780095
122,122,ENSMUSG00000037944,Ccr7,Down,-3.75777730019648,9.67943364902622e-12,-41.3887230495441
123,123,ENSMUSG00000034758,Tle6,Down,-19.7159646025752,0.00846817630711053,-40.8556211495424
124,124,ENSMUSG00000027985,Lef1,Down,-3.27404106466132,5.07058546445295e-13,-40.2541446448988
125,125,ENSMUSG00000102212,ENSMUSG00000102212,Down,-5.5560391487598,1.10091158541689e-07,-38.660295838816
126,126,ENSMUSG00000102786,ENSMUSG00000102786,Down,-19.0341660273217,0.010263114049168,-37.8536427449219
127,127,ENSMUSG00000008575,Nfib,Down,-18.9118977203203,0.0106105671825014,-37.3370296791735
128,128,ENSMUSG00000026725,Tnn,Down,-19.2241776463222,0.0118445779200488,-37.0350016472892
129,129,ENSMUSG00000020256,Aldh1l2,Down,-16.2178765667842,0.00545156486118249,-36.7088200564583
130,130,ENSMUSG00000104283,ENSMUSG00000104283,Down,-19.1148123940126,0.0126783259291993,-36.2596156705176
131,131,ENSMUSG00000076760,ENSMUSG00000076760,Down,-9.90567808176538,0.000227368145342964,-36.0890635567277
132,132,ENSMUSG00000002083,Bbc3,Down,-6.16133984301744,2.81378889043924e-06,-34.1998013727267
133,133,ENSMUSG00000103358,ENSMUSG00000103358,Down,-9.06157487380035,0.000201285705024181,-33.4932758541746
134,134,ENSMUSG00000104876,ENSMUSG00000104876,Down,-8.85080093564476,0.00019616298917814,-32.8133082988132
135,135,ENSMUSG00000022607,Ptk2,Down,-10.0724225682044,0.000557119845947282,-32.7761804638541
136,136,ENSMUSG00000031886,Ces2e,Down,-18.3504820384251,0.0189004342948376,-31.6275735792052
137,137,ENSMUSG00000035064,Eef2k,Down,-9.2298589311538,0.000499104192980479,-30.4752292718613
138,138,ENSMUSG00000022419,Deptor,Down,-15.817918819895,0.0125770009311072,-30.0607352653093
139,139,ENSMUSG00000106536,ENSMUSG00000106536,Down,-8.80248770188228,0.000408530909056613,-29.8296509624892
140,140,ENSMUSG00000076461,Trbv1,Down,-7.10673819120163,8.67294193528243e-05,-28.8663876954715
141,141,ENSMUSG00000026581,Sell,Down,-3.12792091428061,7.67595684978123e-10,-28.5105846069069
142,142,ENSMUSG00000032528,Vipr1,Down,-6.17171638523293,3.78854188765276e-05,-27.2884162292513
143,143,ENSMUSG00000022018,Rgcc,Down,-3.2747580532944,1.45009957253061e-08,-25.6695256007183
144,144,ENSMUSG00000031431,Tsc22d3,Down,-2.58539781760902,3.08546610232408e-10,-24.5888893006278
145,145,ENSMUSG00000104576,ENSMUSG00000104576,Down,-17.0199941937533,0.0384568786438504,-24.0837337631028
146,146,ENSMUSG00000045775,Slc16a5,Down,-6.07180981073076,0.000114088027900168,-23.939688405629
147,147,ENSMUSG00000020021,Fgd6,Down,-8.56966199289066,0.00186459217312186,-23.3901737844884
148,148,ENSMUSG00000039976,Tbc1d16,Down,-8.76665846729539,0.00240850307858773,-22.9533280280294
149,149,ENSMUSG00000105008,ENSMUSG00000105008,Down,-8.40761259138916,0.00249774110873741,-21.8804130659863
150,150,ENSMUSG00000066677,Ifi208,Down,-3.19531369135635,1.7353939866347e-07,-21.6022438504833
151,151,ENSMUSG00000090157,Fam78a,Down,-7.40365432835672,0.00144963099956428,-21.0170684372308
152,152,ENSMUSG00000085651,ENSMUSG00000085651,Down,-7.3612678517435,0.00199118375103975,-19.8819648671211
153,153,ENSMUSG00000079071,Slc28a2b,Down,-5.56332156511122,0.000458426601141765,-18.5744296632404
154,154,ENSMUSG00000024232,Bambi,Down,-9.21056173807241,0.0110569780644254,-18.0192072777102
155,155,ENSMUSG00000029530,Ccr9,Down,-5.26996047769806,0.000427447728911607,-17.7551133611864
156,156,ENSMUSG00000096908,Trav7-3,Down,-8.6904168482799,0.0110569780644254,-17.0016147735667
157,157,ENSMUSG00000104214,ENSMUSG00000104214,Down,-7.84294273339485,0.00730824939819595,-16.7539894894314
158,158,ENSMUSG00000044037,Als2cl,Down,-2.82935070035147,1.36583670294065e-06,-16.5930135720409
159,159,ENSMUSG00000008305,Tle1,Down,-6.44790864529951,0.00271114067241941,-16.5508010730349
160,160,ENSMUSG00000076831,Trav8-1,Down,-8.9225035224985,0.0140924877904577,-16.5156640593688
161,161,ENSMUSG00000062028,Irgc1,Down,-8.85314803016559,0.0137450617650915,-16.4832629130803
162,162,ENSMUSG00000034614,Pik3ip1,Down,-2.26259961103544,6.33750281159054e-08,-16.2863771600423
163,163,ENSMUSG00000030283,St8sia1,Down,-5.5380445863035,0.0011482442388188,-16.2816612668462
164,164,ENSMUSG00000102973,ENSMUSG00000102973,Down,-4.47973511490112,0.000239793131767186,-16.2173724786738
165,165,ENSMUSG00000022375,Lrrc6,Down,-8.63474454961263,0.0157207450938428,-15.5729938468162
166,166,ENSMUSG00000103779,ENSMUSG00000103779,Down,-6.62424616220301,0.00482267373226183,-15.3464713589367
167,167,ENSMUSG00000017493,Igfbp4,Down,-5.60147108081619,0.00185457329649157,-15.301852221517
168,168,ENSMUSG00000103216,ENSMUSG00000103216,Down,-4.64488843602468,0.00053728521250665,-15.1878335047631
169,169,ENSMUSG00000037579,Kcnh3,Down,-9.29057131922422,0.0245607772711913,-14.9555705140331
170,170,ENSMUSG00000021242,Npc2,Down,-1.69191900027498,1.87755500621598e-09,-14.7643743670021
171,171,ENSMUSG00000105731,ENSMUSG00000105731,Down,-9.50917519641961,0.0298868720115279,-14.4969233606239
172,172,ENSMUSG00000003134,Tbc1d8,Down,-8.82159790194091,0.0233761546163259,-14.3900280531939
173,173,ENSMUSG00000106086,ENSMUSG00000106086,Down,-4.70351810441822,0.000927944172990778,-14.2633158846447
174,174,ENSMUSG00000025959,Klf7,Down,-2.10970435631797,1.91266440404148e-07,-14.1737559427864
175,175,ENSMUSG00000022041,Chrna2,Down,-8.3710178175185,0.0234114975542509,-13.6495372619405
176,176,ENSMUSG00000037926,Ssh2,Down,-2.01642727806653,4.02101739502014e-07,-12.8963914479875
177,177,ENSMUSG00000066278,Vps37b,Down,-2.74119668381004,2.48341713803685e-05,-12.6230745631342
178,178,ENSMUSG00000061740,Cyp2d22,Down,-8.73017989476579,0.0383587973639168,-12.3631134573001
179,179,ENSMUSG00000026576,Atp1b1,Down,-5.15039284497942,0.00439512191489212,-12.1396256764194
180,180,ENSMUSG00000006494,Pdk1,Down,-3.0523598935955,0.000113186971702697,-12.0452334766628
181,181,ENSMUSG00000042757,Tmem108,Down,-4.94665347052433,0.00437939778027967,-11.6671056738949
182,182,ENSMUSG00000054351,ENSMUSG00000054351,Down,-8.11482708131187,0.0368384061837325,-11.6342208337269
183,183,ENSMUSG00000028525,Pde4b,Down,-1.98653224716296,1.5405616994113e-06,-11.5463629057189
184,184,ENSMUSG00000058099,Nfam1,Down,-8.36553802118351,0.0443097753465042,-11.3227594917623
185,185,ENSMUSG00000026765,Lypd6b,Down,-5.31578080498153,0.00788141748873079,-11.181190310605
186,186,ENSMUSG00000103445,ENSMUSG00000103445,Down,-8.8643788715568,0.055605325509431,-11.1237637816151
187,187,ENSMUSG00000029212,Gabrb1,Down,-9.15286288912227,0.063160544164955,-10.9793545435568
188,188,ENSMUSG00000038188,Scarf1,Down,-7.96681368696268,0.0516343385397345,-10.2537782350736
189,189,ENSMUSG00000038393,Txnip,Down,-1.7553928819529,1.47032352548732e-06,-10.2384818680175
190,190,ENSMUSG00000039831,Arhgap29,Down,-8.28181518961699,0.0590771137537515,-10.1748785559199
191,191,ENSMUSG00000021135,Slc10a1,Down,-8.27111675569807,0.0639029129377642,-9.87967812142719
192,192,ENSMUSG00000020689,Itgb3,Down,-5.18183130451928,0.0125770009311072,-9.8476709109625
193,193,ENSMUSG00000038156,Spon1,Down,-4.58154733240377,0.00751374666904173,-9.73186376410393
194,194,ENSMUSG00000003882,Il7r,Down,-1.74714695761976,3.8085171314829e-06,-9.46821581836492
195,195,ENSMUSG00000055723,Rras2,Down,-3.26999912521552,0.00129871500222455,-9.43880716139905
196,196,ENSMUSG00000069114,Zbtb10,Down,-7.18818087562438,0.0487542490570222,-9.43080366102886
197,197,ENSMUSG00000076822,Trav16n,Down,-5.66929200695101,0.0223752189484085,-9.35565109135634
198,198,ENSMUSG00000001248,Gramd1a,Down,-2.45848516994051,0.000160536406652445,-9.3285411858206
199,199,ENSMUSG00000054892,Txk,Down,-1.62690283273415,2.26093937549798e-06,-9.18502335309363
200,200,ENSMUSG00000076478,Trbv23,Down,-8.36467844089741,0.080122090857682,-9.16975971894706
201,201,ENSMUSG00000031258,Xkrx,Down,-6.91213319851184,0.0475520953322957,-9.14357952005054
202,202,ENSMUSG00000084788,ENSMUSG00000084788,Down,-4.82940847973552,0.0133525439529444,-9.05241703477458
203,203,ENSMUSG00000083836,ENSMUSG00000083836,Down,-4.99302766491161,0.0156510868242668,-9.01468925580392
204,204,ENSMUSG00000104612,ENSMUSG00000104612,Down,-4.0759416479536,0.00706054633223004,-8.76800953488499
205,205,ENSMUSG00000045312,Lhfpl2,Down,-6.7722304440675,0.0512647872796635,-8.73740196548409
206,206,ENSMUSG00000050052,Tdrp,Down,-3.83051702765397,0.00556540785852137,-8.63591214218985
207,207,ENSMUSG00000022994,Adcy6,Down,-7.81216643325725,0.0798783715265015,-8.5744057434105
208,208,ENSMUSG00000030748,Il4ra,Down,-3.0451285382127,0.00167639739093686,-8.45212888094871
209,209,ENSMUSG00000033581,Igf2bp2,Down,-6.8392696590788,0.0609122946015326,-8.31173049434503
210,210,ENSMUSG00000045092,S1pr1,Down,-1.56506073185252,6.95285837693741e-06,-8.07232755008745
211,211,ENSMUSG00000096935,1700113A16Rik,Down,-5.64058555860294,0.037607918614839,-8.03625901477422
212,212,ENSMUSG00000030671,Pde3b,Down,-2.18446437401054,0.000217352992750746,-8.00133120139172
213,213,ENSMUSG00000103753,ENSMUSG00000103753,Down,-6.03449374124074,0.0473614258428029,-7.99314094371384
214,214,ENSMUSG00000003970,Rpl8,Down,-1.11505712474576,9.33274629980662e-08,-7.83884103831863
215,215,ENSMUSG00000029322,Plac8,Down,-2.78688798739972,0.00169135706165554,-7.72459774355165
216,216,ENSMUSG00000021728,Emb,Down,-1.5081690226966,1.42745631816274e-05,-7.30773824543835
217,217,ENSMUSG00000037533,Rapgef6,Down,-1.41416265998133,1.42745631816274e-05,-6.85223632105812
218,218,ENSMUSG00000061577,Adgrg5,Down,-2.25089236567563,0.000922265750478687,-6.83178227633088
219,219,ENSMUSG00000024985,Tcf7l2,Down,-5.89176167943468,0.071559738391354,-6.74801880317472
220,220,ENSMUSG00000020009,Ifngr1,Down,-1.78533311089751,0.000191429471859379,-6.63785279332281
221,221,ENSMUSG00000063659,Zbtb18,Down,-6.22766711221271,0.0928786813915856,-6.42747532819633
