Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
Reactome Gene Sets,6,R-MMU-1799339,SRP-dependent cotranslational protein targeting to membrane,,-22,20,20,20504,88,253,22,8.7,1.8,11837|16898|19951|20055|20085|20088|20103|20115|26961|27050|27367|54127|56040|66489|67115|67186|67427|67891|76846|114641|269261|270106,Rplp0|Rps2|Rpl32|Rps16|Rps19|Rps24|Rps5|Rps7|Rpl8|Rps3|Rpl3|Rps28|Rplp1|Rpl35|Rpl14|Rplp2|Rps20|Rpl4|Rps9|Rpl31|Rpl12|Rpl13,-18,Geneid
Reactome Gene Sets,6,R-MMU-975956,Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC),,-22,20,20,20504,90,253,22,8.7,1.8,11837|16898|19951|20055|20085|20088|20103|20115|26961|27050|27367|54127|56040|66489|67115|67186|67427|67891|76846|114641|269261|270106,Rplp0|Rps2|Rpl32|Rps16|Rps19|Rps24|Rps5|Rps7|Rpl8|Rps3|Rpl3|Rps28|Rplp1|Rpl35|Rpl14|Rplp2|Rps20|Rpl4|Rps9|Rpl31|Rpl12|Rpl13,-18,Geneid
WikiPathways,27,WP163,Cytoplasmic ribosomal proteins,,-21,19,19,20504,95,253,22,8.7,1.8,11837|16898|19896|19933|19951|20055|20085|20088|20103|20115|26961|27050|27367|54127|56040|66489|67186|67427|67891|114641|269261|270106,Rplp0|Rps2|Rpl10a|Rpl21|Rpl32|Rps16|Rps19|Rps24|Rps5|Rps7|Rpl8|Rps3|Rpl3|Rps28|Rplp1|Rpl35|Rplp2|Rps20|Rpl4|Rpl31|Rpl12|Rpl13,-18,Geneid
Reactome Gene Sets,6,R-MMU-72689,Formation of a pool of free 40S subunits,,-21,18,19,20504,97,253,22,8.7,1.8,11837|16898|19951|20055|20085|20088|20103|20115|26961|27050|27367|54127|56040|66489|67115|67186|67427|67891|76846|114641|269261|270106,Rplp0|Rps2|Rpl32|Rps16|Rps19|Rps24|Rps5|Rps7|Rpl8|Rps3|Rpl3|Rps28|Rplp1|Rpl35|Rpl14|Rplp2|Rps20|Rpl4|Rps9|Rpl31|Rpl12|Rpl13,-18,Geneid
Reactome Gene Sets,6,R-MMU-156827,L13a-mediated translational silencing of Ceruloplasmin expression,,-20,17,18,20504,107,253,22,8.7,1.8,11837|16898|19951|20055|20085|20088|20103|20115|26961|27050|27367|54127|56040|66489|67115|67186|67427|67891|76846|114641|269261|270106,Rplp0|Rps2|Rpl32|Rps16|Rps19|Rps24|Rps5|Rps7|Rpl8|Rps3|Rpl3|Rps28|Rplp1|Rpl35|Rpl14|Rplp2|Rps20|Rpl4|Rps9|Rpl31|Rpl12|Rpl13,-17,Geneid
Reactome Gene Sets,6,R-MMU-72706,GTP hydrolysis and joining of the 60S ribosomal subunit,,-20,17,18,20504,108,253,22,8.7,1.8,11837|16898|19951|20055|20085|20088|20103|20115|26961|27050|27367|54127|56040|66489|67115|67186|67427|67891|76846|114641|269261|270106,Rplp0|Rps2|Rpl32|Rps16|Rps19|Rps24|Rps5|Rps7|Rpl8|Rps3|Rpl3|Rps28|Rplp1|Rpl35|Rpl14|Rplp2|Rps20|Rpl4|Rps9|Rpl31|Rpl12|Rpl13,-17,Geneid
Reactome Gene Sets,6,R-MMU-927802,Nonsense-Mediated Decay (NMD),,-20,16,18,20504,110,253,22,8.7,1.8,11837|16898|19951|20055|20085|20088|20103|20115|26961|27050|27367|54127|56040|66489|67115|67186|67427|67891|76846|114641|269261|270106,Rplp0|Rps2|Rpl32|Rps16|Rps19|Rps24|Rps5|Rps7|Rpl8|Rps3|Rpl3|Rps28|Rplp1|Rpl35|Rpl14|Rplp2|Rps20|Rpl4|Rps9|Rpl31|Rpl12|Rpl13,-17,Geneid
Reactome Gene Sets,6,R-MMU-975957,Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC),,-20,16,18,20504,110,253,22,8.7,1.8,11837|16898|19951|20055|20085|20088|20103|20115|26961|27050|27367|54127|56040|66489|67115|67186|67427|67891|76846|114641|269261|270106,Rplp0|Rps2|Rpl32|Rps16|Rps19|Rps24|Rps5|Rps7|Rpl8|Rps3|Rpl3|Rps28|Rplp1|Rpl35|Rpl14|Rplp2|Rps20|Rpl4|Rps9|Rpl31|Rpl12|Rpl13,-17,Geneid
Reactome Gene Sets,6,R-MMU-72737,Cap-dependent Translation Initiation,,-19,16,17,20504,115,253,22,8.7,1.8,11837|16898|19951|20055|20085|20088|20103|20115|26961|27050|27367|54127|56040|66489|67115|67186|67427|67891|76846|114641|269261|270106,Rplp0|Rps2|Rpl32|Rps16|Rps19|Rps24|Rps5|Rps7|Rpl8|Rps3|Rpl3|Rps28|Rplp1|Rpl35|Rpl14|Rplp2|Rps20|Rpl4|Rps9|Rpl31|Rpl12|Rpl13,-16,Geneid
Reactome Gene Sets,6,R-MMU-72613,Eukaryotic Translation Initiation,,-19,16,17,20504,115,253,22,8.7,1.8,11837|16898|19951|20055|20085|20088|20103|20115|26961|27050|27367|54127|56040|66489|67115|67186|67427|67891|76846|114641|269261|270106,Rplp0|Rps2|Rpl32|Rps16|Rps19|Rps24|Rps5|Rps7|Rpl8|Rps3|Rpl3|Rps28|Rplp1|Rpl35|Rpl14|Rplp2|Rps20|Rpl4|Rps9|Rpl31|Rpl12|Rpl13,-16,Geneid
KEGG Pathway,24,ko03010,Ribosome,,-18,11,15,20504,174,253,24,9.5,1.8,11837|16898|19896|19933|19951|20055|20085|20088|20103|20115|26961|27050|27367|54127|56040|66489|67115|67186|67427|67891|76846|114641|269261|270106,Rplp0|Rps2|Rpl10a|Rpl21|Rpl32|Rps16|Rps19|Rps24|Rps5|Rps7|Rpl8|Rps3|Rpl3|Rps28|Rplp1|Rpl35|Rpl14|Rplp2|Rps20|Rpl4|Rps9|Rpl31|Rpl12|Rpl13,-14,Geneid
