_MEMBER_Geneid,_LogP_Geneid,GO,Description,_PATTERN_,_RANK_,GiniIndex
1,-6.5,GO:0002181,cytoplasmic translation,M1,1,0
1,-2.1,GO:0048659,smooth muscle cell proliferation,M1,1,0
1,-2.3,GO:0022618,ribonucleoprotein complex assembly,M1,1,0
1,-2.2,GO:0010717,regulation of epithelial to mesenchymal transition,M1,1,0
1,-2.4,R-MMU-354192,Integrin signaling,M1,1,0
1,-2.4,GO:0030857,negative regulation of epithelial cell differentiation,M1,1,0
1,-2.4,GO:0002757,immune response-activating signal transduction,M1,1,0
1,-2.6,ko04072,Phospholipase D signaling pathway,M1,1,0
1,-2.2,GO:0002820,negative regulation of adaptive immune response,M1,1,0
1,-2.9,GO:0050854,regulation of antigen receptor-mediated signaling pathway,M1,1,0
1,-2.4,GO:0040017,positive regulation of locomotion,M1,1,0
1,-2.5,GO:0032943,mononuclear cell proliferation,M1,1,0
1,-4.3,GO:0060487,lung epithelial cell differentiation,M1,1,0
1,-3.3,GO:0016202,regulation of striated muscle tissue development,M1,1,0
1,-2.1,GO:0032092,positive regulation of protein binding,M1,1,0
1,-2.3,GO:0038083,peptidyl-tyrosine autophosphorylation,M1,1,0
1,-3.6,GO:0007159,leukocyte cell-cell adhesion,M1,1,0
1,-2.6,GO:0061138,morphogenesis of a branching epithelium,M1,1,0
1,-3.3,mmu05418,Fluid shear stress and atherosclerosis,M1,1,0
1,-2,R-MMU-76009,Platelet Aggregation (Plug Formation),M1,1,0
1,-3.4,GO:0030217,T cell differentiation,M1,1,0
1,-18,ko03010,Ribosome,M1,1,0
1,-9.3,R-MMU-72695,"Formation of the ternary complex, and subsequently, the 43S complex",M1,1,0
1,-19,R-MMU-72737,Cap-dependent Translation Initiation,M1,1,0
1,-2,GO:1903038,negative regulation of leukocyte cell-cell adhesion,M1,1,0
1,-2.3,GO:0002698,negative regulation of immune effector process,M1,1,0
1,-8.8,GO:0006412,translation,M1,1,0
1,-4.9,GO:0014911,positive regulation of smooth muscle cell migration,M1,1,0
1,-19,R-MMU-72613,Eukaryotic Translation Initiation,M1,1,0
1,-2.2,GO:0034330,cell junction organization,M1,1,0
1,-2.3,GO:0070663,regulation of leukocyte proliferation,M1,1,0
1,-2.6,GO:1903708,positive regulation of hemopoiesis,M1,1,0
1,-2,GO:0050994,regulation of lipid catabolic process,M1,1,0
1,-2.2,GO:0060326,cell chemotaxis,M1,1,0
1,-2.4,GO:0002823,negative regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains,M1,1,0
1,-2.3,GO:0006942,regulation of striated muscle contraction,M1,1,0
1,-20,R-MMU-927802,Nonsense-Mediated Decay (NMD),M1,1,0
1,-2.7,GO:0002293,alpha-beta T cell differentiation involved in immune response,M1,1,0
1,-2.1,GO:0045596,negative regulation of cell differentiation,M1,1,0
