Name,Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value)
Geneid,Reactome Gene Sets,6,R-MMU-1799339,SRP-dependent cotranslational protein targeting to membrane,,-27,34,27,20504,88,151,22,15,2.9,11837|16898|19951|20055|20085|20088|20103|20115|26961|27050|27367|54127|56040|66489|67115|67186|67427|67891|76846|114641|269261|270106,Rplp0|Rps2|Rpl32|Rps16|Rps19|Rps24|Rps5|Rps7|Rpl8|Rps3|Rpl3|Rps28|Rplp1|Rpl35|Rpl14|Rplp2|Rps20|Rpl4|Rps9|Rpl31|Rpl12|Rpl13,-25
Geneid,Reactome Gene Sets,6,R-MMU-975956,Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC),,-27,33,26,20504,90,151,22,15,2.9,11837|16898|19951|20055|20085|20088|20103|20115|26961|27050|27367|54127|56040|66489|67115|67186|67427|67891|76846|114641|269261|270106,Rplp0|Rps2|Rpl32|Rps16|Rps19|Rps24|Rps5|Rps7|Rpl8|Rps3|Rpl3|Rps28|Rplp1|Rpl35|Rpl14|Rplp2|Rps20|Rpl4|Rps9|Rpl31|Rpl12|Rpl13,-24
Geneid,WikiPathways,27,WP163,Cytoplasmic ribosomal proteins,,-26,31,26,20504,95,151,22,15,2.9,11837|16898|19896|19933|19951|20055|20085|20088|20103|20115|26961|27050|27367|54127|56040|66489|67186|67427|67891|114641|269261|270106,Rplp0|Rps2|Rpl10a|Rpl21|Rpl32|Rps16|Rps19|Rps24|Rps5|Rps7|Rpl8|Rps3|Rpl3|Rps28|Rplp1|Rpl35|Rplp2|Rps20|Rpl4|Rpl31|Rpl12|Rpl13,-24
Geneid,Reactome Gene Sets,6,R-MMU-72689,Formation of a pool of free 40S subunits,,-26,31,25,20504,97,151,22,15,2.9,11837|16898|19951|20055|20085|20088|20103|20115|26961|27050|27367|54127|56040|66489|67115|67186|67427|67891|76846|114641|269261|270106,Rplp0|Rps2|Rpl32|Rps16|Rps19|Rps24|Rps5|Rps7|Rpl8|Rps3|Rpl3|Rps28|Rplp1|Rpl35|Rpl14|Rplp2|Rps20|Rpl4|Rps9|Rpl31|Rpl12|Rpl13,-24
Geneid,Reactome Gene Sets,6,R-MMU-156827,L13a-mediated translational silencing of Ceruloplasmin expression,,-25,28,24,20504,107,151,22,15,2.9,11837|16898|19951|20055|20085|20088|20103|20115|26961|27050|27367|54127|56040|66489|67115|67186|67427|67891|76846|114641|269261|270106,Rplp0|Rps2|Rpl32|Rps16|Rps19|Rps24|Rps5|Rps7|Rpl8|Rps3|Rpl3|Rps28|Rplp1|Rpl35|Rpl14|Rplp2|Rps20|Rpl4|Rps9|Rpl31|Rpl12|Rpl13,-23
Geneid,Reactome Gene Sets,6,R-MMU-72706,GTP hydrolysis and joining of the 60S ribosomal subunit,,-25,28,24,20504,108,151,22,15,2.9,11837|16898|19951|20055|20085|20088|20103|20115|26961|27050|27367|54127|56040|66489|67115|67186|67427|67891|76846|114641|269261|270106,Rplp0|Rps2|Rpl32|Rps16|Rps19|Rps24|Rps5|Rps7|Rpl8|Rps3|Rpl3|Rps28|Rplp1|Rpl35|Rpl14|Rplp2|Rps20|Rpl4|Rps9|Rpl31|Rpl12|Rpl13,-22
Geneid,Reactome Gene Sets,6,R-MMU-975957,Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC),,-25,27,24,20504,110,151,22,15,2.9,11837|16898|19951|20055|20085|20088|20103|20115|26961|27050|27367|54127|56040|66489|67115|67186|67427|67891|76846|114641|269261|270106,Rplp0|Rps2|Rpl32|Rps16|Rps19|Rps24|Rps5|Rps7|Rpl8|Rps3|Rpl3|Rps28|Rplp1|Rpl35|Rpl14|Rplp2|Rps20|Rpl4|Rps9|Rpl31|Rpl12|Rpl13,-22
Geneid,Reactome Gene Sets,6,R-MMU-927802,Nonsense-Mediated Decay (NMD),,-25,27,24,20504,110,151,22,15,2.9,11837|16898|19951|20055|20085|20088|20103|20115|26961|27050|27367|54127|56040|66489|67115|67186|67427|67891|76846|114641|269261|270106,Rplp0|Rps2|Rpl32|Rps16|Rps19|Rps24|Rps5|Rps7|Rpl8|Rps3|Rpl3|Rps28|Rplp1|Rpl35|Rpl14|Rplp2|Rps20|Rpl4|Rps9|Rpl31|Rpl12|Rpl13,-22
Geneid,Reactome Gene Sets,6,R-MMU-72737,Cap-dependent Translation Initiation,,-25,26,23,20504,115,151,22,15,2.9,11837|16898|19951|20055|20085|20088|20103|20115|26961|27050|27367|54127|56040|66489|67115|67186|67427|67891|76846|114641|269261|270106,Rplp0|Rps2|Rpl32|Rps16|Rps19|Rps24|Rps5|Rps7|Rpl8|Rps3|Rpl3|Rps28|Rplp1|Rpl35|Rpl14|Rplp2|Rps20|Rpl4|Rps9|Rpl31|Rpl12|Rpl13,-22
Geneid,Reactome Gene Sets,6,R-MMU-72613,Eukaryotic Translation Initiation,,-25,26,23,20504,115,151,22,15,2.9,11837|16898|19951|20055|20085|20088|20103|20115|26961|27050|27367|54127|56040|66489|67115|67186|67427|67891|76846|114641|269261|270106,Rplp0|Rps2|Rpl32|Rps16|Rps19|Rps24|Rps5|Rps7|Rpl8|Rps3|Rpl3|Rps28|Rplp1|Rpl35|Rpl14|Rplp2|Rps20|Rpl4|Rps9|Rpl31|Rpl12|Rpl13,-22
