Cluster,Score,Type,Gene,Symbol,Network
1,12.0,Clustered,67186,Rplp2,Geneid_SUB1
1,12.0,Seed,16490,Kcna2,Geneid_SUB1
1,12.0,Clustered,66489,Rpl35,Geneid_SUB1
1,12.0,Clustered,67115,Rpl14,Geneid_SUB1
1,12.0,Clustered,20055,Rps16,Geneid_SUB1
1,12.0,Clustered,19951,Rpl32,Geneid_SUB1
1,12.0,Clustered,67427,Rps20,Geneid_SUB1
1,12.0,Clustered,26961,Rpl8,Geneid_SUB1
1,12.0,Clustered,19933,Rpl21,Geneid_SUB1
1,12.0,Clustered,20103,Rps5,Geneid_SUB1
1,12.0,Clustered,67891,Rpl4,Geneid_SUB1
1,12.0,Clustered,11837,Rplp0,Geneid_SUB1
1,12.0,Clustered,56040,Rplp1,Geneid_SUB1
1,12.0,Clustered,20085,Rps19,Geneid_SUB1
1,12.0,Clustered,76846,Rps9,Geneid_SUB1
1,12.0,Clustered,20088,Rps24,Geneid_SUB1
1,12.0,Clustered,269261,Rpl12,Geneid_SUB1
1,12.0,Clustered,270106,Rpl13,Geneid_SUB1
1,12.0,Clustered,20115,Rps7,Geneid_SUB1
1,12.0,Clustered,114641,Rpl31,Geneid_SUB1
1,12.0,Clustered,19896,Rpl10a,Geneid_SUB1
1,12.0,Clustered,54127,Rps28,Geneid_SUB1
1,12.0,Clustered,16898,Rps2,Geneid_SUB1
1,12.0,Clustered,27050,Rps3,Geneid_SUB1
1,12.0,Clustered,27367,Rpl3,Geneid_SUB1
2,1.8125,Clustered,17444,Grap2,Geneid_SUB1
2,1.8125,Clustered,16416,Itgb3,Geneid_SUB1
2,1.8125,Clustered,13136,Cd55,Geneid_SUB1
2,1.8125,Clustered,14131,Fcgr3,Geneid_SUB1
2,1.8125,Clustered,20343,Sell,Geneid_SUB1
2,1.8125,Clustered,18707,Pik3cd,Geneid_SUB1
2,1.8125,Clustered,21957,Tnnt3,Geneid_SUB1
2,1.8125,Clustered,16407,Itgae,Geneid_SUB1
2,1.8125,Clustered,50874,Tmod4,Geneid_SUB1
2,1.8125,Clustered,14083,Ptk2,Geneid_SUB1
2,1.8125,Clustered,17888,Myh6,Geneid_SUB1
2,1.8125,Seed,11975,Atp6v0a1,Geneid_SUB1
2,1.8125,Clustered,16428,Itk,Geneid_SUB1
2,1.8125,Clustered,11472,Actn2,Geneid_SUB1
2,1.8125,Clustered,329278,Tnn,Geneid_SUB1
2,1.8125,Clustered,22165,Txk,Geneid_SUB1
4,1.5,Clustered,13609,S1pr1,Geneid_SUB1
4,1.5,Clustered,12775,Ccr7,Geneid_SUB1
4,1.5,Clustered,12769,Ccr9,Geneid_SUB1
4,1.5,Seed,108072,Grm6,Geneid_SUB1
5,1.5,Clustered,22354,Vipr1,Geneid_SUB1
5,1.5,Seed,14608,Gpr83,Geneid_SUB1
5,1.5,Clustered,11512,Adcy6,Geneid_SUB1
5,1.5,Clustered,11555,Adrb2,Geneid_SUB1
3,1.4000000000000001,Clustered,21885,Tle1,Geneid_SUB1
3,1.4000000000000001,Seed,114606,Tle6,Geneid_SUB1
3,1.4000000000000001,Clustered,18514,Pbx1,Geneid_SUB1
3,1.4000000000000001,Clustered,16842,Lef1,Geneid_SUB1
3,1.4000000000000001,Clustered,21416,Tcf7l2,Geneid_SUB1
6,1.0,Clustered,666348,Apol7e,Geneid_SUB3
6,1.0,Seed,16010,Igfbp4,Geneid_SUB3
6,1.0,Clustered,278679,Apol7b,Geneid_SUB3
