Gene,TotalEvidenceCounts,EvidenceHit:Geneid,EvidenceGO:Geneid,EvidencePPI:Geneid
71994,3.0,1,1,1
17131,3.0,1,1,1
231507,3.0,1,1,1
114641,3.0,1,1,1
170770,3.0,1,1,1
54132,3.0,1,1,1
56040,3.0,1,1,1
12826,3.0,1,1,1
19951,3.0,1,1,1
27360,3.0,1,1,1
13631,3.0,1,1,1
16407,3.0,1,1,1
50874,3.0,1,1,1
27413,3.0,1,1,1
19896,3.0,1,1,1
11472,3.0,1,1,1
11555,3.0,1,1,1
11837,3.0,1,1,1
270106,3.0,1,1,1
16190,3.0,1,1,1
20437,3.0,1,1,1
140742,3.0,1,1,1
20971,3.0,1,1,1
21673,3.0,1,1,1
18707,3.0,1,1,1
228775,3.0,1,1,1
67427,3.0,1,1,1
373864,3.0,1,1,1
63953,3.0,1,1,1
14083,3.0,1,1,1
108655,3.0,1,1,1
20230,3.0,1,1,1
194401,3.0,1,1,1
17387,3.0,1,1,1
29856,3.0,1,1,1
12769,3.0,1,1,1
22351,3.0,1,1,1
20088,3.0,1,1,1
17444,3.0,1,1,1
20055,3.0,1,1,1
26961,3.0,1,1,1
16195,3.0,1,1,1
16197,3.0,1,1,1
76846,3.0,1,1,1
13136,3.0,1,1,1
329278,3.0,1,1,1
52187,3.0,1,1,1
66489,3.0,1,1,1
18576,3.0,1,1,1
17888,3.0,1,1,1
27050,3.0,1,1,1
18432,3.0,1,1,1
22165,3.0,1,1,1
68010,3.0,1,1,1
16898,3.0,1,1,1
55949,3.0,1,1,1
67134,3.0,1,1,1
13666,3.0,1,1,1
67115,3.0,1,1,1
12550,3.0,1,1,1
56508,3.0,1,1,1
19933,3.0,1,1,1
21416,3.0,1,1,1
21957,3.0,1,1,1
11512,3.0,1,1,1
12043,3.0,1,1,1
223838,3.0,1,1,1
16428,3.0,1,1,1
12775,3.0,1,1,1
67186,3.0,1,1,1
17869,3.0,1,1,1
21833,3.0,1,1,1
16416,3.0,1,1,1
269261,3.0,1,1,1
67891,3.0,1,1,1
21885,3.0,1,1,1
83814,3.0,1,1,1
20085,3.0,1,1,1
11910,3.0,1,1,1
14159,3.0,1,1,1
18479,3.0,1,1,1
69740,3.0,1,1,1
18578,3.0,1,1,1
233744,3.0,1,1,1
20115,3.0,1,1,1
54127,3.0,1,1,1
16842,3.0,1,1,1
27367,3.0,1,1,1
14605,3.0,1,1,1
20103,3.0,1,1,1
16010,2.0,1,0,1
17101,2.0,1,0,1
18514,2.0,1,0,1
11931,2.0,1,1,0
235323,2.0,1,0,1
20363,2.0,1,1,0
13609,2.0,1,0,1
214804,2.0,1,0,1
97998,2.0,1,0,1
330192,2.0,1,0,1
213402,2.0,1,0,1
18028,2.0,1,1,0
192786,2.0,1,0,1
54562,2.0,1,0,1
227929,2.0,1,0,1
108072,2.0,1,0,1
70292,2.0,1,0,1
16598,2.0,1,1,0
14131,2.0,1,0,1
70099,2.0,1,0,1
67963,2.0,1,0,1
107022,2.0,1,0,1
19157,2.0,1,0,1
15901,2.0,1,1,0
215494,2.0,1,1,0
18602,2.0,1,0,1
67332,2.0,1,0,1
94212,2.0,1,0,1
20343,2.0,1,0,1
13048,2.0,1,0,1
18174,2.0,1,0,1
72308,2.0,1,0,1
319765,2.0,1,0,1
14570,2.0,1,0,1
74039,2.0,1,1,0
228026,2.0,1,0,1
54610,2.0,1,0,1
16490,2.0,1,0,1
13723,2.0,1,0,1
252973,2.0,1,1,0
171212,2.0,1,1,0
66214,2.0,1,1,0
218232,2.0,1,0,1
11482,2.0,1,1,0
110902,2.0,1,0,1
17388,2.0,1,0,1
13998,2.0,1,0,1
329003,2.0,1,1,0
66968,2.0,1,1,0
101320,2.0,1,0,1
66922,2.0,1,0,1
11975,2.0,1,0,1
237253,2.0,1,1,0
271005,2.0,1,0,1
278679,2.0,1,0,1
14608,2.0,1,0,1
12488,2.0,1,0,1
18793,2.0,1,0,1
56190,2.0,1,1,0
30054,2.0,1,0,1
329727,2.0,1,0,1
232078,2.0,1,0,1
237860,2.0,1,0,1
216363,2.0,1,0,1
106766,2.0,1,0,1
52857,2.0,1,0,1
666348,2.0,1,0,1
22354,2.0,1,0,1
66614,2.0,1,0,1
16637,2.0,1,0,1
217151,2.0,1,0,1
207839,2.0,1,1,0
19376,2.0,1,0,1
241303,2.0,1,0,1
17970,2.0,1,1,0
77647,2.0,1,1,0
74646,2.0,1,0,1
114606,2.0,1,0,1
56338,2.0,1,0,1
