,gene,Geneid,genename,dfin_change,dfin_log2FC,dfin_padj,dfin_Change Metric
1,1,ENSMUSG00000060843,Ctnna3,Down,-46.695608847496,2.40531909170439e-20,-916.113085721522
2,2,ENSMUSG00000017057,Il13ra1,Down,-45.8127070143139,1.49821325952504e-19,-862.397929710146
3,3,ENSMUSG00000078816,Prkcg,Down,-43.9609865053791,6.89488771403374e-19,-798.396260770379
4,4,ENSMUSG00000030178,Klra13-ps,Down,-26.3265362422553,1.39759493620498e-28,-733.315628234478
5,5,ENSMUSG00000039911,Spsb1,Down,-24.2590699853859,6.03848580312493e-31,-733.086581338579
6,6,ENSMUSG00000086697,ENSMUSG00000086697,Down,-47.5261556299105,6.53092963883474e-15,-674.159705531227
7,7,ENSMUSG00000071398,2410004P03Rik,Down,-41.2005798420919,7.00535547603834e-17,-665.577643774631
8,8,ENSMUSG00000031932,Gpr83,Down,-25.5022941808947,1.02001516237851e-26,-662.840159955963
9,9,ENSMUSG00000096393,Fam240a,Down,-25.0527360392924,3.95529826795172e-26,-636.410163176393
10,10,ENSMUSG00000006567,Atp7b,Down,-46.1380805406713,2.26290418493598e-14,-629.569511455645
11,11,ENSMUSG00000062127,Cttnbp2nl,Down,-42.3180632645278,2.33880934429352e-15,-619.155802817566
12,12,ENSMUSG00000024131,Slc3a1,Down,-34.2897879601967,3.01698708407338e-18,-600.771711339648
13,13,ENSMUSG00000024617,Camk2a,Down,-43.9703929634364,9.34665319885365e-13,-528.934977109399
14,14,ENSMUSG00000051506,Wdfy4,Down,-35.184344992686,1.25877488025583e-15,-524.248567595906
15,15,ENSMUSG00000027380,Acoxl,Down,-23.9457887579083,5.56984664864035e-22,-508.947548046488
16,16,ENSMUSG00000044641,Pard6b,Down,-38.1317161147867,7.45393917406289e-14,-500.57845624256
17,17,ENSMUSG00000033170,Card10,Down,-38.1607307859713,3.60782658674401e-13,-474.824598809349
18,18,ENSMUSG00000096001,2610528A11Rik,Down,-36.4626884269414,3.32694243161672e-13,-454.979774940739
19,19,ENSMUSG00000043740,B430306N03Rik,Down,-24.6962040545837,6.89488771403374e-19,-448.519438252124
20,20,ENSMUSG00000040703,Cyp2s1,Down,-23.9297613712146,2.60470250656579e-19,-444.716473262669
21,21,ENSMUSG00000090406,ENSMUSG00000090406,Down,-41.2053202800903,3.58446228319266e-11,-430.41330397331
22,22,ENSMUSG00000028463,Car9,Down,-39.9992124595232,1.51974114398876e-10,-392.721482894452
23,23,ENSMUSG00000071550,Cfap44,Down,-39.8107660733257,1.46893930600532e-10,-391.459109452917
24,24,ENSMUSG00000103473,ENSMUSG00000103473,Down,-38.072545575129,6.68748095264552e-11,-387.378154972894
25,25,ENSMUSG00000030774,Pak1,Down,-23.6603678684617,5.4356832918945e-17,-384.829870221356
26,26,ENSMUSG00000104744,Gm18980,Down,-39.5245874584189,2.62190458873424e-10,-378.700214955217
27,27,ENSMUSG00000005803,Sqor,Down,-22.1017099922252,1.58180070525156e-17,-371.327475316964
28,28,ENSMUSG00000087685,ENSMUSG00000087685,Down,-23.3159987918307,1.44474932258721e-16,-369.330258943846
29,29,ENSMUSG00000030401,Rtn2,Down,-38.7995135462796,6.68095556458828e-10,-355.991799678639
30,30,ENSMUSG00000020669,Sh3yl1,Down,-38.6427149413842,7.90986596141357e-10,-351.719455981487
31,31,ENSMUSG00000073102,Drc1,Down,-23.1098776248134,1.53480867673357e-15,-342.348473521802
32,32,ENSMUSG00000030352,Tspan9,Down,-23.1359167733625,3.11245234203173e-15,-335.630368335977
33,33,ENSMUSG00000106062,ENSMUSG00000106062,Down,-37.8876701140937,1.84611664738803e-09,-330.901092619721
34,34,ENSMUSG00000047108,Dnajb7,Down,-37.7461973664938,2.15055300134548e-09,-327.163272687009
35,35,ENSMUSG00000000223,Drp2,Down,-37.6220570850561,2.78275374000942e-09,-321.876458403322
36,36,ENSMUSG00000106993,ENSMUSG00000106993,Down,-33.3287217212348,1.3626088358305e-09,-295.480075132535
37,37,ENSMUSG00000102139,ENSMUSG00000102139,Down,-24.4124978069084,8.04530106638308e-13,-295.25592206127
38,38,ENSMUSG00000103168,Gm30948,Down,-21.2803259842044,2.25145086580225e-14,-290.424047442553
39,39,ENSMUSG00000049285,Mblac1,Down,-36.2485372635714,1.15366315997402e-08,-287.738024276127
40,40,ENSMUSG00000058881,Zfp516,Down,-22.9009652251734,4.32647447906835e-13,-283.144461965438
41,41,ENSMUSG00000007379,Dennd2c,Down,-20.1593447514174,1.48155881535765e-14,-278.789245421486
42,42,ENSMUSG00000020439,Smtn,Down,-23.5941789818031,3.64956709514684e-12,-269.864524684293
43,43,ENSMUSG00000096746,Trav7d-3,Down,-23.8729345399068,6.8171099364305e-12,-266.574729138858
44,44,ENSMUSG00000022449,Adamts20,Down,-25.1613109972267,1.59258354224119e-10,-246.527953075713
45,45,ENSMUSG00000020808,Pimreg,Down,-24.5075894424077,1.00600650047765e-10,-245.012155404184
46,46,ENSMUSG00000019302,Atp6v0a1,Down,-22.7979879877266,3.5329695164283e-11,-238.281381232124
47,47,ENSMUSG00000056596,Trnp1,Down,-23.5683432649152,9.52817521791764e-11,-236.178138420234
48,48,ENSMUSG00000115027,Vmn1r81,Down,-34.1044832440532,1.33072502346896e-07,-234.499414555435
49,49,ENSMUSG00000031958,Ldhd,Down,-33.9753680193421,1.31324750070544e-07,-233.806707425752
50,50,ENSMUSG00000071636,Rimbp3,Down,-33.9372653667705,1.344485918048e-07,-233.198009730341
51,51,ENSMUSG00000113810,ENSMUSG00000113810,Down,-33.6979001600911,1.70523765219322e-07,-228.074636248849
52,52,ENSMUSG00000031434,Morc4,Down,-33.6089239003681,1.96283363015555e-07,-225.418968363894
53,53,ENSMUSG00000025461,Scart1,Down,-23.260572702938,3.71933023455231e-10,-219.336390458053
54,54,ENSMUSG00000051804,Adam6b,Down,-23.9980011245882,1.29414664751788e-09,-213.294630163138
55,55,ENSMUSG00000076580,Igkv8-27,Down,-32.6717906950988,5.05428679338418e-07,-205.712706503907
56,56,ENSMUSG00000056457,Prl2c3,Down,-32.6603514299374,5.41523506860205e-07,-204.662260733852
57,57,ENSMUSG00000105472,ENSMUSG00000105472,Down,-20.6488297013843,1.44868379412904e-10,-203.164380522595
58,58,ENSMUSG00000038775,Vill,Down,-23.988477850113,3.53121117773942e-09,-202.752445336925
59,59,ENSMUSG00000047496,Rnf152,Down,-31.6973918619435,4.363533939455e-07,-201.60053586394
60,60,ENSMUSG00000064202,Spata6l,Down,-23.7610157245804,4.37101886553442e-09,-198.628246366746
61,61,ENSMUSG00000030562,Nox4,Down,-32.0744060329209,9.39123026901076e-07,-193.321346148224
62,62,ENSMUSG00000045672,Col27a1,Down,-22.0253479448077,2.32301546763289e-09,-190.165706601171
63,63,ENSMUSG00000000530,Acvrl1,Down,-22.9515712260038,9.1441847754591e-09,-184.504353263787
64,64,ENSMUSG00000094335,Igkv1-117,Down,-25.397185472692,5.57961829224951e-08,-184.215831089592
65,65,ENSMUSG00000022676,Snai2,Down,-31.1860858605077,2.16388425207974e-06,-176.661878035727
66,66,ENSMUSG00000032715,Trib3,Down,-24.6192738618552,8.89069296080845e-08,-173.592085181116
67,67,ENSMUSG00000090939,ENSMUSG00000090939,Down,-31.0068976025628,2.64701832241361e-06,-172.933004234787
68,68,ENSMUSG00000005628,Tmod4,Down,-23.9476256831592,7.00014267822235e-08,-171.342701953971
69,69,ENSMUSG00000019796,Lrp11,Down,-21.9817031852501,2.47824964954904e-08,-167.189645905425
70,70,ENSMUSG00000042745,Id1,Down,-23.2258036309903,1.15302229802971e-07,-161.144394998161
71,71,ENSMUSG00000046794,Ppp1r3b,Down,-20.3685428164675,1.57781523672647e-08,-158.914227448766
72,72,ENSMUSG00000063171,Rps4l,Down,-24.8755595454642,1.16336939808958e-06,-147.618594312967
73,73,ENSMUSG00000030345,Dyrk4,Down,-23.6108885173563,9.31781914848785e-07,-142.389848291774
74,74,ENSMUSG00000028278,Rragd,Down,-23.6195392410822,1.58117642355889e-06,-137.017411731819
75,75,ENSMUSG00000033192,Lpcat2,Down,-25.0694619725797,3.60653383730764e-06,-136.450824984565
76,76,ENSMUSG00000085417,ENSMUSG00000085417,Down,-22.0997861415471,8.34097502599762e-07,-134.339808259811
77,77,ENSMUSG00000102323,ENSMUSG00000102323,Down,-23.6464150157931,2.30685624878515e-06,-133.294355926283
78,78,ENSMUSG00000038042,Ptpdc1,Down,-21.9405887071411,1.16980323118166e-06,-130.149096947723
79,79,ENSMUSG00000020702,Ccl1,Down,-28.372982249149,2.82736751638731e-05,-129.057850279314
80,80,ENSMUSG00000025665,Rps6ka6,Down,-28.3878851490046,3.49561019279723e-05,-126.509957329496
81,81,ENSMUSG00000102808,ENSMUSG00000102808,Down,-23.7446488564146,5.69438819609459e-06,-124.53006772197
