Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
GO Biological Processes,19,GO:0032970,regulation of actin filament-based process,19_GO:0050789 regulation of biological process,-4.7,4.4,5.7,20504,416,135,12,8.9,2.4,13609|14159|15901|18479|18578|20971|22351|50490|50874|66214|216033|237860,S1pr1|Fes|Id1|Pak1|Pde4b|Sdc4|Vill|Nox4|Tmod4|Rgcc|Ctnna3|Ssh2,-0.64,Geneid
GO Biological Processes,19,GO:0060326,cell chemotaxis,19_GO:0040011 locomotion,-4.4,4.9,5.6,20504,313,135,10,7.4,2.3,12769|12775|13609|16842|18578|20290|20343|20583|57349|70045,Ccr9|Ccr7|S1pr1|Lef1|Pde4b|Ccl1|Sell|Snai2|Ppbp|2610528A11Rik,-0.64,Geneid
GO Biological Processes,19,GO:0007015,actin filament organization,19_GO:0009987 cellular process,-4.3,4,5.3,20504,455,135,12,8.9,2.4,12043|13609|15901|18479|20971|22351|50490|50874|66214|194401|216033|237860,Bcl2|S1pr1|Id1|Pak1|Sdc4|Vill|Nox4|Tmod4|Rgcc|Mical3|Ctnna3|Ssh2,-0.64,Geneid
GO Biological Processes,19,GO:0006935,chemotaxis,19_GO:0040011 locomotion,-4.2,3.4,5,20504,623,135,14,10,2.6,12769|12775|13609|13723|14159|16842|18028|18578|20290|20343|20583|57349|70045|93691,Ccr9|Ccr7|S1pr1|Emb|Fes|Lef1|Nfib|Pde4b|Ccl1|Sell|Snai2|Ppbp|2610528A11Rik|Klf7,-0.64,Geneid
GO Biological Processes,19,GO:0042330,taxis,19_GO:0040011 locomotion,-4.2,3.4,4.9,20504,628,135,14,10,2.6,12769|12775|13609|13723|14159|16842|18028|18578|20290|20343|20583|57349|70045|93691,Ccr9|Ccr7|S1pr1|Emb|Fes|Lef1|Nfib|Pde4b|Ccl1|Sell|Snai2|Ppbp|2610528A11Rik|Klf7,-0.64,Geneid
GO Biological Processes,19,GO:0032233,positive regulation of actin filament bundle assembly,19_GO:0048518 positive regulation of biological process,-4.1,11,6.8,20504,68,135,5,3.7,1.6,15901|18479|20971|50490|66214,Id1|Pak1|Sdc4|Nox4|Rgcc,-0.64,Geneid
GO Biological Processes,19,GO:0030036,actin cytoskeleton organization,19_GO:0009987 cellular process,-4,3.1,4.8,20504,728,135,15,11,2.7,12043|12775|13609|14159|15901|18479|20971|22351|29856|50490|50874|66214|194401|216033|237860,Bcl2|Ccr7|S1pr1|Fes|Id1|Pak1|Sdc4|Vill|Smtn|Nox4|Tmod4|Rgcc|Mical3|Ctnna3|Ssh2,-0.64,Geneid
GO Biological Processes,19,GO:0110053,regulation of actin filament organization,19_GO:0050789 regulation of biological process,-4,4.9,5.3,20504,280,135,9,6.7,2.1,13609|15901|18479|20971|22351|50490|50874|66214|237860,S1pr1|Id1|Pak1|Sdc4|Vill|Nox4|Tmod4|Rgcc|Ssh2,-0.64,Geneid
GO Biological Processes,19,GO:0032231,regulation of actin filament bundle assembly,19_GO:0050789 regulation of biological process,-4,8,6.1,20504,114,135,6,4.4,1.8,13609|15901|18479|20971|50490|66214,S1pr1|Id1|Pak1|Sdc4|Nox4|Rgcc,-0.64,Geneid
GO Biological Processes,19,GO:0032956,regulation of actin cytoskeleton organization,19_GO:0050789 regulation of biological process,-3.8,4.1,4.9,20504,369,135,10,7.4,2.3,13609|14159|15901|18479|20971|22351|50490|50874|66214|237860,S1pr1|Fes|Id1|Pak1|Sdc4|Vill|Nox4|Tmod4|Rgcc|Ssh2,-0.49,Geneid
GO Biological Processes,19,GO:1902903,regulation of supramolecular fiber organization,19_GO:0050789 regulation of biological process,-3.6,3.9,4.7,20504,389,135,10,7.4,2.3,13609|14159|15901|18479|20971|22351|50490|50874|66214|237860,S1pr1|Fes|Id1|Pak1|Sdc4|Vill|Nox4|Tmod4|Rgcc|Ssh2,-0.35,Geneid
Reactome Gene Sets,6,R-MMU-380108,Chemokine receptors bind chemokines,,-3.4,11,6.2,20504,53,135,4,3,1.5,12769|12775|20290|57349,Ccr9|Ccr7|Ccl1|Ppbp,-0.18,Geneid
GO Biological Processes,19,GO:0051492,regulation of stress fiber assembly,19_GO:0050789 regulation of biological process,-3.3,7.7,5.5,20504,98,135,5,3.7,1.6,13609|18479|20971|50490|66214,S1pr1|Pak1|Sdc4|Nox4|Rgcc,-0.18,Geneid
KEGG Pathway,24,ko04390,Hippo signaling pathway,,-3.3,5.9,5,20504,154,135,6,4.4,1.8,15901|16842|20583|58220|170770|216033,Id1|Lef1|Snai2|Pard6b|Bbc3|Ctnna3,-0.18,Geneid
GO Biological Processes,19,GO:0030593,neutrophil chemotaxis,19_GO:0040011 locomotion,-3.2,7.4,5.3,20504,102,135,5,3.7,1.6,12775|18578|20290|20343|57349,Ccr7|Pde4b|Ccl1|Sell|Ppbp,-0.18,Geneid
GO Biological Processes,19,GO:0051496,positive regulation of stress fiber assembly,19_GO:0048518 positive regulation of biological process,-3.2,10,5.9,20504,58,135,4,3,1.5,18479|20971|50490|66214,Pak1|Sdc4|Nox4|Rgcc,-0.18,Geneid
KEGG Pathway,24,mmu04390,Hippo signaling pathway,,-3.2,5.8,4.9,20504,157,135,6,4.4,1.8,15901|16842|20583|58220|170770|216033,Id1|Lef1|Snai2|Pard6b|Bbc3|Ctnna3,-0.18,Geneid
GO Biological Processes,19,GO:0031667,response to nutrient levels,19_GO:0050896 response to stimulus,-3.2,3.8,4.4,20504,358,135,9,6.7,2.1,11910|12043|14159|18752|18812|20583|52187|237253|320311,Atf3|Bcl2|Fes|Prkcg|Prl2c3|Snai2|Rragd|Lrp11|Rnf152,-0.18,Geneid
GO Biological Processes,19,GO:0050857,positive regulation of antigen receptor-mediated signaling pathway,19_GO:0002376 immune system process,-3.2,18,6.9,20504,26,135,3,2.2,1.3,12775|74039|225825,Ccr7|Nfam1|Cd226,-0.18,Geneid
GO Biological Processes,19,GO:0030595,leukocyte chemotaxis,19_GO:0040011 locomotion,-3.1,4.7,4.5,20504,227,135,7,5.2,1.9,12775|13609|18578|20290|20343|57349|70045,Ccr7|S1pr1|Pde4b|Ccl1|Sell|Ppbp|2610528A11Rik,-0.13,Geneid
GO Biological Processes,19,GO:0110020,regulation of actomyosin structure organization,19_GO:0050789 regulation of biological process,-3.1,6.9,5.1,20504,110,135,5,3.7,1.6,13609|18479|20971|50490|66214,S1pr1|Pak1|Sdc4|Nox4|Rgcc,-0.13,Geneid
GO Biological Processes,19,GO:0051493,regulation of cytoskeleton organization,19_GO:0050789 regulation of biological process,-3,3.1,4,20504,543,135,11,8.1,2.4,13609|14159|15901|18479|20971|22351|50490|50874|66214|213582|237860,S1pr1|Fes|Id1|Pak1|Sdc4|Vill|Nox4|Tmod4|Rgcc|Map9|Ssh2,-0.13,Geneid
GO Biological Processes,19,GO:0030038,contractile actin filament bundle assembly,19_GO:0009987 cellular process,-3,6.5,4.9,20504,116,135,5,3.7,1.6,13609|18479|20971|50490|66214,S1pr1|Pak1|Sdc4|Nox4|Rgcc,-0.13,Geneid
GO Biological Processes,19,GO:0043149,stress fiber assembly,19_GO:0009987 cellular process,-3,6.5,4.9,20504,116,135,5,3.7,1.6,13609|18479|20971|50490|66214,S1pr1|Pak1|Sdc4|Nox4|Rgcc,-0.13,Geneid
KEGG Pathway,24,ko04360,Axon guidance,,-3,5.2,4.6,20504,175,135,6,4.4,1.8,12322|14159|14678|18479|58220|237860,Camk2a|Fes|Gnai2|Pak1|Pard6b|Ssh2,-0.13,Geneid
GO Biological Processes,19,GO:0051017,actin filament bundle assembly,19_GO:0009987 cellular process,-3,5.2,4.6,20504,175,135,6,4.4,1.8,13609|15901|18479|20971|50490|66214,S1pr1|Id1|Pak1|Sdc4|Nox4|Rgcc,-0.13,Geneid
GO Biological Processes,19,GO:0044089,positive regulation of cellular component biogenesis,19_GO:0048518 positive regulation of biological process,-3,3,3.9,20504,552,135,11,8.1,2.4,12775|13048|13631|14159|15901|18479|20971|50490|66214|105827|170770,Ccr7|Cux2|Eef2k|Fes|Id1|Pak1|Sdc4|Nox4|Rgcc|Amigo2|Bbc3,-0.13,Geneid
GO Biological Processes,19,GO:0009991,response to extracellular stimulus,19_GO:0050896 response to stimulus,-2.9,3.5,4.1,20504,391,135,9,6.7,2.1,11910|12043|14159|18752|18812|20583|52187|237253|320311,Atf3|Bcl2|Fes|Prkcg|Prl2c3|Snai2|Rragd|Lrp11|Rnf152,-0.13,Geneid
KEGG Pathway,24,mmu04360,Axon guidance,,-2.9,5.1,4.5,20504,178,135,6,4.4,1.8,12322|14159|14678|18479|58220|237860,Camk2a|Fes|Gnai2|Pak1|Pard6b|Ssh2,-0.13,Geneid
GO Biological Processes,19,GO:0061572,actin filament bundle organization,19_GO:0009987 cellular process,-2.9,5.1,4.5,20504,178,135,6,4.4,1.8,13609|15901|18479|20971|50490|66214,S1pr1|Id1|Pak1|Sdc4|Nox4|Rgcc,-0.13,Geneid
