_MEMBER_Geneid,_LogP_Geneid,GO,Description,_PATTERN_,_RANK_,CHILD_GO_Geneid
1,-4.69246480956034,GO:0050789,regulation of biological process,M1,1,GO:0032970 regulation of actin filament-based process
1,-4.360741318103722,GO:0040011,locomotion,M1,1,GO:0060326 cell chemotaxis
1,-4.313756225781861,GO:0009987,cellular process,M1,1,GO:0007015 actin filament organization
1,-4.06627115566014,GO:0048518,positive regulation of biological process,M1,1,GO:0032233 positive regulation of actin filament bundle assembly
1,-3.2081060207229424,GO:0050896,response to stimulus,M1,1,GO:0031667 response to nutrient levels
1,-3.1873884030041513,GO:0002376,immune system process,M1,1,GO:0050857 positive regulation of antigen receptor-mediated signaling pathway
1,-2.603154079797814,GO:0051179,localization,M1,1,GO:0051272 positive regulation of cellular component movement
1,-2.4899501553476817,GO:0008152,metabolic process,M1,1,GO:0042554 superoxide anion generation
1,-2.485503646927371,GO:0023052,signaling,M1,1,GO:0043408 regulation of MAPK cascade
1,-2.3237634590379264,GO:0032502,developmental process,M1,1,GO:0016358 dendrite development
1,-2.3117135325518414,GO:0065007,biological regulation,M1,1,GO:0043547 positive regulation of GTPase activity
1,-2.2978321492777876,GO:0022610,biological adhesion,M1,1,GO:0030155 regulation of cell adhesion
1,-2.2597835580570838,GO:0032501,multicellular organismal process,M1,1,GO:0033555 multicellular organismal response to stress
