Gene,TotalEvidenceCounts,EvidenceHit:Geneid,EvidenceGO:Geneid,EvidencePPI:Geneid
225825,3.0,1,1,1
16197,3.0,1,1,1
50490,3.0,1,1,1
20290,3.0,1,1,1
14159,3.0,1,1,1
11482,3.0,1,1,1
170770,3.0,1,1,1
17970,3.0,1,1,1
14678,3.0,1,1,1
16842,3.0,1,1,1
105844,3.0,1,1,1
12826,3.0,1,1,1
12769,3.0,1,1,1
20971,3.0,1,1,1
67071,3.0,1,1,1
12775,3.0,1,1,1
20230,3.0,1,1,1
194401,3.0,1,1,1
228775,3.0,1,1,1
22351,3.0,1,1,1
373864,3.0,1,1,1
57349,3.0,1,1,1
18752,3.0,1,1,1
13609,3.0,1,1,1
12322,3.0,1,1,1
52187,3.0,1,1,1
12043,3.0,1,1,1
20583,3.0,1,1,1
18479,3.0,1,1,1
545030,3.0,1,1,1
29856,2.0,1,0,1
20532,2.0,1,1,0
80281,2.0,1,0,1
74039,2.0,1,1,0
237860,2.0,1,0,1
13497,2.0,1,0,1
70045,2.0,1,1,0
12290,2.0,1,0,1
66214,2.0,1,1,0
244416,2.0,1,0,1
70686,2.0,1,0,1
67963,2.0,1,1,0
13631,2.0,1,0,1
50874,2.0,1,1,0
320311,2.0,1,1,0
27413,2.0,1,0,1
20343,2.0,1,0,1
14605,2.0,1,1,0
22354,2.0,1,0,1
16164,2.0,1,1,0
11910,2.0,1,1,0
106766,2.0,1,0,1
69993,2.0,1,0,1
18793,2.0,1,1,0
11975,2.0,1,0,1
18578,2.0,1,0,1
15901,2.0,1,1,0
18602,2.0,1,0,1
13998,2.0,1,0,1
239731,2.0,1,0,1
16517,2.0,1,1,0
14608,2.0,1,0,1
58220,2.0,1,0,1
13048,2.0,1,0,1
18028,2.0,1,1,0
216033,2.0,1,0,1
20167,2.0,1,0,1
74338,2.0,1,1,0
18812,1.0,1,0,0
14570,1.0,1,0,0
218232,1.0,1,0,0
16631,1.0,1,0,0
223838,1.0,1,0,0
56050,1.0,1,0,0
234673,1.0,1,0,0
11979,1.0,1,0,0
11898,1.0,1,0,0
381845,1.0,1,0,0
66184,1.0,1,0,0
229055,1.0,1,0,0
270084,1.0,1,0,0
235634,1.0,1,0,0
59010,1.0,1,0,0
75578,1.0,1,0,0
76612,1.0,1,0,0
69539,1.0,1,0,0
100126469,1.0,1,0,0
109212,1.0,1,0,0
24057,1.0,1,0,0
52815,1.0,1,0,0
16598,1.0,1,0,0
100418068,1.0,1,0,0
171244,1.0,1,0,0
212517,1.0,1,0,0
244233,1.0,1,0,0
381738,1.0,1,0,0
319765,1.0,1,0,0
57755,1.0,1,0,0
621968,1.0,1,0,0
320148,1.0,1,0,0
109246,1.0,1,0,0
207592,1.0,1,0,0
238405,1.0,1,0,0
433966,1.0,1,0,0
56338,1.0,1,0,0
16637,1.0,1,0,0
16010,1.0,1,0,0
100042419,1.0,1,0,0
213582,1.0,1,0,0
74646,1.0,1,0,0
13409,1.0,1,0,0
216505,1.0,1,0,0
30054,1.0,1,0,0
74121,1.0,1,0,0
237253,1.0,1,0,0
100033459,1.0,1,0,0
29815,1.0,1,0,0
75746,1.0,1,0,0
269855,1.0,1,0,0
381218,1.0,1,0,0
105827,1.0,1,0,0
330216,1.0,1,0,0
627171,1.0,1,0,0
214804,1.0,1,0,0
380713,1.0,1,0,0
238447,1.0,1,0,0
71970,1.0,1,0,0
230099,1.0,1,0,0
73667,1.0,1,0,0
100124699,1.0,1,0,0
434041,1.0,1,0,0
57330,1.0,1,0,0
102633020,1.0,1,0,0
93691,1.0,1,0,0
13723,1.0,1,0,0
104871,1.0,1,0,0
16098,1.0,1,0,0
74134,1.0,1,0,0
241303,1.0,1,0,0
16019,1.0,1,0,0
217316,1.0,1,0,0
21673,1.0,1,0,0
235633,1.0,1,0,0
232078,1.0,1,0,0
329727,1.0,1,0,0
101320,1.0,1,0,0
329003,1.0,1,0,0
