,gene,Geneid,genename,dfin_change,dfin_log2FC,dfin_padj,dfin_Change Metric
1,1,ENSMUSG00000080984,ENSMUSG00000080984,Up,48.2835303337463,2.59366635778171e-98,4711.80073827573
2,2,ENSMUSG00000076940,Iglv2,Up,46.6501402788473,4.68499603838776e-61,2814.3698774378
3,3,ENSMUSG00000003555,Cyp17a1,Up,35.9633225765081,3.2755536708704e-71,2534.86455233287
4,4,ENSMUSG00000040488,Ltbp4,Up,41.6898501468561,1.29988368202526e-58,2413.26264731883
5,5,ENSMUSG00000025257,Ribc1,Up,44.8165914196144,2.14768802654492e-48,2136.31857069026
6,6,ENSMUSG00000118478,ENSMUSG00000118478,Up,47.4588203814446,1.09638721346929e-40,1896.45617276485
7,7,ENSMUSG00000043542,Zc2hc1a,Up,38.9641023104654,8.57509937186201e-44,1678.05767549044
8,8,ENSMUSG00000034981,Parm1,Up,41.0773633665213,3.45352816772286e-33,1333.44256615244
9,9,ENSMUSG00002075065,ENSMUSG00002075065,Up,44.3443922830774,7.61659017797856e-30,1291.23063106241
10,10,ENSMUSG00000058260,Serpina9,Up,33.5502079430986,8.75511392188635e-38,1243.29482246014
11,11,ENSMUSG00000034591,Slc41a2,Up,44.2984279899737,1.39759493620498e-28,1233.91581985357
12,12,ENSMUSG00000078926,Cdc20b,Up,33.4053772906152,2.668912241585e-37,1221.75710182064
13,13,ENSMUSG00000104435,ENSMUSG00000104435,Up,47.0288751630242,9.64691421386433e-25,1129.42719912246
14,14,ENSMUSG00000036611,Eepd1,Up,47.5507976970114,2.87087870570425e-24,1119.44017353938
15,15,ENSMUSG00000087066,ENSMUSG00000087066,Up,39.8778149981943,1.16877158121275e-28,1113.87790977022
16,16,ENSMUSG00000106005,ENSMUSG00000106005,Up,45.7801099017501,8.42538798016517e-24,1056.34902989304
17,17,ENSMUSG00000073489,Ifi204,Up,39.9453449996857,1.86255119213617e-26,1027.78940403063
18,18,ENSMUSG00000041567,Serpina12,Up,46.8512050392094,6.31828087822936e-22,993.217486309546
19,19,ENSMUSG00000084320,Gm14125,Up,24.9663976854108,1.810243998249e-40,992.221140073124
20,20,ENSMUSG00000118445,ENSMUSG00000118445,Up,44.8265350604251,2.0398455609532e-22,972.305597655986
21,21,ENSMUSG00000044320,1700001O22Rik,Up,23.4508129867439,3.61324311826269e-42,971.85100291075
22,22,ENSMUSG00000041696,Rasl12,Up,40.0413056298447,1.31286392512262e-24,956.257663378631
23,23,ENSMUSG00000111087,ENSMUSG00000111087,Up,42.470755563857,5.36151771414046e-22,903.383220842302
24,24,ENSMUSG00000035448,Ccr3,Up,34.4059453177811,6.09832475871971e-25,833.132721751299
25,25,ENSMUSG00000025983,Ccdc150,Up,45.6848783262314,5.93045950597185e-19,832.694241229529
26,26,ENSMUSG00000097177,9330159M07Rik,Up,45.5911324214327,8.62881322783783e-19,823.560446893621
27,27,ENSMUSG00000024397,Aif1,Up,41.2807783438277,3.39256599020391e-20,803.714945551712
28,28,ENSMUSG00000029727,Cyp3a13,Up,33.5990565065429,2.0398455609532e-22,728.777066378987
29,29,ENSMUSG00000026656,Fcgr2b,Up,23.119873769612,8.02909747880221e-30,672.680432473708
30,30,ENSMUSG00000047798,Cd300lf,Up,41.7402824761552,9.8783151933554e-16,626.326175260538
31,31,ENSMUSG00000060470,Adgrg3,Up,23.0036814491073,5.54522890706723e-26,580.982830968835
32,32,ENSMUSG00000001663,Gstt1,Up,34.7635653475053,6.76044019316355e-17,562.127721623253
33,33,ENSMUSG00000085111,Ascl4,Up,37.4621369370233,1.22566629285877e-15,558.621440998017
34,34,ENSMUSG00000030346,Rad51ap1,Up,24.1691598344052,3.08909375270016e-23,544.051870305625
35,35,ENSMUSG00000113587,ENSMUSG00000113587,Up,36.5258411929449,2.02850398795357e-15,536.667760999982
36,36,ENSMUSG00000021760,Gpx8,Up,23.24020241586,9.62794229380799e-24,534.907340854822
37,37,ENSMUSG00000093963,ENSMUSG00000093963,Up,32.6351510068146,2.43539937405493e-15,476.911488574264
38,38,ENSMUSG00000023913,Pla2g7,Up,36.6251677136366,1.73370127507801e-13,467.374707610744
39,39,ENSMUSG00000028678,Kif2c,Up,25.4335590289406,6.59067226402188e-19,462.409324279752
40,40,ENSMUSG00000085379,ENSMUSG00000085379,Up,22.6469815894391,4.29635787114538e-21,461.24879915718
41,41,ENSMUSG00000042379,Esm1,Up,24.8627934854097,5.71992083420137e-19,453.562244616346
42,42,ENSMUSG00000086968,4933431E20Rik,Up,31.5884698517767,5.50534202864446e-15,450.426805078159
43,43,ENSMUSG00000080783,ENSMUSG00000080783,Up,22.4008326172789,5.03954423569169e-20,432.282503261094
44,44,ENSMUSG00000073985,ENSMUSG00000073985,Up,33.426348498771,1.92763732717901e-13,425.015174556658
45,45,ENSMUSG00000060397,Zfp128,Up,23.3627635296546,6.71360402935741e-19,424.57253606143
46,46,ENSMUSG00000036223,Ska1,Up,23.2802922658384,6.43221935814068e-19,423.506676282359
47,47,ENSMUSG00000114086,Gm18968,Up,34.1590495661874,5.14130906173814e-13,419.778042201225
48,48,ENSMUSG00000032607,Amt,Up,21.7691757148232,1.85608761420028e-19,407.7671712333
49,49,ENSMUSG00000039131,Gipc2,Up,34.2830043757379,1.45417403669959e-12,405.821074224364
50,50,ENSMUSG00000091735,Gpr62,Up,40.1592201981022,1.54163741276663e-10,394.042981758476
51,51,ENSMUSG00000105993,Tex13d,Up,39.2033412294638,9.52817521791764e-11,392.856300816497
52,52,ENSMUSG00000086372,ENSMUSG00000086372,Up,36.2245280223631,1.75505686400522e-11,389.620475108119
53,53,ENSMUSG00000079009,Gm14139,Up,33.6479486868939,3.28686288322797e-12,386.386743915412
54,54,ENSMUSG00000117380,ENSMUSG00000117380,Up,36.4132667160034,4.58655974409795e-11,376.459029314605
55,55,ENSMUSG00000102960,ENSMUSG00000102960,Up,34.4841391694331,1.3878575080973e-11,374.416890238889
56,56,ENSMUSG00000074569,Gcnt7,Up,21.4398247028333,3.63980043492293e-18,373.88743985076
57,57,ENSMUSG00000039055,Eme1,Up,22.7249773029373,3.98353006422615e-17,372.683535220126
58,58,ENSMUSG00000021069,Pygl,Up,23.6215913887122,2.10339362006423e-16,370.317564881968
59,59,ENSMUSG00000032802,Srxn1,Up,33.9534913723183,1.44921248188811e-11,368.017408886048
60,60,ENSMUSG00000082287,ENSMUSG00000082287,Up,38.5781615647751,4.81051537506783e-10,359.463917612798
61,61,ENSMUSG00000046295,Ankle1,Up,25.2385884395982,9.68823483177941e-15,353.687403593525
62,62,ENSMUSG00000021850,ccdc198,Up,35.1868133420171,9.52817521791764e-11,352.606713957234
63,63,ENSMUSG00000106739,ENSMUSG00000106739,Up,37.2960040549884,4.2460416605297e-10,349.538737378809
64,64,ENSMUSG00000023984,Gm20517,Up,28.0088967176668,9.66830960612702e-13,336.517075564361
65,65,ENSMUSG00000105846,ENSMUSG00000105846,Up,37.9943293784543,1.99471976900564e-09,330.555153032853
66,66,ENSMUSG00000022941,Ripply3,Up,30.7458323298973,2.28975640498317e-11,327.142134674567
67,67,ENSMUSG00000063177,Klk1b27,Up,24.9160833272444,1.09054321893379e-13,322.971170078875
68,68,ENSMUSG00000028217,Cdh17,Up,27.8479334534423,4.72729904151127e-12,315.388621395191
69,69,ENSMUSG00000106757,ENSMUSG00000106757,Up,25.7631596793022,1.52757909258611e-12,304.417399299761
70,70,ENSMUSG00000058159,T2,Up,30.0559557186582,1.80382278781126e-10,292.859405601671
71,71,ENSMUSG00000024033,Rsph1,Up,22.2336139699532,2.21261874263697e-13,281.368461700786
72,72,ENSMUSG00000058287,Gm12253,Up,22.1883872120707,2.4383635087615e-13,279.859943452688
73,73,ENSMUSG00000100426,ENSMUSG00000100426,Up,23.2583517528977,1.27651644169959e-12,276.634221427369
74,74,ENSMUSG00000059674,Cdh24,Up,21.6580734229354,4.66068291235288e-13,267.077624915486
75,75,ENSMUSG00000094174,Ighv6-4,Up,35.2065653493498,4.27823162635838e-08,259.427875179971
76,76,ENSMUSG00000108269,ENSMUSG00000108269,Up,22.3194954022439,4.07835724793892e-12,254.208221748573
77,77,ENSMUSG00000114907,ENSMUSG00000114907,Up,28.0850321368202,2.16394328769585e-09,243.349898067864
78,78,ENSMUSG00000020829,Slc46a1,Up,32.5285764929562,5.2971235335998e-08,236.676618128298
79,79,ENSMUSG00000016382,Pls3,Up,24.1067220548813,1.87868136772065e-10,234.465519304127
80,80,ENSMUSG00000036353,P2ry12,Up,27.6808719205997,4.03445919664479e-09,232.359181223607
81,81,ENSMUSG00000044976,Wdr72,Up,33.8626133240369,1.69008680873525e-07,229.320698519764
82,82,ENSMUSG00000002108,Nr1h3,Up,32.5182659214395,1.19468932159752e-07,225.115663405276
83,83,ENSMUSG00000024140,Epas1,Up,22.0566868099283,7.5054091614082e-11,223.315696522041
84,84,ENSMUSG00000117698,BC037704,Up,22.184035146622,1.45909261443207e-10,218.200331551377
85,85,ENSMUSG00000109031,ENSMUSG00000109031,Up,31.8259292918055,1.624078835265e-07,216.078738155379
86,86,ENSMUSG00000111947,ENSMUSG00000111947,Up,22.2542275428619,2.13176013400578e-10,215.226457692353
87,87,ENSMUSG00000097055,Gm4419,Up,28.7649463469928,3.82940045741202e-08,213.345845037166
88,88,ENSMUSG00000106087,ENSMUSG00000106087,Up,25.1692400675252,3.39439492518124e-09,213.164275111894
89,89,ENSMUSG00000023809,Rps6ka2,Up,22.0162410780271,3.23218145131672e-10,208.945229880468
90,90,ENSMUSG00000112297,ENSMUSG00000112297,Up,21.3185707735515,1.59258354224119e-10,208.877177182169
91,91,ENSMUSG00000019992,Mtfr2,Up,23.407206271357,1.41621254474454e-09,207.127361943232
92,92,ENSMUSG00000056257,ENSMUSG00000056257,Up,32.8026080276273,5.10762470004121e-07,206.386826643559
93,93,ENSMUSG00000112669,ENSMUSG00000112669,Up,22.3936992024437,6.98248504390096e-10,205.036485643955
94,94,ENSMUSG00000031785,Adgrg1,Up,21.4285975961423,6.46570146448374e-10,196.915619426369
95,95,ENSMUSG00000089679,Gm16299,Up,22.5664989519939,1.89637936216671e-09,196.826691374141
96,96,ENSMUSG00000027827,Kcnab1,Up,20.2882411105901,2.53203550373188e-10,194.696718705565
97,97,ENSMUSG00000097767,Miat,Up,31.5371633999867,9.53357727991652e-07,189.877190744227
98,98,ENSMUSG00000035246,Pcyt1b,Up,22.8903507178322,5.18615985055370e-09,189.6500831302
99,99,ENSMUSG00000083307,AA414768,Up,22.4886143715872,3.70162466708408e-09,189.615172285757
100,100,ENSMUSG00000015709,Arnt2,Up,22.0994704057258,2.78275374000942e-09,189.072576512822
101,101,ENSMUSG00000102401,ENSMUSG00000102401,Up,22.9843647632795,6.48038692050252e-09,188.205150895885
102,102,ENSMUSG00000032066,Bco2,Up,31.8780416256048,1.25399569995996e-06,188.1347642671
103,103,ENSMUSG00000116311,ENSMUSG00000116311,Up,23.0798578166211,7.09664548888115e-09,188.07653556023
104,104,ENSMUSG00000101168,ENSMUSG00000101168,Up,22.9797043236456,8.29402378113211e-09,185.704384521397
105,105,ENSMUSG00000087004,ENSMUSG00000087004,Up,22.4668244569299,7.09664548888115e-09,183.080959270737
106,106,ENSMUSG00000048368,Omd,Up,31.4881467397013,1.87862334580728e-06,180.306175307636
107,107,ENSMUSG00000110580,ENSMUSG00000110580,Up,22.6324662268598,1.25258558346847e-08,178.846106935824
108,108,ENSMUSG00000107136,ENSMUSG00000107136,Up,21.8024825897614,8.29402378113211e-09,176.190979367998
109,109,ENSMUSG00000110751,ENSMUSG00000110751,Up,22.3259879760221,1.38575958355052e-08,175.444581663127
110,110,ENSMUSG00000036896,C1qc,Up,30.8275921934937,3.47074500555702e-06,168.305622325837
111,111,ENSMUSG00000085286,Ube4bos3,Up,20.8259154602902,9.14571234423171e-09,167.415003965598
112,112,ENSMUSG00000016150,Tenm1,Up,20.1041455741214,8.67151513451749e-09,162.077711997918
113,113,ENSMUSG00000087492,ENSMUSG00000087492,Up,22.4096285127338,6.50612505881113e-08,161.050775102021
114,114,ENSMUSG00000047343,Mettl21c,Up,21.8559166871185,5.23648294621332e-08,159.132061861205
115,115,ENSMUSG00000103454,ENSMUSG00000103454,Up,22.6332393440567,9.53592321370482e-08,158.899763332689
116,116,ENSMUSG00000032845,Alpk2,Up,21.5652723605748,5.68250068936853e-08,156.250329123189
117,117,ENSMUSG00000026649,Cfap126,Up,21.6213943463178,7.38194695628777e-08,154.200088944789
118,118,ENSMUSG00000026546,Cfap45,Up,20.5245773495757,3.34359386760436e-08,153.437357857017
119,119,ENSMUSG00000025221,Kcnip2,Up,22.4263045459535,1.45657221904421e-07,153.321198143611
120,120,ENSMUSG00000026450,Chit1,Up,21.2481254519825,7.62205428462623e-08,151.242626305103
121,121,ENSMUSG00000117704,ENSMUSG00000117704,Up,20.8761210421948,6.76777140529501e-08,149.67248377924
122,122,ENSMUSG00000086889,ENSMUSG00000086889,Up,22.1094127742499,2.23827692221328e-07,147.029500405769
123,123,ENSMUSG00000044231,Nhlrc1,Up,23.344453413202,5.904429758953e-07,145.408445921179
124,124,ENSMUSG00000002007,Srpk3,Up,22.9316720976461,5.45218580964177e-07,143.630908104474
125,125,ENSMUSG00000032783,Troap,Up,22.8363149585238,5.904429758953e-07,142.243341915541
126,126,ENSMUSG00000023078,Cxcl13,Up,29.2250876663357,1.48599419297633e-05,141.098223145313
127,127,ENSMUSG00000029607,Ankrd61,Up,20.2192146033671,1.52289974105849e-07,137.841031747549
128,128,ENSMUSG00000108354,4931431B13Rik,Up,29.03938692433,1.81987675882857e-05,137.645474983603
129,129,ENSMUSG00000035759,Bbs10,Up,21.5440328692382,5.89834395129497e-07,134.203595605056
130,130,ENSMUSG00000042770,Hebp1,Up,28.726730726243,2.38154420595165e-05,132.807736749894
131,131,ENSMUSG00000036905,C1qb,Up,28.6913185932822,2.40111400640252e-05,132.542048666295
132,132,ENSMUSG00000096833,Igkv4-55,Up,28.4892225801937,2.83941123501892e-05,129.533991084515
133,133,ENSMUSG00000030433,Sbk2,Up,22.9161966593832,2.32464299913034e-06,129.101687700607
