Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
GO Biological Processes,19,GO:0032534,regulation of microvillus assembly,19_GO:0050789 regulation of biological process,-4.4,42,11,20504,8,185,3,1.6,0.93,18805|54670|110351,Pld1|Atp8b1|Rap1gap,-0.13,Geneid
Reactome Gene Sets,6,R-MMU-444473,Formyl peptide receptors bind formyl peptides and many other ligands,,-3.9,30,9.3,20504,11,185,3,1.6,0.93,15199|20305|20308,Hebp1|Ccl6|Ccl9,-0.075,Geneid
GO Biological Processes,19,GO:0002548,monocyte chemotaxis,19_GO:0040011 locomotion,-3.7,9.4,6.2,20504,59,185,5,2.7,1.2,11629|20304|20305|20308|27226,Aif1|Ccl5|Ccl6|Ccl9|Pla2g7,-0.075,Geneid
GO Biological Processes,19,GO:0033625,positive regulation of integrin activation,19_GO:0048518 positive regulation of biological process,-3.7,26,8.5,20504,13,185,3,1.6,0.93,12557|55985|70839,Cdh17|Cxcl13|P2ry12,-0.075,Geneid
GO Biological Processes,19,GO:0097529,myeloid leukocyte migration,19_GO:0040011 locomotion,-3.7,4.4,4.9,20504,226,185,9,4.9,1.6,11629|12771|20304|20305|20308|27226|55985|70839|109700,Aif1|Ccr3|Ccl5|Ccl6|Ccl9|Pla2g7|Cxcl13|P2ry12|Itga1,-0.075,Geneid
GO Biological Processes,19,GO:0032530,regulation of microvillus organization,19_GO:0050789 regulation of biological process,-3.5,22,7.8,20504,15,185,3,1.6,0.93,18805|54670|110351,Pld1|Atp8b1|Rap1gap,-0.046,Geneid
GO Biological Processes,19,GO:0070613,regulation of protein processing,19_GO:0008152 metabolic process,-3.5,8.3,5.7,20504,67,185,5,2.7,1.2,13024|20112|58992|72293|215095,Ctla2a|Rps6ka2|F12|Nkd2|Astl,-0.046,Geneid
GO Biological Processes,19,GO:0006954,inflammatory response,19_GO:0050896 response to stimulus,-3.4,2.5,4.1,20504,739,185,17,9.2,2.1,12628|12771|13024|14130|14728|15937|16016|17228|20304|20305|20308|22259|27226|55985|58992|78801|269060,Cfh|Ccr3|Ctla2a|Fcgr2b|Lilrb4a|Ier3|Ighg2b|Cma1|Ccl5|Ccl6|Ccl9|Nr1h3|Pla2g7|Cxcl13|F12|Ak7|Dagla,-0.046,Geneid
GO Biological Processes,19,GO:1903317,regulation of protein maturation,19_GO:0008152 metabolic process,-3.4,7.9,5.5,20504,70,185,5,2.7,1.2,13024|20112|58992|72293|215095,Ctla2a|Rps6ka2|F12|Nkd2|Astl,-0.046,Geneid
GO Biological Processes,19,GO:0120031,plasma membrane bounded cell projection assembly,19_GO:0009987 cellular process,-3.3,2.8,4.1,20504,548,185,14,7.6,1.9,11629|14163|18805|20304|22092|23963|54670|70839|71769|78801|110082|110351|211535|231214,Aif1|Fgd1|Pld1|Ccl5|Rsph1|Tenm1|Atp8b1|P2ry12|Bbs10|Ak7|Dnah5|Rap1gap|Odad1|Cc2d2a,-0.046,Geneid
GO Biological Processes,19,GO:0003351,epithelial cilium movement involved in extracellular fluid movement,19_GO:0051179 localization,-3.2,10,5.8,20504,43,185,4,2.2,1.1,71870|78801|110082|271639,Cfap45|Ak7|Dnah5|Adcy10,-0.033,Geneid
GO Biological Processes,19,GO:0030031,cell projection assembly,19_GO:0009987 cellular process,-3.2,2.8,4,20504,563,185,14,7.6,1.9,11629|14163|18805|20304|22092|23963|54670|70839|71769|78801|110082|110351|211535|231214,Aif1|Fgd1|Pld1|Ccl5|Rsph1|Tenm1|Atp8b1|P2ry12|Bbs10|Ak7|Dnah5|Rap1gap|Odad1|Cc2d2a,-0.033,Geneid
GO Biological Processes,19,GO:0033623,regulation of integrin activation,19_GO:0050789 regulation of biological process,-3.2,17,6.9,20504,19,185,3,1.6,0.93,12557|55985|70839,Cdh17|Cxcl13|P2ry12,-0.033,Geneid
GO Biological Processes,19,GO:0001578,microtubule bundle formation,19_GO:0009987 cellular process,-3.1,5.6,4.8,20504,119,185,6,3.2,1.3,22092|56742|78801|110082|211535|231214,Rsph1|Psrc1|Ak7|Dnah5|Odad1|Cc2d2a,-0.0029,Geneid
GO Biological Processes,19,GO:0006858,extracellular transport,19_GO:0051179 localization,-3.1,9.6,5.6,20504,46,185,4,2.2,1.1,71870|78801|110082|271639,Cfap45|Ak7|Dnah5|Adcy10,-0.0029,Geneid
GO Biological Processes,19,GO:0030033,microvillus assembly,19_GO:0009987 cellular process,-3.1,16,6.5,20504,21,185,3,1.6,0.93,18805|54670|110351,Pld1|Atp8b1|Rap1gap,0,Geneid
GO Biological Processes,19,GO:0090026,positive regulation of monocyte chemotaxis,19_GO:0040011 locomotion,-3,15,6.3,20504,22,185,3,1.6,0.93,11629|20304|27226,Aif1|Ccl5|Pla2g7,0,Geneid
GO Biological Processes,19,GO:0071621,granulocyte chemotaxis,19_GO:0040011 locomotion,-3,5.2,4.6,20504,127,185,6,3.2,1.3,12771|20304|20305|20308|55985|109700,Ccr3|Ccl5|Ccl6|Ccl9|Cxcl13|Itga1,0,Geneid
GO Biological Processes,19,GO:0030595,leukocyte chemotaxis,19_GO:0040011 locomotion,-3,3.9,4.2,20504,227,185,8,4.3,1.5,11629|12771|20304|20305|20308|27226|55985|109700,Aif1|Ccr3|Ccl5|Ccl6|Ccl9|Pla2g7|Cxcl13|Itga1,0,Geneid
GO Biological Processes,19,GO:0035082,axoneme assembly,19_GO:0009987 cellular process,-3,6.4,4.8,20504,86,185,5,2.7,1.2,22092|78801|110082|211535|231214,Rsph1|Ak7|Dnah5|Odad1|Cc2d2a,0,Geneid
GO Biological Processes,19,GO:0033630,positive regulation of cell adhesion mediated by integrin,19_GO:0022610 biological adhesion,-3,14,6.2,20504,23,185,3,1.6,0.93,20304|55985|70839,Ccl5|Cxcl13|P2ry12,0,Geneid
KEGG Pathway,24,ko05150,Staphylococcus aureus infection,,-2.9,8.5,5.2,20504,52,185,4,2.2,1.1,12260|12262|12628|14130,C1qb|C1qc|Cfh|Fcgr2b,0,Geneid
GO Biological Processes,19,GO:0045785,positive regulation of cell adhesion,19_GO:0022610 biological adhesion,-2.9,2.8,3.8,20504,472,185,12,6.5,1.8,11629|11735|14538|14728|14766|15205|20304|20739|55985|70839|110351|330662,Aif1|Ank3|Gcnt2|Lilrb4a|Adgrg1|Hes1|Ccl5|Spta1|Cxcl13|P2ry12|Rap1gap|Dock1,0,Geneid
GO Biological Processes,19,GO:0022409,positive regulation of cell-cell adhesion,19_GO:0022610 biological adhesion,-2.9,3.5,4,20504,288,185,9,4.9,1.6,11629|11735|14538|14728|15205|20304|20739|55985|110351,Aif1|Ank3|Gcnt2|Lilrb4a|Hes1|Ccl5|Spta1|Cxcl13|Rap1gap,0,Geneid
GO Biological Processes,19,GO:0002673,regulation of acute inflammatory response,19_GO:0050896 response to stimulus,-2.9,8.4,5.1,20504,53,185,4,2.2,1.1,14130|16016|20304|58992,Fcgr2b|Ighg2b|Ccl5|F12,0,Geneid
GO Biological Processes,19,GO:0048247,lymphocyte chemotaxis,19_GO:0040011 locomotion,-2.8,8.1,5,20504,55,185,4,2.2,1.1,20304|20305|20308|55985,Ccl5|Ccl6|Ccl9|Cxcl13,0,Geneid
KEGG Pathway,24,mmu05150,Staphylococcus aureus infection,,-2.8,8.1,5,20504,55,185,4,2.2,1.1,12260|12262|12628|14130,C1qb|C1qc|Cfh|Fcgr2b,0,Geneid
GO Biological Processes,19,GO:0001780,neutrophil homeostasis,19_GO:0002376 immune system process,-2.7,12,5.6,20504,27,185,3,1.6,0.93,12628|14130|14728,Cfh|Fcgr2b|Lilrb4a,0,Geneid
GO Biological Processes,19,GO:0032528,microvillus organization,19_GO:0009987 cellular process,-2.7,12,5.6,20504,27,185,3,1.6,0.93,18805|54670|110351,Pld1|Atp8b1|Rap1gap,0,Geneid
GO Biological Processes,19,GO:0010954,positive regulation of protein processing,19_GO:0048518 positive regulation of biological process,-2.7,12,5.6,20504,27,185,3,1.6,0.93,58992|72293|215095,F12|Nkd2|Astl,0,Geneid
GO Biological Processes,19,GO:0033622,integrin activation,19_GO:0009987 cellular process,-2.7,12,5.6,20504,27,185,3,1.6,0.93,12557|55985|70839,Cdh17|Cxcl13|P2ry12,0,Geneid
GO Biological Processes,19,GO:1903319,positive regulation of protein maturation,19_GO:0048518 positive regulation of biological process,-2.7,11,5.4,20504,29,185,3,1.6,0.93,58992|72293|215095,F12|Nkd2|Astl,0,Geneid
GO Biological Processes,19,GO:0070098,chemokine-mediated signaling pathway,19_GO:0023052 signaling,-2.6,7.3,4.7,20504,61,185,4,2.2,1.1,20304|20305|20308|55985,Ccl5|Ccl6|Ccl9|Cxcl13,0,Geneid
GO Biological Processes,19,GO:0030593,neutrophil chemotaxis,19_GO:0040011 locomotion,-2.6,5.4,4.3,20504,102,185,5,2.7,1.2,20304|20305|20308|55985|109700,Ccl5|Ccl6|Ccl9|Cxcl13|Itga1,0,Geneid
GO Biological Processes,19,GO:0016485,protein processing,19_GO:0008152 metabolic process,-2.6,3.5,3.8,20504,257,185,8,4.3,1.5,13024|15951|16619|17228|20112|58992|72293|215095,Ctla2a|Ifi204|Klk1b27|Cma1|Rps6ka2|F12|Nkd2|Astl,0,Geneid
GO Biological Processes,19,GO:0090025,regulation of monocyte chemotaxis,19_GO:0040011 locomotion,-2.6,11,5.3,20504,30,185,3,1.6,0.93,11629|20304|27226,Aif1|Ccl5|Pla2g7,0,Geneid
GO Biological Processes,19,GO:0003341,cilium movement,19_GO:0009987 cellular process,-2.6,3.8,3.9,20504,203,185,7,3.8,1.4,71233|71870|78801|106757|110082|211535|271639,Enkur|Cfap45|Ak7|Catsperd|Dnah5|Odad1|Adcy10,0,Geneid
GO Biological Processes,19,GO:0072676,lymphocyte migration,19_GO:0040011 locomotion,-2.5,5.2,4.1,20504,107,185,5,2.7,1.2,11629|20304|20305|20308|55985,Aif1|Ccl5|Ccl6|Ccl9|Cxcl13,0,Geneid
Reactome Gene Sets,6,R-MMU-977606,Regulation of Complement cascade,,-2.5,10,5.1,20504,32,185,3,1.6,0.93,12260|12262|12628,C1qb|C1qc|Cfh,0,Geneid
GO Biological Processes,19,GO:0097530,granulocyte migration,19_GO:0040011 locomotion,-2.5,4.2,3.9,20504,157,185,6,3.2,1.3,12771|20304|20305|20308|55985|109700,Ccr3|Ccl5|Ccl6|Ccl9|Cxcl13|Itga1,0,Geneid
GO Biological Processes,19,GO:0030162,regulation of proteolysis,19_GO:0008152 metabolic process,-2.5,2.2,3.3,20504,743,185,15,8.1,2,13024|15951|20112|22259|27059|58992|66259|68054|71907|72293|80751|108075|215095|238896|278507,Ctla2a|Ifi204|Rps6ka2|Nr1h3|Sh3d19|F12|Camk2n1|Serpina12|Serpina9|Nkd2|Rnf34|Ltbp4|Astl|Cdc20b|Wfikkn2,0,Geneid
Reactome Gene Sets,6,R-MMU-418594,G alpha (i) signalling events,,-2.5,3.3,3.6,20504,269,185,8,4.3,1.5,12771|15199|20304|20305|20308|55985|70839|71729,Ccr3|Hebp1|Ccl5|Ccl6|Ccl9|Cxcl13|P2ry12|Rgs12,0,Geneid
GO Biological Processes,19,GO:0031347,regulation of defense response,19_GO:0050896 response to stimulus,-2.5,2.4,3.3,20504,599,185,13,7,1.9,13024|14130|15937|15951|16016|17228|20304|20400|22259|27007|58992|243655|269060,Ctla2a|Fcgr2b|Ier3|Ifi204|Ighg2b|Cma1|Ccl5|Sh2d1a|Nr1h3|Klrk1|F12|Klre1|Dagla,0,Geneid
GO Biological Processes,19,GO:0048469,cell maturation,19_GO:0032502 developmental process,-2.5,3.6,3.7,20504,215,185,7,3.8,1.4,11735|13819|15205|20112|80906|106757|234396,Ank3|Epas1|Hes1|Rps6ka2|Kcnip2|Catsperd|Ankle1,0,Geneid
GO Biological Processes,19,GO:0032102,negative regulation of response to external stimulus,19_GO:0048519 negative regulation of biological process,-2.5,2.8,3.4,20504,399,185,10,5.4,1.7,11629|13024|14130|15937|15951|20187|22259|55985|58992|243655,Aif1|Ctla2a|Fcgr2b|Ier3|Ifi204|Ryk|Nr1h3|Cxcl13|F12|Klre1,0,Geneid
GO Biological Processes,19,GO:0071677,positive regulation of mononuclear cell migration,19_GO:0040011 locomotion,-2.5,6.4,4.3,20504,69,185,4,2.2,1.1,11629|20304|27226|55985,Aif1|Ccl5|Pla2g7|Cxcl13,0,Geneid
KEGG Pathway,24,ko05020,Prion diseases,,-2.5,9.8,4.9,20504,34,185,3,1.6,0.93,12260|12262|20304,C1qb|C1qc|Ccl5,0,Geneid
GO Biological Processes,19,GO:0045954,positive regulation of natural killer cell mediated cytotoxicity,19_GO:0044419 biological process involved in interspecies interaction between organisms,-2.5,9.8,4.9,20504,34,185,3,1.6,0.93,20400|27007|243655,Sh2d1a|Klrk1|Klre1,0,Geneid
GO Biological Processes,19,GO:2000406,positive regulation of T cell migration,19_GO:0040011 locomotion,-2.5,9.8,4.9,20504,34,185,3,1.6,0.93,11629|20304|55985,Aif1|Ccl5|Cxcl13,0,Geneid
GO Biological Processes,19,GO:0016339,calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules,19_GO:0022610 biological adhesion,-2.4,9.5,4.8,20504,35,185,3,1.6,0.93,12557|93724|239096,Cdh17|Pcdhga12|Cdh24,0,Geneid
GO Biological Processes,19,GO:1990869,cellular response to chemokine,19_GO:0050896 response to stimulus,-2.4,6.2,4.2,20504,71,185,4,2.2,1.1,20304|20305|20308|55985,Ccl5|Ccl6|Ccl9|Cxcl13,0,Geneid
GO Biological Processes,19,GO:1990868,response to chemokine,19_GO:0050896 response to stimulus,-2.4,6.2,4.2,20504,71,185,4,2.2,1.1,20304|20305|20308|55985,Ccl5|Ccl6|Ccl9|Cxcl13,0,Geneid
GO Biological Processes,19,GO:0050727,regulation of inflammatory response,19_GO:0050896 response to stimulus,-2.4,2.9,3.4,20504,342,185,9,4.9,1.6,13024|14130|15937|16016|17228|20304|22259|58992|269060,Ctla2a|Fcgr2b|Ier3|Ighg2b|Cma1|Ccl5|Nr1h3|F12|Dagla,0,Geneid
GO Biological Processes,19,GO:0002717,positive regulation of natural killer cell mediated immunity,19_GO:0044419 biological process involved in interspecies interaction between organisms,-2.4,9.2,4.7,20504,36,185,3,1.6,0.93,20400|27007|243655,Sh2d1a|Klrk1|Klre1,0,Geneid
GO Biological Processes,19,GO:0002449,lymphocyte mediated immunity,19_GO:0002376 immune system process,-2.4,2.5,3.3,20504,479,185,11,5.9,1.7,12260|12262|12557|12628|14130|14728|16016|20400|27007|243655|628398,C1qb|C1qc|Cdh17|Cfh|Fcgr2b|Lilrb4a|Ighg2b|Sh2d1a|Klrk1|Klre1|Ighv6-4,0,Geneid
GO Biological Processes,19,GO:0006935,chemotaxis,19_GO:0040011 locomotion,-2.4,2.3,3.2,20504,623,185,13,7,1.9,11629|11735|12771|20187|20304|20305|20308|27226|55985|70839|108699|109700|243743,Aif1|Ank3|Ccr3|Ryk|Ccl5|Ccl6|Ccl9|Pla2g7|Cxcl13|P2ry12|Chn1|Itga1|Plxna4,0,Geneid
GO Biological Processes,19,GO:0002250,adaptive immune response,19_GO:0002376 immune system process,-2.4,2.3,3.2,20504,623,185,13,7,1.9,12260|12262|12557|12628|14130|14728|16016|20400|27007|75345|110612|385253|628398,C1qb|C1qc|Cdh17|Cfh|Fcgr2b|Lilrb4a|Ighg2b|Sh2d1a|Klrk1|Slamf7|Iglv2|Igkv4-55|Ighv6-4,0,Geneid
GO Biological Processes,19,GO:0002437,inflammatory response to antigenic stimulus,19_GO:0002376 immune system process,-2.3,6,4.1,20504,74,185,4,2.2,1.1,14130|14728|16016|78801,Fcgr2b|Lilrb4a|Ighg2b|Ak7,0,Geneid
GO Biological Processes,19,GO:0006959,humoral immune response,19_GO:0002376 immune system process,-2.3,2.7,3.3,20504,416,185,10,5.4,1.7,12260|12262|12628|12945|14130|16016|20400|55985|78416|628398,C1qb|C1qc|Cfh|Dmbt1|Fcgr2b|Ighg2b|Sh2d1a|Cxcl13|Rnase6|Ighv6-4,0,Geneid
GO Biological Processes,19,GO:0042330,taxis,19_GO:0040011 locomotion,-2.3,2.3,3.1,20504,628,185,13,7,1.9,11629|11735|12771|20187|20304|20305|20308|27226|55985|70839|108699|109700|243743,Aif1|Ank3|Ccr3|Ryk|Ccl5|Ccl6|Ccl9|Pla2g7|Cxcl13|P2ry12|Chn1|Itga1|Plxna4,0,Geneid
GO Biological Processes,19,GO:0050920,regulation of chemotaxis,19_GO:0040011 locomotion,-2.3,3.4,3.5,20504,230,185,7,3.8,1.4,11629|20187|20304|27226|55985|70839|243743,Aif1|Ryk|Ccl5|Pla2g7|Cxcl13|P2ry12|Plxna4,0,Geneid
GO Biological Processes,19,GO:2000403,positive regulation of lymphocyte migration,19_GO:0040011 locomotion,-2.3,8.5,4.5,20504,39,185,3,1.6,0.93,11629|20304|55985,Aif1|Ccl5|Cxcl13,0,Geneid
KEGG Pathway,24,mmu05020,Prion diseases,,-2.3,8.5,4.5,20504,39,185,3,1.6,0.93,12260|12262|20304,C1qb|C1qc|Ccl5,0,Geneid
GO Biological Processes,19,GO:0032103,positive regulation of response to external stimulus,19_GO:0048518 positive regulation of biological process,-2.3,2.6,3.2,20504,427,185,10,5.4,1.7,11629|15951|16016|20304|20400|27007|27226|55985|70839|243655,Aif1|Ifi204|Ighg2b|Ccl5|Sh2d1a|Klrk1|Pla2g7|Cxcl13|P2ry12|Klre1,0,Geneid
GO Biological Processes,19,GO:0034109,homotypic cell-cell adhesion,19_GO:0022610 biological adhesion,-2.2,5.6,3.9,20504,79,185,4,2.2,1.1,11735|12628|20304|70839,Ank3|Cfh|Ccl5|P2ry12,0,Geneid
Reactome Gene Sets,6,R-MMU-166658,Complement cascade,,-2.2,8.1,4.3,20504,41,185,3,1.6,0.93,12260|12262|12628,C1qb|C1qc|Cfh,0,Geneid
GO Biological Processes,19,GO:0071674,mononuclear cell migration,19_GO:0040011 locomotion,-2.2,3.7,3.4,20504,181,185,6,3.2,1.3,11629|20304|20305|20308|27226|55985,Aif1|Ccl5|Ccl6|Ccl9|Pla2g7|Cxcl13,0,Geneid
GO Biological Processes,19,GO:1990266,neutrophil migration,19_GO:0040011 locomotion,-2.2,4.3,3.6,20504,128,185,5,2.7,1.2,20304|20305|20308|55985|109700,Ccl5|Ccl6|Ccl9|Cxcl13|Itga1,0,Geneid
GO Biological Processes,19,GO:0002694,regulation of leukocyte activation,19_GO:0002376 immune system process,-2.2,2.1,3,20504,725,185,14,7.6,1.9,11629|13024|14130|14728|15205|16016|20304|20739|22259|27007|75345|234396|246746|628398,Aif1|Ctla2a|Fcgr2b|Lilrb4a|Hes1|Ighg2b|Ccl5|Spta1|Nr1h3|Klrk1|Slamf7|Ankle1|Cd300lf|Ighv6-4,0,Geneid
Reactome Gene Sets,6,R-MMU-375276,Peptide ligand-binding receptors,,-2.2,3.6,3.4,20504,184,185,6,3.2,1.3,12771|15199|20304|20305|20308|55985,Ccr3|Hebp1|Ccl5|Ccl6|Ccl9|Cxcl13,0,Geneid
GO Biological Processes,19,GO:0002253,activation of immune response,19_GO:0002376 immune system process,-2.2,2.5,3.1,20504,439,185,10,5.4,1.7,12260|12262|12628|14728|15951|16016|20400|27007|243655|628398,C1qb|C1qc|Cfh|Lilrb4a|Ifi204|Ighg2b|Sh2d1a|Klrk1|Klre1|Ighv6-4,0,Geneid
GO Biological Processes,19,GO:0050900,leukocyte migration,19_GO:0040011 locomotion,-2.2,2.7,3.1,20504,373,185,9,4.9,1.6,11629|12771|20304|20305|20308|27226|55985|70839|109700,Aif1|Ccr3|Ccl5|Ccl6|Ccl9|Pla2g7|Cxcl13|P2ry12|Itga1,0,Geneid
GO Biological Processes,19,GO:0050766,positive regulation of phagocytosis,19_GO:0051179 localization,-2.2,5.3,3.7,20504,84,185,4,2.2,1.1,14130|16016|110351|246746,Fcgr2b|Ighg2b|Rap1gap|Cd300lf,0,Geneid
GO Biological Processes,19,GO:0007368,determination of left/right symmetry,19_GO:0032502 developmental process,-2.1,4.1,3.5,20504,134,185,5,2.7,1.2,71233|71870|83675|110082|231214,Enkur|Cfap45|Bicc1|Dnah5|Cc2d2a,0,Geneid
