_MEMBER_Geneid,_LogP_Geneid,GO,Description,_PATTERN_,_RANK_,GiniIndex
1,-2.1,GO:0006909,phagocytosis,M1,1,0
1,-2.2,R-MMU-375276,Peptide ligand-binding receptors,M1,1,0
1,-2.7,GO:0032528,microvillus organization,M1,1,0
1,-3,GO:0033630,positive regulation of cell adhesion mediated by integrin,M1,1,0
1,-3.7,GO:0033625,positive regulation of integrin activation,M1,1,0
1,-3.2,GO:0033623,regulation of integrin activation,M1,1,0
1,-2.5,GO:2000406,positive regulation of T cell migration,M1,1,0
1,-3.1,GO:0006858,extracellular transport,M1,1,0
1,-2.6,GO:0003341,cilium movement,M1,1,0
1,-2.6,GO:0030593,neutrophil chemotaxis,M1,1,0
1,-2.2,R-MMU-166658,Complement cascade,M1,1,0
1,-3.4,GO:0006954,inflammatory response,M1,1,0
1,-2.5,GO:0048469,cell maturation,M1,1,0
1,-2.2,GO:1990266,neutrophil migration,M1,1,0
1,-2.1,GO:0007368,determination of left/right symmetry,M1,1,0
1,-2.2,GO:0071674,mononuclear cell migration,M1,1,0
1,-2.5,GO:0071677,positive regulation of mononuclear cell migration,M1,1,0
1,-3.5,GO:0070613,regulation of protein processing,M1,1,0
1,-2.5,GO:0097530,granulocyte migration,M1,1,0
1,-2.7,GO:0001780,neutrophil homeostasis,M1,1,0
1,-2,GO:0009799,specification of symmetry,M1,1,0
1,-3.1,GO:0030033,microvillus assembly,M1,1,0
1,-2.1,GO:0060326,cell chemotaxis,M1,1,0
1,-3.3,GO:0120031,plasma membrane bounded cell projection assembly,M1,1,0
1,-2.3,GO:2000403,positive regulation of lymphocyte migration,M1,1,0
1,-2.5,ko05020,Prion diseases,M1,1,0
1,-2,GO:0009855,determination of bilateral symmetry,M1,1,0
1,-3,GO:0035082,axoneme assembly,M1,1,0
1,-2.7,GO:0033622,integrin activation,M1,1,0
1,-2.2,GO:0050766,positive regulation of phagocytosis,M1,1,0
1,-2.5,GO:0032102,negative regulation of response to external stimulus,M1,1,0
1,-2.1,GO:2000404,regulation of T cell migration,M1,1,0
1,-2,GO:0033628,regulation of cell adhesion mediated by integrin,M1,1,0
1,-2.6,GO:0016485,protein processing,M1,1,0
1,-2.4,GO:0002449,lymphocyte mediated immunity,M1,1,0
1,-2.9,GO:0002673,regulation of acute inflammatory response,M1,1,0
1,-2.3,GO:0032103,positive regulation of response to external stimulus,M1,1,0
1,-2,GO:0051604,protein maturation,M1,1,0
1,-2.9,ko05150,Staphylococcus aureus infection,M1,1,0
1,-3.4,GO:1903317,regulation of protein maturation,M1,1,0
1,-2.7,GO:1903319,positive regulation of protein maturation,M1,1,0
1,-3.5,GO:0032530,regulation of microvillus organization,M1,1,0
1,-2,GO:0002262,myeloid cell homeostasis,M1,1,0
1,-2.4,GO:1990869,cellular response to chemokine,M1,1,0
1,-2.7,GO:0010954,positive regulation of protein processing,M1,1,0
1,-2.3,GO:0002437,inflammatory response to antigenic stimulus,M1,1,0
1,-3.7,GO:0002548,monocyte chemotaxis,M1,1,0
1,-3,GO:0090026,positive regulation of monocyte chemotaxis,M1,1,0
1,-2.5,GO:0031347,regulation of defense response,M1,1,0
1,-2.5,GO:0072676,lymphocyte migration,M1,1,0
1,-2.4,GO:0002250,adaptive immune response,M1,1,0
1,-2.6,GO:0070098,chemokine-mediated signaling pathway,M1,1,0
1,-3.2,GO:0003351,epithelial cilium movement involved in extracellular fluid movement,M1,1,0
1,-2.5,R-MMU-977606,Regulation of Complement cascade,M1,1,0
1,-3.7,GO:0097529,myeloid leukocyte migration,M1,1,0
1,-2.2,GO:0050900,leukocyte migration,M1,1,0
1,-3,GO:0071621,granulocyte chemotaxis,M1,1,0
1,-2.1,ko04610,Complement and coagulation cascades,M1,1,0
1,-3.9,R-MMU-444473,Formyl peptide receptors bind formyl peptides and many other ligands,M1,1,0
1,-2.3,mmu05020,Prion diseases,M1,1,0
1,-2.4,GO:0002717,positive regulation of natural killer cell mediated immunity,M1,1,0
1,-4.4,GO:0032534,regulation of microvillus assembly,M1,1,0
1,-2.6,GO:0090025,regulation of monocyte chemotaxis,M1,1,0
1,-2.2,GO:0034109,homotypic cell-cell adhesion,M1,1,0
1,-2,GO:0043087,regulation of GTPase activity,M1,1,0
1,-2.3,GO:0050920,regulation of chemotaxis,M1,1,0
1,-2.4,GO:1990868,response to chemokine,M1,1,0
1,-2.5,R-MMU-418594,G alpha (i) signalling events,M1,1,0
1,-2.9,GO:0045785,positive regulation of cell adhesion,M1,1,0
1,-2.9,GO:0022409,positive regulation of cell-cell adhesion,M1,1,0
1,-3.1,GO:0001578,microtubule bundle formation,M1,1,0
1,-3,GO:0030595,leukocyte chemotaxis,M1,1,0
1,-2.8,mmu05150,Staphylococcus aureus infection,M1,1,0
1,-3.2,GO:0030031,cell projection assembly,M1,1,0
1,-2.2,GO:0002694,regulation of leukocyte activation,M1,1,0
1,-2.3,GO:0042330,taxis,M1,1,0
1,-2.4,GO:0016339,calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules,M1,1,0
1,-2.8,GO:0048247,lymphocyte chemotaxis,M1,1,0
1,-2.5,GO:0030162,regulation of proteolysis,M1,1,0
1,-2.2,GO:0002253,activation of immune response,M1,1,0
1,-2.4,GO:0050727,regulation of inflammatory response,M1,1,0
1,-2.3,GO:0006959,humoral immune response,M1,1,0
1,-2.4,GO:0006935,chemotaxis,M1,1,0
1,-2.5,GO:0045954,positive regulation of natural killer cell mediated cytotoxicity,M1,1,0
