_MEMBER_Geneid,_LogP_Geneid,GO,Description,_PATTERN_,_RANK_,CHILD_GO_Geneid
1,-4.407318140199492,GO:0050789,regulation of biological process,M1,1,GO:0032534 regulation of microvillus assembly
1,-3.7187027414421205,GO:0040011,locomotion,M1,1,GO:0002548 monocyte chemotaxis
1,-3.7136048046715353,GO:0048518,positive regulation of biological process,M1,1,GO:0033625 positive regulation of integrin activation
1,-3.4586087843716693,GO:0008152,metabolic process,M1,1,GO:0070613 regulation of protein processing
1,-3.4021723919002547,GO:0050896,response to stimulus,M1,1,GO:0006954 inflammatory response
1,-3.3276206798014445,GO:0009987,cellular process,M1,1,GO:0120031 plasma membrane bounded cell projection assembly
1,-3.2208257359446946,GO:0051179,localization,M1,1,GO:0003351 epithelial cilium movement involved in extracellular fluid movement
1,-2.950590817610826,GO:0022610,biological adhesion,M1,1,GO:0033630 positive regulation of cell adhesion mediated by integrin
1,-2.7441846389679174,GO:0002376,immune system process,M1,1,GO:0001780 neutrophil homeostasis
1,-2.6493310730411337,GO:0023052,signaling,M1,1,GO:0070098 chemokine-mediated signaling pathway
1,-2.4627762913365845,GO:0032502,developmental process,M1,1,GO:0048469 cell maturation
1,-2.460736370197453,GO:0048519,negative regulation of biological process,M1,1,GO:0032102 negative regulation of response to external stimulus
1,-2.453398170684385,GO:0044419,biological process involved in interspecies interaction between organisms,M1,1,GO:0045954 positive regulation of natural killer cell mediated cytotoxicity
1,-2.013232946367944,GO:0065007,biological regulation,M1,1,GO:0043087 regulation of GTPase activity
