Gene,_SCORE_GRP9_,_SCORE_GRP12_,_SCORE_GRP5_,_SCORE_GRP6_,_SCORE_GRP7_,_SCORE_GRP4_,_SCORE_GRP10_,_SCORE_GRP8_,_SCORE_GRP11_,_SCORE_GRP2_,_SCORE_GRP3_,_SCORE_GRP14_,_SCORE_GRP13_,_SCORE_GRP1_,GRP1|19_GO:0032530|-3.518|regulation of microvillus organization,GRP1|19_GO:0032534|-4.407|regulation of microvillus assembly,GRP1|19_GO:0030033|-3.069|microvillus assembly,GRP1|19_GO:0032528|-2.744|microvillus organization,GRP2|19_GO:0032103|-2.256|positive regulation of response to external stimulus,GRP2|19_GO:0042330|-2.328|taxis,GRP2|19_GO:0006935|-2.356|chemotaxis,GRP2|19_GO:0043087|-2.013|regulation of GTPase activity,GRP2|19_GO:0050900|-2.159|leukocyte migration,GRP2|19_GO:0097529|-3.658|myeloid leukocyte migration,GRP2|19_GO:0060326|-2.114|cell chemotaxis,GRP2|19_GO:0030595|-2.963|leukocyte chemotaxis,GRP2|19_GO:0071674|-2.215|mononuclear cell migration,GRP2|19_GO:0002548|-3.719|monocyte chemotaxis,GRP2|19_GO:0097530|-2.515|granulocyte migration,GRP2|19_GO:0071621|-2.982|granulocyte chemotaxis,GRP2|19_GO:1990266|-2.212|neutrophil migration,GRP2|19_GO:0030593|-2.633|neutrophil chemotaxis,GRP2|19_GO:0072676|-2.543|lymphocyte migration,GRP2|19_GO:0070098|-2.649|chemokine-mediated signaling pathway,GRP2|19_GO:0048247|-2.816|lymphocyte chemotaxis,GRP2|19_GO:1990868|-2.410|response to chemokine,GRP2|19_GO:1990869|-2.410|cellular response to chemokine,GRP2|6_R-MMU-418594|-2.502|G alpha (i) signalling events,GRP2|6_R-MMU-375276|-2.182|Peptide ligand-binding receptors,GRP2|6_R-MMU-444473|-3.947|Formyl peptide receptors bind formyl peptides and many other ligands,GRP2|19_GO:0050920|-2.304|regulation of chemotaxis,GRP2|19_GO:0071677|-2.454|positive regulation of mononuclear cell migration,GRP2|19_GO:0090025|-2.610|regulation of monocyte chemotaxis,GRP2|19_GO:0090026|-3.008|positive regulation of monocyte chemotaxis,GRP2|19_GO:2000403|-2.284|positive regulation of lymphocyte migration,GRP2|19_GO:2000406|-2.453|positive regulation of T cell migration,GRP2|19_GO:2000404|-2.058|regulation of T cell migration,GRP3|19_GO:0034109|-2.244|homotypic cell-cell adhesion,GRP3|19_GO:0033628|-2.032|regulation of cell adhesion mediated by integrin,GRP3|19_GO:0033630|-2.951|positive regulation of cell adhesion mediated by integrin,GRP3|19_GO:0033623|-3.201|regulation of integrin activation,GRP3|19_GO:0033625|-3.714|positive regulation of integrin activation,GRP3|19_GO:0033622|-2.744|integrin activation,GRP4|19_GO:0030162|-2.509|regulation of proteolysis,GRP4|19_GO:0051604|-2.044|protein maturation,GRP4|19_GO:0016485|-2.624|protein processing,GRP4|19_GO:1903317|-3.370|regulation of protein maturation,GRP4|19_GO:0070613|-3.459|regulation of protein processing,GRP4|19_GO:1903319|-2.653|positive regulation of protein maturation,GRP4|19_GO:0010954|-2.744|positive regulation of protein processing,GRP5|19_GO:0006954|-3.402|inflammatory response,GRP5|19_GO:0031347|-2.499|regulation of defense response,GRP5|19_GO:0050727|-2.400|regulation of inflammatory response,GRP5|19_GO:0032102|-2.461|negative regulation of response to external stimulus,GRP6|19_GO:0030031|-3.212|cell projection assembly,GRP6|19_GO:0120031|-3.328|plasma membrane bounded cell projection assembly,GRP6|19_GO:0001578|-3.129|microtubule bundle formation,GRP6|19_GO:0035082|-2.961|axoneme assembly,GRP7|19_GO:0003341|-2.601|cilium movement,GRP7|19_GO:0006858|-3.109|extracellular transport,GRP7|19_GO:0003351|-3.221|epithelial cilium movement involved in extracellular fluid movement,GRP7|19_GO:0009855|-2.015|determination of bilateral symmetry,GRP7|19_GO:0007368|-2.130|determination of left/right symmetry,GRP7|19_GO:0009799|-2.002|specification of symmetry,GRP8|19_GO:0002250|-2.356|adaptive immune response,GRP8|19_GO:0002449|-2.369|lymphocyte mediated immunity,GRP8|19_GO:0002253|-2.174|activation of immune response,GRP8|19_GO:0006959|-2.334|humoral immune response,GRP8|24_ko04610|-2.098|Complement and coagulation cascades,GRP8|24_mmu05150|-2.816|Staphylococcus aureus infection,GRP8|24_ko05150|-2.907|Staphylococcus aureus infection,GRP8|6_R-MMU-166658|-2.223|Complement cascade,GRP8|6_R-MMU-977606|-2.529|Regulation of Complement cascade,GRP8|24_mmu05020|-2.284|Prion diseases,GRP8|24_ko05020|-2.453|Prion diseases,GRP9|19_GO:0045785|-2.906|positive regulation of cell adhesion,GRP9|19_GO:0022409|-2.901|positive regulation of cell-cell adhesion,GRP10|19_GO:0002694|-2.207|regulation of leukocyte activation,GRP10|19_GO:0006909|-2.088|phagocytosis,GRP10|19_GO:0002437|-2.345|inflammatory response to antigenic stimulus,GRP10|19_GO:0002673|-2.876|regulation of acute inflammatory response,GRP10|19_GO:0050766|-2.151|positive regulation of phagocytosis,GRP11|19_GO:0002262|-2.043|myeloid cell homeostasis,GRP11|19_GO:0001780|-2.744|neutrophil homeostasis,GRP12|19_GO:0048469|-2.463|cell maturation,GRP13|19_GO:0002717|-2.382|positive regulation of natural killer cell mediated immunity,GRP13|19_GO:0045954|-2.453|positive regulation of natural killer cell mediated cytotoxicity,GRP14|19_GO:0016339|-2.417|calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules,_SORT_,_SORT_GRP1_,_SORT_GRP2_,_SORT_GRP3_,_SORT_GRP4_,_SORT_GRP5_,_SORT_GRP6_,_SORT_GRP7_,_SORT_GRP8_,_SORT_GRP9_,_SORT_GRP10_,_SORT_GRP11_,_SORT_GRP12_,_SORT_GRP13_,_SORT_GRP14_
20112,0.0,1.0,0.0,0.0,0.0,0.7142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,13,0,0,0,5,0,0,0,0,0,0,0,2,0,0
15937,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37,0,0,0,0,2,0,0,0,0,0,0,0,0,0
234396,0.0,1.0,0.0,0.0,0.0,0.0,0.2,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,14,0,0,0,0,0,0,0,0,0,15,5,1,0,0
22259,0.0,0.0,1.0,0.0,0.0,0.14285714285714285,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36,0,0,0,10,1,0,0,0,0,12,0,0,0,0
58992,0.0,0.0,1.0,0.0,0.0,1.0,0.2,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,0.2,0.1,0.1,0.2,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34,0,0,0,2,3,0,0,19,0,8,0,0,0,0
243655,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.18181818181818182,0.0,0.034482758620689655,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,26,0,16,0,0,11,0,0,10,0,0,0,0,2,0
20187,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.10344827586206896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61,0,13,0,0,16,0,0,0,0,0,0,0,0,0
14163,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.034482758620689655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57,0,22,0,0,0,7,0,0,0,0,0,0,0,0
75345,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62,0,0,0,0,0,0,0,14,0,14,0,0,0,0
628398,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.36363636363636365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49,0,0,0,0,0,0,0,6,0,11,0,0,0,0
