Name,Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value)
Geneid,GO Biological Processes,19,GO:0120031,plasma membrane bounded cell projection assembly,19_GO:0009987 cellular process,-5.5,5.2,6.5,20504,548,86,12,14,3.7,11629|14163|18805|20304|23963|54670|70839|71769|78801|110082|110351|211535,Aif1|Fgd1|Pld1|Ccl5|Tenm1|Atp8b1|P2ry12|Bbs10|Ak7|Dnah5|Rap1gap|Odad1,-3.1
Geneid,GO Biological Processes,19,GO:0032534,regulation of microvillus assembly,19_GO:0050789 regulation of biological process,-5.4,89,16,20504,8,86,3,3.5,2,18805|54670|110351,Pld1|Atp8b1|Rap1gap,-3
Geneid,GO Biological Processes,19,GO:0030031,cell projection assembly,19_GO:0009987 cellular process,-5.4,5.1,6.4,20504,563,86,12,14,3.7,11629|14163|18805|20304|23963|54670|70839|71769|78801|110082|110351|211535,Aif1|Fgd1|Pld1|Ccl5|Tenm1|Atp8b1|P2ry12|Bbs10|Ak7|Dnah5|Rap1gap|Odad1,-3
Geneid,GO Biological Processes,19,GO:0097529,myeloid leukocyte migration,19_GO:0040011 locomotion,-5.3,8.4,7.3,20504,226,86,8,9.3,3.1,11629|12771|20304|20305|20308|55985|70839|109700,Aif1|Ccr3|Ccl5|Ccl6|Ccl9|Cxcl13|P2ry12|Itga1,-2.9
Geneid,GO Biological Processes,19,GO:0071621,granulocyte chemotaxis,19_GO:0040011 locomotion,-4.8,11,7.5,20504,127,86,6,7,2.7,12771|20304|20305|20308|55985|109700,Ccr3|Ccl5|Ccl6|Ccl9|Cxcl13|Itga1,-2.5
Geneid,GO Biological Processes,19,GO:0033625,positive regulation of integrin activation,19_GO:0048518 positive regulation of biological process,-4.7,55,13,20504,13,86,3,3.5,2,12557|55985|70839,Cdh17|Cxcl13|P2ry12,-2.4
Geneid,GO Biological Processes,19,GO:0032530,regulation of microvillus organization,19_GO:0050789 regulation of biological process,-4.5,48,12,20504,15,86,3,3.5,2,18805|54670|110351,Pld1|Atp8b1|Rap1gap,-2.3
Geneid,GO Biological Processes,19,GO:0030595,leukocyte chemotaxis,19_GO:0040011 locomotion,-4.3,7.4,6.2,20504,227,86,7,8.1,2.9,11629|12771|20304|20305|20308|55985|109700,Aif1|Ccr3|Ccl5|Ccl6|Ccl9|Cxcl13|Itga1,-2.1
Geneid,GO Biological Processes,19,GO:0097530,granulocyte migration,19_GO:0040011 locomotion,-4.3,9.1,6.6,20504,157,86,6,7,2.7,12771|20304|20305|20308|55985|109700,Ccr3|Ccl5|Ccl6|Ccl9|Cxcl13|Itga1,-2.1
Geneid,GO Biological Processes,19,GO:0006935,chemotaxis,19_GO:0040011 locomotion,-4.2,4.2,5.3,20504,623,86,11,13,3.6,11629|11735|12771|20187|20304|20305|20308|55985|70839|109700|243743,Aif1|Ank3|Ccr3|Ryk|Ccl5|Ccl6|Ccl9|Cxcl13|P2ry12|Itga1|Plxna4,-2
