Cluster,Score,Type,Gene,Symbol,Network
2,2.5,Seed,20304,Ccl5,Geneid_SUB1
2,2.5,Clustered,55985,Cxcl13,Geneid_SUB1
2,2.5,Clustered,20305,Ccl6,Geneid_SUB1
2,2.5,Clustered,12771,Ccr3,Geneid_SUB1
2,2.5,Clustered,20308,Ccl9,Geneid_SUB1
2,2.5,Clustered,70839,P2ry12,Geneid_SUB1
1,1.625,Clustered,380928,Lmo7,Geneid_SUB1
1,1.625,Clustered,404710,Iqgap3,Geneid_SUB1
1,1.625,Clustered,242894,Actr3b,Geneid_SUB1
1,1.625,Clustered,78767,Efcab11,Geneid_SUB1
1,1.625,Clustered,11629,Aif1,Geneid_SUB1
1,1.625,Clustered,320878,Mical2,Geneid_SUB1
1,1.625,Clustered,102866,Pls3,Geneid_SUB1
1,1.625,Clustered,20739,Spta1,Geneid_SUB1
3,1.0,Clustered,23963,Tenm1,Geneid_SUB3
3,1.0,Seed,109700,Itga1,Geneid_SUB3
3,1.0,Clustered,381924,Itgad,Geneid_SUB3
