Gene,TotalEvidenceCounts,EvidenceHit:Geneid,EvidenceGO:Geneid,EvidencePPI:Geneid
20304,3.0,1,1,1
54670,3.0,1,1,1
18805,3.0,1,1,1
239096,3.0,1,1,1
20400,3.0,1,1,1
58992,3.0,1,1,1
20305,3.0,1,1,1
110351,3.0,1,1,1
71870,3.0,1,1,1
12557,3.0,1,1,1
70839,3.0,1,1,1
12262,3.0,1,1,1
55985,3.0,1,1,1
243655,3.0,1,1,1
78801,3.0,1,1,1
11629,3.0,1,1,1
27007,3.0,1,1,1
110082,3.0,1,1,1
11735,3.0,1,1,1
14130,3.0,1,1,1
12260,3.0,1,1,1
211535,3.0,1,1,1
20112,3.0,1,1,1
20308,3.0,1,1,1
330662,2.0,1,0,1
231214,2.0,1,1,0
14945,2.0,1,0,1
102866,2.0,1,0,1
16016,2.0,1,1,0
70784,2.0,1,0,1
13819,2.0,1,0,1
234353,2.0,1,0,1
77318,2.0,1,0,1
12628,2.0,1,1,0
100048658,2.0,1,0,1
76650,2.0,1,0,1
23963,2.0,1,0,1
271639,2.0,1,1,0
93724,2.0,1,1,0
268465,2.0,1,0,1
75345,2.0,1,0,1
21781,2.0,1,0,1
234396,2.0,1,0,1
72685,2.0,1,0,1
72293,2.0,1,1,0
16619,2.0,1,0,1
50928,2.0,1,0,1
231470,2.0,1,0,1
246190,2.0,1,0,1
71729,2.0,1,0,1
14230,2.0,1,0,1
83675,2.0,1,0,1
54672,2.0,1,0,1
13074,2.0,1,0,1
80751,2.0,1,0,1
66729,2.0,1,0,1
15199,2.0,1,1,0
320878,2.0,1,0,1
80906,2.0,1,0,1
22092,2.0,1,1,0
11647,2.0,1,0,1
20195,2.0,1,0,1
27047,2.0,1,0,1
69590,2.0,1,0,1
66442,2.0,1,0,1
73804,2.0,1,0,1
20739,2.0,1,0,1
109700,2.0,1,0,1
69706,2.0,1,0,1
238896,2.0,1,0,1
436090,2.0,1,0,1
13024,2.0,1,1,0
27226,2.0,1,1,0
13113,2.0,1,0,1
14728,2.0,1,1,0
11864,2.0,1,0,1
71769,2.0,1,0,1
243743,2.0,1,0,1
270160,2.0,1,0,1
17228,2.0,1,0,1
381924,2.0,1,0,1
628398,2.0,1,0,1
14938,2.0,1,0,1
52670,2.0,1,0,1
78767,2.0,1,0,1
404710,2.0,1,0,1
110095,2.0,1,0,1
12771,2.0,1,0,1
320609,2.0,1,0,1
14871,2.0,1,0,1
246746,2.0,1,1,0
380928,2.0,1,0,1
20187,2.0,1,0,1
74435,2.0,1,0,1
22259,2.0,1,0,1
319229,2.0,1,0,1
71233,2.0,1,0,1
14163,2.0,1,0,1
215095,2.0,1,1,0
242894,2.0,1,0,1
19362,2.0,1,0,1
108075,2.0,1,0,1
67306,1.0,1,0,0
219132,1.0,1,0,0
329735,1.0,1,0,0
207819,1.0,1,0,0
100039899,1.0,1,0,0
68054,1.0,1,0,0
243833,1.0,1,0,0
230775,1.0,1,0,0
240063,1.0,1,0,0
74760,1.0,1,0,0
118027461,1.0,1,0,0
278507,1.0,1,0,0
442803,1.0,1,0,0
78733,1.0,1,0,0
71690,1.0,1,0,0
56504,1.0,1,0,0
11565,1.0,1,0,0
434437,1.0,1,0,0
100502982,1.0,1,0,0
18356,1.0,1,0,0
110612,1.0,1,0,0
21331,1.0,1,0,0
52466,1.0,1,0,0
76954,1.0,1,0,0
105193,1.0,1,0,0
54120,1.0,1,0,0
100043407,1.0,1,0,0
78250,1.0,1,0,0
232431,1.0,1,0,0
170765,1.0,1,0,0
170752,1.0,1,0,0
71884,1.0,1,0,0
78016,1.0,1,0,0
66259,1.0,1,0,0
108956,1.0,1,0,0
60345,1.0,1,0,0
105245440,1.0,1,0,0
245350,1.0,1,0,0
102641509,1.0,1,0,0
319673,1.0,1,0,0
16530,1.0,1,0,0
70973,1.0,1,0,0
54403,1.0,1,0,0
100271882,1.0,1,0,0
433294,1.0,1,0,0
71804,1.0,1,0,0
54141,1.0,1,0,0
56742,1.0,1,0,0
27059,1.0,1,0,0
75323,1.0,1,0,0
320949,1.0,1,0,0
66611,1.0,1,0,0
