,gene,Geneid,genename,dfin_change,dfin_log2FC,dfin_padj,dfin_Change Metric
1,1,ENSMUSG00000032841,Prr5l,Up,24.2480270623571,6.48747800565579e-59,1410.94235831602
2,2,ENSMUSG00000026700,Tnfsf4,Up,25.7432984459782,1.11291808610297e-54,1388.94200005287
3,3,ENSMUSG00000108090,ENSMUSG00000108090,Up,22.2958741490012,6.99286238528395e-39,850.706770639557
4,4,ENSMUSG00000044033,Ccdc141,Up,23.9582407827004,4.67111313171645e-36,846.458533389809
5,5,ENSMUSG00000032377,Plscr4,Up,22.3199738264107,7.930168146712e-38,828.087045863563
6,6,ENSMUSG00000022015,Tnfsf11,Up,23.5289157272672,5.51530572917424e-35,806.063722027008
7,7,ENSMUSG00000034035,Ccdc17,Up,23.4315337789091,5.51530572917424e-35,802.727569326151
8,8,ENSMUSG00000022425,Enpp2,Up,23.5039238858177,1.98916097026089e-32,745.105649061813
9,9,ENSMUSG00000045573,Penk,Up,25.2214965321446,7.04430416228857e-30,735.261150268593
10,10,ENSMUSG00000033910,Gucy1a1,Up,23.3553166640525,1.33122011681749e-31,721.112921482753
11,11,ENSMUSG00000113669,ENSMUSG00000113669,Up,21.9199820697205,4.31708740053584e-30,643.676090242803
12,12,ENSMUSG00000110647,ENSMUSG00000110647,Up,21.9870709301667,9.00040420828761e-30,638.630701316143
13,13,ENSMUSG00000061825,Ces2c,Up,22.9841276975279,2.09065116612348e-28,636.194182911478
14,14,ENSMUSG00000043153,Crppa,Up,24.2909385631501,3.97419911404507e-25,592.717128321872
15,15,ENSMUSG00000079037,Prnp,Up,22.5336272527301,5.92605563621233e-27,590.994721034238
16,16,ENSMUSG00000020953,Coch,Up,23.5824350432948,2.13098065587903e-25,581.81217119268
17,17,ENSMUSG00000038555,Reep2,Up,21.8503174826404,2.37596677195398e-27,581.746340783161
18,18,ENSMUSG00000102051,Ly6a2,Up,23.2400709341331,6.48295346051266e-25,562.136113483738
19,19,ENSMUSG00000109713,Pvrig,Up,21.1966556151434,6.21188314462777e-25,513.102709742354
20,20,ENSMUSG00000075122,Cd80,Up,21.3896101920799,1.2861959119522e-24,511.012607817379
21,21,ENSMUSG00000022793,B4galt4,Up,22.1305708000094,1.12415362359537e-23,507.878327428644
22,22,ENSMUSG00000055407,Map6,Up,21.3825622459227,2.19706889351197e-24,505.87200023644
23,23,ENSMUSG00000010047,Hyal2,Up,21.9762090501898,8.85739453861646e-23,484.634613682118
