Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
GO Biological Processes,19,GO:0030155,regulation of cell adhesion,19_GO:0022610 biological adhesion,-19,3.1,11,20504,772,678,80,12,1.2,11492|11534|11629|11735|12053|12367|12477|12487|12505|12519|12527|12571|12766|12772|12774|13508|13837|14204|14758|15978|16153|16173|16401|16408|16410|16412|16414|16452|16728|16768|16852|16854|16878|16963|17916|17931|18015|18186|18606|18750|18806|19046|19122|19219|19247|19271|20194|20304|20371|20737|20750|21943|21950|22164|22329|50918|50930|54167|54215|54371|54446|54698|54712|55985|57765|58205|58859|60505|65113|68169|70546|70839|72049|94214|107321|171285|218397|237256|240754|100043314,Adam19|Adk|Aif1|Ank3|Bcl6|Casp3|Ctla4|Cd28|Cd44|Cd80|Cd9|Cdk6|Cxcr3|Ccr2|Ccr5|Dscam|Epha3|Il4i1|Gpm6b|Ifng|Il10|Il18|Itga4|Itgal|Itgav|Itgb1|Itgb2|Jak2|L1cam|Lag3|Lgals1|Lgals3|Lif|Xcl1|Myo1f|Ppp1r12a|Nf1|Nrp1|Enpp2|Prkca|Pld2|Ppp1cb|Prnp|Ptger4|Ptpn11|Ptprj|S100a10|Ccl5|Foxp3|Spn|Spp1|Tnfsf11|Tnfsf9|Tnfsf4|Vcam1|Myadm|Tnfsf14|Icos|Cd160|Chst2|Nfat5|Crtam|Plxnc1|Cxcl13|Tbx21|Pdcd1lg2|Efemp2|Il21|Ndfip1|Ndnf|Zdhhc2|P2ry12|Tnfrsf13c|Spock2|Lpxn|Havcr2|Rasa1|Zc3h12d|Lax1|Tigit,-15,Geneid
GO Biological Processes,19,GO:0050865,regulation of cell activation,19_GO:0050789 regulation of biological process,-19,3.1,11,20504,770,678,79,12,1.2,11534|11622|11629|12053|12142|12367|12458|12477|12483|12487|12494|12505|12519|12527|12772|13011|13024|14204|15368|15902|15978|16016|16153|16173|16408|16414|16452|16641|16642|16768|16852|16854|16963|17470|18750|18806|19122|19271|20304|20371|20737|21898|21938|21943|21946|21950|22038|22163|22164|22174|22259|22320|22329|22780|27007|50930|54167|54215|54698|56193|57765|58205|60505|65113|67742|72049|75345|107823|110786|171285|229521|231130|237256|240754|246746|252838|380795|628398|100043314,Adk|Ahr|Aif1|Bcl6|Prdm1|Casp3|Ccr6|Ctla4|Cd22|Cd28|Cd38|Cd44|Cd80|Cd9|Ccr2|Cst7|Ctla2a|Il4i1|Hmox1|Id2|Ifng|Ighg2b|Il10|Il18|Itgal|Itgb2|Jak2|Klrc1|Klrc2|Lag3|Lgals1|Lgals3|Xcl1|Cd200|Prkca|Pld2|Prnp|Ptprj|Ccl5|Foxp3|Spn|Tlr4|Tnfrsf1b|Tnfsf11|Pglyrp1|Tnfsf9|Plscr1|Tnfrsf4|Tnfsf4|Tyro3|Nr1h3|Vamp8|Vcam1|Ikzf3|Klrk1|Tnfsf14|Icos|Cd160|Crtam|Plek|Tbx21|Pdcd1lg2|Il21|Ndfip1|Samsn1|Tnfrsf13c|Slamf7|Nsd2|Iglc2|Havcr2|Syt11|Tnip2|Zc3h12d|Lax1|Cd300lf|Tox|Ighg3|Ighv6-4|Tigit,-15,Geneid
GO Biological Processes,19,GO:0002683,negative regulation of immune system process,19_GO:0002376 immune system process,-18,3.9,12,20504,460,678,59,8.7,1.1,11622|12053|12142|12262|12367|12477|12483|12505|12514|12519|12571|12772|13011|13051|14204|15368|15902|15951|15978|16153|16768|16854|17470|18015|18566|19122|19219|19271|20371|20400|20737|21873|21946|22163|22164|22174|22259|54215|54698|57765|57781|58205|65113|66058|67742|100340|104418|107321|170741|171285|229521|237256|240754|243655|246746|270151|434341|100043314|102640920,Ahr|Bcl6|Prdm1|C1qc|Casp3|Ctla4|Cd22|Cd44|Cd68|Cd80|Cdk6|Ccr2|Cst7|Cx3cr1|Il4i1|Hmox1|Id2|Ifi204|Ifng|Il10|Lag3|Lgals3|Cd200|Nf1|Pdcd1|Prnp|Ptger4|Ptprj|Foxp3|Sh2d1a|Spn|Tjp2|Pglyrp1|Tnfrsf4|Tnfsf4|Tyro3|Nr1h3|Cd160|Crtam|Tbx21|Cd200r1|Pdcd1lg2|Ndfip1|Tmem176a|Samsn1|Smpdl3b|Dgkz|Lpxn|Pilrb1|Havcr2|Syt11|Zc3h12d|Lax1|Klre1|Cd300lf|Nlrx1|Nlrc5|Tigit|Pvrig,-15,Geneid
GO Biological Processes,19,GO:0001817,regulation of cytokine production,19_GO:0032501 multicellular organismal process,-18,3.1,11,20504,776,678,79,12,1.2,11629|11746|12053|12362|12363|12487|12772|12774|13051|13198|14056|15251|15368|15442|15587|15951|15978|16153|16173|16364|16410|16452|16768|16963|17085|17470|17951|18987|19073|19106|19122|19219|19247|19271|19696|20303|20304|20320|20361|20371|20660|20737|21898|21938|21941|21946|21950|22163|22164|22402|27007|30925|53314|54215|54698|56722|57765|57781|58205|58206|60505|65113|66889|67972|70790|71586|71956|72049|77446|108086|171285|229521|243655|268973|270151|320910|381308|383619|100043314,Aif1|Anxa4|Bcl6|Casp1|Casp4|Cd28|Ccr2|Ccr5|Cx3cr1|Ddit3|Ezh2|Hif1a|Hmox1|Hpse|Hyal2|Ifi204|Ifng|Il10|Il18|Irf4|Itgav|Jak2|Lag3|Xcl1|Ly9|Cd200|Naip5|Pou2f2|Srgn|Eif2ak2|Prnp|Ptger4|Ptpn11|Ptprj|Rel|Ccl4|Ccl5|Nptn|Sema7a|Foxp3|Sorl1|Spn|Tlr4|Tnfrsf1b|Tnfrsf8|Pglyrp1|Tnfsf9|Tnfrsf4|Tnfsf4|Ccn4|Klrk1|Slamf6|Batf|Cd160|Crtam|Litaf|Tbx21|Cd200r1|Pdcd1lg2|Zbtb32|Il21|Ndfip1|Rnf128|Atp2b1|Ubr5|Ifih1|Rnf135|Tnfrsf13c|Heg1|Rnf216|Havcr2|Syt11|Klre1|Nlrc4|Nlrx1|Itgb8|Ifi211|Aim2|Tigit,-15,Geneid
GO Biological Processes,19,GO:0031347,regulation of defense response,19_GO:0050896 response to stimulus,-18,3.4,11,20504,599,678,68,10,1.2,12053|12362|12363|12487|12505|12772|12774|12810|13011|13024|13051|15587|15937|15951|15978|16016|16153|16174|16452|16641|16642|16768|16963|16975|17059|17228|17470|17916|18619|18750|19219|20304|20317|20361|20371|20400|20737|21898|21938|21943|21946|22038|22164|22174|22259|22320|22402|27007|30925|53416|54215|54698|57781|60505|65113|71956|100340|108086|171285|210029|229521|243655|268973|269060|270151|381308|383619|434341,Bcl6|Casp1|Casp4|Cd28|Cd44|Ccr2|Ccr5|Coch|Cst7|Ctla2a|Cx3cr1|Hyal2|Ier3|Ifi204|Ifng|Ighg2b|Il10|Il18rap|Jak2|Klrc1|Klrc2|Lag3|Xcl1|Lrp8|Klrb1c|Cma1|Cd200|Myo1f|Penk|Prkca|Ptger4|Ccl5|Serpinf1|Sema7a|Foxp3|Sh2d1a|Spn|Tlr4|Tnfrsf1b|Tnfsf11|Pglyrp1|Plscr1|Tnfsf4|Tyro3|Nr1h3|Vamp8|Ccn4|Klrk1|Slamf6|Stk39|Cd160|Crtam|Cd200r1|Il21|Ndfip1|Rnf135|Smpdl3b|Rnf216|Havcr2|Metrnl|Syt11|Klre1|Nlrc4|Dagla|Nlrx1|Ifi211|Aim2|Nlrc5,-15,Geneid
GO Biological Processes,19,GO:0002694,regulation of leukocyte activation,19_GO:0002376 immune system process,-17,3.1,11,20504,725,678,74,11,1.2,11534|11622|11629|12053|12142|12367|12458|12477|12483|12487|12494|12505|12519|12772|13011|13024|14204|15368|15902|15978|16016|16153|16173|16408|16414|16641|16642|16768|16852|16854|16963|17470|18806|19122|20304|20371|20737|21898|21938|21943|21946|21950|22038|22163|22164|22174|22259|22320|22329|22780|27007|50930|54167|54215|54698|57765|58205|60505|65113|67742|72049|75345|107823|110786|171285|229521|231130|237256|240754|246746|252838|380795|628398|100043314,Adk|Ahr|Aif1|Bcl6|Prdm1|Casp3|Ccr6|Ctla4|Cd22|Cd28|Cd38|Cd44|Cd80|Ccr2|Cst7|Ctla2a|Il4i1|Hmox1|Id2|Ifng|Ighg2b|Il10|Il18|Itgal|Itgb2|Klrc1|Klrc2|Lag3|Lgals1|Lgals3|Xcl1|Cd200|Pld2|Prnp|Ccl5|Foxp3|Spn|Tlr4|Tnfrsf1b|Tnfsf11|Pglyrp1|Tnfsf9|Plscr1|Tnfrsf4|Tnfsf4|Tyro3|Nr1h3|Vamp8|Vcam1|Ikzf3|Klrk1|Tnfsf14|Icos|Cd160|Crtam|Tbx21|Pdcd1lg2|Il21|Ndfip1|Samsn1|Tnfrsf13c|Slamf7|Nsd2|Iglc2|Havcr2|Syt11|Tnip2|Zc3h12d|Lax1|Cd300lf|Tox|Ighg3|Ighv6-4|Tigit,-14,Geneid
GO Biological Processes,19,GO:0042110,T cell activation,19_GO:0002376 immune system process,-17,3.5,11,20504,550,678,63,9.3,1.1,11534|11629|12047|12053|12142|12367|12393|12458|12477|12487|12505|12506|12519|12571|12772|13024|13813|14204|14360|15978|16173|16364|16408|16410|16411|16414|16768|16852|16854|16963|17085|18021|19122|19219|20304|20371|20737|21938|21943|21950|22163|22164|22329|30925|50930|53314|54167|54215|54698|56501|57765|58205|58206|60505|65113|72049|74732|75345|171285|237256|240754|252838|100043314,Adk|Aif1|Bcl2a1d|Bcl6|Prdm1|Casp3|Runx2|Ccr6|Ctla4|Cd28|Cd44|Cd48|Cd80|Cdk6|Ccr2|Ctla2a|Eomes|Il4i1|Fyn|Ifng|Il18|Irf4|Itgal|Itgav|Itgax|Itgb2|Lag3|Lgals1|Lgals3|Xcl1|Ly9|Nfatc3|Prnp|Ptger4|Ccl5|Foxp3|Spn|Tnfrsf1b|Tnfsf11|Tnfsf9|Tnfrsf4|Tnfsf4|Vcam1|Slamf6|Tnfsf14|Batf|Icos|Cd160|Crtam|Elf4|Tbx21|Pdcd1lg2|Zbtb32|Il21|Ndfip1|Tnfrsf13c|Stx11|Slamf7|Havcr2|Zc3h12d|Lax1|Tox|Tigit,-14,Geneid
GO Biological Processes,19,GO:0006954,inflammatory response,19_GO:0050896 response to stimulus,-17,3,10,20504,739,678,74,11,1.2,12053|12362|12363|12458|12487|12505|12514|12766|12771|12772|12774|13011|13024|13051|13058|14056|15251|15368|15587|15937|15945|15978|16016|16153|16173|16174|16410|16412|16414|16452|16963|17228|17470|17948|17951|18750|19217|19219|19696|20303|20304|20317|20361|20371|20737|21898|21938|21943|21946|22038|22163|22164|22174|22259|22320|22402|27226|53416|54199|54371|55985|57781|65113|70747|100340|171285|210029|225192|229521|231130|268973|269060|270151|383619,Bcl6|Casp1|Casp4|Ccr6|Cd28|Cd44|Cd68|Cxcr3|Ccr3|Ccr2|Ccr5|Cst7|Ctla2a|Cx3cr1|Cybb|Ezh2|Hif1a|Hmox1|Hyal2|Ier3|Cxcl10|Ifng|Ighg2b|Il10|Il18|Il18rap|Itgav|Itgb1|Itgb2|Jak2|Xcl1|Cma1|Cd200|Naip2|Naip5|Prkca|Ptger2|Ptger4|Rel|Ccl4|Ccl5|Serpinf1|Sema7a|Foxp3|Spn|Tlr4|Tnfrsf1b|Tnfsf11|Pglyrp1|Plscr1|Tnfrsf4|Tnfsf4|Tyro3|Nr1h3|Vamp8|Ccn4|Pla2g7|Stk39|Ccrl2|Chst2|Cxcl13|Cd200r1|Ndfip1|Tspan2|Smpdl3b|Havcr2|Metrnl|Hrh4|Syt11|Tnip2|Nlrc4|Dagla|Nlrx1|Aim2,-13,Geneid
GO Biological Processes,19,GO:0032103,positive regulation of response to external stimulus,19_GO:0048518 positive regulation of biological process,-17,3.8,11,20504,427,678,54,8,1,11629|12168|12458|12487|12766|12772|12774|12810|13043|13051|13143|13508|13616|15587|15945|15951|15978|16016|16174|16452|16641|16642|16768|16963|17059|18186|18750|19219|19271|20304|20400|21898|21943|22038|22164|22320|22402|27007|27226|30925|50930|53416|54215|54698|55985|60505|70839|171285|215999|243655|268973|381308|383619|434341,Aif1|Bmpr2|Ccr6|Cd28|Cxcr3|Ccr2|Ccr5|Coch|Cttn|Cx3cr1|Dapk2|Dscam|Edn3|Hyal2|Cxcl10|Ifi204|Ifng|Ighg2b|Il18rap|Jak2|Klrc1|Klrc2|Lag3|Xcl1|Klrb1c|Nrp1|Prkca|Ptger4|Ptprj|Ccl5|Sh2d1a|Tlr4|Tnfsf11|Plscr1|Tnfsf4|Vamp8|Ccn4|Klrk1|Pla2g7|Slamf6|Tnfsf14|Stk39|Cd160|Crtam|Cxcl13|Il21|P2ry12|Havcr2|Mcu|Klre1|Nlrc4|Ifi211|Aim2|Nlrc5,-13,Geneid
GO Biological Processes,19,GO:0045785,positive regulation of cell adhesion,19_GO:0022610 biological adhesion,-15,3.5,10,20504,472,678,55,8.1,1,11492|11534|11629|11735|12053|12487|12505|12519|12571|12772|12774|14204|15978|16173|16401|16408|16410|16412|16414|16452|16728|16852|16878|16963|18186|18606|18750|18806|19219|19247|19271|20194|20304|20371|20737|20750|21943|21950|22164|22329|50918|50930|54167|54215|54371|54446|55985|58205|58859|60505|68169|70839|72049|94214|171285,Adam19|Adk|Aif1|Ank3|Bcl6|Cd28|Cd44|Cd80|Cdk6|Ccr2|Ccr5|Il4i1|Ifng|Il18|Itga4|Itgal|Itgav|Itgb1|Itgb2|Jak2|L1cam|Lgals1|Lif|Xcl1|Nrp1|Enpp2|Prkca|Pld2|Ptger4|Ptpn11|Ptprj|S100a10|Ccl5|Foxp3|Spn|Spp1|Tnfsf11|Tnfsf9|Tnfsf4|Vcam1|Myadm|Tnfsf14|Icos|Cd160|Chst2|Nfat5|Cxcl13|Pdcd1lg2|Efemp2|Il21|Ndnf|P2ry12|Tnfrsf13c|Spock2|Havcr2,-12,Geneid
