_MEMBER_Geneid,_LogP_Geneid,GO,Description,_PATTERN_,_RANK_,GiniIndex
1,-3.8,mmu04022,cGMP-PKG signaling pathway,M1,1,0
1,-4.9,GO:0002295,T-helper cell lineage commitment,M1,1,0
1,-2.5,R-MMU-202733,Cell surface interactions at the vascular wall,M1,1,0
1,-2.4,GO:0043062,extracellular structure organization,M1,1,0
1,-3.1,GO:0046209,nitric oxide metabolic process,M1,1,0
1,-2.4,R-MMU-5218859,Regulated Necrosis,M1,1,0
1,-8.3,GO:0040017,positive regulation of locomotion,M1,1,0
1,-2.1,GO:0043567,regulation of insulin-like growth factor receptor signaling pathway,M1,1,0
1,-3.9,GO:0043254,regulation of protein-containing complex assembly,M1,1,0
1,-2.5,GO:0033619,membrane protein proteolysis,M1,1,0
1,-2.3,R-MMU-111461,Cytochrome c-mediated apoptotic response,M1,1,0
1,-6.2,GO:0010819,regulation of T cell chemotaxis,M1,1,0
1,-5.5,GO:0002820,negative regulation of adaptive immune response,M1,1,0
1,-5.8,GO:0032700,negative regulation of interleukin-17 production,M1,1,0
1,-7.6,GO:1901214,regulation of neuron death,M1,1,0
1,-4.1,GO:0072677,eosinophil migration,M1,1,0
1,-3.2,GO:0043030,regulation of macrophage activation,M1,1,0
1,-3.5,GO:0051048,negative regulation of secretion,M1,1,0
1,-2.7,GO:0001562,response to protozoan,M1,1,0
1,-2.3,GO:0150063,visual system development,M1,1,0
1,-4.8,GO:0007229,integrin-mediated signaling pathway,M1,1,0
1,-2.2,GO:0032722,positive regulation of chemokine production,M1,1,0
1,-2.1,mmu05418,Fluid shear stress and atherosclerosis,M1,1,0
1,-3.6,GO:0046640,regulation of alpha-beta T cell proliferation,M1,1,0
1,-5.3,GO:0002360,T cell lineage commitment,M1,1,0
1,-4.4,GO:0032675,regulation of interleukin-6 production,M1,1,0
1,-2.2,GO:0045332,phospholipid translocation,M1,1,0
1,-9.6,GO:0030101,natural killer cell activation,M1,1,0
1,-2.6,GO:0043569,negative regulation of insulin-like growth factor receptor signaling pathway,M1,1,0
1,-2.3,R-MMU-9013404,RAC2 GTPase cycle,M1,1,0
1,-5.1,GO:0034330,cell junction organization,M1,1,0
1,-3.4,GO:0032733,positive regulation of interleukin-10 production,M1,1,0
1,-6,GO:0050798,activated T cell proliferation,M1,1,0
1,-2.1,mmu04510,Focal adhesion,M1,1,0
1,-2.2,GO:0010921,regulation of phosphatase activity,M1,1,0
1,-5.8,ko04650,Natural killer cell mediated cytotoxicity,M1,1,0
1,-4,GO:1901343,negative regulation of vasculature development,M1,1,0
1,-8.2,GO:0071677,positive regulation of mononuclear cell migration,M1,1,0
1,-4.3,GO:0070588,calcium ion transmembrane transport,M1,1,0
1,-10,GO:0051250,negative regulation of lymphocyte activation,M1,1,0
1,-2.6,GO:2000116,regulation of cysteine-type endopeptidase activity,M1,1,0
1,-2.6,GO:0097435,supramolecular fiber organization,M1,1,0
1,-6.8,GO:0001944,vasculature development,M1,1,0
1,-4.5,GO:0031346,positive regulation of cell projection organization,M1,1,0
1,-4.1,GO:0002440,production of molecular mediator of immune response,M1,1,0
1,-3.2,GO:0060401,cytosolic calcium ion transport,M1,1,0
1,-5.5,GO:0050767,regulation of neurogenesis,M1,1,0
1,-7.2,GO:0042113,B cell activation,M1,1,0
1,-2.1,ko05418,Fluid shear stress and atherosclerosis,M1,1,0
1,-3.2,GO:0033625,positive regulation of integrin activation,M1,1,0
1,-5.5,GO:0032731,positive regulation of interleukin-1 beta production,M1,1,0
1,-2.9,GO:0060348,bone development,M1,1,0
1,-6.4,GO:0002573,myeloid leukocyte differentiation,M1,1,0
1,-3.8,ko04022,cGMP-PKG signaling pathway,M1,1,0
1,-4.8,GO:1902107,positive regulation of leukocyte differentiation,M1,1,0
1,-2.1,GO:0003300,cardiac muscle hypertrophy,M1,1,0
1,-2.5,GO:0002825,regulation of T-helper 1 type immune response,M1,1,0
1,-4.3,GO:0032651,regulation of interleukin-1 beta production,M1,1,0
1,-2.3,GO:0002887,negative regulation of myeloid leukocyte mediated immunity,M1,1,0
1,-5.5,GO:0071222,cellular response to lipopolysaccharide,M1,1,0
1,-8.2,GO:2000406,positive regulation of T cell migration,M1,1,0
1,-2.6,GO:0051224,negative regulation of protein transport,M1,1,0
1,-5.3,GO:0097190,apoptotic signaling pathway,M1,1,0
1,-7.2,GO:1903038,negative regulation of leukocyte cell-cell adhesion,M1,1,0
1,-2.5,GO:0045859,regulation of protein kinase activity,M1,1,0
1,-9.7,GO:1902105,regulation of leukocyte differentiation,M1,1,0
1,-5.2,GO:0042130,negative regulation of T cell proliferation,M1,1,0
1,-9.7,GO:2000404,regulation of T cell migration,M1,1,0
1,-6.8,GO:0050864,regulation of B cell activation,M1,1,0
1,-3.7,ko05144,Malaria,M1,1,0
1,-15,GO:0022407,regulation of cell-cell adhesion,M1,1,0
1,-3.4,ko05323,Rheumatoid arthritis,M1,1,0
1,-3.6,GO:0002793,positive regulation of peptide secretion,M1,1,0
1,-2.9,GO:0007044,cell-substrate junction assembly,M1,1,0
1,-2.8,GO:0060402,calcium ion transport into cytosol,M1,1,0
1,-2.8,GO:0033622,integrin activation,M1,1,0
1,-2.6,GO:0061515,myeloid cell development,M1,1,0
1,-2.4,GO:0045762,positive regulation of adenylate cyclase activity,M1,1,0
1,-2.4,GO:2000515,"negative regulation of CD4-positive, alpha-beta T cell activation",M1,1,0
1,-2.3,R-MMU-422475,Axon guidance,M1,1,0
1,-4.3,GO:1904951,positive regulation of establishment of protein localization,M1,1,0
1,-2.9,GO:0048846,axon extension involved in axon guidance,M1,1,0
1,-5.7,GO:0002700,regulation of production of molecular mediator of immune response,M1,1,0
1,-3.1,R-MMU-388396,GPCR downstream signalling,M1,1,0
1,-2.9,GO:0048872,homeostasis of number of cells,M1,1,0
1,-9.3,GO:0002706,regulation of lymphocyte mediated immunity,M1,1,0
1,-6.5,GO:0002363,alpha-beta T cell lineage commitment,M1,1,0
1,-2.3,ko05020,Prion diseases,M1,1,0
1,-3.1,GO:2001057,reactive nitrogen species metabolic process,M1,1,0
1,-4.3,GO:1903555,regulation of tumor necrosis factor superfamily cytokine production,M1,1,0
1,-5.3,GO:0046634,regulation of alpha-beta T cell activation,M1,1,0
1,-3,WP2292,Chemokine signaling pathway,M1,1,0
1,-2.4,GO:0048535,lymph node development,M1,1,0
1,-2.3,GO:1901222,regulation of NIK/NF-kappaB signaling,M1,1,0
1,-2.3,GO:0051668,localization within membrane,M1,1,0
1,-2.6,GO:0051052,regulation of DNA metabolic process,M1,1,0
1,-3.8,ko05205,Proteoglycans in cancer,M1,1,0
1,-2.4,GO:0098883,synapse pruning,M1,1,0
1,-2.7,GO:0051607,defense response to virus,M1,1,0
1,-10,GO:0002697,regulation of immune effector process,M1,1,0
1,-4.1,GO:0046633,alpha-beta T cell proliferation,M1,1,0
1,-4.2,GO:0032640,tumor necrosis factor production,M1,1,0
1,-3.7,GO:0010811,positive regulation of cell-substrate adhesion,M1,1,0
1,-2.9,GO:0042119,neutrophil activation,M1,1,0
1,-2.2,GO:1904019,epithelial cell apoptotic process,M1,1,0
1,-2.3,GO:0043117,positive regulation of vascular permeability,M1,1,0
1,-8,GO:0035710,"CD4-positive, alpha-beta T cell activation",M1,1,0
1,-2.2,GO:0034103,regulation of tissue remodeling,M1,1,0
1,-2.4,GO:0035744,T-helper 1 cell cytokine production,M1,1,0
1,-3.2,GO:0150117,positive regulation of cell-substrate junction organization,M1,1,0
1,-8,GO:0030335,positive regulation of cell migration,M1,1,0
1,-2.4,GO:0030073,insulin secretion,M1,1,0
1,-2.3,GO:0046475,glycerophospholipid catabolic process,M1,1,0
1,-10,GO:1903039,positive regulation of leukocyte cell-cell adhesion,M1,1,0
1,-15,GO:0032944,regulation of mononuclear cell proliferation,M1,1,0
1,-2.3,GO:0045661,regulation of myoblast differentiation,M1,1,0
1,-4.6,GO:0002246,wound healing involved in inflammatory response,M1,1,0
1,-2.2,GO:0006470,protein dephosphorylation,M1,1,0
1,-3.3,GO:0120035,regulation of plasma membrane bounded cell projection organization,M1,1,0
1,-2,R-MMU-512988,"Interleukin-3, Interleukin-5 and GM-CSF signaling",M1,1,0
1,-3.5,GO:1904018,positive regulation of vasculature development,M1,1,0
1,-8.3,mmu04060,Cytokine-cytokine receptor interaction,M1,1,0
1,-3.4,GO:0002456,T cell mediated immunity,M1,1,0
1,-2.9,GO:0016311,dephosphorylation,M1,1,0
1,-2.1,GO:0046849,bone remodeling,M1,1,0
1,-4.2,GO:0032760,positive regulation of tumor necrosis factor production,M1,1,0
1,-2.9,GO:0042088,T-helper 1 type immune response,M1,1,0
1,-3.3,GO:0071417,cellular response to organonitrogen compound,M1,1,0
