Cluster,Score,Type,Gene,Symbol,Network
3,7.5,Clustered,12458,Ccr6,Geneid_SUB1
3,7.5,Clustered,20304,Ccl5,Geneid_SUB1
3,7.5,Clustered,13051,Cx3cr1,Geneid_SUB1
3,7.5,Clustered,14702,Gng2,Geneid_SUB1
3,7.5,Clustered,55985,Cxcl13,Geneid_SUB1
3,7.5,Clustered,12766,Cxcr3,Geneid_SUB1
3,7.5,Clustered,12774,Ccr5,Geneid_SUB1
3,7.5,Clustered,12772,Ccr2,Geneid_SUB1
3,7.5,Clustered,12771,Ccr3,Geneid_SUB1
3,7.5,Clustered,12145,Cxcr5,Geneid_SUB1
3,7.5,Seed,70839,P2ry12,Geneid_SUB1
3,7.5,Clustered,18619,Penk,Geneid_SUB1
3,7.5,Clustered,225192,Hrh4,Geneid_SUB1
3,7.5,Clustered,15945,Cxcl10,Geneid_SUB1
3,7.5,Clustered,94226,S1pr5,Geneid_SUB1
3,7.5,Clustered,20303,Ccl4,Geneid_SUB1
5,4.2727272727272725,Clustered,628398,Ighv6-4,Geneid_SUB1
5,4.2727272727272725,Clustered,16408,Itgal,Geneid_SUB1
5,4.2727272727272725,Seed,12519,Cd80,Geneid_SUB1
5,4.2727272727272725,Clustered,16410,Itgav,Geneid_SUB1
5,4.2727272727272725,Clustered,16414,Itgb2,Geneid_SUB1
5,4.2727272727272725,Clustered,109700,Itga1,Geneid_SUB1
5,4.2727272727272725,Clustered,12487,Cd28,Geneid_SUB1
5,4.2727272727272725,Clustered,16412,Itgb1,Geneid_SUB1
5,4.2727272727272725,Clustered,16411,Itgax,Geneid_SUB1
5,4.2727272727272725,Clustered,16401,Itga4,Geneid_SUB1
5,4.2727272727272725,Clustered,12477,Ctla4,Geneid_SUB1
1,2.552631578947368,Clustered,21844,Tiam1,Geneid_SUB1
1,2.552631578947368,Clustered,15442,Hpse,Geneid_SUB1
1,2.552631578947368,Clustered,238896,Cdc20b,Geneid_SUB1
1,2.552631578947368,Clustered,228852,Ppp1r16b,Geneid_SUB1
1,2.552631578947368,Clustered,11853,Rhoc,Geneid_SUB1
1,2.552631578947368,Clustered,20430,Cyfip1,Geneid_SUB1
1,2.552631578947368,Clustered,236915,Arhgef9,Geneid_SUB1
1,2.552631578947368,Clustered,108058,Camk2d,Geneid_SUB1
1,2.552631578947368,Clustered,14682,Gnaq,Geneid_SUB1
1,2.552631578947368,Clustered,13033,Ctsd,Geneid_SUB1
1,2.552631578947368,Clustered,12306,Anxa2,Geneid_SUB1
1,2.552631578947368,Clustered,320292,Rasgef1b,Geneid_SUB1
1,2.552631578947368,Clustered,21946,Pglyrp1,Geneid_SUB1
1,2.552631578947368,Clustered,14569,Gdi2,Geneid_SUB1
1,2.552631578947368,Clustered,13043,Cttn,Geneid_SUB1
1,2.552631578947368,Clustered,11735,Ank3,Geneid_SUB1
1,2.552631578947368,Clustered,12045,Bcl2a1b,Geneid_SUB1
1,2.552631578947368,Clustered,12369,Casp7,Geneid_SUB1
1,2.552631578947368,Clustered,17931,Ppp1r12a,Geneid_SUB1
1,2.552631578947368,Clustered,71302,Arhgap26,Geneid_SUB1
1,2.552631578947368,Clustered,225187,Ankrd29,Geneid_SUB1
1,2.552631578947368,Clustered,140721,Caskin2,Geneid_SUB1
1,2.552631578947368,Clustered,207175,Cetn4,Geneid_SUB1
1,2.552631578947368,Clustered,20715,Serpina3g,Geneid_SUB1
1,2.552631578947368,Clustered,216274,Cep290,Geneid_SUB1
1,2.552631578947368,Clustered,13616,Edn3,Geneid_SUB1
1,2.552631578947368,Clustered,12047,Bcl2a1d,Geneid_SUB1
1,2.552631578947368,Clustered,229776,Cdc14a,Geneid_SUB1
1,2.552631578947368,Clustered,244650,Phlpp2,Geneid_SUB1
1,2.552631578947368,Clustered,12571,Cdk6,Geneid_SUB1
1,2.552631578947368,Clustered,70086,Cysltr2,Geneid_SUB1
1,2.552631578947368,Clustered,238393,Serpina3f,Geneid_SUB1
1,2.552631578947368,Clustered,12505,Cd44,Geneid_SUB1
1,2.552631578947368,Clustered,22137,Ttk,Geneid_SUB1
1,2.552631578947368,Clustered,19046,Ppp1cb,Geneid_SUB1
1,2.552631578947368,Clustered,11629,Aif1,Geneid_SUB1
1,2.552631578947368,Clustered,66713,Actr2,Geneid_SUB1
1,2.552631578947368,Seed,104215,Rhoq,Geneid_SUB1
6,2.4545454545454546,Clustered,214230,Pak6,Geneid_SUB1
6,2.4545454545454546,Seed,233406,Prc1,Geneid_SUB1
6,2.4545454545454546,Clustered,233328,Lrrk1,Geneid_SUB1
6,2.4545454545454546,Clustered,70784,Rasl12,Geneid_SUB1
6,2.4545454545454546,Clustered,103768,Tubg2,Geneid_SUB1
6,2.4545454545454546,Clustered,16580,Kifc5b,Geneid_SUB1
6,2.4545454545454546,Clustered,22153,Tubb4a,Geneid_SUB1
6,2.4545454545454546,Clustered,78785,Clip4,Geneid_SUB1
6,2.4545454545454546,Clustered,68895,Rasl11a,Geneid_SUB1
6,2.4545454545454546,Clustered,57740,Stk32c,Geneid_SUB1
6,2.4545454545454546,Clustered,212307,Mapre2,Geneid_SUB1
7,2.3636363636363638,Clustered,29817,Igfbp7,Geneid_SUB1
7,2.3636363636363638,Clustered,19217,Ptger2,Geneid_SUB1
7,2.3636363636363638,Clustered,11554,Adrb1,Geneid_SUB1
