_MEMBER_Geneid,_LogP_Geneid,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
1,-23,PGB:00280,M1,1,0,PaGenBase,36,Cell-specific: NK cells,,-23,16,19,20504,46,678,24,3.5,0.71,12142|13143|13813|14103|14938|16174|16185|16523|16641|16963|17059|20304|27007|50928|54215|57765|71302|71592|71720|94226|107350|243655|320802|545192,Prdm1|Dapk2|Eomes|Fasl|Gzma|Il18rap|Il2rb|Kcnj8|Klrc1|Xcl1|Klrb1c|Ccl5|Klrk1|Klrg1|Cd160|Tbx21|Arhgap26|Pogk|Osbpl3|S1pr5|AW112010|Klre1|Ifitm10|Baiap3,-20,0
1,-9.4,PGB:00210,M1,1,0,PaGenBase,36,Cell-specific: mast cells,,-9.4,3.7,8,20504,253,678,31,4.6,0.8,11622|13011|13024|14537|14581|15937|16878|17228|17540|17748|18669|19122|20715|20737|21844|22038|50930|50997|52793|53314|54426|58250|67182|108115|171285|207175|225192|235527|235627|328232|383619,Ahr|Cst7|Ctla2a|Gcnt1|Gfi1|Ier3|Lif|Cma1|Irag1|Mt1|Abcb1b|Prnp|Serpina3g|Spn|Tiam1|Plscr1|Tnfsf14|Mpp2|Fam3b|Batf|Hgfac|Chst11|Pdzk1ip1|Slco4a1|Havcr2|Cetn4|Hrh4|Plscr4|Nbeal2|Gfod1|Aim2,-6.8,0
1,-4.8,PGB:00011,M1,1,0,PaGenBase,36,Tissue-specific: spleen,,-4.8,3,5.2,20504,189,678,19,2.8,0.63,12124|12145|12771|12810|16174|16401|16411|16641|18987|22329|50930|54215|55985|56193|57781|60361|70568|226971|380795,Bik|Cxcr5|Ccr3|Coch|Il18rap|Itga4|Itgax|Klrc1|Pou2f2|Vcam1|Tnfsf14|Cd160|Cxcl13|Plek|Cd200r1|Ms4a4b|Cpne3|Plekhb2|Ighg3,-2.7,0
1,-4.3,PGB:00266,M1,1,0,PaGenBase,36,Cell-specific: cd4+ T cell,,-4.3,8.6,6.5,20504,21,678,6,0.88,0.36,12477|12487|22163|30925|54167|403202,Ctla4|Cd28|Tnfrsf4|Slamf6|Icos|A430093F15Rik,-2.4,0
1,-3.9,PGB:00287,M1,1,0,PaGenBase,36,Cell-specific: T-cells foxP3+,,-3.9,13,6.9,20504,9,678,4,0.59,0.29,12477|20371|22163|242484,Ctla4|Foxp3|Tnfrsf4|D630039A03Rik,-2,0
1,-3.4,PGB:00237,M1,1,0,PaGenBase,36,Cell-specific: b220+ b cell,,-3.4,3.2,4.3,20504,114,678,12,1.8,0.51,12124|12145|12458|12483|12494|14204|16364|16541|17068|22780|54712|72049,Bik|Cxcr5|Ccr6|Cd22|Cd38|Il4i1|Irf4|Napsa|Ly6d|Ikzf3|Plxnc1|Tnfrsf13c,-1.7,0
1,-3,PGB:00223,M1,1,0,PaGenBase,36,Tissue-specific: lymph node,,-3,2.3,3.7,20504,219,678,17,2.5,0.6,12145|12458|12477|12483|12774|14204|16154|16185|17857|18987|21943|22163|54167|78373|170752|380795|403202,Cxcr5|Ccr6|Ctla4|Cd22|Ccr5|Il4i1|Il10ra|Il2rb|Mx1|Pou2f2|Tnfsf11|Tnfrsf4|Icos|Nudt17|Bco2|Ighg3|A430093F15Rik,-1.4,0
1,-2.8,PGB:00245,M1,1,0,PaGenBase,36,Cell-specific: macrophage unstimulated,,-2.8,2.7,3.7,20504,133,678,12,1.8,0.51,11629|11983|17132|17857|56791|64898|75909|93692|108058|192657|210029|237256,Aif1|Atpif1|Maf|Mx1|Ube2l6|Lpin2|Vmp1|Glrx|Camk2d|Ell2|Metrnl|Zc3h12d,-1.3,0
1,-2.8,PGB:00279,M1,1,0,PaGenBase,36,Cell-specific: follicular B-cells,,-2.8,4.7,4.2,20504,39,678,6,0.88,0.36,12483|12494|17068|18987|108105|381777,Cd22|Cd38|Ly6d|Pou2f2|B3gnt5|Igkv1-110,-1.2,0
1,-2.6,PGB:00228,M1,1,0,PaGenBase,36,Cell-specific: neuro2a,,-2.6,2.2,3.3,20504,239,678,17,2.5,0.6,13807|16728|17760|22240|27053|54195|56175|67749|67971|69784|76917|103712|108075|225362|228911|245607|380686,Eno2|L1cam|Map6|Dpysl3|Asns|Gucy1b1|Bace2|Mgarp|Tppp3|1500009L16Rik|Flywch2|6330403K07Rik|Ltbp4|Reep2|Tshz2|Gprasp2|Cnrip1,-1.1,0
1,-2.3,PGB:00249,M1,1,0,PaGenBase,36,Tissue-specific: ciliary bodies,,-2.3,8.2,4.4,20504,11,678,3,0.44,0.25,12841|226025|353504,Col9a3|Trpm3|Dio3os,-0.87,0
