_MEMBER_Geneid,_LogP_Geneid,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
1,-6.9,TRR00951,M1,1,0,TRRUST,34,Regulated by: Nfkb1,,-6.9,3.5,6.6,20504,210,678,24,3.5,0.71,11798|12047|12168|12494|12519|14103|15368|15945|15978|16153|16364|16878|19258|19696|20304|20371|20511|21898|22163|22329|53416|55985|93692|381777,Xiap|Bcl2a1d|Bmpr2|Cd38|Cd80|Fasl|Hmox1|Cxcl10|Ifng|Il10|Irf4|Lif|Ptpn4|Rel|Ccl5|Foxp3|Slc1a2|Tlr4|Tnfrsf4|Vcam1|Stk39|Cxcl13|Glrx|Igkv1-110,-4.4,0
1,-6.7,TRR01190,M1,1,0,TRRUST,34,Regulated by: Rela,,-6.7,4.3,6.9,20504,127,678,18,2.7,0.62,11798|12047|12494|12519|14103|15945|15978|16153|16364|17059|20304|20511|21946|22163|22329|26410|53416|381777,Xiap|Bcl2a1d|Cd38|Cd80|Fasl|Cxcl10|Ifng|Il10|Irf4|Klrb1c|Ccl5|Slc1a2|Pglyrp1|Tnfrsf4|Vcam1|Map3k8|Stk39|Igkv1-110,-4.3,0
1,-5.3,TRR01189,M1,1,0,TRRUST,34,Regulated by: Rel,,-5.3,7.8,7,20504,31,678,8,1.2,0.41,12047|12609|14056|15978|20304|20371|60505|381777,Bcl2a1d|Cebpd|Ezh2|Ifng|Ccl5|Foxp3|Il21|Igkv1-110,-3,0
1,-4.9,TRR01368,M1,1,0,TRRUST,34,Regulated by: Stat3,,-4.9,4.5,5.8,20504,81,678,12,1.8,0.51,12142|12495|12609|14581|15251|16153|16878|17132|17748|53314|60505|110454,Prdm1|Entpd1|Cebpd|Gfi1|Hif1a|Il10|Lif|Maf|Mt1|Batf|Il21|Ly6a,-2.7,0
1,-4.8,TRR01366,M1,1,0,TRRUST,34,Regulated by: Stat1,,-4.8,6.9,6.5,20504,35,678,8,1.2,0.41,12393|12609|14581|15945|15978|17748|18566|57765,Runx2|Cebpd|Gfi1|Cxcl10|Ifng|Mt1|Pdcd1|Tbx21,-2.7,0
1,-4.3,TRR00939,M1,1,0,TRRUST,34,Regulated by: Nfatc2,,-4.3,8.6,6.5,20504,21,678,6,0.88,0.36,13051|15978|16153|18018|54167|60505,Cx3cr1|Ifng|Il10|Nfatc1|Icos|Il21,-2.4,0
1,-3.9,TRR00089,M1,1,0,TRRUST,34,Regulated by: Bcl11b,,-3.9,13,6.9,20504,9,678,4,0.59,0.29,11622|14581|16153|20371,Ahr|Gfi1|Il10|Foxp3,-2,0
1,-3.8,TRR00327,M1,1,0,TRRUST,34,Regulated by: Ets1,,-3.8,4.5,5.1,20504,60,678,9,1.3,0.44,12142|12393|15368|16153|20371|20400|20750|21898|57765,Prdm1|Runx2|Hmox1|Il10|Foxp3|Sh2d1a|Spp1|Tlr4|Tbx21,-2,0
1,-3.7,TRR01453,M1,1,0,TRRUST,34,Regulated by: Tbx21,,-3.7,12,6.5,20504,10,678,4,0.59,0.29,15978|20750|60505|94226,Ifng|Spp1|Il21|S1pr5,-1.8,0
1,-3.6,TRR00091,M1,1,0,TRRUST,34,Regulated by: Bcl6,,-3.6,8.4,5.8,20504,18,678,5,0.74,0.33,12053|12142|15978|53314|57765,Bcl6|Prdm1|Ifng|Batf|Tbx21,-1.8,0
1,-3.5,TRR01129,M1,1,0,TRRUST,34,Regulated by: Prdm1,,-3.5,11,6.1,20504,11,678,4,0.59,0.29,12053|12145|18566|26408,Bcl6|Cxcr5|Pdcd1|Map3k5,-1.7,0
1,-3.3,TRR00993,M1,1,0,TRRUST,34,Regulated by: Nr4a2,,-3.3,10,5.8,20504,12,678,4,0.59,0.29,16500|18186|20371|20750,Kcnb1|Nrp1|Foxp3|Spp1,-1.6,0
1,-3.2,TRR00652,M1,1,0,TRRUST,34,Regulated by: Jun,,-3.2,2.9,4.1,20504,137,678,13,1.9,0.53,12142|12609|13807|15368|15978|17132|18619|19258|20304|20750|21943|76650|381777,Prdm1|Cebpd|Eno2|Hmox1|Ifng|Maf|Penk|Ptpn4|Ccl5|Spp1|Tnfsf11|Srxn1|Igkv1-110,-1.5,0
1,-3,TRR00294,M1,1,0,TRRUST,34,Regulated by: Egr2,,-3,8.6,5.3,20504,14,678,4,0.59,0.29,14103|15902|16185|17936,Fasl|Id2|Il2rb|Nab1,-1.4,0
1,-3,TRR01313,M1,1,0,TRRUST,34,Regulated by: Smad1,,-3,6.3,4.8,20504,24,678,5,0.74,0.33,12393|15902|15951|20750|21943,Runx2|Id2|Ifi204|Spp1|Tnfsf11,-1.4,0
1,-2.9,TRR00991,M1,1,0,TRRUST,34,Regulated by: Nr3c2,,-2.9,13,5.9,20504,7,678,3,0.44,0.25,21961|70122|70784,Tns1|Mllt3|Rasl12,-1.4,0
1,-2.9,TRR01369,M1,1,0,TRRUST,34,Regulated by: Stat4,,-2.9,13,5.9,20504,7,678,3,0.44,0.25,15978|16364|57765,Ifng|Irf4|Tbx21,-1.4,0
1,-2.9,TRR01112,M1,1,0,TRRUST,34,Regulated by: Pou2af1,,-2.9,6,4.7,20504,25,678,5,0.74,0.33,12145|15902|16852|18987|381777,Cxcr5|Id2|Lgals1|Pou2f2|Igkv1-110,-1.3,0
1,-2.8,TRR00944,M1,1,0,TRRUST,34,Regulated by: Nfe2l2,,-2.8,4,4,20504,53,678,7,1,0.39,12393|15368|16153|17748|18018|21943|76650,Runx2|Hmox1|Il10|Mt1|Nfatc1|Tnfsf11|Srxn1,-1.2,0
