Gene,TotalEvidenceCounts,EvidenceHit:Geneid,EvidenceGO:Geneid,EvidencePPI:Geneid
20304,3.0,1,1,1
20737,3.0,1,1,1
16364,3.0,1,1,1
14581,3.0,1,1,1
74318,3.0,1,1,1
93692,3.0,1,1,1
14871,3.0,1,1,1
20187,3.0,1,1,1
14938,3.0,1,1,1
15898,3.0,1,1,1
16642,3.0,1,1,1
13051,3.0,1,1,1
320910,3.0,1,1,1
269941,3.0,1,1,1
268973,3.0,1,1,1
22780,3.0,1,1,1
12771,3.0,1,1,1
56175,3.0,1,1,1
12527,3.0,1,1,1
13813,3.0,1,1,1
19696,3.0,1,1,1
108075,3.0,1,1,1
67972,3.0,1,1,1
268566,3.0,1,1,1
12289,3.0,1,1,1
17085,3.0,1,1,1
16452,3.0,1,1,1
22174,3.0,1,1,1
18260,3.0,1,1,1
14204,3.0,1,1,1
20238,3.0,1,1,1
14613,3.0,1,1,1
70839,3.0,1,1,1
26410,3.0,1,1,1
75345,3.0,1,1,1
74761,3.0,1,1,1
54199,3.0,1,1,1
18018,3.0,1,1,1
17228,3.0,1,1,1
60596,3.0,1,1,1
107823,3.0,1,1,1
12260,3.0,1,1,1
66713,3.0,1,1,1
231637,3.0,1,1,1
13837,3.0,1,1,1
108155,3.0,1,1,1
16332,3.0,1,1,1
22164,3.0,1,1,1
12142,3.0,1,1,1
232889,3.0,1,1,1
20430,3.0,1,1,1
20200,3.0,1,1,1
17931,3.0,1,1,1
11735,3.0,1,1,1
13030,3.0,1,1,1
18671,3.0,1,1,1
12045,3.0,1,1,1
64898,3.0,1,1,1
24064,3.0,1,1,1
15251,3.0,1,1,1
12393,3.0,1,1,1
383619,3.0,1,1,1
218397,3.0,1,1,1
12495,3.0,1,1,1
233328,3.0,1,1,1
20194,3.0,1,1,1
108058,3.0,1,1,1
22240,3.0,1,1,1
12458,3.0,1,1,1
14056,3.0,1,1,1
57781,3.0,1,1,1
12477,3.0,1,1,1
71982,3.0,1,1,1
214230,3.0,1,1,1
68652,3.0,1,1,1
19122,3.0,1,1,1
16728,3.0,1,1,1
12571,3.0,1,1,1
22415,3.0,1,1,1
11492,3.0,1,1,1
30925,3.0,1,1,1
11622,3.0,1,1,1
12774,3.0,1,1,1
15442,3.0,1,1,1
109700,3.0,1,1,1
24063,3.0,1,1,1
53416,3.0,1,1,1
108086,3.0,1,1,1
212307,3.0,1,1,1
16401,3.0,1,1,1
15951,3.0,1,1,1
381308,3.0,1,1,1
54712,3.0,1,1,1
23900,3.0,1,1,1
15368,3.0,1,1,1
12519,3.0,1,1,1
21943,3.0,1,1,1
54167,3.0,1,1,1
18606,3.0,1,1,1
16852,3.0,1,1,1
71361,3.0,1,1,1
27226,3.0,1,1,1
226641,3.0,1,1,1
208659,3.0,1,1,1
13198,3.0,1,1,1
12180,3.0,1,1,1
18015,3.0,1,1,1
11941,3.0,1,1,1
70086,3.0,1,1,1
12362,3.0,1,1,1
329165,3.0,1,1,1
19247,3.0,1,1,1
21961,3.0,1,1,1
12262,3.0,1,1,1
21950,3.0,1,1,1
12494,3.0,1,1,1
19143,3.0,1,1,1
14866,3.0,1,1,1
58250,3.0,1,1,1
50778,3.0,1,1,1
94214,3.0,1,1,1
110784,3.0,1,1,1
26408,3.0,1,1,1
21946,3.0,1,1,1
12306,3.0,1,1,1
20511,3.0,1,1,1
20320,3.0,1,1,1
19073,3.0,1,1,1
12047,3.0,1,1,1
14360,3.0,1,1,1
67742,3.0,1,1,1
18566,3.0,1,1,1
12514,3.0,1,1,1
436090,3.0,1,1,1
21887,3.0,1,1,1
100340,3.0,1,1,1
20303,3.0,1,1,1
381290,3.0,1,1,1
16174,3.0,1,1,1
12766,3.0,1,1,1
22320,3.0,1,1,1
17059,3.0,1,1,1
27047,3.0,1,1,1
18021,3.0,1,1,1
104418,3.0,1,1,1
13616,3.0,1,1,1
16154,3.0,1,1,1
54446,3.0,1,1,1
56193,3.0,1,1,1
14103,3.0,1,1,1
106522,3.0,1,1,1
27007,3.0,1,1,1
20195,3.0,1,1,1
22402,3.0,1,1,1
16854,3.0,1,1,1
12845,3.0,1,1,1
545428,3.0,1,1,1
15902,3.0,1,1,1
20660,3.0,1,1,1
56722,3.0,1,1,1
19219,3.0,1,1,1
18575,3.0,1,1,1
68616,3.0,1,1,1
74732,3.0,1,1,1
14245,3.0,1,1,1
16412,3.0,1,1,1
16438,3.0,1,1,1
16153,3.0,1,1,1
269593,3.0,1,1,1
11629,3.0,1,1,1
215114,3.0,1,1,1
66991,3.0,1,1,1
75302,3.0,1,1,1
21938,3.0,1,1,1
98366,3.0,1,1,1
11746,3.0,1,1,1
171285,3.0,1,1,1
12053,3.0,1,1,1
17951,3.0,1,1,1
104156,3.0,1,1,1
15925,3.0,1,1,1
15945,3.0,1,1,1
16173,3.0,1,1,1
15587,3.0,1,1,1
67971,3.0,1,1,1
97086,3.0,1,1,1
17756,3.0,1,1,1
12772,3.0,1,1,1
103140,3.0,1,1,1
16500,3.0,1,1,1
66042,3.0,1,1,1
12336,3.0,1,1,1
252838,3.0,1,1,1
218503,3.0,1,1,1
20361,3.0,1,1,1
14682,3.0,1,1,1
11937,3.0,1,1,1
15978,3.0,1,1,1
246746,3.0,1,1,1
107321,3.0,1,1,1
19106,3.0,1,1,1
65254,3.0,1,1,1
20719,3.0,1,1,1
19271,3.0,1,1,1
104215,3.0,1,1,1
69590,3.0,1,1,1
243655,3.0,1,1,1
16541,3.0,1,1,1
54608,3.0,1,1,1
58205,3.0,1,1,1
20893,3.0,1,1,1
245522,3.0,1,1,1
18987,3.0,1,1,1
18669,3.0,1,1,1
22259,3.0,1,1,1
434246,3.0,1,1,1
21873,3.0,1,1,1
29809,3.0,1,1,1
60505,3.0,1,1,1
192654,3.0,1,1,1
16408,3.0,1,1,1
54195,3.0,1,1,1
16185,3.0,1,1,1
57765,3.0,1,1,1
16414,3.0,1,1,1
12557,3.0,1,1,1
14230,3.0,1,1,1
11798,3.0,1,1,1
77446,3.0,1,1,1
66397,3.0,1,1,1
70790,3.0,1,1,1
20400,3.0,1,1,1
236915,3.0,1,1,1
58859,3.0,1,1,1
14652,3.0,1,1,1
12168,3.0,1,1,1
17948,3.0,1,1,1
72049,3.0,1,1,1
12841,3.0,1,1,1
22329,3.0,1,1,1
11554,3.0,1,1,1
70747,3.0,1,1,1
12369,3.0,1,1,1
18227,3.0,1,1,1
16878,3.0,1,1,1
12505,3.0,1,1,1
11658,3.0,1,1,1
19217,3.0,1,1,1
13003,3.0,1,1,1
17470,3.0,1,1,1
53314,3.0,1,1,1
17540,3.0,1,1,1
11853,3.0,1,1,1
21898,3.0,1,1,1
12487,3.0,1,1,1
100043314,3.0,1,1,1
13508,3.0,1,1,1
24046,3.0,1,1,1
225362,3.0,1,1,1
50930,3.0,1,1,1
