_MEMBER_Geneid,_LogP_Geneid,GO,Description,_PATTERN_,_RANK_,GiniIndex
1,-4.7,ko05213,Endometrial cancer,M1,1,0
1,-2.2,GO:0050767,regulation of neurogenesis,M1,1,0
1,-2.4,GO:0010975,regulation of neuron projection development,M1,1,0
1,-2.4,GO:0048017,inositol lipid-mediated signaling,M1,1,0
1,-4.9,GO:0042330,taxis,M1,1,0
1,-2.8,GO:0002293,alpha-beta T cell differentiation involved in immune response,M1,1,0
1,-2.1,ko04150,mTOR signaling pathway,M1,1,0
1,-2.4,GO:0043393,regulation of protein binding,M1,1,0
1,-2.6,GO:0015711,organic anion transport,M1,1,0
1,-3,GO:0002761,regulation of myeloid leukocyte differentiation,M1,1,0
1,-2.4,WP2841,Focal adhesion: PI3K-Akt-mTOR signaling pathway,M1,1,0
1,-2.6,mmu04151,PI3K-Akt signaling pathway,M1,1,0
1,-2.6,mmu04630,Jak-STAT signaling pathway,M1,1,0
1,-2.8,GO:0010559,regulation of glycoprotein biosynthetic process,M1,1,0
1,-2.8,GO:0002287,alpha-beta T cell activation involved in immune response,M1,1,0
1,-3,GO:0050773,regulation of dendrite development,M1,1,0
1,-3.3,GO:0048641,regulation of skeletal muscle tissue development,M1,1,0
1,-3.4,ko04650,Natural killer cell mediated cytotoxicity,M1,1,0
1,-3.7,GO:0061572,actin filament bundle organization,M1,1,0
1,-3.5,GO:0007179,transforming growth factor beta receptor signaling pathway,M1,1,0
1,-2.1,GO:0007423,sensory organ development,M1,1,0
1,-3.2,GO:0070234,positive regulation of T cell apoptotic process,M1,1,0
1,-2.6,WP265,Delta-Notch signaling pathway,M1,1,0
1,-2.6,GO:0051963,regulation of synapse assembly,M1,1,0
1,-2.4,GO:0008217,regulation of blood pressure,M1,1,0
1,-2.1,GO:0071326,cellular response to monosaccharide stimulus,M1,1,0
1,-2.1,GO:0002262,myeloid cell homeostasis,M1,1,0
1,-4.2,GO:0043149,stress fiber assembly,M1,1,0
1,-2,GO:0090092,regulation of transmembrane receptor protein serine/threonine kinase signaling pathway,M1,1,0
1,-2.8,GO:0051960,regulation of nervous system development,M1,1,0
1,-2.2,GO:0008285,negative regulation of cell population proliferation,M1,1,0
1,-2.6,GO:0007519,skeletal muscle tissue development,M1,1,0
1,-2.3,GO:0001911,negative regulation of leukocyte mediated cytotoxicity,M1,1,0
1,-3.1,GO:0045765,regulation of angiogenesis,M1,1,0
1,-3.8,R-MMU-4641265,Repression of WNT target genes,M1,1,0
1,-3.1,GO:0050678,regulation of epithelial cell proliferation,M1,1,0
1,-2.2,GO:0007416,synapse assembly,M1,1,0
1,-2.2,R-MMU-389356,CD28 co-stimulation,M1,1,0
1,-3,GO:0045926,negative regulation of growth,M1,1,0
1,-2.2,GO:0046777,protein autophosphorylation,M1,1,0
1,-2.7,GO:0010560,positive regulation of glycoprotein biosynthetic process,M1,1,0
1,-2.4,GO:0051496,positive regulation of stress fiber assembly,M1,1,0
1,-2.4,GO:0033688,regulation of osteoblast proliferation,M1,1,0
1,-4.3,mmu04310,Wnt signaling pathway,M1,1,0
1,-2.4,GO:1902105,regulation of leukocyte differentiation,M1,1,0
1,-2.4,GO:0048640,negative regulation of developmental growth,M1,1,0
1,-2,GO:0060285,cilium-dependent cell motility,M1,1,0
1,-2.7,GO:0031669,cellular response to nutrient levels,M1,1,0
1,-2.1,GO:0001503,ossification,M1,1,0
1,-2.6,GO:0051384,response to glucocorticoid,M1,1,0
1,-2,GO:0001539,cilium or flagellum-dependent cell motility,M1,1,0
1,-4,R-MMU-4086398,Ca2+ pathway,M1,1,0
1,-2.3,GO:0030595,leukocyte chemotaxis,M1,1,0
1,-3.5,GO:0032231,regulation of actin filament bundle assembly,M1,1,0
1,-2,GO:0045667,regulation of osteoblast differentiation,M1,1,0
1,-3.6,GO:0007015,actin filament organization,M1,1,0
1,-2.3,mmu05152,Tuberculosis,M1,1,0
1,-3.7,GO:1903131,mononuclear cell differentiation,M1,1,0
1,-2.6,ko05205,Proteoglycans in cancer,M1,1,0
1,-3.1,GO:0034110,regulation of homotypic cell-cell adhesion,M1,1,0
1,-2,GO:0048732,gland development,M1,1,0
1,-2.9,GO:0048661,positive regulation of smooth muscle cell proliferation,M1,1,0
1,-3.8,GO:0001525,angiogenesis,M1,1,0
1,-2,R-MMU-74752,Signaling by Insulin receptor,M1,1,0
1,-2.2,GO:0022409,positive regulation of cell-cell adhesion,M1,1,0
1,-4.3,WP85,Focal adhesion,M1,1,0
1,-2.5,GO:0070233,negative regulation of T cell apoptotic process,M1,1,0
1,-2.6,GO:0045429,positive regulation of nitric oxide biosynthetic process,M1,1,0
1,-2.5,GO:0001678,cellular glucose homeostasis,M1,1,0
1,-2.4,GO:1901888,regulation of cell junction assembly,M1,1,0
1,-3.5,GO:0048872,homeostasis of number of cells,M1,1,0
1,-2.3,GO:1905523,positive regulation of macrophage migration,M1,1,0
1,-3,GO:0007162,negative regulation of cell adhesion,M1,1,0
1,-3.4,GO:0014812,muscle cell migration,M1,1,0
1,-2.3,GO:0061138,morphogenesis of a branching epithelium,M1,1,0
1,-2.7,mmu05100,Bacterial invasion of epithelial cells,M1,1,0
1,-2.9,GO:0042093,T-helper cell differentiation,M1,1,0
1,-2.8,GO:0002573,myeloid leukocyte differentiation,M1,1,0
1,-3.2,GO:0036037,"CD8-positive, alpha-beta T cell activation",M1,1,0
1,-2.7,GO:0009409,response to cold,M1,1,0
1,-2.7,GO:0043068,positive regulation of programmed cell death,M1,1,0
1,-3,GO:0032233,positive regulation of actin filament bundle assembly,M1,1,0
1,-2.5,GO:0017015,regulation of transforming growth factor beta receptor signaling pathway,M1,1,0
1,-2.4,GO:0060249,anatomical structure homeostasis,M1,1,0
1,-3.5,GO:2000106,regulation of leukocyte apoptotic process,M1,1,0
1,-2.4,ko04370,VEGF signaling pathway,M1,1,0
1,-2.5,GO:0001666,response to hypoxia,M1,1,0
1,-2.9,GO:0071560,cellular response to transforming growth factor beta stimulus,M1,1,0
1,-2.1,GO:0071456,cellular response to hypoxia,M1,1,0
1,-2.7,GO:0099170,postsynaptic modulation of chemical synaptic transmission,M1,1,0
1,-2.7,GO:0001944,vasculature development,M1,1,0
1,-3.2,GO:0030098,lymphocyte differentiation,M1,1,0
1,-2.7,ko04630,Jak-STAT signaling pathway,M1,1,0
1,-2.1,GO:0031342,negative regulation of cell killing,M1,1,0
1,-2.4,ko05221,Acute myeloid leukemia,M1,1,0
1,-2.2,GO:0031344,regulation of cell projection organization,M1,1,0
1,-3.2,GO:0070231,T cell apoptotic process,M1,1,0
1,-3,GO:0045637,regulation of myeloid cell differentiation,M1,1,0
1,-3.6,GO:0033689,negative regulation of osteoblast proliferation,M1,1,0
1,-2.4,GO:0035264,multicellular organism growth,M1,1,0
1,-2.8,GO:0050921,positive regulation of chemotaxis,M1,1,0
1,-2.9,GO:0032956,regulation of actin cytoskeleton organization,M1,1,0
1,-2.8,GO:0110020,regulation of actomyosin structure organization,M1,1,0
1,-3.1,GO:0014910,regulation of smooth muscle cell migration,M1,1,0
1,-2.2,GO:0030218,erythrocyte differentiation,M1,1,0
1,-4.5,GO:0045596,negative regulation of cell differentiation,M1,1,0
1,-2.2,GO:0003300,cardiac muscle hypertrophy,M1,1,0
1,-3.8,GO:0009991,response to extracellular stimulus,M1,1,0
1,-2.5,mmu05205,Proteoglycans in cancer,M1,1,0
1,-2.3,GO:0010942,positive regulation of cell death,M1,1,0
1,-2.8,GO:0030855,epithelial cell differentiation,M1,1,0
1,-2.4,GO:0051345,positive regulation of hydrolase activity,M1,1,0
1,-2.5,GO:0051962,positive regulation of nervous system development,M1,1,0
1,-2.4,R-MMU-388396,GPCR downstream signalling,M1,1,0
1,-4.6,WP512,Id signaling pathway,M1,1,0
1,-3.2,GO:2000811,negative regulation of anoikis,M1,1,0
1,-2,GO:1903670,regulation of sprouting angiogenesis,M1,1,0
1,-4.2,GO:0031667,response to nutrient levels,M1,1,0
1,-2.2,GO:0002675,positive regulation of acute inflammatory response,M1,1,0
1,-2,R-MMU-422475,Axon guidance,M1,1,0
1,-2.4,R-MMU-3769402,Deactivation of the beta-catenin transactivating complex,M1,1,0
1,-2.2,GO:0048535,lymph node development,M1,1,0
1,-3.9,GO:0002521,leukocyte differentiation,M1,1,0
1,-2.4,mmu04060,Cytokine-cytokine receptor interaction,M1,1,0
1,-2.3,GO:0050920,regulation of chemotaxis,M1,1,0
1,-2.5,R-MMU-2871809,FCERI mediated Ca+2 mobilization,M1,1,0
1,-2.5,GO:0014887,cardiac muscle adaptation,M1,1,0
1,-3.7,GO:0051017,actin filament bundle assembly,M1,1,0
1,-3.4,GO:0050673,epithelial cell proliferation,M1,1,0
1,-3.4,GO:0048762,mesenchymal cell differentiation,M1,1,0
1,-2.1,GO:1902106,negative regulation of leukocyte differentiation,M1,1,0
1,-2.5,R-MMU-8874081,MET activates PTK2 signaling,M1,1,0
1,-2.7,GO:0051965,positive regulation of synapse assembly,M1,1,0
1,-2.2,GO:0042063,gliogenesis,M1,1,0
1,-4.5,GO:0016202,regulation of striated muscle tissue development,M1,1,0
1,-2.7,GO:0040017,positive regulation of locomotion,M1,1,0
