Name,Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value)
Geneid,GO Biological Processes,19,GO:0030155,regulation of cell adhesion,19_GO:0022610 biological adhesion,-7.9,4.4,7.5,20504,772,128,21,16,3.3,11482|11555|12043|12550|12775|13609|14083|14159|14268|16190|16197|16842|17127|18708|18793|19055|20304|26365|66214|94212|320832,Acvrl1|Adrb2|Bcl2|Cdh1|Ccr7|S1pr1|Ptk2|Fes|Fn1|Il4ra|Il7r|Lef1|Smad3|Pik3r1|Plaur|Ppp3ca|Ccl5|Ceacam1|Rgcc|Pag1|Sirpb1a,-4.6
Geneid,GO Biological Processes,19,GO:0042330,taxis,19_GO:0040011 locomotion,-7.1,4.6,7.2,20504,628,128,18,14,3.1,12769|12775|13609|14083|14131|14159|14268|15902|16842|17101|17127|18578|20304|20343|20351|80901|223435|545156,Ccr9|Ccr7|S1pr1|Ptk2|Fcgr3|Fes|Fn1|Id2|Lef1|Lyst|Smad3|Pde4b|Ccl5|Sell|Sema4a|Cxcr6|Trio|Kalrn,-4
Geneid,WikiPathways,27,WP85,Focal adhesion,,-6.6,8.7,8.3,20504,185,128,10,7.8,2.4,12043|12826|14083|14268|18479|18708|22165|22793|320207|329278,Bcl2|Col4a1|Ptk2|Fn1|Pak1|Pik3r1|Txk|Zyx|Pik3r5|Tnn,-3.7
Geneid,GO Biological Processes,19,GO:0042110,T cell activation,19_GO:0002376 immune system process,-6.5,4.7,6.9,20504,550,128,16,12,2.9,12043|12769|12775|16190|16197|16842|17127|17999|20230|20304|20351|22165|26365|94212|320832|545030,Bcl2|Ccr9|Ccr7|Il4ra|Il7r|Lef1|Smad3|Nedd4|Satb1|Ccl5|Sema4a|Txk|Ceacam1|Pag1|Sirpb1a|Wdfy4,-3.7
Geneid,GO Biological Processes,19,GO:0006935,chemotaxis,19_GO:0040011 locomotion,-6.5,4.4,6.8,20504,623,128,17,13,3,12769|12775|13609|14083|14131|14159|14268|16842|17101|17127|18578|20304|20343|20351|80901|223435|545156,Ccr9|Ccr7|S1pr1|Ptk2|Fcgr3|Fes|Fn1|Lef1|Lyst|Smad3|Pde4b|Ccl5|Sell|Sema4a|Cxcr6|Trio|Kalrn,-3.7
Geneid,GO Biological Processes,19,GO:0002521,leukocyte differentiation,19_GO:0002376 immune system process,-6.4,4.3,6.7,20504,633,128,17,13,3,12043|12769|12775|14159|15902|16190|16197|16842|17869|18514|18708|20230|20304|20351|22165|26365|224109,Bcl2|Ccr9|Ccr7|Fes|Id2|Il4ra|Il7r|Lef1|Myc|Pbx1|Pik3r1|Satb1|Ccl5|Sema4a|Txk|Ceacam1|Nrros,-3.6
Geneid,KEGG Pathway,24,ko04390,Hippo signaling pathway,,-6.3,9.4,8.3,20504,154,128,9,7,2.3,12550|15902|16842|17127|17869|21416|22630|170770|216033,Cdh1|Id2|Lef1|Smad3|Myc|Tcf7l2|Ywhaq|Bbc3|Ctnna3,-3.6
Geneid,GO Biological Processes,19,GO:0045596,negative regulation of cell differentiation,19_GO:0048519 negative regulation of biological process,-6.2,4,6.5,20504,723,128,18,14,3.1,11482|12579|14083|15902|16190|17127|17869|18479|18514|18708|19055|20351|21416|22695|26365|223435|228775|329278,Acvrl1|Cdkn2b|Ptk2|Id2|Il4ra|Smad3|Myc|Pak1|Pbx1|Pik3r1|Ppp3ca|Sema4a|Tcf7l2|Zfp36|Ceacam1|Trio|Trib3|Tnn,-3.6
Geneid,KEGG Pathway,24,mmu04390,Hippo signaling pathway,,-6.2,9.2,8.2,20504,157,128,9,7,2.3,12550|15902|16842|17127|17869|21416|22630|170770|216033,Cdh1|Id2|Lef1|Smad3|Myc|Tcf7l2|Ywhaq|Bbc3|Ctnna3,-3.5
Geneid,KEGG Pathway,24,ko05213,Endometrial cancer,,-6.2,19,10,20504,50,128,6,4.7,1.9,12550|16842|17869|18708|21416|216033,Cdh1|Lef1|Myc|Pik3r1|Tcf7l2|Ctnna3,-3.5
Geneid,KEGG Pathway,24,ko05222,Small cell lung cancer,,-6.1,14,9.1,20504,83,128,7,5.5,2,12043|12579|12826|14083|14268|17869|18708,Bcl2|Cdkn2b|Col4a1|Ptk2|Fn1|Myc|Pik3r1,-3.4
Geneid,KEGG Pathway,24,mmu05213,Endometrial cancer,,-6,18,9.9,20504,53,128,6,4.7,1.9,12550|16842|17869|18708|21416|216033,Cdh1|Lef1|Myc|Pik3r1|Tcf7l2|Ctnna3,-3.4
Geneid,GO Biological Processes,19,GO:0022407,regulation of cell-cell adhesion,19_GO:0022610 biological adhesion,-6,4.9,6.7,20504,457,128,14,11,2.8,11555|12550|12775|14083|16190|16197|16842|18708|18793|20304|26365|66214|94212|320832,Adrb2|Cdh1|Ccr7|Ptk2|Il4ra|Il7r|Lef1|Pik3r1|Plaur|Ccl5|Ceacam1|Rgcc|Pag1|Sirpb1a,-3.4
Geneid,KEGG Pathway,24,mmu05222,Small cell lung cancer,,-6,13,8.9,20504,86,128,7,5.5,2,12043|12579|12826|14083|14268|17869|18708,Bcl2|Cdkn2b|Col4a1|Ptk2|Fn1|Myc|Pik3r1,-3.4
Geneid,KEGG Pathway,24,mmu05200,Pathways in cancer,,-5.7,5.1,6.6,20504,411,128,13,10,2.7,12043|12550|12579|12826|14083|14268|16842|17127|17869|18708|18752|21416|216033,Bcl2|Cdh1|Cdkn2b|Col4a1|Ptk2|Fn1|Lef1|Smad3|Myc|Pik3r1|Prkcg|Tcf7l2|Ctnna3,-3.2
Geneid,GO Biological Processes,19,GO:0046631,alpha-beta T cell activation,19_GO:0002376 immune system process,-5.6,7.9,7.4,20504,183,128,9,7,2.3,12043|12775|16190|16842|20230|20351|22165|26365|545030,Bcl2|Ccr7|Il4ra|Lef1|Satb1|Sema4a|Txk|Ceacam1|Wdfy4,-3.1
Geneid,GO Biological Processes,19,GO:0060485,mesenchyme development,19_GO:0032502 developmental process,-5.6,6,6.9,20504,293,128,11,8.6,2.5,11482|12043|14268|16842|17127|17869|17999|18793|20351|21416|66214,Acvrl1|Bcl2|Fn1|Lef1|Smad3|Myc|Nedd4|Plaur|Sema4a|Tcf7l2|Rgcc,-3.1
Geneid,GO Biological Processes,19,GO:0048659,smooth muscle cell proliferation,19_GO:0009987 cellular process,-5.6,7.8,7.4,20504,184,128,9,7,2.3,13609|14083|15902|17869|18479|18708|20304|21416|545156,S1pr1|Ptk2|Id2|Myc|Pak1|Pik3r1|Ccl5|Tcf7l2|Kalrn,-3.1
Geneid,KEGG Pathway,24,ko05210,Colorectal cancer,,-5.6,16,9.1,20504,62,128,6,4.7,1.9,12043|16842|17127|17869|18708|21416,Bcl2|Lef1|Smad3|Myc|Pik3r1|Tcf7l2,-3.1
Geneid,GO Biological Processes,19,GO:1903131,mononuclear cell differentiation,19_GO:0002376 immune system process,-5.6,4.6,6.3,20504,492,128,14,11,2.8,12043|12769|12775|14159|15902|16190|16197|16842|17869|18514|18708|20230|20351|22165,Bcl2|Ccr9|Ccr7|Fes|Id2|Il4ra|Il7r|Lef1|Myc|Pbx1|Pik3r1|Satb1|Sema4a|Txk,-3.1
Geneid,GO Biological Processes,19,GO:0030335,positive regulation of cell migration,19_GO:0040011 locomotion,-5.5,4.2,6.2,20504,571,128,15,12,2.8,12043|12775|13609|14083|14268|16842|17127|17869|18479|18708|19055|20304|20343|20351|237860,Bcl2|Ccr7|S1pr1|Ptk2|Fn1|Lef1|Smad3|Myc|Pak1|Pik3r1|Ppp3ca|Ccl5|Sell|Sema4a|Ssh2,-3.1
Geneid,GO Biological Processes,19,GO:0030036,actin cytoskeleton organization,19_GO:0009987 cellular process,-5.5,3.7,6,20504,728,128,17,13,3,12043|12550|12775|13609|14159|17127|17888|18479|18708|22351|22793|27360|29856|50874|66214|216033|237860,Bcl2|Cdh1|Ccr7|S1pr1|Fes|Smad3|Myh6|Pak1|Pik3r1|Vill|Zyx|Add3|Smtn|Tmod4|Rgcc|Ctnna3|Ssh2,-3.1
Geneid,Reactome Gene Sets,6,R-MMU-372790,Signaling by GPCR,,-5.5,4.2,6.1,20504,578,128,15,12,2.8,11555|12769|12775|13609|14608|18578|18708|18752|20304|22354|80901|108072|223435|320207|545156,Adrb2|Ccr9|Ccr7|S1pr1|Gpr83|Pde4b|Pik3r1|Prkcg|Ccl5|Vipr1|Cxcr6|Grm6|Trio|Pik3r5|Kalrn,-3
Geneid,GO Biological Processes,19,GO:0048667,cell morphogenesis involved in neuron differentiation,19_GO:0032502 developmental process,-5.5,3.9,6,20504,657,128,16,12,2.9,12043|12322|13048|13631|14083|14268|15902|17999|18174|18479|19055|20351|223435|329152|329278|545156,Bcl2|Camk2a|Cux2|Eef2k|Ptk2|Fn1|Id2|Nedd4|Slc11a2|Pak1|Ppp3ca|Sema4a|Trio|Hecw2|Tnn|Kalrn,-3
Geneid,KEGG Pathway,24,mmu05210,Colorectal cancer,,-5.5,15,8.7,20504,66,128,6,4.7,1.9,12043|16842|17127|17869|18708|21416,Bcl2|Lef1|Smad3|Myc|Pik3r1|Tcf7l2,-3
Geneid,KEGG Pathway,24,ko04310,Wnt signaling pathway,,-5.4,8.8,7.5,20504,146,128,8,6.2,2.1,12322|16842|17127|17869|18752|19055|20437|21416,Camk2a|Lef1|Smad3|Myc|Prkcg|Ppp3ca|Siah1a|Tcf7l2,-3
Geneid,KEGG Pathway,24,mmu04310,Wnt signaling pathway,,-5.4,8.7,7.4,20504,148,128,8,6.2,2.1,12322|16842|17127|17869|18752|19055|20437|21416,Camk2a|Lef1|Smad3|Myc|Prkcg|Ppp3ca|Siah1a|Tcf7l2,-2.9
Geneid,GO Biological Processes,19,GO:0060326,cell chemotaxis,19_GO:0040011 locomotion,-5.4,5.6,6.5,20504,313,128,11,8.6,2.5,12769|12775|13609|14083|14131|16842|17101|18578|20304|20343|80901,Ccr9|Ccr7|S1pr1|Ptk2|Fcgr3|Lef1|Lyst|Pde4b|Ccl5|Sell|Cxcr6,-2.9
