_MEMBER_Geneid,_LogP_Geneid,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
1,-5.5,TRR01463,M1,1,0,TRRUST,34,Regulated by: Tcf4,,-5.5,21,9.8,20504,21,234,5,2.1,0.95,12550|14268|15902|17869|18793,Cdh1|Fn1|Id2|Myc|Plaur,-2.5,0
1,-4.5,TRR00399,M1,1,0,TRRUST,34,Regulated by: Foxo1,,-4.5,9.9,7,20504,53,234,6,2.6,1,12775|16197|16598|18708|20343|228775,Ccr7|Il7r|Klf2|Pik3r1|Sell|Trib3,-2.1,0
1,-4.5,TRR01494,M1,1,0,TRRUST,34,Regulated by: Trp53,,-4.5,5.1,5.8,20504,173,234,10,4.3,1.3,11910|12043|12227|14083|15902|16598|17127|17869|21416|170770,Atf3|Bcl2|Btg2|Ptk2|Id2|Klf2|Smad3|Myc|Tcf7l2|Bbc3,-2.1,0
1,-3.6,TRR00444,M1,1,0,TRRUST,34,Regulated by: Gfi1,,-3.6,24,8.2,20504,11,234,3,1.3,0.74,12579|15902|16197,Cdkn2b|Id2|Il7r,-1.5,0
1,-3.5,TRR00149,M1,1,0,TRRUST,34,Regulated by: Cebpb,,-3.5,8.4,5.8,20504,52,234,5,2.1,0.95,11910|12043|12227|15902|17869,Atf3|Bcl2|Btg2|Id2|Myc,-1.5,0
1,-3.5,TRR00838,M1,1,0,TRRUST,34,Regulated by: Myc,,-3.5,8.4,5.8,20504,52,234,5,2.1,0.95,12043|12550|12579|17869|22695,Bcl2|Cdh1|Cdkn2b|Myc|Zfp36,-1.5,0
1,-3.3,TRR01084,M1,1,0,TRRUST,34,Regulated by: Pbx1,,-3.3,19,7.1,20504,14,234,3,1.3,0.74,12550|12579|18514,Cdh1|Cdkn2b|Pbx1,-1.3,0
1,-3.1,TRR00951,M1,1,0,TRRUST,34,Regulated by: Nfkb1,,-3.1,3.8,4.3,20504,210,234,9,3.8,1.3,12043|12516|12550|14268|16842|17869|18793|20304|319765,Bcl2|Cd7|Cdh1|Fn1|Lef1|Myc|Plaur|Ccl5|Igf2bp2,-1.2,0
1,-2.7,TRR00638,M1,1,0,TRRUST,34,Regulated by: Irf8,,-2.7,11,5.4,20504,23,234,3,1.3,0.74,12579|20304|239081,Cdkn2b|Ccl5|Tlr11,-0.77,0
1,-2.6,TRR01368,M1,1,0,TRRUST,34,Regulated by: Stat3,,-2.6,5.4,4.3,20504,81,234,5,2.1,0.95,12043|13609|17869|18708|21416,Bcl2|S1pr1|Myc|Pik3r1|Tcf7l2,-0.77,0
1,-2.6,TRR01462,M1,1,0,TRRUST,34,Regulated by: Tcf3,,-2.6,6.9,4.5,20504,51,234,4,1.7,0.85,12516|12550|15901|16842,Cd7|Cdh1|Id1|Lef1,-0.74,0
1,-2.5,TRR01315,M1,1,0,TRRUST,34,Regulated by: Smad3,,-2.5,6.7,4.5,20504,52,234,4,1.7,0.85,12550|12579|14268|17869,Cdh1|Cdkn2b|Fn1|Myc,-0.74,0
1,-2.3,TRR01330,M1,1,0,TRRUST,34,Regulated by: Snai1,,-2.3,8.8,4.6,20504,30,234,3,1.3,0.74,12550|14268|15901,Cdh1|Fn1|Id1,-0.58,0
1,-2.1,TRR00179,M1,1,0,TRRUST,34,Regulated by: Ctnnb1,,-2.1,5.2,3.7,20504,68,234,4,1.7,0.85,12550|16842|17869|21416,Cdh1|Lef1|Myc|Tcf7l2,-0.4,0
