Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
GO Biological Processes,19,GO:0030155,regulation of cell adhesion,19_GO:0022610 biological adhesion,-12,3.3,9,20504,772,377,47,12,1.7,11492|11534|11629|12367|12477|12520|12522|12977|13642|13655|13848|14758|16153|16196|16400|16410|16412|16768|16878|16963|17863|18186|18750|18846|19122|19247|20371|20750|21923|22164|22329|54167|54371|54446|54698|55985|58205|60505|74256|94214|171285|218397|235431|240754|243743|320404|100043314,Adam19|Adk|Aif1|Casp3|Ctla4|Cd81|Cd83|Csf1|Efnb2|Egr3|Ephb6|Gpm6b|Il10|Il7|Itga3|Itgav|Itgb1|Lag3|Lif|Xcl1|Myb|Nrp1|Prkca|Plxna3|Prnp|Ptpn11|Foxp3|Spp1|Tnc|Tnfsf4|Vcam1|Icos|Chst2|Nfat5|Crtam|Cxcl13|Pdcd1lg2|Il21|Cyld|Spock2|Havcr2|Rasa1|Coro2b|Lax1|Plxna4|Itpkb|Tigit,-8,Geneid
GO Biological Processes,19,GO:0050863,regulation of T cell activation,19_GO:0002376 immune system process,-12,4.8,9.6,20504,342,377,30,8,1.4,11534|11629|12367|12458|12477|12520|12522|13642|13655|13848|16196|16768|16963|17863|19122|20371|22164|22329|54167|54698|58205|59009|60505|74256|171285|234396|240754|252838|320404|100043314,Adk|Aif1|Casp3|Ccr6|Ctla4|Cd81|Cd83|Efnb2|Egr3|Ephb6|Il7|Lag3|Xcl1|Myb|Prnp|Foxp3|Tnfsf4|Vcam1|Icos|Crtam|Pdcd1lg2|Sh3rf1|Il21|Cyld|Havcr2|Ankle1|Lax1|Tox|Itpkb|Tigit,-7.8,Geneid
GO Biological Processes,19,GO:0042110,T cell activation,19_GO:0002376 immune system process,-12,3.8,9,20504,550,377,38,10,1.6,11534|11629|12367|12458|12477|12520|12522|13642|13655|13848|14360|16196|16364|16410|16768|16963|17863|19122|20371|21949|22163|22164|22329|30925|53314|54167|54698|58205|58206|59009|60505|74256|171285|234396|240754|252838|320404|100043314,Adk|Aif1|Casp3|Ccr6|Ctla4|Cd81|Cd83|Efnb2|Egr3|Ephb6|Fyn|Il7|Irf4|Itgav|Lag3|Xcl1|Myb|Prnp|Foxp3|Tnfsf8|Tnfrsf4|Tnfsf4|Vcam1|Slamf6|Batf|Icos|Crtam|Pdcd1lg2|Zbtb32|Sh3rf1|Il21|Cyld|Havcr2|Ankle1|Lax1|Tox|Itpkb|Tigit,-7.8,Geneid
GO Biological Processes,19,GO:1903037,regulation of leukocyte cell-cell adhesion,19_GO:0022610 biological adhesion,-11,4.6,9,20504,333,377,28,7.4,1.4,11534|11629|12367|12477|12520|12522|13642|13655|13848|16196|16768|16963|17863|19122|20371|22164|22329|54167|54371|54446|54698|58205|60505|74256|171285|240754|320404|100043314,Adk|Aif1|Casp3|Ctla4|Cd81|Cd83|Efnb2|Egr3|Ephb6|Il7|Lag3|Xcl1|Myb|Prnp|Foxp3|Tnfsf4|Vcam1|Icos|Chst2|Nfat5|Crtam|Pdcd1lg2|Il21|Cyld|Havcr2|Lax1|Itpkb|Tigit,-6.9,Geneid
GO Biological Processes,19,GO:0045785,positive regulation of cell adhesion,19_GO:0022610 biological adhesion,-10,3.8,8.4,20504,472,377,33,8.8,1.5,11492|11534|11629|12520|12522|12977|13642|13655|13848|16196|16400|16410|16412|16878|16963|17863|18186|18750|19247|20371|20750|22164|22329|54167|54371|54446|55985|58205|60505|74256|94214|171285|320404,Adam19|Adk|Aif1|Cd81|Cd83|Csf1|Efnb2|Egr3|Ephb6|Il7|Itga3|Itgav|Itgb1|Lif|Xcl1|Myb|Nrp1|Prkca|Ptpn11|Foxp3|Spp1|Tnfsf4|Vcam1|Icos|Chst2|Nfat5|Cxcl13|Pdcd1lg2|Il21|Cyld|Spock2|Havcr2|Itpkb,-6.7,Geneid
GO Biological Processes,19,GO:0007159,leukocyte cell-cell adhesion,19_GO:0022610 biological adhesion,-10,4.2,8.6,20504,373,377,29,7.7,1.4,11534|11629|12367|12477|12520|12522|13642|13655|13848|16196|16412|16768|16963|17863|19122|20371|22164|22329|54167|54371|54446|54698|58205|60505|74256|171285|240754|320404|100043314,Adk|Aif1|Casp3|Ctla4|Cd81|Cd83|Efnb2|Egr3|Ephb6|Il7|Itgb1|Lag3|Xcl1|Myb|Prnp|Foxp3|Tnfsf4|Vcam1|Icos|Chst2|Nfat5|Crtam|Pdcd1lg2|Il21|Cyld|Havcr2|Lax1|Itpkb|Tigit,-6.6,Geneid
GO Biological Processes,19,GO:0022407,regulation of cell-cell adhesion,19_GO:0022610 biological adhesion,-10,3.8,8.3,20504,457,377,32,8.5,1.4,11492|11534|11629|12367|12477|12520|12522|13642|13655|13848|16153|16196|16768|16963|17863|18750|19122|20371|22164|22329|54167|54371|54446|54698|55985|58205|60505|74256|171285|240754|320404|100043314,Adam19|Adk|Aif1|Casp3|Ctla4|Cd81|Cd83|Efnb2|Egr3|Ephb6|Il10|Il7|Lag3|Xcl1|Myb|Prkca|Prnp|Foxp3|Tnfsf4|Vcam1|Icos|Chst2|Nfat5|Crtam|Cxcl13|Pdcd1lg2|Il21|Cyld|Havcr2|Lax1|Itpkb|Tigit,-6.5,Geneid
GO Biological Processes,19,GO:0002694,regulation of leukocyte activation,19_GO:0002376 immune system process,-9.7,3.1,7.8,20504,725,377,41,11,1.6,11534|11629|12367|12458|12477|12520|12522|13642|13655|13848|16016|16153|16196|16768|16803|16963|17470|17863|19122|20371|22163|22164|22329|27027|54167|54698|58205|59009|60505|67742|74256|171285|229521|231130|234396|240754|252838|320404|380795|380797|100043314,Adk|Aif1|Casp3|Ccr6|Ctla4|Cd81|Cd83|Efnb2|Egr3|Ephb6|Ighg2b|Il10|Il7|Lag3|Lbp|Xcl1|Cd200|Myb|Prnp|Foxp3|Tnfrsf4|Tnfsf4|Vcam1|Tspan32|Icos|Crtam|Pdcd1lg2|Sh3rf1|Il21|Samsn1|Cyld|Havcr2|Syt11|Tnip2|Ankle1|Lax1|Tox|Itpkb|Ighg3|Ighd|Tigit,-6.4,Geneid
GO Biological Processes,19,GO:0051249,regulation of lymphocyte activation,19_GO:0002376 immune system process,-9.6,3.3,7.9,20504,611,377,37,9.8,1.5,11534|11629|12367|12458|12477|12520|12522|13642|13655|13848|16016|16153|16196|16768|16963|17863|19122|20371|22163|22164|22329|54167|54698|58205|59009|60505|67742|74256|171285|231130|234396|240754|252838|320404|380795|380797|100043314,Adk|Aif1|Casp3|Ccr6|Ctla4|Cd81|Cd83|Efnb2|Egr3|Ephb6|Ighg2b|Il10|Il7|Lag3|Xcl1|Myb|Prnp|Foxp3|Tnfrsf4|Tnfsf4|Vcam1|Icos|Crtam|Pdcd1lg2|Sh3rf1|Il21|Samsn1|Cyld|Havcr2|Tnip2|Ankle1|Lax1|Tox|Itpkb|Ighg3|Ighd|Tigit,-6.3,Geneid
GO Biological Processes,19,GO:0050865,regulation of cell activation,19_GO:0050789 regulation of biological process,-9.5,3,7.6,20504,770,377,42,11,1.6,11534|11629|12367|12458|12477|12520|12522|13642|13655|13848|16016|16153|16196|16768|16803|16963|17470|17863|18750|19122|20371|22163|22164|22329|27027|54167|54698|58205|59009|60505|67742|74256|171285|229521|231130|234396|240754|252838|320404|380795|380797|100043314,Adk|Aif1|Casp3|Ccr6|Ctla4|Cd81|Cd83|Efnb2|Egr3|Ephb6|Ighg2b|Il10|Il7|Lag3|Lbp|Xcl1|Cd200|Myb|Prkca|Prnp|Foxp3|Tnfrsf4|Tnfsf4|Vcam1|Tspan32|Icos|Crtam|Pdcd1lg2|Sh3rf1|Il21|Samsn1|Cyld|Havcr2|Syt11|Tnip2|Ankle1|Lax1|Tox|Itpkb|Ighg3|Ighd|Tigit,-6.2,Geneid
