Cluster,Score,Type,Gene,Symbol,Network
3,3.5,Clustered,15945,Cxcl10,Geneid_SUB1
3,3.5,Clustered,55985,Cxcl13,Geneid_SUB1
3,3.5,Clustered,12458,Ccr6,Geneid_SUB1
3,3.5,Seed,12145,Cxcr5,Geneid_SUB1
3,3.5,Clustered,66066,Gng11,Geneid_SUB1
3,3.5,Clustered,12776,Ccr8,Geneid_SUB1
3,3.5,Clustered,18390,Oprm1,Geneid_SUB1
3,3.5,Clustered,18619,Penk,Geneid_SUB1
2,2.1818181818181817,Clustered,18186,Nrp1,Geneid_SUB1
2,2.1818181818181817,Clustered,16412,Itgb1,Geneid_SUB1
2,2.1818181818181817,Clustered,65254,Dpysl5,Geneid_SUB1
2,2.1818181818181817,Seed,27027,Tspan32,Geneid_SUB1
2,2.1818181818181817,Clustered,16400,Itga3,Geneid_SUB1
2,2.1818181818181817,Clustered,18846,Plxna3,Geneid_SUB1
2,2.1818181818181817,Clustered,14360,Fyn,Geneid_SUB1
2,2.1818181818181817,Clustered,243743,Plxna4,Geneid_SUB1
2,2.1818181818181817,Clustered,12477,Ctla4,Geneid_SUB1
2,2.1818181818181817,Clustered,320910,Itgb8,Geneid_SUB1
2,2.1818181818181817,Clustered,16410,Itgav,Geneid_SUB1
5,2.0,Clustered,20750,Spp1,Geneid_SUB1
5,2.0,Seed,83453,Chrdl1,Geneid_SUB1
5,2.0,Clustered,21923,Tnc,Geneid_SUB1
5,2.0,Clustered,12977,Csf1,Geneid_SUB1
5,2.0,Clustered,22393,Wfs1,Geneid_SUB1
6,2.0,Seed,108800,Ston2,Geneid_SUB1
6,2.0,Clustered,77057,Ston1,Geneid_SUB1
6,2.0,Clustered,215114,Hip1,Geneid_SUB1
6,2.0,Clustered,13043,Cttn,Geneid_SUB1
6,2.0,Clustered,229521,Syt11,Geneid_SUB1
1,1.3076923076923077,Clustered,12984,Csf2rb2,Geneid_SUB1
1,1.3076923076923077,Clustered,60505,Il21,Geneid_SUB1
1,1.3076923076923077,Clustered,17951,Naip5,Geneid_SUB1
1,1.3076923076923077,Clustered,21353,Tank,Geneid_SUB1
1,1.3076923076923077,Clustered,53314,Batf,Geneid_SUB1
1,1.3076923076923077,Clustered,66213,Med7,Geneid_SUB1
1,1.3076923076923077,Clustered,16878,Lif,Geneid_SUB1
1,1.3076923076923077,Clustered,17952,Naip6,Geneid_SUB1
1,1.3076923076923077,Clustered,20371,Foxp3,Geneid_SUB1
1,1.3076923076923077,Clustered,16364,Irf4,Geneid_SUB1
1,1.3076923076923077,Clustered,12615,Cenpa,Geneid_SUB1
1,1.3076923076923077,Clustered,70122,Mllt3,Geneid_SUB1
1,1.3076923076923077,Clustered,19247,Ptpn11,Geneid_SUB1
4,2.5,Clustered,246190,Otoa,Geneid_SUB2
4,2.5,Clustered,17068,Ly6d,Geneid_SUB2
4,2.5,Clustered,11647,Alpl,Geneid_SUB2
4,2.5,Clustered,64931,Izumo1r,Geneid_SUB2
4,2.5,Clustered,68404,Nrn1,Geneid_SUB2
4,2.5,Seed,109979,Art3,Geneid_SUB2
7,1.0,Clustered,14866,Gstm5,Geneid_SUB3
7,1.0,Clustered,14871,Gstt1,Geneid_SUB3
7,1.0,Seed,14865,Gstm4,Geneid_SUB3
