_MEMBER_Geneid,_LogP_Geneid,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
1,-5.7,TRR00951,M1,1,0,TRRUST,34,Regulated by: Nfkb1,,-5.7,4.1,6.3,20504,210,377,16,4.2,1,12977|13070|15945|16153|16364|16878|17863|19696|20371|20511|22163|22329|53416|55985|93692|381777,Csf1|Cyp11a1|Cxcl10|Il10|Irf4|Lif|Myb|Rel|Foxp3|Slc1a2|Tnfrsf4|Vcam1|Stk39|Cxcl13|Glrx|Igkv1-110,-2.8,0
1,-4.5,TRR00939,M1,1,0,TRRUST,34,Regulated by: Nfatc2,,-4.5,13,7.5,20504,21,377,5,1.3,0.59,13655|16153|18018|54167|60505,Egr3|Il10|Nfatc1|Icos|Il21,-2.1,0
1,-4.3,TRR00993,M1,1,0,TRRUST,34,Regulated by: Nr4a2,,-4.3,18,8.1,20504,12,377,4,1.1,0.53,18186|20371|20750|21923,Nrp1|Foxp3|Spp1|Tnc,-2,0
1,-3.9,TRR01190,M1,1,0,TRRUST,34,Regulated by: Rela,,-3.9,4.3,5.1,20504,127,377,10,2.7,0.83,12977|13070|15945|16153|16364|20511|22163|22329|53416|381777,Csf1|Cyp11a1|Cxcl10|Il10|Irf4|Slc1a2|Tnfrsf4|Vcam1|Stk39|Igkv1-110,-1.7,0
1,-3.2,TRR01453,M1,1,0,TRRUST,34,Regulated by: Tbx21,,-3.2,16,6.6,20504,10,377,3,0.8,0.46,16196|20750|60505,Il7|Spp1|Il21,-1.1,0
1,-3.1,TRR01368,M1,1,0,TRRUST,34,Regulated by: Stat3,,-3.1,4.7,4.6,20504,81,377,7,1.9,0.7,12609|15251|16153|16878|17132|53314|60505,Cebpd|Hif1a|Il10|Lif|Maf|Batf|Il21,-1.1,0
1,-3,TRR01129,M1,1,0,TRRUST,34,Regulated by: Prdm1,,-3,15,6.3,20504,11,377,3,0.8,0.46,12145|15903|18566,Cxcr5|Id3|Pdcd1,-1,0
1,-3,TRR01112,M1,1,0,TRRUST,34,Regulated by: Pou2af1,,-3,8.7,5.3,20504,25,377,4,1.1,0.53,12145|15903|18987|381777,Cxcr5|Id3|Pou2f2|Igkv1-110,-1,0
1,-2.6,TRR01189,M1,1,0,TRRUST,34,Regulated by: Rel,,-2.6,7,4.6,20504,31,377,4,1.1,0.53,12609|20371|60505|381777,Cebpd|Foxp3|Il21|Igkv1-110,-0.7,0
1,-2.5,TRR00804,M1,1,0,TRRUST,34,Regulated by: Mecp2,,-2.5,10,5,20504,16,377,3,0.8,0.46,14229|18390|22634,Fkbp5|Oprm1|Plagl1,-0.68,0
1,-2.5,TRR00437,M1,1,0,TRRUST,34,Regulated by: Gata3,,-2.5,9.6,4.9,20504,17,377,3,0.8,0.46,12580|16153|20371,Cdkn2c|Il10|Foxp3,-0.64,0
