,gene,Geneid,genename,dfin_change,dfin_log2FC,dfin_padj,dfin_Change Metric
1,1,ENSMUSG00000116624,ENSMUSG00000116624,Down,-50.5768605661331,3.0900360345269e-73,-3667.33000348087
2,2,ENSMUSG00000108219,ENSMUSG00000108219,Down,-49.1991721732607,3.0900360345269e-73,-3567.43376788867
3,3,ENSMUSG00000100985,Gm10640,Down,-41.6050286004187,1.36930265963544e-36,-1492.10196602315
4,4,ENSMUSG00000097150,ENSMUSG00000097150,Down,-48.7229107783861,3.6881622297427e-30,-1434.07068951652
5,5,ENSMUSG00000114390,ENSMUSG00000114390,Down,-22.6162744717935,3.1096289525275e-51,-1142.28676578091
6,6,ENSMUSG00000101189,1700029M03Rik,Down,-39.5297393896558,2.07221914737968e-24,-936.205125297537
7,7,ENSMUSG00000004267,Eno2,Down,-41.45535517306,1.86714673526518e-22,-900.776014863437
8,8,ENSMUSG00000036151,Tm6sf2,Down,-47.2182421438979,1.58821257344527e-19,-887.660048399143
9,9,ENSMUSG00000101587,Gm29036,Down,-42.4006102214908,1.23652496609638e-18,-759.301525211144
10,10,ENSMUSG00000093861,Igkv1-110,Down,-35.1168484610607,1.92610665909442e-20,-692.33989311714
11,11,ENSMUSG00000092077,Olfr101,Down,-36.4990463304769,1.77656603225506e-19,-684.372398869253
12,12,ENSMUSG00000107728,ENSMUSG00000107728,Down,-36.0297372041468,1.28574916474572e-18,-644.602398641792
13,13,ENSMUSG00000000753,Serpinf1,Down,-38.9911022988563,2.15735285387632e-15,-571.846579454794
14,14,ENSMUSG00000100302,ENSMUSG00000100302,Down,-38.0687267920194,1.74661662479624e-15,-561.810748012841
15,15,ENSMUSG00000086184,ENSMUSG00000086184,Down,-39.3194873545633,5.94861435611203e-15,-559.342677478286
16,16,ENSMUSG00000045231,BC106179,Down,-20.1353231844876,2.4202437821779e-27,-535.924598682477
17,17,ENSMUSG00000049521,Cdc42ep1,Down,-39.1358704635366,3.4134927005457e-14,-527.034980336112
18,18,ENSMUSG00000106184,ENSMUSG00000106184,Down,-32.2521059991022,4.87671850435611e-17,-526.092234856323
19,19,ENSMUSG00000030598,Fbxo17,Down,-22.6338648926212,1.6904649369527e-23,-515.418231747036
20,20,ENSMUSG00000084775,ENSMUSG00000084775,Down,-23.0478979444111,8.86463160388125e-21,-462.164269919476
21,21,ENSMUSG00000027524,Edn3,Down,-30.4840894847308,7.81391984839378e-16,-460.52713472119
22,22,ENSMUSG00000114235,ENSMUSG00000114235,Down,-21.1065557687341,1.57593520225115e-22,-460.174872571504
23,23,ENSMUSG00000039781,Cep131,Down,-23.5365236198517,3.01260784953875e-20,-459.457828500946
24,24,ENSMUSG00000087436,ENSMUSG00000087436,Down,-37.9490491234127,1.24018446378036e-12,-451.840873802659
25,25,ENSMUSG00000102662,ENSMUSG00000102662,Down,-37.3975590513968,2.80092669451835e-12,-432.042715281289
26,26,ENSMUSG00000021565,Slc6a19,Down,-16.584252688772,2.42152896369916e-25,-408.236477110498
27,27,ENSMUSG00000086150,Bach2os,Down,-21.284097358446,3.32098245765133e-19,-393.303161139256
28,28,ENSMUSG00000086013,Gm15706,Down,-22.4198918325084,1.33408145190127e-17,-378.331586493835
29,29,ENSMUSG00000105550,ENSMUSG00000105550,Down,-22.1164783285518,3.01769552099237e-17,-365.371400592517
30,30,ENSMUSG00000018398,Septin8,Down,-21.6378755373399,2.44818094282926e-17,-359.430136597623
31,31,ENSMUSG00000097874,ENSMUSG00000097874,Down,-34.4586846191841,1.97234599047535e-10,-334.422116527002
32,32,ENSMUSG00000112670,Gm18042,Down,-34.203231219407,3.03972978053758e-10,-325.517795789319
33,33,ENSMUSG00000101462,ENSMUSG00000101462,Down,-23.9972038718797,4.21588629406396e-14,-320.965268137754
34,34,ENSMUSG00000104078,ENSMUSG00000104078,Down,-21.1160820934003,1.02158622086989e-15,-316.545379179137
35,35,ENSMUSG00000108659,Gm34121,Down,-22.3867645057368,1.74067442785481e-14,-308.025815994622
36,36,ENSMUSG00000094023,Trav7d-4,Down,-22.0165104508485,1.30202052791102e-14,-305.707661627728
37,37,ENSMUSG00000074682,Zcchc3,Down,-22.4987427584759,7.45554724441813e-14,-295.352706187736
38,38,ENSMUSG00000106859,ENSMUSG00000106859,Down,-23.1464815208101,1.7606234488296e-13,-295.217945091545
39,39,ENSMUSG00000085903,ENSMUSG00000085903,Down,-22.9479710538289,1.57339337757863e-13,-293.806606626543
40,40,ENSMUSG00000104138,ENSMUSG00000104138,Down,-32.8685229088619,1.82148045120631e-09,-287.256937055732
41,41,ENSMUSG00000107647,ENSMUSG00000107647,Down,-32.6788247902945,2.25630068769818e-09,-282.560825260166
42,42,ENSMUSG00000050910,Cdr2l,Down,-22.23990051823,2.59650053462066e-13,-279.902749581403
43,43,ENSMUSG00000023078,Cxcl13,Down,-32.5489822219978,2.653993786795e-09,-279.143329629976
44,44,ENSMUSG00000029072,Tas1r3,Down,-23.1675469656792,1.49507147044559e-12,-273.964074561467
45,45,ENSMUSG00000045140,Pigw,Down,-20.4793107462886,5.90631749753243e-14,-270.914314242095
46,46,ENSMUSG00000109244,ENSMUSG00000109244,Down,-23.0826318683609,3.09601927994638e-12,-265.662542297324
47,47,ENSMUSG00000068874,Selenbp1,Down,-22.7142911737678,3.31311437453314e-12,-260.754692363389
48,48,ENSMUSG00000032611,1700102P08Rik,Down,-22.0530085687375,7.72857625257134e-12,-245.050837025942
49,49,ENSMUSG00000111739,ENSMUSG00000111739,Down,-31.1185215956281,1.8373910341927e-08,-240.726609792523
50,50,ENSMUSG00000034164,Emid1,Down,-23.7014788440768,1.7150169966575e-10,-231.462280239529
51,51,ENSMUSG00000087347,ENSMUSG00000087347,Down,-22.4117312573896,7.11243875061282e-11,-227.433833298721
52,52,ENSMUSG00000022543,4930451G09Rik,Down,-23.8953340757965,3.06537679195659e-10,-227.328646280729
53,53,ENSMUSG00000045555,Mettl24,Down,-30.374798739077,4.75208151278289e-08,-222.438178241711
54,54,ENSMUSG00000044231,Nhlrc1,Down,-23.8611515199107,8.10993307730219e-10,-216.921316374612
55,55,ENSMUSG00000109970,Gm17995,Down,-22.0456304639625,1.9347010255056e-10,-214.137721355238
56,56,ENSMUSG00000087522,Gm371,Down,-21.5809438128261,1.95188952663647e-10,-209.541140048433
57,57,ENSMUSG00000102202,ENSMUSG00000102202,Down,-21.783045257269,2.65657223600979e-10,-208.587435313735
58,58,ENSMUSG00000051736,Fam229b,Down,-23.151480053969,1.37059518121179e-09,-205.193669859386
59,59,ENSMUSG00000113769,5033406O09Rik,Down,-29.5417414787339,1.30234981106401e-07,-203.402935733981
60,60,ENSMUSG00000040189,Odad1,Down,-22.0188859937655,6.01492302768079e-10,-203.031081773312
61,61,ENSMUSG00000107448,ENSMUSG00000107448,Down,-29.2816722158668,1.77699705975373e-07,-197.660461135156
62,62,ENSMUSG00000098062,ENSMUSG00000098062,Down,-29.1610143915347,2.24876248323251e-07,-193.864068729484
63,63,ENSMUSG00000107696,ENSMUSG00000107696,Down,-28.9475736840502,2.61476052590661e-07,-190.549374527329
64,64,ENSMUSG00000102960,ENSMUSG00000102960,Down,-24.2426960933913,1.18714893102847e-07,-167.892665592542
65,65,ENSMUSG00000085526,ENSMUSG00000085526,Down,-18.9400209762267,1.86556958285124e-09,-165.331014200971
66,66,ENSMUSG00000047671,Dynlt4,Down,-26.6689618939088,1.40159532614543e-06,-156.103497748543
