Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
GO Biological Processes,19,GO:0030217,T cell differentiation,19_GO:0002376 immune system process,-3.8,6.1,5.5,20504,302,78,7,9,3.2,12192|16197|20677|21414|21417|21949|30925,Zfp36l1|Il7r|Sox4|Tcf7|Zeb1|Tnfsf8|Slamf6,0,Geneid
GO Biological Processes,19,GO:0042110,T cell activation,19_GO:0002376 immune system process,-3.6,4.3,4.9,20504,550,78,9,12,3.6,12192|16197|20677|21414|21417|21949|30925|54167|328833,Zfp36l1|Il7r|Sox4|Tcf7|Zeb1|Tnfsf8|Slamf6|Icos|Treml2,0,Geneid
GO Biological Processes,19,GO:0002690,positive regulation of leukocyte chemotaxis,19_GO:0040011 locomotion,-3.3,11,6,20504,98,78,4,5.1,2.5,12273|13616|55985|68992,C5ar1|Edn3|Cxcl13|Zfp580,0,Geneid
GO Biological Processes,19,GO:0045619,regulation of lymphocyte differentiation,19_GO:0002376 immune system process,-3,6.5,4.9,20504,202,78,5,6.4,2.8,12192|16197|20677|21414|21417,Zfp36l1|Il7r|Sox4|Tcf7|Zeb1,0,Geneid
GO Biological Processes,19,GO:0002688,regulation of leukocyte chemotaxis,19_GO:0040011 locomotion,-2.9,8.4,5.1,20504,125,78,4,5.1,2.5,12273|13616|55985|68992,C5ar1|Edn3|Cxcl13|Zfp580,0,Geneid
GO Biological Processes,19,GO:1902105,regulation of leukocyte differentiation,19_GO:0002376 immune system process,-2.8,4.9,4.3,20504,323,78,6,7.7,3,12192|16197|20677|21414|21417|234515,Zfp36l1|Il7r|Sox4|Tcf7|Zeb1|Inpp4b,0,Geneid
GO Biological Processes,19,GO:0030098,lymphocyte differentiation,19_GO:0002376 immune system process,-2.8,4.1,4.1,20504,444,78,7,9,3.2,12192|16197|20677|21414|21417|21949|30925,Zfp36l1|Il7r|Sox4|Tcf7|Zeb1|Tnfsf8|Slamf6,0,Geneid
GO Biological Processes,19,GO:0050921,positive regulation of chemotaxis,19_GO:0040011 locomotion,-2.6,7,4.5,20504,151,78,4,5.1,2.5,12273|13616|55985|68992,C5ar1|Edn3|Cxcl13|Zfp580,0,Geneid
GO Biological Processes,19,GO:1903131,mononuclear cell differentiation,19_GO:0002376 immune system process,-2.6,3.7,3.8,20504,492,78,7,9,3.2,12192|16197|20677|21414|21417|21949|30925,Zfp36l1|Il7r|Sox4|Tcf7|Zeb1|Tnfsf8|Slamf6,0,Geneid
GO Biological Processes,19,GO:0002521,leukocyte differentiation,19_GO:0002376 immune system process,-2.6,3.3,3.7,20504,633,78,8,10,3.4,12192|16197|20677|21414|21417|21949|30925|234515,Zfp36l1|Il7r|Sox4|Tcf7|Zeb1|Tnfsf8|Slamf6|Inpp4b,0,Geneid
GO Biological Processes,19,GO:0002687,positive regulation of leukocyte migration,19_GO:0040011 locomotion,-2.6,6.9,4.5,20504,153,78,4,5.1,2.5,12273|13616|55985|68992,C5ar1|Edn3|Cxcl13|Zfp580,0,Geneid
GO Biological Processes,19,GO:0045580,regulation of T cell differentiation,19_GO:0002376 immune system process,-2.4,6.3,4.2,20504,168,78,4,5.1,2.5,16197|20677|21414|21417,Il7r|Sox4|Tcf7|Zeb1,0,Geneid
GO Biological Processes,19,GO:1903706,regulation of hemopoiesis,19_GO:0002376 immune system process,-2.4,3.9,3.7,20504,401,78,6,7.7,3,12192|16197|20677|21414|21417|234515,Zfp36l1|Il7r|Sox4|Tcf7|Zeb1|Inpp4b,0,Geneid
GO Biological Processes,19,GO:0032103,positive regulation of response to external stimulus,19_GO:0048518 positive regulation of biological process,-2.2,3.7,3.5,20504,427,78,6,7.7,3,12273|13616|30925|55985|67917|68992,C5ar1|Edn3|Slamf6|Cxcl13|Zcchc3|Zfp580,0,Geneid
GO Biological Processes,19,GO:0033077,T cell differentiation in thymus,19_GO:0002376 immune system process,-2.2,8.1,4.3,20504,97,78,3,3.8,2.2,12192|16197|21417,Zfp36l1|Il7r|Zeb1,0,Geneid
GO Biological Processes,19,GO:0030593,neutrophil chemotaxis,19_GO:0040011 locomotion,-2.2,7.7,4.2,20504,102,78,3,3.8,2.2,12273|13616|55985,C5ar1|Edn3|Cxcl13,0,Geneid
GO Biological Processes,19,GO:0008654,phospholipid biosynthetic process,19_GO:0008152 metabolic process,-2,4.8,3.5,20504,217,78,4,5.1,2.5,16475|18710|70325|208449,Ajuba|Pik3r3|Pigw|Sgms1,0,Geneid
GO Biological Processes,19,GO:0050863,regulation of T cell activation,19_GO:0002376 immune system process,-2,3.8,3.3,20504,342,78,5,6.4,2.8,16197|20677|21414|21417|54167,Il7r|Sox4|Tcf7|Zeb1|Icos,0,Geneid
