_MEMBER_Geneid,_LogP_Geneid,GO,Description,_PATTERN_,_RANK_,GiniIndex
1,-2.6,GO:0050921,positive regulation of chemotaxis,M1,1,0
1,-2.4,GO:0045580,regulation of T cell differentiation,M1,1,0
1,-2.8,GO:1902105,regulation of leukocyte differentiation,M1,1,0
1,-2.8,GO:0030098,lymphocyte differentiation,M1,1,0
1,-2.6,GO:1903131,mononuclear cell differentiation,M1,1,0
1,-2.9,GO:0002688,regulation of leukocyte chemotaxis,M1,1,0
1,-2.4,GO:1903706,regulation of hemopoiesis,M1,1,0
1,-3.3,GO:0002690,positive regulation of leukocyte chemotaxis,M1,1,0
1,-2.2,GO:0033077,T cell differentiation in thymus,M1,1,0
1,-2,GO:0050863,regulation of T cell activation,M1,1,0
1,-2,GO:0008654,phospholipid biosynthetic process,M1,1,0
1,-2.2,GO:0030593,neutrophil chemotaxis,M1,1,0
1,-2.2,GO:0032103,positive regulation of response to external stimulus,M1,1,0
1,-2.6,GO:0002687,positive regulation of leukocyte migration,M1,1,0
1,-2.6,GO:0002521,leukocyte differentiation,M1,1,0
1,-3.8,GO:0030217,T cell differentiation,M1,1,0
1,-3.6,GO:0042110,T cell activation,M1,1,0
1,-3,GO:0045619,regulation of lymphocyte differentiation,M1,1,0
