Gene,_SCORE_GRP1_,_SCORE_GRP2_,_SCORE_GRP3_,GRP1|19_GO:0042110|-3.625|T cell activation,GRP1|19_GO:0002521|-2.557|leukocyte differentiation,GRP1|19_GO:0030098|-2.824|lymphocyte differentiation,GRP1|19_GO:0030217|-3.819|T cell differentiation,GRP1|19_GO:1903131|-2.573|mononuclear cell differentiation,GRP1|19_GO:1903706|-2.373|regulation of hemopoiesis,GRP1|19_GO:1902105|-2.840|regulation of leukocyte differentiation,GRP1|19_GO:0045619|-2.982|regulation of lymphocyte differentiation,GRP1|19_GO:0045580|-2.412|regulation of T cell differentiation,GRP1|19_GO:0050863|-2.008|regulation of T cell activation,GRP1|19_GO:0033077|-2.219|T cell differentiation in thymus,GRP2|19_GO:0032103|-2.242|positive regulation of response to external stimulus,GRP2|19_GO:0002688|-2.878|regulation of leukocyte chemotaxis,GRP2|19_GO:0002690|-3.273|positive regulation of leukocyte chemotaxis,GRP2|19_GO:0050921|-2.578|positive regulation of chemotaxis,GRP2|19_GO:0002687|-2.557|positive regulation of leukocyte migration,GRP2|19_GO:0030593|-2.159|neutrophil chemotaxis,GRP3|19_GO:0008654|-2.024|phospholipid biosynthetic process,_SORT_,_SORT_GRP1_,_SORT_GRP2_,_SORT_GRP3_
30925,0.45454545454545453,0.16666666666666666,0.0,0.2,0.1,0.1,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,14,7,6,0
208449,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,2,0,0,2
12192,0.8181818181818182,0.0,0.0,0.2,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,5,0,0
21417,1.0,0.0,0.0,0.2,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,2,0,0
12273,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.1,0.1,0.1,0.0,6,0,2,0
18710,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1,0,0,1
16197,1.0,0.0,0.0,0.2,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,1,0,0
70325,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,3,0,0,3
68992,0.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.1,0.1,0.0,0.0,8,0,4,0
54167,0.18181818181818182,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,9,0,0
234515,0.2727272727272727,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,8,0,0
55985,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.1,0.1,0.1,0.0,5,0,1,0
16475,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,4,0,0,4
13616,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.1,0.1,0.1,0.0,7,0,3,0
21949,0.45454545454545453,0.0,0.0,0.2,0.1,0.1,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,6,0,0
67917,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,19,0,5,0
328833,0.09090909090909091,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,10,0,0
20677,0.9090909090909091,0.0,0.0,0.2,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,4,0,0
21414,0.9090909090909091,0.0,0.0,0.2,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,3,0,0
