Gene,TotalEvidenceCounts,EvidenceHit:Geneid,EvidenceGO:Geneid,EvidencePPI:Geneid
12192,3.0,1,1,1
16197,3.0,1,1,1
12273,3.0,1,1,1
55985,3.0,1,1,1
13616,3.0,1,1,1
237988,2.0,1,0,1
20317,2.0,1,0,1
231326,2.0,1,0,1
68992,2.0,1,1,0
83771,2.0,1,0,1
67865,2.0,1,0,1
29817,2.0,1,0,1
21417,2.0,1,1,0
18710,2.0,1,0,1
13070,2.0,1,0,1
20677,2.0,1,0,1
13807,2.0,1,0,1
21414,2.0,1,0,1
228012,2.0,1,0,1
20341,2.0,1,0,1
380918,2.0,1,0,1
29809,2.0,1,0,1
16475,2.0,1,0,1
12009,2.0,1,0,1
216197,2.0,1,0,1
234515,2.0,1,0,1
54167,2.0,1,0,1
108154,2.0,1,0,1
74684,1.0,1,0,0
627782,1.0,1,0,0
74901,1.0,1,0,0
20362,1.0,1,0,0
667765,1.0,1,0,0
105193,1.0,1,0,0
100042846,1.0,1,0,0
242646,1.0,1,0,0
72480,1.0,1,0,0
258831,1.0,1,0,0
236914,1.0,1,0,0
94222,1.0,1,0,0
70325,1.0,1,0,0
77675,1.0,1,0,0
223649,1.0,1,0,0
19290,1.0,1,0,0
102637256,1.0,1,0,0
50760,1.0,1,0,0
100416327,1.0,1,0,0
22678,1.0,1,0,0
21667,1.0,1,0,0
268445,1.0,1,0,0
58992,1.0,1,0,0
208449,1.0,1,0,0
240063,1.0,1,0,0
21949,1.0,1,0,0
11717,1.0,1,0,0
381777,1.0,1,0,0
320949,1.0,1,0,0
72185,1.0,1,0,0
115490185,1.0,1,0,0
16764,1.0,1,0,0
225579,1.0,1,0,0
140703,1.0,1,0,0
54169,1.0,1,0,0
213956,1.0,1,0,0
21822,1.0,1,0,0
104445,1.0,1,0,0
110948,1.0,1,0,0
100417939,1.0,1,0,0
260297,1.0,1,0,0
107770,1.0,1,0,0
71223,1.0,1,0,0
100504717,1.0,1,0,0
66353,1.0,1,0,0
268882,1.0,1,0,0
382180,1.0,1,0,0
327747,1.0,1,0,0
115487691,1.0,1,0,0
93737,1.0,1,0,0
74338,1.0,1,0,0
72180,1.0,1,0,0
100039495,1.0,1,0,0
381417,1.0,1,0,0
112418,1.0,1,0,0
100416240,1.0,1,0,0
76747,1.0,1,0,0
100124294,1.0,1,0,0
211535,1.0,1,0,0
100038516,1.0,1,0,0
115488732,1.0,1,0,0
67917,1.0,1,0,0
93724,1.0,1,0,0
66337,1.0,1,0,0
664975,1.0,1,0,0
14431,1.0,1,0,0
19894,1.0,1,0,0
320099,1.0,1,0,0
115487119,1.0,1,0,0
16206,1.0,1,0,0
30925,1.0,1,0,0
328833,1.0,1,0,0
69476,1.0,1,0,0
414068,1.0,1,0,0
630061,1.0,1,0,0
