,gene,Geneid,genename,dfin_change,dfin_log2FC,dfin_padj,dfin_Change Metric
1,1,ENSMUSG00000062127,Cttnbp2nl,Up,50.4911764290484,1.00606419982933e-29,1464.11154200406
2,2,ENSMUSG00000060843,Ctnna3,Up,46.8732329105726,4.13674564430484e-27,1236.6724961693
3,3,ENSMUSG00000017057,Il13ra1,Up,45.8980057812896,5.96753986553509e-26,1157.74069182038
4,4,ENSMUSG00000051506,Wdfy4,Up,40.908437510075,5.96702217270503e-28,1113.7012168674
5,5,ENSMUSG00000078816,Prkcg,Up,43.5875467202262,1.7938585121987e-24,1035.03911688171
6,6,ENSMUSG00000030178,Klra13-ps,Up,26.847077412645,2.22586942081705e-38,1010.85959078632
7,7,ENSMUSG00000024131,Slc3a1,Up,35.962525458508,2.07414135023345e-26,923.631354703635
8,8,ENSMUSG00000071550,Cfap44,Up,47.0480357438094,4.51340732596098e-20,910.167562378022
9,9,ENSMUSG00000071398,2410004P03Rik,Up,40.9962666832756,4.28208010324725e-22,876.02237892357
10,10,ENSMUSG00000070524,Fcrlb,Up,36.5484186957363,1.24398584647435e-22,800.599856936568
11,11,ENSMUSG00000086697,ENSMUSG00000086697,Up,45.659596785825,3.56111851577149e-18,796.687528275031
12,12,ENSMUSG00000007379,Dennd2c,Up,25.7928246430003,2.55596905881498e-31,789.065554011558
13,13,ENSMUSG00000006567,Atp7b,Up,45.0261319438562,3.71159955253973e-18,784.825241134161
14,14,ENSMUSG00000039911,Spsb1,Up,22.7536198225809,7.06949002964305e-35,777.0500401925
15,15,ENSMUSG00000103473,ENSMUSG00000103473,Up,42.9073766870629,1.50651589933069e-18,764.696394946241
16,16,ENSMUSG00000109629,ENSMUSG00000109629,Up,36.7077752664885,1.44350713007085e-20,728.303590950044
17,17,ENSMUSG00000005803,Sqor,Up,24.7943836656086,1.01399600410012e-28,694.093077698395
18,18,ENSMUSG00000031932,Gpr83,Up,23.3330295491948,7.93620339088441e-29,655.667165126652
19,19,ENSMUSG00000096001,2610528A11Rik,Up,37.1413864466248,3.56111851577149e-18,648.058271378679
20,20,ENSMUSG00000024617,Camk2a,Up,41.8610980294271,2.30737442466341e-15,612.715949127426
21,21,ENSMUSG00000030401,Rtn2,Up,41.6897145363965,2.80667006656394e-15,606.660748070272
22,22,ENSMUSG00000074272,Ceacam1,Up,39.3188747583011,8.88025693346459e-16,591.810971444118
23,23,ENSMUSG00000100798,Gm19589,Up,24.1548359504312,1.81196411839502e-24,573.480501734361
24,24,ENSMUSG00000037095,Lrg1,Up,37.1435353935404,3.67289458068781e-16,573.310154438076
25,25,ENSMUSG00000027380,Acoxl,Up,22.7989040240519,8.75230189663821e-26,571.292148967198
26,26,ENSMUSG00000044641,Pard6b,Up,36.1390445302626,1.84165124203847e-16,568.640370798275
27,27,ENSMUSG00000002012,Pnck,Up,39.5659246656812,2.76818360625436e-14,536.427095521756
28,28,ENSMUSG00000087685,ENSMUSG00000087685,Up,23.7553728083798,1.86714673526518e-22,516.176256616261
