Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
GO Biological Processes,19,GO:0031032,actomyosin structure organization,19_GO:0009987 cellular process,-5.1,6,6.5,20504,210,164,10,6.1,1.9,13823|17127|17888|18479|20971|21957|22793|50490|50525|50874,Epb41l3|Smad3|Myh6|Pak1|Sdc4|Tnnt3|Zyx|Nox4|Spag6l|Tmod4,-0.84,Geneid
WikiPathways,27,WP512,Id signaling pathway,,-4.3,12,7.2,20504,51,164,5,3,1.3,11482|11910|15902|17127|21416,Acvrl1|Atf3|Id2|Smad3|Tcf7l2,-0.51,Geneid
GO Biological Processes,19,GO:0030036,actin cytoskeleton organization,19_GO:0009987 cellular process,-4.1,2.9,4.7,20504,728,164,17,10,2.4,12550|13823|17127|17888|18479|20741|20971|21957|22351|22793|29856|50490|50525|50874|194401|216033|623781,Cdh1|Epb41l3|Smad3|Myh6|Pak1|Sptb|Sdc4|Tnnt3|Vill|Zyx|Smtn|Nox4|Spag6l|Tmod4|Mical3|Ctnna3|Gm14137,-0.51,Geneid
GO Biological Processes,19,GO:0010761,fibroblast migration,19_GO:0040011 locomotion,-4,11,6.7,20504,58,164,5,3,1.3,14083|18479|20971|50525|52392,Ptk2|Pak1|Sdc4|Spag6l|Macir,-0.51,Geneid
GO Biological Processes,19,GO:0050678,regulation of epithelial cell proliferation,19_GO:0050789 regulation of biological process,-4,3.7,5,20504,403,164,12,7.3,2,11482|12550|12571|12579|17127|18028|20304|21416|26365|76905|97165|328949,Acvrl1|Cdh1|Cdk6|Cdkn2b|Smad3|Nfib|Ccl5|Tcf7l2|Ceacam1|Lrg1|Hmgb2|Mcc,-0.51,Geneid
GO Biological Processes,19,GO:1901142,insulin metabolic process,19_GO:0008152 metabolic process,-4,31,9.4,20504,12,164,3,1.8,1,18549|21416|26365,Pcsk2|Tcf7l2|Ceacam1,-0.51,Geneid
GO Biological Processes,19,GO:0050673,epithelial cell proliferation,19_GO:0009987 cellular process,-3.9,3.4,4.8,20504,472,164,13,7.9,2.1,11482|12550|12571|12579|15902|17127|18028|20304|21416|26365|76905|97165|328949,Acvrl1|Cdh1|Cdk6|Cdkn2b|Id2|Smad3|Nfib|Ccl5|Tcf7l2|Ceacam1|Lrg1|Hmgb2|Mcc,-0.51,Geneid
GO Biological Processes,19,GO:0034110,regulation of homotypic cell-cell adhesion,19_GO:0022610 biological adhesion,-3.7,14,6.8,20504,37,164,4,2.4,1.2,11555|18793|20304|26365,Adrb2|Plaur|Ccl5|Ceacam1,-0.33,Geneid
GO Biological Processes,19,GO:0007015,actin filament organization,19_GO:0009987 cellular process,-3.5,3.3,4.4,20504,455,164,12,7.3,2,17127|18479|20741|20971|22351|22793|50490|50525|50874|194401|216033|623781,Smad3|Pak1|Sptb|Sdc4|Vill|Zyx|Nox4|Spag6l|Tmod4|Mical3|Ctnna3|Gm14137,-0.33,Geneid
GO Biological Processes,19,GO:0010762,regulation of fibroblast migration,19_GO:0040011 locomotion,-3.5,12,6.4,20504,41,164,4,2.4,1.2,14083|18479|20971|52392,Ptk2|Pak1|Sdc4|Macir,-0.33,Geneid
GO Biological Processes,19,GO:0043149,stress fiber assembly,19_GO:0009987 cellular process,-3.5,6.5,5.3,20504,116,164,6,3.7,1.5,17127|18479|20971|22793|50490|50525,Smad3|Pak1|Sdc4|Zyx|Nox4|Spag6l,-0.33,Geneid
GO Biological Processes,19,GO:0030038,contractile actin filament bundle assembly,19_GO:0009987 cellular process,-3.5,6.5,5.3,20504,116,164,6,3.7,1.5,17127|18479|20971|22793|50490|50525,Smad3|Pak1|Sdc4|Zyx|Nox4|Spag6l,-0.33,Geneid
Reactome Gene Sets,6,R-MMU-4086398,Ca2+ pathway,,-3.5,12,6.4,20504,42,164,4,2.4,1.2,12322|18587|19055|21416,Camk2a|Pde6b|Ppp3ca|Tcf7l2,-0.33,Geneid
KEGG Pathway,24,ko04650,Natural killer cell mediated cytotoxicity,,-3.4,6.4,5.2,20504,118,164,6,3.7,1.5,15979|17086|18479|18646|18752|19055,Ifngr1|Ncr1|Pak1|Prf1|Prkcg|Ppp3ca,-0.33,Geneid
GO Biological Processes,19,GO:0008217,regulation of blood pressure,19_GO:0032501 multicellular organismal process,-3.4,4.6,4.8,20504,218,164,8,4.9,1.7,11482|11555|15902|17127|17888|17970|29856|69219,Acvrl1|Adrb2|Id2|Smad3|Myh6|Ncf2|Smtn|Ddah1,-0.33,Geneid
