_MEMBER_Geneid,_LogP_Geneid,GO,Description,_PATTERN_,_RANK_,GiniIndex
1,-2.1,GO:0031667,response to nutrient levels,M1,1,0
1,-4,GO:1901142,insulin metabolic process,M1,1,0
1,-2.5,GO:0046777,protein autophosphorylation,M1,1,0
1,-2.1,GO:0016202,regulation of striated muscle tissue development,M1,1,0
1,-3.5,R-MMU-4086398,Ca2+ pathway,M1,1,0
1,-2.7,GO:0014896,muscle hypertrophy,M1,1,0
1,-2.2,mmu04310,Wnt signaling pathway,M1,1,0
1,-2,R-MMU-195721,Signaling by WNT,M1,1,0
1,-2.2,GO:0006887,exocytosis,M1,1,0
1,-2.4,GO:0048659,smooth muscle cell proliferation,M1,1,0
1,-2,GO:0030336,negative regulation of cell migration,M1,1,0
1,-2.2,GO:0048667,cell morphogenesis involved in neuron differentiation,M1,1,0
1,-2.9,GO:0003299,muscle hypertrophy in response to stress,M1,1,0
1,-2.8,GO:0033555,multicellular organismal response to stress,M1,1,0
1,-2.2,GO:0030835,negative regulation of actin filament depolymerization,M1,1,0
1,-3.4,GO:0034330,cell junction organization,M1,1,0
1,-2.1,ko05142,Chagas disease (American trypanosomiasis),M1,1,0
1,-2.8,GO:0014911,positive regulation of smooth muscle cell migration,M1,1,0
1,-3.9,GO:0050673,epithelial cell proliferation,M1,1,0
1,-2,GO:0001667,ameboidal-type cell migration,M1,1,0
1,-2.2,mmu04510,Focal adhesion,M1,1,0
1,-2.2,GO:0003341,cilium movement,M1,1,0
1,-2.3,GO:0097722,sperm motility,M1,1,0
1,-2.9,GO:0044458,motile cilium assembly,M1,1,0
1,-2.2,GO:0048858,cell projection morphogenesis,M1,1,0
1,-3.4,ko04650,Natural killer cell mediated cytotoxicity,M1,1,0
1,-5.1,GO:0031032,actomyosin structure organization,M1,1,0
1,-2.2,mmu05200,Pathways in cancer,M1,1,0
1,-2.6,GO:0001678,cellular glucose homeostasis,M1,1,0
1,-2,GO:0050878,regulation of body fluid levels,M1,1,0
1,-3,GO:0048814,regulation of dendrite morphogenesis,M1,1,0
1,-2.5,GO:0097435,supramolecular fiber organization,M1,1,0
1,-2.5,GO:0061572,actin filament bundle organization,M1,1,0
1,-2.8,ko05146,Amoebiasis,M1,1,0
1,-2.8,mmu04390,Hippo signaling pathway,M1,1,0
1,-2.9,GO:0009743,response to carbohydrate,M1,1,0
1,-2.8,GO:0061003,positive regulation of dendritic spine morphogenesis,M1,1,0
1,-3.1,GO:0009746,response to hexose,M1,1,0
1,-2.2,GO:0060294,cilium movement involved in cell motility,M1,1,0
1,-2.8,GO:0003300,cardiac muscle hypertrophy,M1,1,0
1,-2.9,GO:0014887,cardiac muscle adaptation,M1,1,0
1,-2.7,ko04720,Long-term potentiation,M1,1,0
1,-2.4,GO:0060996,dendritic spine development,M1,1,0
1,-2,GO:2001222,regulation of neuron migration,M1,1,0
1,-3.2,ko04020,Calcium signaling pathway,M1,1,0
1,-2.6,GO:0014812,muscle cell migration,M1,1,0
1,-2.5,GO:0051046,regulation of secretion,M1,1,0
1,-2.6,mmu04520,Adherens junction,M1,1,0
1,-4.3,WP512,Id signaling pathway,M1,1,0
1,-2.1,mmu05213,Endometrial cancer,M1,1,0
1,-2.6,ko04520,Adherens junction,M1,1,0
1,-3.2,GO:0035082,axoneme assembly,M1,1,0
1,-4,GO:0010761,fibroblast migration,M1,1,0
1,-2.1,R-MMU-380108,Chemokine receptors bind chemokines,M1,1,0
1,-2.2,GO:0009409,response to cold,M1,1,0
1,-2.3,ko04012,ErbB signaling pathway,M1,1,0
1,-2.5,GO:0051017,actin filament bundle assembly,M1,1,0
1,-2.5,WP2292,Chemokine signaling pathway,M1,1,0
1,-2.1,GO:0034101,erythrocyte homeostasis,M1,1,0
1,-2.4,GO:0001952,regulation of cell-matrix adhesion,M1,1,0
1,-2.4,GO:0043500,muscle adaptation,M1,1,0
1,-2.3,R-MMU-1474244,Extracellular matrix organization,M1,1,0
1,-2.6,GO:0007160,cell-matrix adhesion,M1,1,0
1,-2.7,GO:0045922,negative regulation of fatty acid metabolic process,M1,1,0
1,-2.1,GO:0007044,cell-substrate junction assembly,M1,1,0
1,-2.8,mmu05146,Amoebiasis,M1,1,0
1,-2.5,GO:0010611,regulation of cardiac muscle hypertrophy,M1,1,0
1,-2.3,GO:0045444,fat cell differentiation,M1,1,0
1,-2.7,GO:0045596,negative regulation of cell differentiation,M1,1,0
1,-3.1,GO:0099170,postsynaptic modulation of chemical synaptic transmission,M1,1,0
1,-2.7,R-MMU-390522,Striated Muscle Contraction,M1,1,0
1,-3.4,GO:0008217,regulation of blood pressure,M1,1,0
1,-2.3,GO:0070232,regulation of T cell apoptotic process,M1,1,0
1,-3,GO:0090257,regulation of muscle system process,M1,1,0
