_MEMBER_Geneid,_LogP_Geneid,GO,Description,_PATTERN_,_RANK_,CHILD_GO_Geneid
1,-5.116968818684775,GO:0009987,cellular process,M1,1,GO:0031032 actomyosin structure organization
1,-3.9991053907926695,GO:0040011,locomotion,M1,1,GO:0010761 fibroblast migration
1,-3.996296135088321,GO:0050789,regulation of biological process,M1,1,GO:0050678 regulation of epithelial cell proliferation
1,-3.979539823931766,GO:0008152,metabolic process,M1,1,GO:1901142 insulin metabolic process
1,-3.673456624286153,GO:0022610,biological adhesion,M1,1,GO:0034110 regulation of homotypic cell-cell adhesion
1,-3.4208899330542195,GO:0032501,multicellular organismal process,M1,1,GO:0008217 regulation of blood pressure
1,-3.3365029598411873,GO:0048519,negative regulation of biological process,M1,1,GO:0050680 negative regulation of epithelial cell proliferation
1,-3.1197043369529496,GO:0050896,response to stimulus,M1,1,GO:0009749 response to glucose
1,-3.101822170969484,GO:0023052,signaling,M1,1,GO:0099170 postsynaptic modulation of chemical synaptic transmission
1,-3.0419099300173387,GO:0032502,developmental process,M1,1,GO:0048814 regulation of dendrite morphogenesis
1,-2.922211660655106,GO:0048518,positive regulation of biological process,M1,1,GO:0051496 positive regulation of stress fiber assembly
1,-2.859150847532094,GO:0065007,biological regulation,M1,1,GO:0051098 regulation of binding
1,-2.84742198556978,GO:0051704,multi-organism process,M1,1,GO:0120316 sperm flagellum assembly
1,-2.4968465886594884,GO:0051179,localization,M1,1,GO:0051046 regulation of secretion
1,-2.333942525510477,GO:0022414,reproductive process,M1,1,GO:0030317 flagellated sperm motility
1,-2.2538696526712707,GO:0040007,growth,M1,1,GO:0046621 negative regulation of organ growth
1,-2.2165325311298303,GO:0002376,immune system process,M1,1,GO:0030218 erythrocyte differentiation
