_MEMBER_Geneid,_LogP_Geneid,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff,GROUP_ID,FirstInGroupByEnrichment,FirstInGroupByLogP,BestLogPInGroup,BestEnrichmentInGroup,URL
1,-5.116968818684775,GO:0031032,M1,1,0,GO Biological Processes,19,actomyosin structure organization,19_GO:0009987 cellular process,-5.116968818684775,5.953542392566783,6.478834094512394,20504,210,164,10,6.097560975609756,1.8685063940407913,13823|17127|17888|18479|20971|21957|22793|50490|50525|50874,Epb41l3|Smad3|Myh6|Pak1|Sdc4|Tnnt3|Zyx|Nox4|Spag6l|Tmod4,-0.8351630490581723,0,1,1,1,-5.116968818684775,12.197501487209994,
1,-4.110549953734662,GO:0030036,M1,1,0,GO Biological Processes,19,actin cytoskeleton organization,19_GO:0009987 cellular process,-4.110549953734662,2.9195255963548647,4.735278495610531,20504,728,164,17,10.365853658536585,2.3802214026239064,12550|13823|17127|17888|18479|20741|20971|21957|22351|22793|29856|50490|50525|50874|194401|216033|623781,Cdh1|Epb41l3|Smad3|Myh6|Pak1|Sptb|Sdc4|Tnnt3|Vill|Zyx|Smtn|Nox4|Spag6l|Tmod4|Mical3|Ctnna3|Gm14137,-0.5101081422425516,0,1,0,0,-5.116968818684775,12.197501487209994,
1,-3.9991053907926695,GO:0010761,M1,1,0,GO Biological Processes,19,fibroblast migration,19_GO:0040011 locomotion,-3.9991053907926695,10.777964676198486,6.695969058193082,20504,58,164,5,3.048780487804878,1.3425108127776122,14083|18479|20971|50525|52392,Ptk2|Pak1|Sdc4|Spag6l|Macir,-0.5101081422425516,0,1,0,0,-5.116968818684775,12.197501487209994,
1,-3.5103066189549783,GO:0007015,M1,1,0,GO Biological Processes,19,actin filament organization,19_GO:0009987 cellular process,-3.5103066189549783,3.297346555883142,4.449805307187024,20504,455,164,12,7.317073170731708,2.033511556827747,17127|18479|20741|20971|22351|22793|50490|50525|50874|194401|216033|623781,Smad3|Pak1|Sptb|Sdc4|Vill|Zyx|Nox4|Spag6l|Tmod4|Mical3|Ctnna3|Gm14137,-0.3334507911674134,0,1,0,0,-5.116968818684775,12.197501487209994,
1,-3.4986106612727546,GO:0010762,M1,1,0,GO Biological Processes,19,regulation of fibroblast migration,19_GO:0040011 locomotion,-3.4986106612727546,12.197501487209994,6.4444159017309905,20504,41,164,4,2.4390243902439024,1.2045482885970606,14083|18479|20971|52392,Ptk2|Pak1|Sdc4|Macir,-0.3334507911674134,0,1,0,0,-5.116968818684775,12.197501487209994,
1,-3.464362927667409,GO:0030038,M1,1,0,GO Biological Processes,19,contractile actin filament bundle assembly,19_GO:0009987 cellular process,-3.464362927667409,6.466778805719093,5.301861026866663,20504,116,164,6,3.658536585365854,1.4660149414233035,17127|18479|20971|22793|50490|50525,Smad3|Pak1|Sdc4|Zyx|Nox4|Spag6l,-0.3334507911674134,0,1,0,0,-5.116968818684775,12.197501487209994,
1,-3.464362927667409,GO:0043149,M1,1,0,GO Biological Processes,19,stress fiber assembly,19_GO:0009987 cellular process,-3.464362927667409,6.466778805719093,5.301861026866663,20504,116,164,6,3.658536585365854,1.4660149414233035,17127|18479|20971|22793|50490|50525,Smad3|Pak1|Sdc4|Zyx|Nox4|Spag6l,-0.3334507911674134,0,1,0,0,-5.116968818684775,12.197501487209994,
1,-2.922211660655106,GO:0051496,M1,1,0,GO Biological Processes,19,positive regulation of stress fiber assembly,19_GO:0048518 positive regulation of biological process,-2.922211660655106,8.622371740958789,5.219814861035946,20504,58,164,4,2.4390243902439024,1.2045482885970606,17127|18479|20971|50490,Smad3|Pak1|Sdc4|Nox4,-0.2556515020680006,0,1,0,0,-5.116968818684775,12.197501487209994,
1,-2.7629291690543445,GO:0051893,M1,1,0,GO Biological Processes,19,regulation of focal adhesion assembly,19_GO:0022610 biological adhesion,-2.7629291690543445,7.814024390243903,4.902395902148341,20504,64,164,4,2.4390243902439024,1.2045482885970606,11482|14083|17127|20971,Acvrl1|Ptk2|Smad3|Sdc4,-0.2556515020680006,0,1,0,0,-5.116968818684775,12.197501487209994,
1,-2.7629291690543445,GO:0090109,M1,1,0,GO Biological Processes,19,regulation of cell-substrate junction assembly,19_GO:0050789 regulation of biological process,-2.7629291690543445,7.814024390243903,4.902395902148341,20504,64,164,4,2.4390243902439024,1.2045482885970606,11482|14083|17127|20971,Acvrl1|Ptk2|Smad3|Sdc4,-0.2556515020680006,0,1,0,0,-5.116968818684775,12.197501487209994,
1,-2.718988304613593,GO:0110053,M1,1,0,GO Biological Processes,19,regulation of actin filament organization,19_GO:0050789 regulation of biological process,-2.718988304613593,3.57212543554007,3.891282734213181,20504,280,164,8,4.878048780487805,1.6820601446280419,17127|18479|20741|20971|22351|50490|50874|623781,Smad3|Pak1|Sptb|Sdc4|Vill|Nox4|Tmod4|Gm14137,-0.24817801472378836,0,1,0,0,-5.116968818684775,12.197501487209994,
1,-2.665854144336434,GO:0032233,M1,1,0,GO Biological Processes,19,positive regulation of actin filament bundle assembly,19_GO:0048518 positive regulation of biological process,-2.665854144336434,7.354375896700144,4.712860307035397,20504,68,164,4,2.4390243902439024,1.2045482885970606,17127|18479|20971|50490,Smad3|Pak1|Sdc4|Nox4,-0.23530672342890632,0,1,0,0,-5.116968818684775,12.197501487209994,
1,-2.6444336092930185,GO:0007160,M1,1,0,GO Biological Processes,19,cell-matrix adhesion,19_GO:0022610 biological adhesion,-2.6444336092930185,3.889647696476965,3.9135243844669105,20504,225,164,7,4.2682926829268295,1.5784581583674642,11482|12571|14083|17127|20971|22793|329278,Acvrl1|Cdk6|Ptk2|Smad3|Sdc4|Zyx|Tnn,-0.23507341507346857,0,1,0,0,-5.116968818684775,12.197501487209994,
1,-2.642597709293631,GO:0150116,M1,1,0,GO Biological Processes,19,regulation of cell-substrate junction organization,19_GO:0050789 regulation of biological process,-2.642597709293631,7.247790738776954,4.667871101451402,20504,69,164,4,2.4390243902439024,1.2045482885970606,11482|14083|17127|20971,Acvrl1|Ptk2|Smad3|Sdc4,-0.23507341507346857,0,1,0,0,-5.116968818684775,12.197501487209994,
1,-2.5406658834826925,GO:0051017,M1,1,0,GO Biological Processes,19,actin filament bundle assembly,19_GO:0009987 cellular process,-2.5406658834826925,4.286550522648084,3.920635652431196,20504,175,164,6,3.658536585365854,1.4660149414233035,17127|18479|20971|22793|50490|50525,Smad3|Pak1|Sdc4|Zyx|Nox4|Spag6l,-0.17428887119724343,0,1,0,0,-5.116968818684775,12.197501487209994,
1,-2.5121967712754456,GO:0097435,M1,1,0,GO Biological Processes,19,supramolecular fiber organization,19_GO:0009987 cellular process,-2.5121967712754456,2.3152664859981935,3.308782713579596,20504,756,164,14,8.536585365853659,2.1819453823797157,17127|17888|18479|20741|20971|21957|22351|22793|50490|50525|50874|194401|216033|623781,Smad3|Myh6|Pak1|Sptb|Sdc4|Tnnt3|Vill|Zyx|Nox4|Spag6l|Tmod4|Mical3|Ctnna3|Gm14137,-0.17178628137234753,0,1,0,0,-5.116968818684775,12.197501487209994,
1,-2.5042020443540376,GO:0061572,M1,1,0,GO Biological Processes,19,actin filament bundle organization,19_GO:0009987 cellular process,-2.5042020443540376,4.214305289120308,3.867464349431383,20504,178,164,6,3.658536585365854,1.4660149414233035,17127|18479|20971|22793|50490|50525,Smad3|Pak1|Sdc4|Zyx|Nox4|Spag6l,-0.17178628137234753,0,1,0,0,-5.116968818684775,12.197501487209994,
1,-2.432053011670647,GO:0001952,M1,1,0,GO Biological Processes,19,regulation of cell-matrix adhesion,19_GO:0022610 biological adhesion,-2.432053011670647,4.883765243902439,3.957798187781409,20504,128,164,5,3.048780487804878,1.3425108127776122,11482|12571|14083|17127|20971,Acvrl1|Cdk6|Ptk2|Smad3|Sdc4,-0.1325184750836125,0,1,0,0,-5.116968818684775,12.197501487209994,
1,-2.3767992702988874,GO:0007179,M1,1,0,GO Biological Processes,19,transforming growth factor beta receptor signaling pathway,19_GO:0023052 signaling,-2.3767992702988874,3.969028261711189,3.6820694513836063,20504,189,164,6,3.658536585365854,1.4660149414233035,11482|12579|14083|17127|22793|76905,Acvrl1|Cdkn2b|Ptk2|Smad3|Zyx|Lrg1,-0.09931487445492711,0,1,0,0,-5.116968818684775,12.197501487209994,
1,-2.297743363747216,GO:0048041,M1,1,0,GO Biological Processes,19,focal adhesion assembly,19_GO:0022610 biological adhesion,-2.297743363747216,5.815087918321044,4.017926637060377,20504,86,164,4,2.4390243902439024,1.2045482885970606,11482|14083|17127|20971,Acvrl1|Ptk2|Smad3|Sdc4,-0.07284244545708578,0,1,0,0,-5.116968818684775,12.197501487209994,
1,-2.1928760024884637,GO:0032970,M1,1,0,GO Biological Processes,19,regulation of actin filament-based process,19_GO:0050789 regulation of biological process,-2.1928760024884637,2.70485459662289,3.1544294297706856,20504,416,164,9,5.487804878048781,1.7783667579451323,17127|18479|20741|20971|22351|50490|50874|216033|623781,Smad3|Pak1|Sptb|Sdc4|Vill|Nox4|Tmod4|Ctnna3|Gm14137,-0.03370751236161145,0,1,0,0,-5.116968818684775,12.197501487209994,
1,-2.130050432540232,GO:0007044,M1,1,0,GO Biological Processes,19,cell-substrate junction assembly,19_GO:0009987 cellular process,-2.130050432540232,5.2093495934959355,3.711979297694612,20504,96,164,4,2.4390243902439024,1.2045482885970606,11482|14083|17127|20971,Acvrl1|Ptk2|Smad3|Sdc4,-0.0027715972865854197,0,1,0,0,-5.116968818684775,12.197501487209994,
1,-2.0989825566691427,GO:0051492,M1,1,0,GO Biological Processes,19,regulation of stress fiber assembly,19_GO:0050789 regulation of biological process,-2.0989825566691427,5.103036336485814,3.6559025878226796,20504,98,164,4,2.4390243902439024,1.2045482885970606,17127|18479|20971|50490,Smad3|Pak1|Sdc4|Nox4,0.0,0,1,0,0,-5.116968818684775,12.197501487209994,
1,-2.0632520570332846,GO:1901888,M1,1,0,GO Biological Processes,19,regulation of cell junction assembly,19_GO:0050789 regulation of biological process,-2.0632520570332846,3.409756097560976,3.226731159343861,20504,220,164,6,3.658536585365854,1.4660149414233035,11482|13048|13631|14083|17127|20971,Acvrl1|Cux2|Eef2k|Ptk2|Smad3|Sdc4,0.0,0,1,0,0,-5.116968818684775,12.197501487209994,
1,-2.0469119965456875,GO:0042060,M1,1,0,GO Biological Processes,19,wound healing,19_GO:0050896 response to stimulus,-2.0469119965456875,2.755358462675536,3.02993820143199,20504,363,164,8,4.878048780487805,1.6820601446280419,11482|11555|14064|14083|17127|18479|20971|26365,Acvrl1|Adrb2|F2rl2|Ptk2|Smad3|Pak1|Sdc4|Ceacam1,0.0,0,1,0,0,-5.116968818684775,12.197501487209994,
1,-2.039048193612195,GO:0150115,M1,1,0,GO Biological Processes,19,cell-substrate junction organization,19_GO:0009987 cellular process,-2.039048193612195,4.902917264466763,3.548201007580541,20504,102,164,4,2.4390243902439024,1.2045482885970606,11482|14083|17127|20971,Acvrl1|Ptk2|Smad3|Sdc4,0.0,0,1,0,0,-5.116968818684775,12.197501487209994,
1,-2.026679740732112,GO:0031589,M1,1,0,GO Biological Processes,19,cell-substrate adhesion,19_GO:0022610 biological adhesion,-2.026679740732112,2.7327735572437692,3.003511795439277,20504,366,164,8,4.878048780487805,1.6820601446280419,11482|12571|14083|17127|20971|22793|50525|329278,Acvrl1|Cdk6|Ptk2|Smad3|Sdc4|Zyx|Spag6l|Tnn,0.0,0,1,0,0,-5.116968818684775,12.197501487209994,
