Name,Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value)
Geneid,GO Biological Processes,19,GO:0031032,actomyosin structure organization,19_GO:0009987 cellular process,-7.7,11,9.8,20504,210,86,10,12,3.5,13823|17127|17888|18479|20971|21957|22793|50490|50525|50874,Epb41l3|Smad3|Myh6|Pak1|Sdc4|Tnnt3|Zyx|Nox4|Spag6l|Tmod4,-3.5
Geneid,GO Biological Processes,19,GO:0030036,actin cytoskeleton organization,19_GO:0009987 cellular process,-6.5,4.9,7,20504,728,86,15,17,4.1,12550|13823|17127|17888|18479|20741|20971|21957|22793|29856|50490|50525|50874|194401|216033,Cdh1|Epb41l3|Smad3|Myh6|Pak1|Sptb|Sdc4|Tnnt3|Zyx|Smtn|Nox4|Spag6l|Tmod4|Mical3|Ctnna3,-2.8
Geneid,WikiPathways,27,WP512,Id signaling pathway,,-5.6,23,10,20504,51,86,5,5.8,2.5,11482|11910|15902|17127|21416,Acvrl1|Atf3|Id2|Smad3|Tcf7l2,-2.3
Geneid,GO Biological Processes,19,GO:0034330,cell junction organization,19_GO:0009987 cellular process,-5.5,4.4,6.1,20504,766,86,14,16,4,11482|12550|12826|13497|13631|13823|14083|17127|17999|18479|20971|26365|58220|545156,Acvrl1|Cdh1|Col4a1|Drp2|Eef2k|Epb41l3|Ptk2|Smad3|Nedd4|Pak1|Sdc4|Ceacam1|Pard6b|Kalrn,-2.3
Geneid,GO Biological Processes,19,GO:0003013,circulatory system process,19_GO:0032501 multicellular organismal process,-5.4,5.1,6.4,20504,558,86,12,14,3.7,11482|11555|12290|14083|15902|17127|17888|17970|26365|29856|50490|216033,Acvrl1|Adrb2|Cacna1e|Ptk2|Id2|Smad3|Myh6|Ncf2|Ceacam1|Smtn|Nox4|Ctnna3,-2.3
Geneid,GO Biological Processes,19,GO:0050673,epithelial cell proliferation,19_GO:0009987 cellular process,-5.4,5.6,6.5,20504,472,86,11,13,3.6,11482|12550|12571|12579|15902|17127|20304|21416|26365|76905|97165,Acvrl1|Cdh1|Cdk6|Cdkn2b|Id2|Smad3|Ccl5|Tcf7l2|Ceacam1|Lrg1|Hmgb2,-2.2
Geneid,GO Biological Processes,19,GO:0050678,regulation of epithelial cell proliferation,19_GO:0050789 regulation of biological process,-5.1,5.9,6.5,20504,403,86,10,12,3.5,11482|12550|12571|12579|17127|20304|21416|26365|76905|97165,Acvrl1|Cdh1|Cdk6|Cdkn2b|Smad3|Ccl5|Tcf7l2|Ceacam1|Lrg1|Hmgb2,-2.1
Geneid,GO Biological Processes,19,GO:0030038,contractile actin filament bundle assembly,19_GO:0009987 cellular process,-5,12,7.9,20504,116,86,6,7,2.7,17127|18479|20971|22793|50490|50525,Smad3|Pak1|Sdc4|Zyx|Nox4|Spag6l,-2.1
Geneid,GO Biological Processes,19,GO:0043149,stress fiber assembly,19_GO:0009987 cellular process,-5,12,7.9,20504,116,86,6,7,2.7,17127|18479|20971|22793|50490|50525,Smad3|Pak1|Sdc4|Zyx|Nox4|Spag6l,-2.1
Geneid,GO Biological Processes,19,GO:0045596,negative regulation of cell differentiation,19_GO:0048519 negative regulation of biological process,-5,4.3,5.8,20504,723,86,13,15,3.9,11482|12571|12579|14083|15902|17127|18479|18514|19055|21416|26365|228775|329278,Acvrl1|Cdk6|Cdkn2b|Ptk2|Id2|Smad3|Pak1|Pbx1|Ppp3ca|Tcf7l2|Ceacam1|Trib3|Tnn,-2.1
Geneid,GO Biological Processes,19,GO:0003012,muscle system process,19_GO:0032501 multicellular organismal process,-4.9,5.6,6.2,20504,425,86,10,12,3.5,11555|14083|17127|17888|18479|19055|21957|29856|50874|216033,Adrb2|Ptk2|Smad3|Myh6|Pak1|Ppp3ca|Tnnt3|Smtn|Tmod4|Ctnna3,-2
Geneid,GO Biological Processes,19,GO:0090257,regulation of muscle system process,19_GO:0032501 multicellular organismal process,-4.9,7.5,6.8,20504,255,86,8,9.3,3.1,11555|14083|17127|18479|19055|21957|29856|216033,Adrb2|Ptk2|Smad3|Pak1|Ppp3ca|Tnnt3|Smtn|Ctnna3,-2
Geneid,KEGG Pathway,24,ko04020,Calcium signaling pathway,,-4.9,9.1,7.2,20504,183,86,7,8.1,2.9,11555|12290|12322|14676|18679|18752|19055,Adrb2|Cacna1e|Camk2a|Gna15|Phka1|Prkcg|Ppp3ca,-2
Geneid,GO Biological Processes,19,GO:0008015,blood circulation,19_GO:0032501 multicellular organismal process,-4.9,5,6,20504,528,86,11,13,3.6,11482|11555|12290|14083|15902|17127|17888|17970|26365|29856|216033,Acvrl1|Adrb2|Cacna1e|Ptk2|Id2|Smad3|Myh6|Ncf2|Ceacam1|Smtn|Ctnna3,-2
Geneid,KEGG Pathway,24,mmu04020,Calcium signaling pathway,,-4.9,9,7.1,20504,185,86,7,8.1,2.9,11555|12290|12322|14676|18679|18752|19055,Adrb2|Cacna1e|Camk2a|Gna15|Phka1|Prkcg|Ppp3ca,-2
Geneid,GO Biological Processes,19,GO:1901142,insulin metabolic process,19_GO:0008152 metabolic process,-4.8,60,13,20504,12,86,3,3.5,2,18549|21416|26365,Pcsk2|Tcf7l2|Ceacam1,-2
Geneid,GO Biological Processes,19,GO:0034110,regulation of homotypic cell-cell adhesion,19_GO:0022610 biological adhesion,-4.8,26,9.8,20504,37,86,4,4.7,2.3,11555|18793|20304|26365,Adrb2|Plaur|Ccl5|Ceacam1,-2
Geneid,GO Biological Processes,19,GO:0034109,homotypic cell-cell adhesion,19_GO:0022610 biological adhesion,-4.7,15,8.1,20504,79,86,5,5.8,2.5,11555|18793|20304|26365|216033,Adrb2|Plaur|Ccl5|Ceacam1|Ctnna3,-1.9
Geneid,GO Biological Processes,19,GO:0007015,actin filament organization,19_GO:0009987 cellular process,-4.7,5.2,5.9,20504,455,86,10,12,3.5,17127|18479|20741|20971|22793|50490|50525|50874|194401|216033,Smad3|Pak1|Sptb|Sdc4|Zyx|Nox4|Spag6l|Tmod4|Mical3|Ctnna3,-1.9
Geneid,GO Biological Processes,19,GO:0045785,positive regulation of cell adhesion,19_GO:0022610 biological adhesion,-4.6,5.1,5.8,20504,472,86,10,12,3.5,12550|12571|14083|17127|18793|19055|20304|20971|26365|320832,Cdh1|Cdk6|Ptk2|Smad3|Plaur|Ppp3ca|Ccl5|Sdc4|Ceacam1|Sirpb1a,-1.9
Geneid,GO Biological Processes,19,GO:0008217,regulation of blood pressure,19_GO:0032501 multicellular organismal process,-4.4,7.7,6.4,20504,218,86,7,8.1,2.9,11482|11555|15902|17127|17888|17970|29856,Acvrl1|Adrb2|Id2|Smad3|Myh6|Ncf2|Smtn,-1.8
