Gene,TotalEvidenceCounts,EvidenceHit:Geneid,EvidenceGO:Geneid,EvidencePPI:Geneid
67071,3.0,1,1,1
14083,3.0,1,1,1
17970,3.0,1,1,1
20741,3.0,1,1,1
216033,3.0,1,1,1
20304,3.0,1,1,1
212517,3.0,1,1,1
545156,3.0,1,1,1
12550,3.0,1,1,1
21416,3.0,1,1,1
12322,3.0,1,1,1
11555,3.0,1,1,1
15902,3.0,1,1,1
12579,3.0,1,1,1
21957,3.0,1,1,1
26365,3.0,1,1,1
20290,3.0,1,1,1
17127,3.0,1,1,1
194401,3.0,1,1,1
54562,3.0,1,1,1
13631,3.0,1,1,1
17999,3.0,1,1,1
12290,3.0,1,1,1
50490,3.0,1,1,1
97165,3.0,1,1,1
20971,3.0,1,1,1
18793,3.0,1,1,1
12826,3.0,1,1,1
17888,3.0,1,1,1
80901,3.0,1,1,1
19055,3.0,1,1,1
11910,3.0,1,1,1
18752,3.0,1,1,1
18549,3.0,1,1,1
329278,3.0,1,1,1
18479,3.0,1,1,1
11482,3.0,1,1,1
12571,3.0,1,1,1
213402,3.0,1,1,1
228775,3.0,1,1,1
50525,3.0,1,1,1
50874,3.0,1,1,1
22793,2.0,1,0,1
19376,2.0,1,0,1
21885,2.0,1,0,1
14676,2.0,1,0,1
244416,2.0,1,0,1
214804,2.0,1,0,1
13497,2.0,1,0,1
20723,2.0,1,1,0
76905,2.0,1,0,1
27413,2.0,1,0,1
50709,2.0,1,0,1
279029,2.0,1,0,1
11975,2.0,1,0,1
13998,2.0,1,0,1
22351,2.0,1,1,0
15979,2.0,1,0,1
14064,2.0,1,0,1
94217,2.0,1,0,1
18514,2.0,1,0,1
70045,2.0,1,1,0
75578,2.0,1,0,1
17057,2.0,1,0,1
76132,2.0,1,0,1
242891,2.0,1,0,1
66968,2.0,1,1,0
18679,2.0,1,0,1
18587,2.0,1,1,0
239081,2.0,1,0,1
80281,2.0,1,0,1
29856,2.0,1,0,1
545030,2.0,1,0,1
230099,2.0,1,0,1
13048,2.0,1,1,0
329003,2.0,1,1,0
74646,2.0,1,0,1
320832,2.0,1,0,1
23832,2.0,1,0,1
58220,2.0,1,0,1
74035,2.0,1,0,1
56370,2.0,1,0,1
30054,2.0,1,0,1
17388,2.0,1,0,1
20167,2.0,1,0,1
52392,2.0,1,1,0
13639,2.0,1,0,1
13823,2.0,1,0,1
218232,2.0,1,0,1
16637,2.0,1,0,1
14608,2.0,1,0,1
373864,2.0,1,0,1
239731,2.0,1,0,1
101320,2.0,1,0,1
237253,2.0,1,1,0
105844,2.0,1,0,1
381738,2.0,1,1,0
20532,1.0,1,0,0
83671,1.0,1,0,0
18812,1.0,1,0,0
171244,1.0,1,0,0
18028,1.0,1,0,0
16631,1.0,1,0,0
100038713,1.0,1,0,0
100503197,1.0,1,0,0
52815,1.0,1,0,0
328949,1.0,1,0,0
665766,1.0,1,0,0
252973,1.0,1,0,0
244233,1.0,1,0,0
270084,1.0,1,0,0
545192,1.0,1,0,0
109212,1.0,1,0,0
434113,1.0,1,0,0
16164,1.0,1,0,0
74121,1.0,1,0,0
381845,1.0,1,0,0
69539,1.0,1,0,0
70638,1.0,1,0,0
72898,1.0,1,0,0
381218,1.0,1,0,0
16517,1.0,1,0,0
269855,1.0,1,0,0
97998,1.0,1,0,0
15203,1.0,1,0,0
100418068,1.0,1,0,0
17086,1.0,1,0,0
30943,1.0,1,0,0
75746,1.0,1,0,0
29815,1.0,1,0,0
24057,1.0,1,0,0
73321,1.0,1,0,0
56050,1.0,1,0,0
330192,1.0,1,0,0
102414,1.0,1,0,0
59010,1.0,1,0,0
109246,1.0,1,0,0
654449,1.0,1,0,0
434041,1.0,1,0,0
102633020,1.0,1,0,0
232078,1.0,1,0,0
320311,1.0,1,0,0
69219,1.0,1,0,0
329727,1.0,1,0,0
218454,1.0,1,0,0
207592,1.0,1,0,0
19746,1.0,1,0,0
13409,1.0,1,0,0
613264,1.0,1,0,0
320148,1.0,1,0,0
107766,1.0,1,0,0
74134,1.0,1,0,0
104871,1.0,1,0,0
435653,1.0,1,0,0
93843,1.0,1,0,0
12516,1.0,1,0,0
433966,1.0,1,0,0
18646,1.0,1,0,0
73667,1.0,1,0,0
17231,1.0,1,0,0
18602,1.0,1,0,0
381072,1.0,1,0,0
108670,1.0,1,0,0
100415978,1.0,1,0,0
102635880,1.0,1,0,0
623781,1.0,1,0,0
11979,1.0,1,0,0
234673,1.0,1,0,0
223838,1.0,1,0,0
14545,1.0,1,0,0
319765,1.0,1,0,0
213582,1.0,1,0,0
57755,1.0,1,0,0
245050,1.0,1,0,0
20345,1.0,1,0,0
67693,1.0,1,0,0
72572,1.0,1,0,0
69187,1.0,1,0,0
217887,1.0,1,0,0
71970,1.0,1,0,0
216188,1.0,1,0,0
