Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
GO Biological Processes,19,GO:1903131,mononuclear cell differentiation,19_GO:0002376 immune system process,-6.1,4.2,6.5,20504,492,170,17,10,2.3,12043|12193|12518|12775|14159|16183|16190|16197|17131|17305|17869|20230|20677|22165|107568|110168|321019,Bcl2|Zfp36l2|Cd79a|Ccr7|Fes|Il2|Il4ra|Il7r|Smad7|Mfng|Myc|Satb1|Sox4|Txk|Wwp1|Gpr18|Gpr183,-2,Geneid
GO Biological Processes,19,GO:0030217,T cell differentiation,19_GO:0002376 immune system process,-5.8,5.2,6.7,20504,302,170,13,7.6,2,12043|12193|12775|16183|16190|16197|17131|20230|20677|22165|107568|110168|321019,Bcl2|Zfp36l2|Ccr7|Il2|Il4ra|Il7r|Smad7|Satb1|Sox4|Txk|Wwp1|Gpr18|Gpr183,-2,Geneid
GO Biological Processes,19,GO:0046632,alpha-beta T cell differentiation,19_GO:0002376 immune system process,-5.8,8.2,7.6,20504,132,170,9,5.3,1.7,12043|12775|16183|16190|17131|20230|22165|110168|321019,Bcl2|Ccr7|Il2|Il4ra|Smad7|Satb1|Txk|Gpr18|Gpr183,-2,Geneid
GO Biological Processes,19,GO:0030595,leukocyte chemotaxis,19_GO:0040011 locomotion,-5.5,5.8,6.7,20504,227,170,11,6.5,1.9,12273|12775|12802|14131|17101|18578|20085|20343|68992|110168|321019,C5ar1|Ccr7|Cnr2|Fcgr3|Lyst|Pde4b|Rps19|Sell|Zfp580|Gpr18|Gpr183,-1.8,Geneid
GO Biological Processes,19,GO:0030098,lymphocyte differentiation,19_GO:0002376 immune system process,-5.3,4.1,6,20504,444,170,15,8.8,2.2,12043|12193|12518|12775|16183|16190|16197|17131|17305|20230|20677|22165|107568|110168|321019,Bcl2|Zfp36l2|Cd79a|Ccr7|Il2|Il4ra|Il7r|Smad7|Mfng|Satb1|Sox4|Txk|Wwp1|Gpr18|Gpr183,-1.8,Geneid
GO Biological Processes,19,GO:0002521,leukocyte differentiation,19_GO:0002376 immune system process,-4.7,3.2,5.2,20504,633,170,17,10,2.3,12043|12193|12518|12775|14159|16183|16190|16197|17131|17305|17869|20230|20677|22165|107568|110168|321019,Bcl2|Zfp36l2|Cd79a|Ccr7|Fes|Il2|Il4ra|Il7r|Smad7|Mfng|Myc|Satb1|Sox4|Txk|Wwp1|Gpr18|Gpr183,-1.2,Geneid
GO Biological Processes,19,GO:0046631,alpha-beta T cell activation,19_GO:0002376 immune system process,-4.6,5.9,6.1,20504,183,170,9,5.3,1.7,12043|12775|16183|16190|17131|20230|22165|110168|321019,Bcl2|Ccr7|Il2|Il4ra|Smad7|Satb1|Txk|Gpr18|Gpr183,-1.2,Geneid
GO Biological Processes,19,GO:0042110,T cell activation,19_GO:0002376 immune system process,-4.2,3.3,5,20504,550,170,15,8.8,2.2,12043|12193|12775|16183|16190|16197|17131|20230|20677|22165|94212|107568|110168|321019|328833,Bcl2|Zfp36l2|Ccr7|Il2|Il4ra|Il7r|Smad7|Satb1|Sox4|Txk|Pag1|Wwp1|Gpr18|Gpr183|Treml2,-0.88,Geneid
GO Biological Processes,19,GO:0060326,cell chemotaxis,19_GO:0040011 locomotion,-4.2,4.2,5.3,20504,313,170,11,6.5,1.9,12273|12775|12802|14131|17101|18578|20085|20343|68992|110168|321019,C5ar1|Ccr7|Cnr2|Fcgr3|Lyst|Pde4b|Rps19|Sell|Zfp580|Gpr18|Gpr183,-0.88,Geneid
GO Biological Processes,19,GO:0050900,leukocyte migration,19_GO:0040011 locomotion,-4.2,3.9,5.1,20504,373,170,12,7.1,2,12273|12775|12802|14131|17101|18578|20085|20343|68992|71223|110168|321019,C5ar1|Ccr7|Cnr2|Fcgr3|Lyst|Pde4b|Rps19|Sell|Zfp580|Gpr15|Gpr18|Gpr183,-0.88,Geneid
GO Biological Processes,19,GO:0043367,"CD4-positive, alpha-beta T cell differentiation",19_GO:0002376 immune system process,-3.9,7.7,6,20504,94,170,6,3.5,1.4,12775|16183|16190|17131|20230|321019,Ccr7|Il2|Il4ra|Smad7|Satb1|Gpr183,-0.64,Geneid
GO Biological Processes,19,GO:0006935,chemotaxis,19_GO:0040011 locomotion,-3.7,2.9,4.4,20504,623,170,15,8.8,2.2,12273|12775|12802|13723|14026|14131|14159|17101|18578|20085|20343|68992|93691|110168|321019,C5ar1|Ccr7|Cnr2|Emb|Evl|Fcgr3|Fes|Lyst|Pde4b|Rps19|Sell|Zfp580|Klf7|Gpr18|Gpr183,-0.48,Geneid
GO Biological Processes,19,GO:0048872,homeostasis of number of cells,19_GO:0065007 biological regulation,-3.6,3.6,4.7,20504,364,170,11,6.5,1.9,11717|12043|12775|14605|16183|16197|18174|18578|20085|20677|321019,Ampd3|Bcl2|Ccr7|Tsc22d3|Il2|Il7r|Slc11a2|Pde4b|Rps19|Sox4|Gpr183,-0.48,Geneid
GO Biological Processes,19,GO:0042330,taxis,19_GO:0040011 locomotion,-3.6,2.9,4.4,20504,628,170,15,8.8,2.2,12273|12775|12802|13723|14026|14131|14159|17101|18578|20085|20343|68992|93691|110168|321019,C5ar1|Ccr7|Cnr2|Emb|Evl|Fcgr3|Fes|Lyst|Pde4b|Rps19|Sell|Zfp580|Klf7|Gpr18|Gpr183,-0.48,Geneid
GO Biological Processes,19,GO:0042093,T-helper cell differentiation,19_GO:0002376 immune system process,-3.5,8.5,5.8,20504,71,170,5,2.9,1.3,12775|16183|16190|17131|321019,Ccr7|Il2|Il4ra|Smad7|Gpr183,-0.45,Geneid
GO Biological Processes,19,GO:0002294,"CD4-positive, alpha-beta T cell differentiation involved in immune response",19_GO:0002376 immune system process,-3.5,8.4,5.7,20504,72,170,5,2.9,1.3,12775|16183|16190|17131|321019,Ccr7|Il2|Il4ra|Smad7|Gpr183,-0.45,Geneid
GO Biological Processes,19,GO:0045622,regulation of T-helper cell differentiation,19_GO:0002376 immune system process,-3.5,12,6.4,20504,40,170,4,2.4,1.2,12775|16183|16190|17131,Ccr7|Il2|Il4ra|Smad7,-0.45,Geneid
GO Biological Processes,19,GO:2000106,regulation of leukocyte apoptotic process,19_GO:0050789 regulation of biological process,-3.5,6.5,5.3,20504,112,170,6,3.5,1.4,12775|14605|16183|16197|17869|170770,Ccr7|Tsc22d3|Il2|Il7r|Myc|Bbc3,-0.45,Geneid
GO Biological Processes,19,GO:0002293,alpha-beta T cell differentiation involved in immune response,19_GO:0002376 immune system process,-3.5,8.3,5.7,20504,73,170,5,2.9,1.3,12775|16183|16190|17131|321019,Ccr7|Il2|Il4ra|Smad7|Gpr183,-0.45,Geneid
GO Biological Processes,19,GO:0002287,alpha-beta T cell activation involved in immune response,19_GO:0002376 immune system process,-3.4,8.1,5.6,20504,74,170,5,2.9,1.3,12775|16183|16190|17131|321019,Ccr7|Il2|Il4ra|Smad7|Gpr183,-0.45,Geneid
GO Biological Processes,19,GO:0035710,"CD4-positive, alpha-beta T cell activation",19_GO:0002376 immune system process,-3.4,6.2,5.1,20504,117,170,6,3.5,1.4,12775|16183|16190|17131|20230|321019,Ccr7|Il2|Il4ra|Smad7|Satb1|Gpr183,-0.4,Geneid
GO Biological Processes,19,GO:0043374,"CD8-positive, alpha-beta T cell differentiation",19_GO:0002376 immune system process,-3.3,19,7.2,20504,19,170,3,1.8,1,12043|20230|110168,Bcl2|Satb1|Gpr18,-0.37,Geneid
GO Biological Processes,19,GO:0070228,regulation of lymphocyte apoptotic process,19_GO:0050789 regulation of biological process,-3.3,7.5,5.4,20504,80,170,5,2.9,1.3,14605|16183|16197|17869|170770,Tsc22d3|Il2|Il7r|Myc|Bbc3,-0.37,Geneid
GO Biological Processes,19,GO:0002292,T cell differentiation involved in immune response,19_GO:0002376 immune system process,-3.3,7.5,5.4,20504,80,170,5,2.9,1.3,12775|16183|16190|17131|321019,Ccr7|Il2|Il4ra|Smad7|Gpr183,-0.37,Geneid
GO Biological Processes,19,GO:0045623,negative regulation of T-helper cell differentiation,19_GO:0022610 biological adhesion,-3.2,18,7,20504,20,170,3,1.8,1,16183|16190|17131,Il2|Il4ra|Smad7,-0.36,Geneid
GO Biological Processes,19,GO:0050778,positive regulation of immune response,19_GO:0002376 immune system process,-3.1,2.6,3.9,20504,699,170,15,8.8,2.2,12043|12273|12518|12775|14131|16183|16190|18578|20085|22165|66214|67917|238447|239743|100033459,Bcl2|C5ar1|Cd79a|Ccr7|Fcgr3|Il2|Il4ra|Pde4b|Rps19|Txk|Rgcc|Zcchc3|Igha|Klhl6|Ifi208,-0.27,Geneid
GO Biological Processes,19,GO:0001819,positive regulation of cytokine production,19_GO:0048518 positive regulation of biological process,-3,2.9,3.9,20504,501,170,12,7.1,2,12273|12775|14131|15979|16183|16190|18578|22165|66214|67917|68992|246728,C5ar1|Ccr7|Fcgr3|Ifngr1|Il2|Il4ra|Pde4b|Txk|Rgcc|Zcchc3|Zfp580|Oas2,-0.18,Geneid
GO Biological Processes,19,GO:0043371,"negative regulation of CD4-positive, alpha-beta T cell differentiation",19_GO:0022610 biological adhesion,-3,15,6.3,20504,24,170,3,1.8,1,16183|16190|17131,Il2|Il4ra|Smad7,-0.18,Geneid
GO Biological Processes,19,GO:0002823,negative regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains,19_GO:0002376 immune system process,-3,8.9,5.3,20504,54,170,4,2.4,1.2,16183|16190|16197|17131,Il2|Il4ra|Il7r|Smad7,-0.18,Geneid
GO Biological Processes,19,GO:0071887,leukocyte apoptotic process,19_GO:0009987 cellular process,-3,5.2,4.5,20504,140,170,6,3.5,1.4,12775|14605|16183|16197|17869|170770,Ccr7|Tsc22d3|Il2|Il7r|Myc|Bbc3,-0.18,Geneid
GO Biological Processes,19,GO:0043370,"regulation of CD4-positive, alpha-beta T cell differentiation",19_GO:0002376 immune system process,-3,8.8,5.3,20504,55,170,4,2.4,1.2,12775|16183|16190|17131,Ccr7|Il2|Il4ra|Smad7,-0.18,Geneid
