_MEMBER_Geneid,_LogP_Geneid,GO,Description,_PATTERN_,_RANK_,CHILD_GO_Geneid
1,-6.11661470188144,GO:0002376,immune system process,M1,1,GO:1903131 mononuclear cell differentiation
1,-5.498258996352904,GO:0040011,locomotion,M1,1,GO:0030595 leukocyte chemotaxis
1,-3.624754755753375,GO:0065007,biological regulation,M1,1,GO:0048872 homeostasis of number of cells
1,-3.4628965210033433,GO:0050789,regulation of biological process,M1,1,GO:2000106 regulation of leukocyte apoptotic process
1,-3.2400111945434507,GO:0022610,biological adhesion,M1,1,GO:0045623 negative regulation of T-helper cell differentiation
1,-3.0024511460242613,GO:0048518,positive regulation of biological process,M1,1,GO:0001819 positive regulation of cytokine production
1,-2.95197880541783,GO:0009987,cellular process,M1,1,GO:0071887 leukocyte apoptotic process
1,-2.737661077359596,GO:0050896,response to stimulus,M1,1,GO:0071456 cellular response to hypoxia
1,-2.59433867430712,GO:0023052,signaling,M1,1,GO:0095500 acetylcholine receptor signaling pathway
1,-2.4972197808395222,GO:0048519,negative regulation of biological process,M1,1,GO:2000107 negative regulation of leukocyte apoptotic process
1,-2.2736448158546225,GO:0032501,multicellular organismal process,M1,1,GO:0001817 regulation of cytokine production
1,-2.156900380812338,GO:0040007,growth,M1,1,GO:0040014 regulation of multicellular organism growth
1,-2.0653256642772573,GO:0051179,localization,M1,1,GO:0006839 mitochondrial transport
1,-2.0004486331253832,GO:0008152,metabolic process,M1,1,GO:0046031 ADP metabolic process
