_MEMBER_Geneid,_LogP_Geneid,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff,GROUP_ID,FirstInGroupByEnrichment,FirstInGroupByLogP,BestLogPInGroup,BestEnrichmentInGroup,URL
1,-6.11661470188144,GO:1903131,M1,1,0,GO Biological Processes,19,mononuclear cell differentiation,19_GO:0002376 immune system process,-6.11661470188144,4.167479674796748,6.502388262302419,20504,492,170,17,10.0,2.3008949665421117,12043|12193|12518|12775|14159|16183|16190|16197|17131|17305|17869|20230|20677|22165|107568|110168|321019,Bcl2|Zfp36l2|Cd79a|Ccr7|Fes|Il2|Il4ra|Il7r|Smad7|Mfng|Myc|Satb1|Sox4|Txk|Wwp1|Gpr18|Gpr183,-1.9945503962938254,0,1,1,1,-6.11661470188144,18.09176470588235,
1,-5.82549286614262,GO:0030217,M1,1,0,GO Biological Processes,19,T cell differentiation,19_GO:0002376 immune system process,-5.82549286614262,5.191897156213479,6.710249434997413,20504,302,170,13,7.647058823529412,2.0382062091924653,12043|12193|12775|16183|16190|16197|17131|20230|20677|22165|107568|110168|321019,Bcl2|Zfp36l2|Ccr7|Il2|Il4ra|Il7r|Smad7|Satb1|Sox4|Txk|Wwp1|Gpr18|Gpr183,-1.9945503962938254,0,1,0,0,-6.11661470188144,18.09176470588235,
1,-5.799234911200766,GO:0046632,M1,1,0,GO Biological Processes,19,alpha-beta T cell differentiation,19_GO:0002376 immune system process,-5.799234911200766,8.223529411764705,7.612745902648515,20504,132,170,9,5.294117647058823,1.7173578938470342,12043|12775|16183|16190|17131|20230|22165|110168|321019,Bcl2|Ccr7|Il2|Il4ra|Smad7|Satb1|Txk|Gpr18|Gpr183,-1.9945503962938254,0,1,0,0,-6.11661470188144,18.09176470588235,
1,-5.334482476197391,GO:0030098,M1,1,0,GO Biological Processes,19,lymphocyte differentiation,19_GO:0002376 immune system process,-5.334482476197391,4.074721780604134,5.988990193246458,20504,444,170,15,8.823529411764707,2.1753948524567344,12043|12193|12518|12775|16183|16190|16197|17131|17305|20230|20677|22165|107568|110168|321019,Bcl2|Zfp36l2|Cd79a|Ccr7|Il2|Il4ra|Il7r|Smad7|Mfng|Satb1|Sox4|Txk|Wwp1|Gpr18|Gpr183,-1.7516467109068072,0,1,0,0,-6.11661470188144,18.09176470588235,
1,-4.666701156023702,GO:0002521,M1,1,0,GO Biological Processes,19,leukocyte differentiation,19_GO:0002376 immune system process,-4.666701156023702,3.239178515007899,5.232418453756748,20504,633,170,17,10.0,2.3008949665421117,12043|12193|12518|12775|14159|16183|16190|16197|17131|17305|17869|20230|20677|22165|107568|110168|321019,Bcl2|Zfp36l2|Cd79a|Ccr7|Fes|Il2|Il4ra|Il7r|Smad7|Mfng|Myc|Satb1|Sox4|Txk|Wwp1|Gpr18|Gpr183,-1.207689917948503,0,1,0,0,-6.11661470188144,18.09176470588235,
1,-4.644397647560849,GO:0046631,M1,1,0,GO Biological Processes,19,alpha-beta T cell activation,19_GO:0002376 immune system process,-4.644397647560849,5.9317261330761815,6.127364489977319,20504,183,170,9,5.294117647058823,1.7173578938470342,12043|12775|16183|16190|17131|20230|22165|110168|321019,Bcl2|Ccr7|Il2|Il4ra|Smad7|Satb1|Txk|Gpr18|Gpr183,-1.207689917948503,0,1,0,0,-6.11661470188144,18.09176470588235,
1,-4.248944127041423,GO:0042110,M1,1,0,GO Biological Processes,19,T cell activation,19_GO:0002376 immune system process,-4.248944127041423,3.2894117647058825,4.976362720081107,20504,550,170,15,8.823529411764707,2.1753948524567344,12043|12193|12775|16183|16190|16197|17131|20230|20677|22165|94212|107568|110168|321019|328833,Bcl2|Zfp36l2|Ccr7|Il2|Il4ra|Il7r|Smad7|Satb1|Sox4|Txk|Pag1|Wwp1|Gpr18|Gpr183|Treml2,-0.8826414383250754,0,1,0,0,-6.11661470188144,18.09176470588235,
1,-3.8777802785328044,GO:0043367,M1,1,0,GO Biological Processes,19,"CD4-positive, alpha-beta T cell differentiation",19_GO:0002376 immune system process,-3.8777802785328044,7.698623279098873,5.951819278017485,20504,94,170,6,3.5294117647058822,1.415220683405832,12775|16183|16190|17131|20230|321019,Ccr7|Il2|Il4ra|Smad7|Satb1|Gpr183,-0.6373671940644265,0,1,0,0,-6.11661470188144,18.09176470588235,
1,-3.5098235569050678,GO:0042093,M1,1,0,GO Biological Processes,19,T-helper cell differentiation,19_GO:0002376 immune system process,-3.5098235569050678,8.493786246893125,5.783439074581433,20504,71,170,5,2.9411764705882355,1.2958465959220766,12775|16183|16190|17131|321019,Ccr7|Il2|Il4ra|Smad7|Gpr183,-0.4504826618292386,0,1,0,0,-6.11661470188144,18.09176470588235,
1,-3.4814575724270624,GO:0002294,M1,1,0,GO Biological Processes,19,"CD4-positive, alpha-beta T cell differentiation involved in immune response",19_GO:0002376 immune system process,-3.4814575724270624,8.375816993464053,5.7324819743896125,20504,72,170,5,2.9411764705882355,1.2958465959220766,12775|16183|16190|17131|321019,Ccr7|Il2|Il4ra|Smad7|Gpr183,-0.4504826618292386,0,1,0,0,-6.11661470188144,18.09176470588235,
1,-3.481157336119877,GO:0045622,M1,1,0,GO Biological Processes,19,regulation of T-helper cell differentiation,19_GO:0002376 immune system process,-3.481157336119877,12.061176470588235,6.402621227394719,20504,40,170,4,2.3529411764705883,1.1625473689707242,12775|16183|16190|17131,Ccr7|Il2|Il4ra|Smad7,-0.4504826618292386,0,1,0,0,-6.11661470188144,18.09176470588235,
1,-3.4535348305030125,GO:0002293,M1,1,0,GO Biological Processes,19,alpha-beta T cell differentiation involved in immune response,19_GO:0002376 immune system process,-3.4535348305030125,8.261079774375505,5.682501817202758,20504,73,170,5,2.9411764705882355,1.2958465959220766,12775|16183|16190|17131|321019,Ccr7|Il2|Il4ra|Smad7|Gpr183,-0.4504826618292386,0,1,0,0,-6.11661470188144,18.09176470588235,
1,-3.4260429022405123,GO:0002287,M1,1,0,GO Biological Processes,19,alpha-beta T cell activation involved in immune response,19_GO:0002376 immune system process,-3.4260429022405123,8.149443561208267,5.633465974853035,20504,74,170,5,2.9411764705882355,1.2958465959220766,12775|16183|16190|17131|321019,Ccr7|Il2|Il4ra|Smad7|Gpr183,-0.44526712827789067,0,1,0,0,-6.11661470188144,18.09176470588235,
1,-3.361280758510759,GO:0035710,M1,1,0,GO Biological Processes,19,"CD4-positive, alpha-beta T cell activation",19_GO:0002376 immune system process,-3.361280758510759,6.185218702865761,5.142864774126384,20504,117,170,6,3.5294117647058822,1.415220683405832,12775|16183|16190|17131|20230|321019,Ccr7|Il2|Il4ra|Smad7|Satb1|Gpr183,-0.4016942836180753,0,1,0,0,-6.11661470188144,18.09176470588235,
1,-3.2695039204940137,GO:0002292,M1,1,0,GO Biological Processes,19,T cell differentiation involved in immune response,19_GO:0002376 immune system process,-3.2695039204940137,7.538235294117648,5.357434809874678,20504,80,170,5,2.9411764705882355,1.2958465959220766,12775|16183|16190|17131|321019,Ccr7|Il2|Il4ra|Smad7|Gpr183,-0.36790939257901695,0,1,0,0,-6.11661470188144,18.09176470588235,
1,-3.2400111945434507,GO:0045623,M1,1,0,GO Biological Processes,19,negative regulation of T-helper cell differentiation,19_GO:0022610 biological adhesion,-3.2400111945434507,18.09176470588235,6.9922391971835625,20504,20,170,3,1.7647058823529411,1.0098235180235355,16183|16190|17131,Il2|Il4ra|Smad7,-0.35614543358888545,0,1,0,0,-6.11661470188144,18.09176470588235,
1,-3.001276941074174,GO:0043371,M1,1,0,GO Biological Processes,19,"negative regulation of CD4-positive, alpha-beta T cell differentiation",19_GO:0022610 biological adhesion,-3.001276941074174,15.076470588235294,6.308936829029788,20504,24,170,3,1.7647058823529411,1.0098235180235355,16183|16190|17131,Il2|Il4ra|Smad7,-0.1802367342375607,0,1,0,0,-6.11661470188144,18.09176470588235,
1,-2.9811347443934886,GO:0002823,M1,1,0,GO Biological Processes,19,negative regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains,19_GO:0002376 immune system process,-2.9811347443934886,8.934204793028321,5.337960880346807,20504,54,170,4,2.3529411764705883,1.1625473689707242,16183|16190|16197|17131,Il2|Il4ra|Il7r|Smad7,-0.1802367342375607,0,1,0,0,-6.11661470188144,18.09176470588235,
1,-2.9511305209269496,GO:0043370,M1,1,0,GO Biological Processes,19,"regulation of CD4-positive, alpha-beta T cell differentiation",19_GO:0002376 immune system process,-2.9511305209269496,8.771764705882353,5.276995305837615,20504,55,170,4,2.3529411764705883,1.1625473689707242,12775|16183|16190|17131,Ccr7|Il2|Il4ra|Smad7,-0.1802367342375607,0,1,0,0,-6.11661470188144,18.09176470588235,
1,-2.943528563986276,GO:0007159,M1,1,0,GO Biological Processes,19,leukocyte cell-cell adhesion,19_GO:0022610 biological adhesion,-2.943528563986276,3.233559375492825,3.98053090706835,20504,373,170,10,5.882352941176471,1.8046235031702835,11898|12775|16183|16190|16197|17131|20343|20677|23959|94212,Ass1|Ccr7|Il2|Il4ra|Il7r|Smad7|Sell|Sox4|Nt5e|Pag1,-0.1802367342375607,0,1,0,0,-6.11661470188144,18.09176470588235,
1,-2.8369692713649837,GO:0002820,M1,1,0,GO Biological Processes,19,negative regulation of adaptive immune response,19_GO:0002376 immune system process,-2.8369692713649837,8.177068793619142,5.047790411667064,20504,59,170,4,2.3529411764705883,1.1625473689707242,16183|16190|16197|17131,Il2|Il4ra|Il7r|Smad7,-0.10703598207426843,0,1,0,0,-6.11661470188144,18.09176470588235,
1,-2.821055917525315,GO:0045619,M1,1,0,GO Biological Processes,19,regulation of lymphocyte differentiation,19_GO:0002376 immune system process,-2.821055917525315,4.1796156086196845,4.1524331567714325,20504,202,170,7,4.117647058823529,1.5239455150468022,12193|12775|16183|16190|16197|17131|20677,Zfp36l2|Ccr7|Il2|Il4ra|Il7r|Smad7|Sox4,-0.10703598207426843,0,1,0,0,-6.11661470188144,18.09176470588235,
1,-2.812828885979233,GO:1902105,M1,1,0,GO Biological Processes,19,regulation of leukocyte differentiation,19_GO:0002376 immune system process,-2.812828885979233,3.3606993261700966,3.9101404110382094,20504,323,170,9,5.294117647058823,1.7173578938470342,12193|12775|14159|16183|16190|16197|17131|17869|20677,Zfp36l2|Ccr7|Fes|Il2|Il4ra|Il7r|Smad7|Myc|Sox4,-0.10703598207426843,0,1,0,0,-6.11661470188144,18.09176470588235,
1,-2.802698575338707,GO:0046639,M1,1,0,GO Biological Processes,19,negative regulation of alpha-beta T cell differentiation,19_GO:0022610 biological adhesion,-2.802698575338707,12.92268907563025,5.772347001276637,20504,28,170,3,1.7647058823529411,1.0098235180235355,16183|16190|17131,Il2|Il4ra|Smad7,-0.10703598207426843,0,1,0,0,-6.11661470188144,18.09176470588235,
