,gene,Geneid,genename,dfin_change,dfin_log2FC,dfin_padj,dfin_Change Metric
1,1,ENSMUSG00000022793,B4galt4,Up,47.6654801605748,1.07931201929815e-135,6433.25985336691
2,2,ENSMUSG00000055407,Map6,Up,45.3287134691179,1.07931201929815e-135,6117.87380685712
3,3,ENSMUSG00000016529,Il10,Up,48.8731777202306,6.91741788607065e-122,5921.4769488699
4,4,ENSMUSG00000045573,Penk,Up,45.5327528704535,1.05745943851554e-120,5462.82555058253
5,5,ENSMUSG00000001555,Fkbp10,Up,43.0188921788155,4.32687150453091e-96,4102.44614853461
6,6,ENSMUSG00000017314,Mpp2,Up,48.2032101993196,6.07681434247705e-77,3673.87148793017
7,7,ENSMUSG00000117250,ENSMUSG00000117250,Up,48.189619703008,1.70110728984151e-76,3651.29222427818
8,8,ENSMUSG00000020953,Coch,Up,39.1143834712116,3.24456040310755e-86,3343.84343205735
9,9,ENSMUSG00000014846,Tppp3,Up,43.9891644679459,4.85338723405711e-75,3269.00879124525
10,10,ENSMUSG00000076750,Trgv3,Up,50.4948246869769,6.88177752407951e-54,2684.4209867192
11,11,ENSMUSG00000085457,1110046J04Rik,Up,45.9972201814613,6.56478579987935e-58,2630.24889647984
12,12,ENSMUSG00000025930,Msc,Up,49.07386927998,5.76505059675096e-53,2563.5795188224
13,13,ENSMUSG00000004347,Pde1c,Up,46.0143504041539,1.08073778326716e-46,2115.10849928344
14,14,ENSMUSG00000007021,Syngr3,Up,48.0342239482323,1.47726016312874e-44,2105.36611888385
15,15,ENSMUSG00000031078,Cttn,Up,46.5646408596876,1.293120402471e-43,1997.08112870511
16,16,ENSMUSG00000109759,ENSMUSG00000109759,Up,41.7885278592187,2.36758704084105e-48,1990.20764244904
17,17,ENSMUSG00000081284,Gm13673,Up,47.5857397693105,6.22822444745229e-39,1818.04344028677
18,18,ENSMUSG00000031286,Glt28d2,Up,39.1883788843849,7.69181933136118e-42,1611.18987005842
19,19,ENSMUSG00000018919,Tm4sf5,Up,44.7988074127057,1.98301677656911e-36,1599.43719924448
20,20,ENSMUSG00000005089,Slc1a2,Up,39.9119387010642,1.65382858568005e-40,1587.7571688296
21,21,ENSMUSG00000040899,Ccr6,Up,37.3235768981533,1.34845448703453e-42,1562.74427486576
22,22,ENSMUSG00000058260,Serpina9,Up,33.5681840674649,5.96306200385379e-46,1518.10537005779
23,23,ENSMUSG00000038264,Sema7a,Up,35.7132806003684,7.69181933136118e-42,1468.31478024714
24,24,ENSMUSG00000038180,Spag4,Up,46.6589278074156,3.88794354863579e-31,1418.91106143197
25,25,ENSMUSG00000113649,ENSMUSG00000113649,Up,46.1039827505352,5.32042184635752e-31,1395.75446026682
26,26,ENSMUSG00000028601,Echdc2,Up,40.8711188866678,5.69676475148864e-34,1358.73466865224
27,27,ENSMUSG00000029752,Asns,Up,33.1679481711991,3.02260796640075e-40,1310.78464745217
28,28,ENSMUSG00000092622,Khdc3,Up,41.3390162699799,2.25276454143607e-31,1266.92858010376
29,29,ENSMUSG00000113581,Dio3os,Up,43.8721911836486,2.14827206955499e-29,1257.72405985294
30,30,ENSMUSG00000034394,Lif,Up,37.4185343849307,5.87707523135848e-34,1243.4492824042
31,31,ENSMUSG00000111828,D830035M03Rik,Up,49.2335778563996,3.55076710850752e-25,1203.74511610784
32,32,ENSMUSG00000034634,Ly6d,Up,45.5092404015707,3.54590381096246e-27,1203.73183490128
33,33,ENSMUSG00000085546,ENSMUSG00000085546,Up,47.2737021223297,4.38509102514781e-26,1198.76754946903
34,34,ENSMUSG00000001663,Gstt1,Up,41.1912146016375,8.11573255430856e-29,1157.08890990696
35,35,ENSMUSG00000024397,Aif1,Up,43.1082554598226,1.06000477114896e-26,1119.72366598327
36,36,ENSMUSG00000028716,Pdzk1ip1,Up,32.1579910934437,7.97922149631433e-35,1096.5244498734
37,37,ENSMUSG00000029759,Pon3,Up,26.0401429488088,9.20318660427033e-43,1094.62505755064
38,38,ENSMUSG00000023984,Gm20517,Up,37.8379967648292,2.93139813312559e-29,1079.62873114639
39,39,ENSMUSG00000014599,Csf1,Up,26.3906342094953,1.15480567054271e-40,1053.97571866008
40,40,ENSMUSG00000097223,ENSMUSG00000097223,Up,47.9967836088568,9.26185723183728e-21,961.534057118684
41,41,ENSMUSG00000000125,Wnt3,Up,25.3186622418389,9.75764539971403e-38,937.060272497452
42,42,ENSMUSG00000020798,Spns3,Up,48.5306659818827,1.15029801670321e-19,919.131485852575
43,43,ENSMUSG00000108214,ENSMUSG00000108214,Up,37.1761501416316,4.25521691743659e-25,906.022865847878
44,44,ENSMUSG00000027718,Il21,Up,24.8284988813443,1.31820409114872e-36,890.846970508653
45,45,ENSMUSG00000112734,ENSMUSG00000112734,Up,35.3398256502663,9.62488835172592e-26,884.082434309099
46,46,ENSMUSG00000034258,Flvcr2,Up,48.5245404362102,1.08985985197958e-18,871.628334019706
47,47,ENSMUSG00000091682,Trgc3,Up,31.8016243611158,1.65519177387168e-27,851.684125708789
48,48,ENSMUSG00002075479,ENSMUSG00002075479,Up,40.7652048565325,1.97559413173252e-21,844.015123551203
49,49,ENSMUSG00000037706,Cd81,Up,26.8910501310465,9.508761601839e-32,834.21082377347
50,50,ENSMUSG00000044676,Zfp612,Up,33.3413076516418,2.29308529025977e-25,821.515810238406
51,51,ENSMUSG00000039013,Siglecf,Up,36.7513278442103,2.19987232437981e-22,795.945650676072
52,52,ENSMUSG00000086968,4933431E20Rik,Up,35.5628590284939,4.20615872464814e-23,795.758599974768
53,53,ENSMUSG00000052117,D630039A03Rik,Up,25.2213607326653,3.82595803169739e-32,792.386042602623
54,54,ENSMUSG00000108347,Gm19187,Up,46.9691544242735,1.69014017532704e-17,787.770287534385
55,55,ENSMUSG00000004032,Gstm5,Up,29.7471456959581,1.20142105397749e-26,771.055082228323
56,56,ENSMUSG00000093963,ENSMUSG00000093963,Up,35.5121841053448,4.72869822628822e-22,757.306502419337
57,57,ENSMUSG00000106739,ENSMUSG00000106739,Up,44.6534821113584,1.35798989297933e-17,753.174902725942
58,58,ENSMUSG00000110697,ENSMUSG00000110697,Up,23.825155872699,4.04690254947136e-32,747.94019385508
59,59,ENSMUSG00000038068,Rnf144b,Up,45.5543784723172,2.08479694394751e-16,714.335304197634
60,60,ENSMUSG00000071637,Cebpd,Up,42.4681372863932,3.54298380823767e-17,698.627648639328
61,61,ENSMUSG00000066456,Hmgn3,Up,30.2160627594755,9.01083996054627e-24,696.336258716534
62,62,ENSMUSG00000020656,Grhl1,Up,24.2076495001626,2.03785726157648e-29,694.537465457014
63,63,ENSMUSG00000039131,Gipc2,Up,37.6269166157085,2.09786834887945e-18,665.176976427895
64,64,ENSMUSG00000057123,Gja5,Up,27.8574589284986,1.68987016369799e-24,662.231599275258
65,65,ENSMUSG00000061544,Zfp229,Up,38.2302316991781,5.39590301674016e-18,660.157189074854
66,66,ENSMUSG00000030641,Ddias,Up,24.7454811200784,5.62592156373225e-27,649.564086871402
