_MEMBER_Geneid,_LogP_Geneid,GO,Description,_PATTERN_,_RANK_,GiniIndex
1,-2.4,GO:0032729,positive regulation of interferon-gamma production,M1,1,0
1,-2.8,GO:0071674,mononuclear cell migration,M1,1,0
1,-3.9,R-MMU-399956,CRMPs in Sema3A signaling,M1,1,0
1,-4,GO:0032733,positive regulation of interleukin-10 production,M1,1,0
1,-4.5,GO:0032943,mononuclear cell proliferation,M1,1,0
1,-2.6,GO:0050798,activated T cell proliferation,M1,1,0
1,-2.3,GO:0051129,negative regulation of cellular component organization,M1,1,0
1,-2.8,GO:0040017,positive regulation of locomotion,M1,1,0
1,-2.2,GO:0050770,regulation of axonogenesis,M1,1,0
1,-2.2,GO:0002687,positive regulation of leukocyte migration,M1,1,0
1,-3.9,GO:0072678,T cell migration,M1,1,0
1,-3.1,GO:0032689,negative regulation of interferon-gamma production,M1,1,0
1,-2.4,GO:0032700,negative regulation of interleukin-17 production,M1,1,0
1,-2.4,GO:0032722,positive regulation of chemokine production,M1,1,0
1,-2.4,GO:0043030,regulation of macrophage activation,M1,1,0
1,-2.7,GO:0051960,regulation of nervous system development,M1,1,0
1,-4.1,WP3625,Tyrobp causal network in microglia,M1,1,0
1,-3.6,mmu05418,Fluid shear stress and atherosclerosis,M1,1,0
1,-2.4,GO:0099150,regulation of postsynaptic specialization assembly,M1,1,0
1,-2.1,R-MMU-111885,Opioid Signalling,M1,1,0
1,-3.3,mmu05133,Pertussis,M1,1,0
1,-3.2,ko05321,Inflammatory bowel disease (IBD),M1,1,0
1,-2.7,GO:0002360,T cell lineage commitment,M1,1,0
1,-3.1,GO:0032675,regulation of interleukin-6 production,M1,1,0
1,-3.9,GO:0032653,regulation of interleukin-10 production,M1,1,0
1,-2.8,GO:0060326,cell chemotaxis,M1,1,0
1,-2.7,GO:0050772,positive regulation of axonogenesis,M1,1,0
1,-2.5,GO:0042269,regulation of natural killer cell mediated cytotoxicity,M1,1,0
1,-2.1,GO:0002286,T cell activation involved in immune response,M1,1,0
1,-4.7,GO:0070663,regulation of leukocyte proliferation,M1,1,0
1,-2.2,GO:1903708,positive regulation of hemopoiesis,M1,1,0
1,-2.9,GO:0003093,regulation of glomerular filtration,M1,1,0
1,-2.1,GO:0048667,cell morphogenesis involved in neuron differentiation,M1,1,0
1,-2.5,GO:2000406,positive regulation of T cell migration,M1,1,0
1,-2.3,GO:0042113,B cell activation,M1,1,0
1,-2.5,GO:0051250,negative regulation of lymphocyte activation,M1,1,0
1,-2.2,GO:0001504,neurotransmitter uptake,M1,1,0
1,-2.7,GO:0097485,neuron projection guidance,M1,1,0
1,-2.3,GO:0042100,B cell proliferation,M1,1,0
1,-2.2,GO:0045621,positive regulation of lymphocyte differentiation,M1,1,0
1,-3.6,GO:0030888,regulation of B cell proliferation,M1,1,0
1,-2.3,GO:0071634,regulation of transforming growth factor beta production,M1,1,0
1,-2.6,GO:1903706,regulation of hemopoiesis,M1,1,0
1,-2.3,GO:0045066,regulatory T cell differentiation,M1,1,0
1,-2.1,GO:0002440,production of molecular mediator of immune response,M1,1,0
1,-3.7,GO:0032663,regulation of interleukin-2 production,M1,1,0
1,-2.1,GO:0007160,cell-matrix adhesion,M1,1,0
1,-3.3,GO:0050767,regulation of neurogenesis,M1,1,0
1,-2.6,GO:0021537,telencephalon development,M1,1,0
1,-3.9,GO:0007159,leukocyte cell-cell adhesion,M1,1,0
1,-3.6,ko05418,Fluid shear stress and atherosclerosis,M1,1,0
1,-3,GO:0050919,negative chemotaxis,M1,1,0
1,-2.6,GO:0050868,negative regulation of T cell activation,M1,1,0
1,-2.8,GO:0051301,cell division,M1,1,0
1,-2.9,GO:0061564,axon development,M1,1,0
1,-3.2,mmu05321,Inflammatory bowel disease (IBD),M1,1,0
1,-2.2,GO:1902107,positive regulation of leukocyte differentiation,M1,1,0
1,-2,GO:0002293,alpha-beta T cell differentiation involved in immune response,M1,1,0
1,-2.4,GO:0050922,negative regulation of chemotaxis,M1,1,0
1,-2.6,R-MMU-3000170,Syndecan interactions,M1,1,0
1,-2.2,GO:1902692,regulation of neuroblast proliferation,M1,1,0
1,-3.3,GO:0150146,cell junction disassembly,M1,1,0
1,-2,GO:0002719,negative regulation of cytokine production involved in immune response,M1,1,0
1,-2.1,GO:0032720,negative regulation of tumor necrosis factor production,M1,1,0
1,-2.1,GO:0042537,benzene-containing compound metabolic process,M1,1,0
1,-2.9,GO:0034330,cell junction organization,M1,1,0
1,-3.5,GO:0032623,interleukin-2 production,M1,1,0
1,-3.7,GO:0022407,regulation of cell-cell adhesion,M1,1,0
1,-2.7,R-MMU-422475,Axon guidance,M1,1,0
1,-2.1,GO:0007044,cell-substrate junction assembly,M1,1,0
1,-2.4,GO:0002833,positive regulation of response to biotic stimulus,M1,1,0
1,-2.2,WP4466,Oxidative stress and redox pathway,M1,1,0
1,-2.1,GO:0099149,regulation of postsynaptic neurotransmitter receptor internalization,M1,1,0
1,-2.7,GO:0001977,renal system process involved in regulation of blood volume,M1,1,0
1,-2.2,GO:0051347,positive regulation of transferase activity,M1,1,0
1,-2.1,GO:0043369,"CD4-positive or CD8-positive, alpha-beta T cell lineage commitment",M1,1,0
1,-2.5,GO:0042267,natural killer cell mediated cytotoxicity,M1,1,0
1,-2.5,GO:1903131,mononuclear cell differentiation,M1,1,0
1,-2.6,GO:0030098,lymphocyte differentiation,M1,1,0
1,-3.4,GO:0042129,regulation of T cell proliferation,M1,1,0
1,-3.3,GO:0048846,axon extension involved in axon guidance,M1,1,0
1,-2.3,GO:0048008,platelet-derived growth factor receptor signaling pathway,M1,1,0
1,-2.9,GO:0030100,regulation of endocytosis,M1,1,0
1,-2.1,GO:1903556,negative regulation of tumor necrosis factor superfamily cytokine production,M1,1,0
1,-2.2,GO:0048872,homeostasis of number of cells,M1,1,0
1,-2.4,GO:0021987,cerebral cortex development,M1,1,0
1,-2.2,GO:0002363,alpha-beta T cell lineage commitment,M1,1,0
1,-4.1,GO:0070661,leukocyte proliferation,M1,1,0
1,-2,GO:0030099,myeloid cell differentiation,M1,1,0
1,-3.1,ko04060,Cytokine-cytokine receptor interaction,M1,1,0
1,-2.3,GO:2000403,positive regulation of lymphocyte migration,M1,1,0
1,-2.2,GO:0006778,porphyrin-containing compound metabolic process,M1,1,0
1,-2.5,GO:0045954,positive regulation of natural killer cell mediated cytotoxicity,M1,1,0
1,-2.2,R-MMU-1474244,Extracellular matrix organization,M1,1,0
1,-3.3,GO:0042102,positive regulation of T cell proliferation,M1,1,0
1,-4.7,GO:2000404,regulation of T cell migration,M1,1,0
1,-5.1,GO:0032944,regulation of mononuclear cell proliferation,M1,1,0
1,-2.4,GO:1903038,negative regulation of leukocyte cell-cell adhesion,M1,1,0
1,-2.7,GO:0006929,substrate-dependent cell migration,M1,1,0
1,-2.3,GO:0009595,detection of biotic stimulus,M1,1,0
1,-2.2,R-MMU-202040,G-protein activation,M1,1,0
1,-2.5,GO:0031294,lymphocyte costimulation,M1,1,0
