_MEMBER_Geneid,_LogP_Geneid,GO,Description,_PATTERN_,_RANK_,CHILD_GO_Geneid
1,-6.332870545525633,GO:0032501,multicellular organismal process,M1,1,GO:0001817 regulation of cytokine production
1,-5.448814644170682,GO:0002376,immune system process,M1,1,GO:0050863 regulation of T cell activation
1,-5.13618833519882,GO:0040011,locomotion,M1,1,GO:0006935 chemotaxis
1,-5.069559300385779,GO:0022610,biological adhesion,M1,1,GO:0030155 regulation of cell adhesion
1,-5.065034543781363,GO:0050789,regulation of biological process,M1,1,GO:0032944 regulation of mononuclear cell proliferation
1,-5.049945752116306,GO:0048518,positive regulation of biological process,M1,1,GO:0032103 positive regulation of response to external stimulus
1,-4.692555975641357,GO:0048519,negative regulation of biological process,M1,1,GO:0001818 negative regulation of cytokine production
1,-4.470752760293195,GO:0009987,cellular process,M1,1,GO:0032943 mononuclear cell proliferation
1,-3.567912069051628,GO:0040007,growth,M1,1,GO:0048841 regulation of axon extension involved in axon guidance
1,-3.3126766337786657,GO:0032502,developmental process,M1,1,GO:0050767 regulation of neurogenesis
1,-3.251200463605869,GO:0044419,biological process involved in interspecies interaction between organisms,M1,1,GO:0045089 positive regulation of innate immune response
1,-3.113184877457209,GO:0050896,response to stimulus,M1,1,GO:0006954 inflammatory response
1,-2.927370652012172,GO:0051179,localization,M1,1,GO:0030100 regulation of endocytosis
1,-2.7636277240874403,GO:0023052,signaling,M1,1,GO:0071526 semaphorin-plexin signaling pathway
1,-2.503602596510283,GO:0065007,biological regulation,M1,1,GO:0006878 cellular copper ion homeostasis
1,-2.3705059628776066,GO:0022414,reproductive process,M1,1,GO:0001892 embryonic placenta development
1,-2.1920421576558025,GO:0008152,metabolic process,M1,1,GO:0006778 porphyrin-containing compound metabolic process
