Name,Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value)
Geneid,GO Biological Processes,19,GO:0050863,regulation of T cell activation,19_GO:0002376 immune system process,-7.9,5.2,8,20504,342,206,18,8.7,2,11629|12367|12458|12520|12522|13642|13848|16196|19122|20371|20971|22164|22329|60505|66824|234396|252838|100043314,Aif1|Casp3|Ccr6|Cd81|Cd83|Efnb2|Ephb6|Il7|Prnp|Foxp3|Sdc4|Tnfsf4|Vcam1|Il21|Pycard|Ankle1|Tox|Tigit,-4.9
Geneid,GO Biological Processes,19,GO:0006935,chemotaxis,19_GO:0040011 locomotion,-7.7,3.8,7.2,20504,623,206,24,12,2.2,11629|12458|12776|12933|12977|13043|13639|13642|13848|14173|16410|18508|18591|18846|20290|20361|20750|22329|22415|65254|214968|243743|277360|545428,Aif1|Ccr6|Ccr8|Crmp1|Csf1|Cttn|Efna4|Efnb2|Ephb6|Fgf2|Itgav|Pax6|Pdgfb|Plxna3|Ccl1|Sema7a|Spp1|Vcam1|Wnt3|Dpysl5|Sema6d|Plxna4|Prex1|Ccdc141,-4.8
Geneid,GO Biological Processes,19,GO:0001817,regulation of cytokine production,19_GO:0032501 multicellular organismal process,-7.7,3.5,7,20504,776,206,27,13,2.4,11629|12520|12522|15251|15442|15900|16153|16178|16196|16364|16410|17470|18987|19122|19280|20290|20361|20371|21809|22164|60505|66824|66889|229521|232415|243655|100043314,Aif1|Cd81|Cd83|Hif1a|Hpse|Irf8|Il10|Il1r2|Il7|Irf4|Itgav|Cd200|Pou2f2|Prnp|Ptprs|Ccl1|Sema7a|Foxp3|Tgfb3|Tnfsf4|Il21|Pycard|Rnf128|Syt11|Klrh1|Klre1|Tigit,-4.8
Geneid,GO Biological Processes,19,GO:0042330,taxis,19_GO:0040011 locomotion,-7.7,3.8,7.2,20504,628,206,24,12,2.2,11629|12458|12776|12933|12977|13043|13639|13642|13848|14173|16410|18508|18591|18846|20290|20361|20750|22329|22415|65254|214968|243743|277360|545428,Aif1|Ccr6|Ccr8|Crmp1|Csf1|Cttn|Efna4|Efnb2|Ephb6|Fgf2|Itgav|Pax6|Pdgfb|Plxna3|Ccl1|Sema7a|Spp1|Vcam1|Wnt3|Dpysl5|Sema6d|Plxna4|Prex1|Ccdc141,-4.8
Geneid,GO Biological Processes,19,GO:0030155,regulation of cell adhesion,19_GO:0022610 biological adhesion,-7.2,3.4,6.7,20504,772,206,26,13,2.3,11629|12367|12520|12522|12977|13642|13848|14758|16153|16196|16410|16878|18591|18846|19122|20371|20750|20971|22164|22329|54371|60505|66824|243743|277360|100043314,Aif1|Casp3|Cd81|Cd83|Csf1|Efnb2|Ephb6|Gpm6b|Il10|Il7|Itgav|Lif|Pdgfb|Plxna3|Prnp|Foxp3|Spp1|Sdc4|Tnfsf4|Vcam1|Chst2|Il21|Pycard|Plxna4|Prex1|Tigit,-4.5
Geneid,GO Biological Processes,19,GO:0001819,positive regulation of cytokine production,19_GO:0048518 positive regulation of biological process,-6.8,4,6.8,20504,501,206,20,9.7,2.1,11629|12520|12522|15251|15442|15900|16153|16196|16364|17470|18987|20290|20361|20371|22164|60505|66824|232415|243655|100043314,Aif1|Cd81|Cd83|Hif1a|Hpse|Irf8|Il10|Il7|Irf4|Cd200|Pou2f2|Ccl1|Sema7a|Foxp3|Tnfsf4|Il21|Pycard|Klrh1|Klre1|Tigit,-4.2
Geneid,GO Biological Processes,19,GO:0042110,T cell activation,19_GO:0002376 immune system process,-6.7,3.8,6.7,20504,550,206,21,10,2.1,11629|12367|12458|12520|12522|13642|13848|16196|16364|16410|19122|20371|20971|22164|22329|60505|66824|234396|252838|277360|100043314,Aif1|Casp3|Ccr6|Cd81|Cd83|Efnb2|Ephb6|Il7|Irf4|Itgav|Prnp|Foxp3|Sdc4|Tnfsf4|Vcam1|Il21|Pycard|Ankle1|Tox|Prex1|Tigit,-4.2
Geneid,GO Biological Processes,19,GO:0032944,regulation of mononuclear cell proliferation,19_GO:0050789 regulation of biological process,-6.7,5.7,7.4,20504,245,206,14,6.8,1.8,11629|12367|12520|12977|16153|16196|19122|20371|20971|22164|22329|22780|60505|66824,Aif1|Casp3|Cd81|Csf1|Il10|Il7|Prnp|Foxp3|Sdc4|Tnfsf4|Vcam1|Ikzf3|Il21|Pycard,-4.2
Geneid,GO Biological Processes,19,GO:1903037,regulation of leukocyte cell-cell adhesion,19_GO:0022610 biological adhesion,-6.6,4.8,7,20504,333,206,16,7.8,1.9,11629|12367|12520|12522|13642|13848|16196|19122|20371|20971|22164|22329|54371|60505|66824|100043314,Aif1|Casp3|Cd81|Cd83|Efnb2|Ephb6|Il7|Prnp|Foxp3|Sdc4|Tnfsf4|Vcam1|Chst2|Il21|Pycard|Tigit,-4
Geneid,GO Biological Processes,19,GO:0045785,positive regulation of cell adhesion,19_GO:0022610 biological adhesion,-6.5,4,6.7,20504,472,206,19,9.2,2,11629|12520|12522|12977|13642|13848|16196|16410|16878|18591|20371|20750|20971|22164|22329|54371|60505|66824|277360,Aif1|Cd81|Cd83|Csf1|Efnb2|Ephb6|Il7|Itgav|Lif|Pdgfb|Foxp3|Spp1|Sdc4|Tnfsf4|Vcam1|Chst2|Il21|Pycard|Prex1,-4
