,gene,Geneid,genename,dfin_change,dfin_log2FC,dfin_padj,dfin_Change Metric
1,1,ENSMUSG00000042549,Map2k3os,Down,-51.4720538815208,2.41221337386323e-54,-2759.80718700768
2,2,ENSMUSG00000042501,Cpa6,Down,-44.6869920081948,1.58052166013334e-61,-2717.02271829145
3,3,ENSMUSG00000044134,Pheta1,Down,-46.0229922609469,2.59031481734084e-55,-2512.24085314957
4,4,ENSMUSG00000063383,Zfp947,Down,-49.5965390435084,1.38351516831008e-49,-2423.23809839436
5,5,ENSMUSG00000113927,ENSMUSG00000113927,Down,-50.6551055945268,2.17337395138812e-48,-2414.36748698844
6,6,ENSMUSG00000045934,Mtmr11,Down,-47.5007602223042,2.92043688374478e-43,-2020.42356404018
7,7,ENSMUSG00000030428,Ttyh1,Down,-47.7053527408069,4.65040724013764e-43,-2019.48727491176
8,8,ENSMUSG00000114686,ENSMUSG00000114686,Down,-49.2734833420286,6.23712830625412e-32,-1537.57980264774
9,9,ENSMUSG00000028100,Nudt17,Down,-42.9824220395428,8.03655391735412e-35,-1465.48267656843
10,10,ENSMUSG00000032224,Fam81a,Down,-39.8801660430258,5.93896881258359e-36,-1404.83025261839
11,11,ENSMUSG00000086392,Mccc1os,Down,-42.3499663733234,2.20425063753752e-33,-1383.01179956794
12,12,ENSMUSG00000090005,ENSMUSG00000090005,Down,-47.5688315130023,3.99662975304589e-25,-1160.59891125668
13,13,ENSMUSG00000031329,Tsx,Down,-45.7847867490645,2.23193280591561e-21,-945.5162312052
14,14,ENSMUSG00000038060,Dlec1,Down,-47.7272635204941,1.21722816256324e-19,-902.743435333986
15,15,ENSMUSG00000117988,Gm8663,Down,-47.6296494554389,5.18448201560996e-18,-823.292523851477
16,16,ENSMUSG00000106197,ENSMUSG00000106197,Down,-40.8306259502778,1.6066300375407e-20,-808.204844639408
17,17,ENSMUSG00000074284,ENSMUSG00000074284,Down,-46.2298212525066,6.24013438800183e-17,-749.14528745674
18,18,ENSMUSG00000106184,ENSMUSG00000106184,Down,-36.4967461525557,6.30628365230424e-20,-700.745792601251
19,19,ENSMUSG00000097503,3110045C21Rik,Down,-44.5780251348683,1.25592345612048e-15,-664.258794273405
20,20,ENSMUSG00000116600,ENSMUSG00000116600,Down,-29.6867683479003,8.81457652760772e-22,-625.048927087258
21,21,ENSMUSG00000024617,Camk2a,Down,-43.4214055526554,5.65087411225139e-15,-618.663165393786
22,22,ENSMUSG00000032418,Me1,Down,-43.1473946537183,8.49367983183117e-15,-607.122852928936
23,23,ENSMUSG00000023800,Tiam2,Down,-25.2423954716945,1.23884628040185e-24,-603.46950878861
24,24,ENSMUSG00000051029,Serpinb1b,Down,-39.4342895400245,4.67340342584774e-15,-565.107830743667
25,25,ENSMUSG00000048368,Omd,Down,-41.5902305570972,1.00883508442292e-13,-540.514115185176
26,26,ENSMUSG00000022783,Spag6l,Down,-34.0437931452065,1.9573394156571e-15,-500.727475381361
27,27,ENSMUSG00000020669,Sh3yl1,Down,-40.1724472403793,8.46581044706853e-13,-484.975098636497
28,28,ENSMUSG00000030600,Lrfn1,Down,-39.9752811622834,1.13928096196693e-12,-477.439540190652
29,29,ENSMUSG00000048040,Arxes2,Down,-25.0761480264891,6.19297566681472e-19,-456.589026588793
30,30,ENSMUSG00000111415,ENSMUSG00000111415,Down,-35.9115978714414,2.53482604754494e-13,-452.344348401735
31,31,ENSMUSG00000081077,Gm13899,Down,-36.5555512528615,1.30904109227338e-12,-434.391323421977
32,32,ENSMUSG00000100302,ENSMUSG00000100302,Down,-36.1305739831477,1.31465880842012e-12,-429.274103902116
33,33,ENSMUSG00000025492,Ifitm3,Down,-26.7669043462046,5.0662011020357e-16,-409.408302473612
34,34,ENSMUSG00000071000,Olfr155,Down,-35.9534709290722,4.80316808805704e-12,-406.938361738197
35,35,ENSMUSG00000032174,Icam5,Down,-37.4873315243167,4.61093037758666e-11,-387.476984781632
36,36,ENSMUSG00000026365,Cfh,Down,-37.2516050246506,4.96000708168485e-11,-383.859823458155
37,37,ENSMUSG00000026193,Fn1,Down,-24.9013365495852,5.97429049217584e-16,-379.090817486987
38,38,ENSMUSG00000102662,ENSMUSG00000102662,Down,-37.016171758163,7.09828526664394e-11,-375.671447085157
39,39,ENSMUSG00000034055,Phka1,Down,-25.1318882801388,2.14344749260403e-15,-368.656833068017
40,40,ENSMUSG00000103585,Pcdhgb4,Down,-30.989600944118,1.30904109227338e-12,-368.250875860629
41,41,ENSMUSG00000066643,Wdr35,Down,-23.565285232775,2.66119809059831e-16,-367.02749818577
42,42,ENSMUSG00000104662,ENSMUSG00000104662,Down,-24.0095916190987,6.7052861385451e-16,-364.311523653902
43,43,ENSMUSG00000031387,Renbp,Down,-22.3930916542373,1.33749771105533e-16,-355.461374680772
44,44,ENSMUSG00000021596,Mctp1,Down,-25.1260042808959,7.90754541078653e-15,-354.325864749875
45,45,ENSMUSG00000002108,Nr1h3,Down,-34.7664724199416,1.18759332669344e-10,-345.068789978799
46,46,ENSMUSG00000031434,Morc4,Down,-35.9361892987939,2.87043299787714e-10,-342.905008031405
47,47,ENSMUSG00000117008,ENSMUSG00000117008,Down,-28.9318643629102,3.10189772224693e-12,-332.958672963586
48,48,ENSMUSG00000073802,Cdkn2b,Down,-31.80913991689,4.66066544320042e-11,-328.637785382937
49,49,ENSMUSG00000032066,Bco2,Down,-34.9675965584755,1.11425700356658e-09,-313.06540347699
50,50,ENSMUSG00000028575,Eqtn,Down,-34.1121912578343,3.10619840747359e-09,-290.21870495624
51,51,ENSMUSG00000096746,Trav7d-3,Down,-23.0777972922526,2.74086292633969e-13,-289.905890071706
52,52,ENSMUSG00000025665,Rps6ka6,Down,-34.0492108351728,3.30121996289654e-09,-288.782441381973
53,53,ENSMUSG00000024124,Prss30,Down,-26.1089347181076,1.20865454389123e-11,-285.049459416849
54,54,ENSMUSG00000028194,Ddah1,Down,-33.8057494819235,4.6136929725058e-09,-281.803081674457
55,55,ENSMUSG00000026622,Nek2,Down,-23.0609868513813,1.46052087850366e-12,-272.938130702576
56,56,ENSMUSG00000030562,Nox4,Down,-33.3481763060993,7.98788304099297e-09,-270.039135409709
57,57,ENSMUSG00000087522,Gm371,Down,-24.1103672519031,7.94074027096108e-12,-267.628428050102
58,58,ENSMUSG00000055216,ENSMUSG00000055216,Down,-32.1304481882222,5.09839218547373e-09,-266.443886635646
59,59,ENSMUSG00000027378,Nphp1,Down,-33.2486475131797,1.29740899809379e-08,-262.229525928426
60,60,ENSMUSG00000021874,4933413J09Rik,Down,-24.7652044898991,9.22076703209995e-11,-248.524596123773
61,61,ENSMUSG00000090939,ENSMUSG00000090939,Down,-32.4426597919167,2.28000815509141e-08,-247.928869470669
62,62,ENSMUSG00000021687,Scamp1,Down,-23.7455603110761,4.66066544320042e-11,-245.328492807359
63,63,ENSMUSG00000029072,Tas1r3,Down,-23.0859901264525,2.65253880734862e-11,-244.165240495161
64,64,ENSMUSG00000051343,Rab11fip5,Down,-22.9891066674468,2.65253880734862e-11,-243.140568261544
65,65,ENSMUSG00000107583,ENSMUSG00000107583,Down,-32.107139388682,3.39476234990245e-08,-239.814344455666
66,66,ENSMUSG00000056457,Prl2c3,Down,-32.0891715408846,3.78724622518957e-08,-238.155449001166
67,67,ENSMUSG00000021782,Dlg5,Down,-22.6531635374284,5.9323141366359e-11,-231.668826008906
68,68,ENSMUSG00000001039,B9d1,Down,-22.383485332055,7.01608895569458e-11,-227.279781689208
69,69,ENSMUSG00000022861,Dgkg,Down,-22.9794946278191,1.58833825630673e-10,-225.17737777352
70,70,ENSMUSG00000024727,Trpm6,Down,-22.7295049489637,1.58970290147897e-10,-222.719237223764
71,71,ENSMUSG00000034780,B3galt1,Down,-24.3839373192057,7.35759610233498e-10,-222.70493827563
72,72,ENSMUSG00000096141,Dnah7a,Down,-22.7043671246236,2.0544868217272e-10,-219.943939362551
73,73,ENSMUSG00000103586,ENSMUSG00000103586,Down,-18.1942856001654,8.18087313696003e-13,-219.917975128946
