Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
GO Biological Processes,19,GO:0001578,microtubule bundle formation,19_GO:0009987 cellular process,-3.7,7.2,5.7,20504,119,143,6,4.2,1.7,14159|50525|102747|213402|231214|627872,Fes|Spag6l|Lrrc49|Armc2|Cc2d2a|Dnah7a,0,Geneid
GO Biological Processes,19,GO:0031667,response to nutrient levels,19_GO:0050896 response to stimulus,-3.7,4,4.8,20504,358,143,10,7,2.1,12579|12628|14159|18812|21416|52187|57875|73094|237253|319229,Cdkn2b|Cfh|Fes|Prl2c3|Tcf7l2|Rragd|Angptl4|Sgip1|Lrp11|Sctr,0,Geneid
GO Biological Processes,19,GO:0006525,arginine metabolic process,19_GO:0008152 metabolic process,-3.5,23,7.9,20504,19,143,3,2.1,1.2,11846|67547|69219,Arg1|Slc39a8|Ddah1,0,Geneid
GO Biological Processes,19,GO:0035082,axoneme assembly,19_GO:0009987 cellular process,-3.5,8.3,5.7,20504,86,143,5,3.5,1.5,50525|102747|213402|231214|627872,Spag6l|Lrrc49|Armc2|Cc2d2a|Dnah7a,0,Geneid
GO Biological Processes,19,GO:0009991,response to extracellular stimulus,19_GO:0050896 response to stimulus,-3.4,3.7,4.5,20504,391,143,10,7,2.1,12579|12628|14159|18812|21416|52187|57875|73094|237253|319229,Cdkn2b|Cfh|Fes|Prl2c3|Tcf7l2|Rragd|Angptl4|Sgip1|Lrp11|Sctr,0,Geneid
GO Biological Processes,19,GO:0120031,plasma membrane bounded cell projection assembly,19_GO:0009987 cellular process,-3.3,3.1,4.3,20504,548,143,12,8.4,2.3,14163|24057|27078|50525|57257|57776|74682|102747|213402|231214|319565|627872,Fgd1|Sh3yl1|B9d1|Spag6l|Vav3|Ttyh1|Wdr35|Lrrc49|Armc2|Cc2d2a|Syne2|Dnah7a,0,Geneid
GO Biological Processes,19,GO:0030031,cell projection assembly,19_GO:0009987 cellular process,-3.2,3.1,4.1,20504,563,143,12,8.4,2.3,14163|24057|27078|50525|57257|57776|74682|102747|213402|231214|319565|627872,Fgd1|Sh3yl1|B9d1|Spag6l|Vav3|Ttyh1|Wdr35|Lrrc49|Armc2|Cc2d2a|Syne2|Dnah7a,0,Geneid
KEGG Pathway,24,ko05146,Amoebiasis,,-3.1,6.8,5,20504,106,143,5,3.5,1.5,11846|12828|14268|16178|282663,Arg1|Col4a3|Fn1|Il1r2|Serpinb1b,0,Geneid
KEGG Pathway,24,mmu05146,Amoebiasis,,-3,6.6,4.9,20504,108,143,5,3.5,1.5,11846|12828|14268|16178|282663,Arg1|Col4a3|Fn1|Il1r2|Serpinb1b,0,Geneid
Reactome Gene Sets,6,R-MMU-204998,"Cell death signalling via NRAGE, NRIF and NADE",,-3,8.8,5.3,20504,65,143,4,2.8,1.4,14163|24001|57257|67733,Fgd1|Tiam2|Vav3|Itgb3bp,0,Geneid
Reactome Gene Sets,6,R-MMU-216083,Integrin cell surface interactions,,-2.8,8.2,5.1,20504,70,143,4,2.8,1.4,12828|14268|15898|16399,Col4a3|Fn1|Icam5|Itga2b,0,Geneid
GO Biological Processes,19,GO:1901606,alpha-amino acid catabolic process,19_GO:0008152 metabolic process,-2.8,8.1,5,20504,71,143,4,2.8,1.4,11846|69219|104174|232078,Arg1|Ddah1|Gldc|Thnsl2,0,Geneid
GO Biological Processes,19,GO:1901605,alpha-amino acid metabolic process,19_GO:0008152 metabolic process,-2.8,4.8,4.3,20504,178,143,6,4.2,1.7,11846|50490|67547|69219|104174|232078,Arg1|Nox4|Slc39a8|Ddah1|Gldc|Thnsl2,0,Geneid
GO Biological Processes,19,GO:0002021,response to dietary excess,19_GO:0032501 multicellular organismal process,-2.7,12,5.6,20504,35,143,3,2.1,1.2,12628|73094|319229,Cfh|Sgip1|Sctr,0,Geneid
GO Biological Processes,19,GO:0060996,dendritic spine development,19_GO:0032502 developmental process,-2.7,5.6,4.4,20504,128,143,5,3.5,1.5,12322|12323|13048|71228|216049,Camk2a|Camk2b|Cux2|Dlg5|Zfp365,0,Geneid
Reactome Gene Sets,6,R-MMU-193704,p75 NTR receptor-mediated signalling,,-2.6,7.2,4.6,20504,80,143,4,2.8,1.4,14163|24001|57257|67733,Fgd1|Tiam2|Vav3|Itgb3bp,0,Geneid
KEGG Pathway,24,ko05222,Small cell lung cancer,,-2.6,6.9,4.5,20504,83,143,4,2.8,1.4,12579|12828|14268|16399,Cdkn2b|Col4a3|Fn1|Itga2b,0,Geneid
GO Biological Processes,19,GO:0060271,cilium assembly,19_GO:0009987 cellular process,-2.5,3.3,3.7,20504,343,143,8,5.6,1.9,27078|50525|74682|102747|213402|231214|319565|627872,B9d1|Spag6l|Wdr35|Lrrc49|Armc2|Cc2d2a|Syne2|Dnah7a,0,Geneid
KEGG Pathway,24,mmu05222,Small cell lung cancer,,-2.5,6.7,4.4,20504,86,143,4,2.8,1.4,12579|12828|14268|16399,Cdkn2b|Col4a3|Fn1|Itga2b,0,Geneid
GO Biological Processes,19,GO:0006897,endocytosis,19_GO:0051179 localization,-2.5,2.5,3.4,20504,685,143,12,8.4,2.3,14131|17957|22259|66141|67753|73094|78771|98402|107767|110786|237253|238447,Fcgr3|Napb|Nr1h3|Ifitm3|Eqtn|Sgip1|Mctp1|Sh3bp4|Scamp1|Iglc2|Lrp11|Igha,0,Geneid
GO Biological Processes,19,GO:0043068,positive regulation of programmed cell death,19_GO:0048518 positive regulation of biological process,-2.4,2.6,3.3,20504,612,143,11,7.7,2.2,11846|12322|12323|21416|50490|56338|71648|74682|76072|114774|271639,Arg1|Camk2a|Camk2b|Tcf7l2|Nox4|Txnip|Optn|Wdr35|Rnf183|Pawr|Adcy10,0,Geneid
GO Biological Processes,19,GO:0045197,establishment or maintenance of epithelial cell apical/basal polarity,19_GO:0009987 cellular process,-2.4,9.6,4.8,20504,45,143,3,2.1,1.2,23859|50525|71228,Dlg2|Spag6l|Dlg5,0,Geneid
Reactome Gene Sets,6,R-MMU-5620912,Anchoring of the basal body to the plasma membrane,,-2.4,6,4.1,20504,95,143,4,2.8,1.4,18005|27078|53885|231214,Nek2|B9d1|Nphp1|Cc2d2a,0,Geneid
Reactome Gene Sets,6,R-MMU-193648,NRAGE signals death through JNK,,-2.3,9,4.6,20504,48,143,3,2.1,1.2,14163|24001|57257,Fgd1|Tiam2|Vav3,0,Geneid
GO Biological Processes,19,GO:0044782,cilium organization,19_GO:0009987 cellular process,-2.3,3.1,3.4,20504,376,143,8,5.6,1.9,27078|50525|74682|102747|213402|231214|319565|627872,B9d1|Spag6l|Wdr35|Lrrc49|Armc2|Cc2d2a|Syne2|Dnah7a,0,Geneid
KEGG Pathway,24,ko05150,Staphylococcus aureus infection,,-2.2,8.3,4.4,20504,52,143,3,2.1,1.2,12273|12628|14131,C5ar1|Cfh|Fcgr3,0,Geneid
GO Biological Processes,19,GO:0035088,establishment or maintenance of apical/basal cell polarity,19_GO:0009987 cellular process,-2.2,8.3,4.4,20504,52,143,3,2.1,1.2,23859|50525|71228,Dlg2|Spag6l|Dlg5,0,Geneid
GO Biological Processes,19,GO:0061245,establishment or maintenance of bipolar cell polarity,19_GO:0009987 cellular process,-2.2,8.3,4.4,20504,52,143,3,2.1,1.2,23859|50525|71228,Dlg2|Spag6l|Dlg5,0,Geneid
Reactome Gene Sets,6,R-MMU-936837,Ion transport by P-type ATPases,,-2.2,8.1,4.3,20504,53,143,3,2.1,1.2,12322|12323|319767,Camk2a|Camk2b|Atp10b,0,Geneid
Reactome Gene Sets,6,R-MMU-9013149,RAC1 GTPase cycle,,-2.2,4.3,3.6,20504,166,143,5,3.5,1.5,24001|57257|106952|108699|238130,Tiam2|Vav3|Arap3|Chn1|Dock4,0,Geneid
GO Biological Processes,19,GO:0016358,dendrite development,19_GO:0032502 developmental process,-2.2,3.2,3.3,20504,313,143,7,4.9,1.8,12322|12323|13048|13508|71228|110197|216049,Camk2a|Camk2b|Cux2|Dscam|Dlg5|Dgkg|Zfp365,0,Geneid
KEGG Pathway,24,mmu05150,Staphylococcus aureus infection,,-2.2,7.8,4.2,20504,55,143,3,2.1,1.2,12273|12628|14131,C5ar1|Cfh|Fcgr3,0,Geneid
Reactome Gene Sets,6,R-MMU-983712,Ion channel transport,,-2.2,4.2,3.5,20504,170,143,5,3.5,1.5,12322|12323|57776|225997|319767,Camk2a|Camk2b|Ttyh1|Trpm6|Atp10b,0,Geneid
GO Biological Processes,19,GO:0008285,negative regulation of cell population proliferation,19_GO:0048519 negative regulation of biological process,-2.1,2.2,2.9,20504,766,143,12,8.4,2.3,11846|12579|12828|18028|50490|66141|69219|71228|71648|98402|114774|320256,Arg1|Cdkn2b|Col4a3|Nfib|Nox4|Ifitm3|Ddah1|Dlg5|Optn|Sh3bp4|Pawr|Dlec1,0,Geneid
GO Biological Processes,19,GO:0044458,motile cilium assembly,19_GO:0009987 cellular process,-2.1,7.3,4.1,20504,59,143,3,2.1,1.2,50525|213402|231214,Spag6l|Armc2|Cc2d2a,0,Geneid
GO Biological Processes,19,GO:0010942,positive regulation of cell death,19_GO:0048518 positive regulation of biological process,-2.1,2.3,2.9,20504,682,143,11,7.7,2.2,11846|12322|12323|21416|50490|56338|71648|74682|76072|114774|271639,Arg1|Camk2a|Camk2b|Tcf7l2|Nox4|Txnip|Optn|Wdr35|Rnf183|Pawr|Adcy10,0,Geneid
Reactome Gene Sets,6,R-MMU-9012999,RHO GTPase cycle,,-2.1,2.8,3.1,20504,413,143,8,5.6,1.9,14163|24001|57257|71228|106952|108699|238130|263803,Fgd1|Tiam2|Vav3|Dlg5|Arap3|Chn1|Dock4|Pkn3,0,Geneid
GO Biological Processes,19,GO:0006887,exocytosis,19_GO:0051179 localization,-2.1,2.8,3,20504,416,143,8,5.6,1.9,12322|14159|17957|26875|52055|67753|74760|107767,Camk2a|Fes|Napb|Pclo|Rab11fip5|Eqtn|Rab3il1|Scamp1,0,Geneid
GO Biological Processes,19,GO:0043065,positive regulation of apoptotic process,19_GO:0048518 positive regulation of biological process,-2,2.4,2.9,20504,597,143,10,7,2.1,12322|12323|21416|50490|56338|71648|74682|76072|114774|271639,Camk2a|Camk2b|Tcf7l2|Nox4|Txnip|Optn|Wdr35|Rnf183|Pawr|Adcy10,0,Geneid
Reactome Gene Sets,6,R-MMU-422475,Axon guidance,,-2,3.4,3.2,20504,256,143,6,4.2,1.7,11733|12828|13508|14159|16399|57257,Ank1|Col4a3|Dscam|Fes|Itga2b|Vav3,0,Geneid
GO Biological Processes,19,GO:0045834,positive regulation of lipid metabolic process,19_GO:0048518 positive regulation of biological process,-2,3.9,3.3,20504,183,143,5,3.5,1.5,21416|22259|57257|57875|319229,Tcf7l2|Nr1h3|Vav3|Angptl4|Sctr,0,Geneid
GO Biological Processes,19,GO:0006520,cellular amino acid metabolic process,19_GO:0008152 metabolic process,-2,3.3,3.2,20504,257,143,6,4.2,1.7,11846|50490|67547|69219|104174|232078,Arg1|Nox4|Slc39a8|Ddah1|Gldc|Thnsl2,0,Geneid
Reactome Gene Sets,6,R-MMU-9675108,Nervous system development,,-2,3.3,3.2,20504,257,143,6,4.2,1.7,11733|12828|13508|14159|16399|57257,Ank1|Col4a3|Dscam|Fes|Itga2b|Vav3,0,Geneid
GO Biological Processes,19,GO:1902414,protein localization to cell junction,19_GO:0051179 localization,-2,4.8,3.5,20504,119,143,4,2.8,1.4,12322|23859|26875|71228,Camk2a|Dlg2|Pclo|Dlg5,0,Geneid
GO Biological Processes,19,GO:0048813,dendrite morphogenesis,19_GO:0032502 developmental process,-2,3.9,3.3,20504,186,143,5,3.5,1.5,12322|12323|13048|13508|216049,Camk2a|Camk2b|Cux2|Dscam|Zfp365,0,Geneid
