Gene,_SCORE_GRP7_,_SCORE_GRP12_,_SCORE_GRP8_,_SCORE_GRP13_,_SCORE_GRP2_,_SCORE_GRP15_,_SCORE_GRP1_,_SCORE_GRP10_,_SCORE_GRP14_,_SCORE_GRP4_,_SCORE_GRP3_,_SCORE_GRP5_,_SCORE_GRP6_,_SCORE_GRP9_,_SCORE_GRP11_,GRP1|19_GO:0030031|-3.226|cell projection assembly,GRP1|19_GO:0120031|-3.329|plasma membrane bounded cell projection assembly,GRP1|19_GO:0044782|-2.306|cilium organization,GRP1|19_GO:0060271|-2.545|cilium assembly,GRP1|19_GO:0001578|-3.725|microtubule bundle formation,GRP1|19_GO:0035082|-3.468|axoneme assembly,GRP1|19_GO:0044458|-2.090|motile cilium assembly,GRP2|19_GO:0009991|-3.369|response to extracellular stimulus,GRP2|19_GO:0031667|-3.672|response to nutrient levels,GRP2|19_GO:0002021|-2.734|response to dietary excess,GRP3|19_GO:0006520|-2.027|cellular amino acid metabolic process,GRP3|19_GO:1901605|-2.803|alpha-amino acid metabolic process,GRP3|19_GO:1901606|-2.814|alpha-amino acid catabolic process,GRP3|19_GO:0006525|-3.528|arginine metabolic process,GRP4|24_mmu05146|-3.016|Amoebiasis,GRP4|24_ko05146|-3.052|Amoebiasis,GRP4|24_mmu05222|-2.509|Small cell lung cancer,GRP4|24_ko05222|-2.565|Small cell lung cancer,GRP4|6_R-MMU-216083|-2.837|Integrin cell surface interactions,GRP5|6_R-MMU-9012999|-2.069|RHO GTPase cycle,GRP5|6_R-MMU-9013149|-2.207|RAC1 GTPase cycle,GRP5|6_R-MMU-193704|-2.623|p75 NTR receptor-mediated signalling,"GRP5|6_R-MMU-204998|-2.957|Cell death signalling via NRAGE, NRIF and NADE",GRP5|6_R-MMU-193648|-2.340|NRAGE signals death through JNK,GRP6|19_GO:0016358|-2.189|dendrite development,GRP6|19_GO:0060996|-2.689|dendritic spine development,GRP6|19_GO:0048813|-2.005|dendrite morphogenesis,GRP6|6_R-MMU-983712|-2.164|Ion channel transport,GRP6|6_R-MMU-936837|-2.220|Ion transport by P-type ATPases,GRP7|19_GO:0006897|-2.508|endocytosis,GRP8|19_GO:0010942|-2.078|positive regulation of cell death,GRP8|19_GO:0043068|-2.421|positive regulation of programmed cell death,GRP8|19_GO:0043065|-2.038|positive regulation of apoptotic process,GRP9|19_GO:1902414|-2.013|protein localization to cell junction,GRP9|19_GO:0035088|-2.243|establishment or maintenance of apical/basal cell polarity,GRP9|19_GO:0045197|-2.420|establishment or maintenance of epithelial cell apical/basal polarity,GRP9|19_GO:0061245|-2.243|establishment or maintenance of bipolar cell polarity,GRP10|6_R-MMU-5620912|-2.354|Anchoring of the basal body to the plasma membrane,GRP11|24_mmu05150|-2.175|Staphylococcus aureus infection,GRP11|24_ko05150|-2.243|Staphylococcus aureus infection,GRP12|19_GO:0008285|-2.128|negative regulation of cell population proliferation,GRP13|19_GO:0006887|-2.052|exocytosis,GRP14|6_R-MMU-9675108|-2.027|Nervous system development,GRP14|6_R-MMU-422475|-2.035|Axon guidance,GRP15|19_GO:0045834|-2.034|positive regulation of lipid metabolic process,_SORT_,_SORT_GRP1_,_SORT_GRP2_,_SORT_GRP3_,_SORT_GRP4_,_SORT_GRP5_,_SORT_GRP6_,_SORT_GRP7_,_SORT_GRP8_,_SORT_GRP9_,_SORT_GRP10_,_SORT_GRP11_,_SORT_GRP12_,_SORT_GRP13_,_SORT_GRP14_,_SORT_GRP15_
26875,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,31,0,0,0,0,0,0,0,0,5,0,0,0,2,0,0
67547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
71228,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,23,0,0,0,0,9,6,0,0,2,0,0,2,0,0,0
237253,1.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36,0,5,0,0,0,0,2,0,0,0,0,0,0,0,0
16178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
108699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
50525,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.2,0.2,0.1,0.1,0.2,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0
225997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0
23859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
71648,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,11,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0
