Name,Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value)
Geneid,GO Biological Processes,19,GO:0001578,microtubule bundle formation,19_GO:0009987 cellular process,-5.1,18,9,20504,119,48,5,10,4.4,14159|102747|213402|231214|627872,Fes|Lrrc49|Armc2|Cc2d2a|Dnah7a,-1.8
Geneid,GO Biological Processes,19,GO:0006935,chemotaxis,19_GO:0040011 locomotion,-4.9,6.2,6.3,20504,623,48,9,19,5.6,12273|13508|14131|14159|14268|18028|57257|108699|238130,C5ar1|Dscam|Fcgr3|Fes|Fn1|Nfib|Vav3|Chn1|Dock4,-1.7
Geneid,GO Biological Processes,19,GO:0042330,taxis,19_GO:0040011 locomotion,-4.9,6.1,6.3,20504,628,48,9,19,5.6,12273|13508|14131|14159|14268|18028|57257|108699|238130,C5ar1|Dscam|Fcgr3|Fes|Fn1|Nfib|Vav3|Chn1|Dock4,-1.7
Geneid,Reactome Gene Sets,6,R-MMU-216083,Integrin cell surface interactions,,-4.7,24,9.5,20504,70,48,4,8.3,4,12828|14268|15898|16399,Col4a3|Fn1|Icam5|Itga2b,-1.5
Geneid,Reactome Gene Sets,6,R-MMU-422475,Axon guidance,,-4.5,10,7,20504,256,48,6,12,4.8,11733|12828|13508|14159|16399|57257,Ank1|Col4a3|Dscam|Fes|Itga2b|Vav3,-1.5
Geneid,Reactome Gene Sets,6,R-MMU-9675108,Nervous system development,,-4.5,10,7,20504,257,48,6,12,4.8,11733|12828|13508|14159|16399|57257,Ank1|Col4a3|Dscam|Fes|Itga2b|Vav3,-1.5
Geneid,Reactome Gene Sets,6,R-MMU-9013149,RAC1 GTPase cycle,,-4.4,13,7.4,20504,166,48,5,10,4.4,24001|57257|106952|108699|238130,Tiam2|Vav3|Arap3|Chn1|Dock4,-1.4
Geneid,Reactome Gene Sets,6,R-MMU-9012999,RHO GTPase cycle,,-4.3,7.2,6.2,20504,413,48,7,15,5.1,24001|57257|71228|106952|108699|238130|263803,Tiam2|Vav3|Dlg5|Arap3|Chn1|Dock4|Pkn3,-1.4
Geneid,GO Biological Processes,19,GO:0035082,axoneme assembly,19_GO:0009987 cellular process,-4.3,20,8.5,20504,86,48,4,8.3,4,102747|213402|231214|627872,Lrrc49|Armc2|Cc2d2a|Dnah7a,-1.4
Geneid,Reactome Gene Sets,6,R-MMU-5620912,Anchoring of the basal body to the plasma membrane,,-4.1,18,8,20504,95,48,4,8.3,4,18005|27078|53885|231214,Nek2|B9d1|Nphp1|Cc2d2a,-1.3
Geneid,GO Biological Processes,19,GO:0007264,small GTPase mediated signal transduction,19_GO:0023052 signaling,-3.3,6,5.1,20504,425,48,6,12,4.8,24001|57257|106952|108699|234353|238130,Tiam2|Vav3|Arap3|Chn1|Psd3|Dock4,-0.57
Geneid,KEGG Pathway,24,ko04720,Long-term potentiation,,-3.3,19,7.2,20504,67,48,3,6.2,3.5,12322|12323|67071,Camk2a|Camk2b|Rps6ka6,-0.52
Geneid,KEGG Pathway,24,mmu04720,Long-term potentiation,,-3.3,19,7.1,20504,68,48,3,6.2,3.5,12322|12323|67071,Camk2a|Camk2b|Rps6ka6,-0.52
Geneid,Reactome Gene Sets,6,R-MMU-1266738,Developmental Biology,,-3.2,5.6,4.8,20504,454,48,6,12,4.8,11733|12828|13508|14159|16399|57257,Ank1|Col4a3|Dscam|Fes|Itga2b|Vav3,-0.46
Geneid,GO Biological Processes,19,GO:0097120,receptor localization to synapse,19_GO:0051179 localization,-3.1,17,6.8,20504,75,48,3,6.2,3.5,12322|23859|77531,Camk2a|Dlg2|Anks1b,-0.42
Geneid,Reactome Gene Sets,6,R-MMU-194315,Signaling by Rho GTPases,,-3.1,4.6,4.5,20504,652,48,7,15,5.1,24001|57257|71228|106952|108699|238130|263803,Tiam2|Vav3|Dlg5|Arap3|Chn1|Dock4|Pkn3,-0.42
Geneid,GO Biological Processes,19,GO:0048667,cell morphogenesis involved in neuron differentiation,19_GO:0032502 developmental process,-3.1,4.6,4.5,20504,657,48,7,15,5.1,12322|12323|13508|14268|18028|24001|108699,Camk2a|Camk2b|Dscam|Fn1|Nfib|Tiam2|Chn1,-0.41
Geneid,Reactome Gene Sets,6,R-MMU-9716542,"Signaling by Rho GTPases, Miro GTPases and RHOBTB3",,-3.1,4.5,4.4,20504,667,48,7,15,5.1,24001|57257|71228|106952|108699|238130|263803,Tiam2|Vav3|Dlg5|Arap3|Chn1|Dock4|Pkn3,-0.38
Geneid,GO Biological Processes,19,GO:0050770,regulation of axonogenesis,19_GO:0032502 developmental process,-3,9.2,5.5,20504,185,48,4,8.3,4,13508|14268|24001|108699,Dscam|Fn1|Tiam2|Chn1,-0.37
Geneid,KEGG Pathway,24,ko04512,ECM-receptor interaction,,-3,15,6.4,20504,83,48,3,6.2,3.5,12828|14268|16399,Col4a3|Fn1|Itga2b,-0.37
Geneid,KEGG Pathway,24,ko05222,Small cell lung cancer,,-3,15,6.4,20504,83,48,3,6.2,3.5,12828|14268|16399,Col4a3|Fn1|Itga2b,-0.37
Geneid,KEGG Pathway,24,mmu04512,ECM-receptor interaction,,-3,15,6.3,20504,85,48,3,6.2,3.5,12828|14268|16399,Col4a3|Fn1|Itga2b,-0.37
Geneid,KEGG Pathway,24,mmu05222,Small cell lung cancer,,-3,15,6.3,20504,86,48,3,6.2,3.5,12828|14268|16399,Col4a3|Fn1|Itga2b,-0.37
Geneid,Reactome Gene Sets,6,R-MMU-5617833,Cilium Assembly,,-3,8.8,5.3,20504,194,48,4,8.3,4,18005|27078|53885|231214,Nek2|B9d1|Nphp1|Cc2d2a,-0.37
Geneid,KEGG Pathway,24,ko04024,cAMP signaling pathway,,-2.9,8.7,5.2,20504,197,48,4,8.3,4,12322|12323|57257|106952,Camk2a|Camk2b|Vav3|Arap3,-0.37
Geneid,GO Biological Processes,19,GO:0018105,peptidyl-serine phosphorylation,19_GO:0008152 metabolic process,-2.9,6.3,4.8,20504,340,48,5,10,4.4,12322|12323|67071|227120|263803,Camk2a|Camk2b|Rps6ka6|Plcl1|Pkn3,-0.37
Geneid,KEGG Pathway,24,ko04510,Focal adhesion,,-2.9,8.6,5.2,20504,199,48,4,8.3,4,12828|14268|16399|57257,Col4a3|Fn1|Itga2b|Vav3,-0.37
Geneid,GO Biological Processes,19,GO:0060271,cilium assembly,19_GO:0009987 cellular process,-2.9,6.2,4.7,20504,343,48,5,10,4.4,27078|102747|213402|231214|627872,B9d1|Lrrc49|Armc2|Cc2d2a|Dnah7a,-0.37
Geneid,KEGG Pathway,24,mmu04024,cAMP signaling pathway,,-2.9,8.5,5.2,20504,200,48,4,8.3,4,12322|12323|57257|106952,Camk2a|Camk2b|Vav3|Arap3,-0.37
Geneid,GO Biological Processes,19,GO:0048812,neuron projection morphogenesis,19_GO:0032502 developmental process,-2.9,4.2,4.2,20504,710,48,7,15,5.1,12322|12323|13508|14268|18028|24001|108699,Camk2a|Camk2b|Dscam|Fn1|Nfib|Tiam2|Chn1,-0.37
Geneid,KEGG Pathway,24,ko04151,PI3K-Akt signaling pathway,,-2.9,6.2,4.7,20504,346,48,5,10,4.4,12828|14268|16197|16399|263803,Col4a3|Fn1|Il7r|Itga2b|Pkn3,-0.37
Geneid,KEGG Pathway,24,mmu04510,Focal adhesion,,-2.9,8.4,5.1,20504,203,48,4,8.3,4,12828|14268|16399|57257,Col4a3|Fn1|Itga2b|Vav3,-0.36
Geneid,KEGG Pathway,24,mmu04151,PI3K-Akt signaling pathway,,-2.9,6.1,4.7,20504,350,48,5,10,4.4,12828|14268|16197|16399|263803,Col4a3|Fn1|Il7r|Itga2b|Pkn3,-0.36
Geneid,KEGG Pathway,24,ko05205,Proteoglycans in cancer,,-2.9,8.3,5.1,20504,206,48,4,8.3,4,11733|12322|12323|14268,Ank1|Camk2a|Camk2b|Fn1,-0.35
Geneid,GO Biological Processes,19,GO:0120039,plasma membrane bounded cell projection morphogenesis,19_GO:0032502 developmental process,-2.9,4.1,4.1,20504,725,48,7,15,5.1,12322|12323|13508|14268|18028|24001|108699,Camk2a|Camk2b|Dscam|Fn1|Nfib|Tiam2|Chn1,-0.35
Geneid,GO Biological Processes,19,GO:0048858,cell projection morphogenesis,19_GO:0032502 developmental process,-2.8,4.1,4.1,20504,730,48,7,15,5.1,12322|12323|13508|14268|18028|24001|108699,Camk2a|Camk2b|Dscam|Fn1|Nfib|Tiam2|Chn1,-0.35
Geneid,GO Biological Processes,19,GO:0007229,integrin-mediated signaling pathway,19_GO:0023052 signaling,-2.8,13,5.9,20504,96,48,3,6.2,3.5,14268|16399|57257,Fn1|Itga2b|Vav3,-0.35
