Gene,TotalEvidenceCounts,EvidenceHit:Geneid,EvidenceGO:Geneid,EvidencePPI:Geneid
71228,3.0,1,1,1
12273,3.0,1,1,1
16399,3.0,1,1,1
213402,3.0,1,1,1
14131,3.0,1,1,1
53885,3.0,1,1,1
627872,3.0,1,1,1
12323,3.0,1,1,1
14268,3.0,1,1,1
73094,3.0,1,1,1
18005,3.0,1,1,1
24001,3.0,1,1,1
23859,3.0,1,1,1
12322,3.0,1,1,1
57257,3.0,1,1,1
15898,3.0,1,1,1
102747,3.0,1,1,1
12828,3.0,1,1,1
27078,3.0,1,1,1
231214,3.0,1,1,1
12628,2.0,1,1,0
239081,2.0,1,0,1
263803,2.0,1,0,1
80749,2.0,1,0,1
27047,2.0,1,0,1
11846,2.0,1,1,0
319229,2.0,1,1,0
11733,2.0,1,0,1
67733,2.0,1,1,0
106952,2.0,1,0,1
13508,2.0,1,0,1
69706,2.0,1,0,1
30959,2.0,1,0,1
69219,2.0,1,1,0
50525,2.0,1,1,0
67547,2.0,1,1,0
54364,2.0,1,0,1
12579,2.0,1,1,0
77531,2.0,1,0,1
232078,2.0,1,1,0
234353,2.0,1,0,1
17957,2.0,1,0,1
83771,2.0,1,0,1
17864,2.0,1,0,1
18028,2.0,1,0,1
319767,2.0,1,1,0
320832,2.0,1,0,1
67071,2.0,1,0,1
14159,2.0,1,0,1
104174,2.0,1,1,0
227120,2.0,1,0,1
67138,2.0,1,0,1
108699,2.0,1,0,1
278679,2.0,1,0,1
11477,2.0,1,0,1
56338,2.0,1,0,1
14163,2.0,1,1,0
238130,2.0,1,0,1
71648,2.0,1,0,1
16197,2.0,1,0,1
29845,1.0,1,0,0
18679,1.0,1,0,0
16178,1.0,1,0,0
239743,1.0,1,0,0
13048,1.0,1,0,0
319565,1.0,1,0,0
100418218,1.0,1,0,0
329093,1.0,1,0,0
75973,1.0,1,0,0
229644,1.0,1,0,0
52187,1.0,1,0,0
78373,1.0,1,0,0
100042198,1.0,1,0,0
170752,1.0,1,0,0
328309,1.0,1,0,0
238447,1.0,1,0,0
26875,1.0,1,0,0
21416,1.0,1,0,0
67753,1.0,1,0,0
320782,1.0,1,0,0
102465771,1.0,1,0,0
50490,1.0,1,0,0
268958,1.0,1,0,0
240063,1.0,1,0,0
675969,1.0,1,0,0
380918,1.0,1,0,0
18812,1.0,1,0,0
76976,1.0,1,0,0
17436,1.0,1,0,0
208449,1.0,1,0,0
236914,1.0,1,0,0
70750,1.0,1,0,0
74682,1.0,1,0,0
225997,1.0,1,0,0
667481,1.0,1,0,0
171244,1.0,1,0,0
22678,1.0,1,0,0
30943,1.0,1,0,0
73774,1.0,1,0,0
67198,1.0,1,0,0
66184,1.0,1,0,0
77200,1.0,1,0,0
320256,1.0,1,0,0
320482,1.0,1,0,0
654424,1.0,1,0,0
78771,1.0,1,0,0
114774,1.0,1,0,0
100042419,1.0,1,0,0
667490,1.0,1,0,0
22259,1.0,1,0,0
210554,1.0,1,0,0
320237,1.0,1,0,0
217887,1.0,1,0,0
71196,1.0,1,0,0
433966,1.0,1,0,0
671652,1.0,1,0,0
76886,1.0,1,0,0
53614,1.0,1,0,0
216049,1.0,1,0,0
98402,1.0,1,0,0
17933,1.0,1,0,0
224022,1.0,1,0,0
16821,1.0,1,0,0
13409,1.0,1,0,0
228807,1.0,1,0,0
240322,1.0,1,0,0
110197,1.0,1,0,0
621710,1.0,1,0,0
18602,1.0,1,0,0
75746,1.0,1,0,0
22127,1.0,1,0,0
57776,1.0,1,0,0
320054,1.0,1,0,0
100504717,1.0,1,0,0
227933,1.0,1,0,0
72282,1.0,1,0,0
237253,1.0,1,0,0
231717,1.0,1,0,0
74760,1.0,1,0,0
26877,1.0,1,0,0
66752,1.0,1,0,0
110786,1.0,1,0,0
24057,1.0,1,0,0
271639,1.0,1,0,0
58227,1.0,1,0,0
399603,1.0,1,0,0
11870,1.0,1,0,0
140703,1.0,1,0,0
547420,1.0,1,0,0
24082,1.0,1,0,0
71106,1.0,1,0,0
19703,1.0,1,0,0
210853,1.0,1,0,0
52055,1.0,1,0,0
414124,1.0,1,0,0
619331,1.0,1,0,0
16763,1.0,1,0,0
282663,1.0,1,0,0
194126,1.0,1,0,0
77318,1.0,1,0,0
102631889,1.0,1,0,0
67303,1.0,1,0,0
76072,1.0,1,0,0
20419,1.0,1,0,0
66568,1.0,1,0,0
630461,1.0,1,0,0
57875,1.0,1,0,0
228775,1.0,1,0,0
237091,1.0,1,0,0
93701,1.0,1,0,0
76415,1.0,1,0,0
320898,1.0,1,0,0
66141,1.0,1,0,0
107767,1.0,1,0,0
233875,1.0,1,0,0
