,gene,Geneid,genename,dfin_change,dfin_log2FC,dfin_padj,dfin_Change Metric
1,1,ENSMUSG00000022793,B4galt4,Up,46.7589962398239,3.61863452077655e-130,6052.55252062488
2,2,ENSMUSG00000055407,Map6,Up,42.7158370172279,4.80269382506954e-120,5096.79024410829
3,3,ENSMUSG00000016529,Il10,Up,44.6135901967817,6.32003046058128e-101,4470.24965289709
4,4,ENSMUSG00000001555,Fkbp10,Up,42.066036409822,8.6681004062795e-92,3830.62060737604
5,5,ENSMUSG00000045573,Penk,Up,40.3812675453984,2.42137090426371e-94,3780.33026636978
6,6,ENSMUSG00000117250,ENSMUSG00000117250,Up,48.4196521684581,3.99224171615466e-77,3699.20250726181
7,7,ENSMUSG00000014846,Tppp3,Up,43.9446990187198,7.82297319960788e-75,3256.59346967715
8,8,ENSMUSG00000017314,Mpp2,Up,44.3048208455239,1.04143414614007e-63,2790.42253894953
9,9,ENSMUSG00000025930,Msc,Up,50.4478481417522,6.80829447907585e-56,2783.05450466829
10,10,ENSMUSG00000020953,Coch,Up,36.5534332323115,4.10712754113905e-75,2719.08056517893
11,11,ENSMUSG00000076750,Trgv3,Up,49.2773745537767,3.18096023506429e-51,2488.38135161209
12,12,ENSMUSG00000085457,1110046J04Rik,Up,43.5492760427245,2.0547652721443e-51,2207.39251005305
13,13,ENSMUSG00000109759,ENSMUSG00000109759,Up,41.9222024128802,1.14066634849217e-48,2009.86950018923
14,14,ENSMUSG00000007021,Syngr3,Up,44.8943314802613,9.90218170917462e-39,1706.17625501963
15,15,ENSMUSG00000004347,Pde1c,Up,41.8262693151142,2.94119878616626e-38,1569.80160715665
16,16,ENSMUSG00000113649,ENSMUSG00000113649,Up,46.4255627938945,2.11650144435095e-31,1424.07542128027
17,17,ENSMUSG00000038264,Sema7a,Up,34.8543420427697,1.05698537648162e-39,1358.48043124714
18,18,ENSMUSG00000040899,Ccr6,Up,35.665584023795,1.00718566658568e-38,1355.18128946418
19,19,ENSMUSG00000031078,Cttn,Up,41.3395816290211,4.52594575293623e-33,1337.09944379473
20,20,ENSMUSG00000092622,Khdc3,Up,41.9514773738446,2.73737530041354e-32,1324.10045411505
21,21,ENSMUSG00000031286,Glt28d2,Up,36.6020548347356,2.48441245878367e-36,1303.20797456707
22,22,ENSMUSG00000113581,Dio3os,Up,43.0658740318486,6.08841165809841e-28,1172.05912206813
23,23,ENSMUSG00000029752,Asns,Up,31.9637116789359,2.72937241614626e-37,1168.71914656742
24,24,ENSMUSG00000111828,D830035M03Rik,Up,48.4472155698645,2.58796376433634e-24,1142.72649916554
25,25,ENSMUSG00000058260,Serpina9,Up,30.5808709525956,5.55742759251528e-38,1139.29420624719
26,26,ENSMUSG00000057123,Gja5,Up,32.9618905133575,1.65188803292425e-34,1113.51922455388
27,27,ENSMUSG00000085546,ENSMUSG00000085546,Up,45.6826649404922,3.30576495229272e-24,1072.66223110908
28,28,ENSMUSG00000023984,Gm20517,Up,36.8472341087169,1.14975396423103e-27,992.642197420245
29,29,ENSMUSG00000034394,Lif,Up,34.7589830302568,5.1672610861384e-29,983.218301539841
30,30,ENSMUSG00000014599,Csf1,Up,25.5423814465443,5.10515741461746e-38,952.526255502027
31,31,ENSMUSG00000029759,Pon3,Up,24.6790357544948,2.55710507604013e-38,927.740517025989
32,32,ENSMUSG00000112317,ENSMUSG00000112317,Up,48.2834972438161,1.22380617101652e-19,913.151374679394
33,33,ENSMUSG00000038180,Spag4,Up,40.5999585195315,6.64735255060305e-23,900.39954233614
34,34,ENSMUSG00000038068,Rnf144b,Up,48.8550164996553,6.86328537120787e-19,887.376526047935
35,35,ENSMUSG00000018919,Tm4sf5,Up,37.3783247737709,2.05060239407134e-24,885.422188064881
36,36,ENSMUSG00000081284,Gm13673,Up,37.9044927267432,8.19043078211001e-24,875.089396590724
37,37,ENSMUSG00000024397,Aif1,Up,39.0206515647359,1.33308803778011e-21,814.561609905432
38,38,ENSMUSG00000086968,4933431E20Rik,Up,35.7649471014449,2.60191778334096e-23,807.740830792256
39,39,ENSMUSG00000093963,ENSMUSG00000093963,Up,36.2272315416543,6.59017938660633e-23,803.559945666983
40,40,ENSMUSG00000091682,Trgc3,Up,31.1605947988569,2.40701934433924e-26,798.28833413654
41,41,ENSMUSG00000001663,Gstt1,Up,36.5126510249904,1.54379160630579e-22,796.392450060806
42,42,ENSMUSG00000020798,Spns3,Up,46.3458569563262,7.97521185516176e-18,792.433408877086
43,43,ENSMUSG00000000125,Wnt3,Up,23.7081815343291,5.6608506129823e-33,764.520534752383
44,44,ENSMUSG00000044676,Zfp612,Up,32.3937127275489,6.90483250967177e-24,750.265819438349
45,45,ENSMUSG00000097223,ENSMUSG00000097223,Up,43.9929000762156,2.78937914137484e-17,728.280132210209
46,46,ENSMUSG00000039131,Gipc2,Up,38.7691486400548,1.72060178733302e-19,727.476696876485
47,47,ENSMUSG00000034258,Flvcr2,Up,45.7440971153226,1.66843869035431e-16,721.736172070226
