Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
GO Biological Processes,19,GO:2000404,regulation of T cell migration,19_GO:0040011 locomotion,-5.6,11,8.2,20504,47,267,7,2.6,0.98,11629|12458|17470|20737|22164|55985|70045,Aif1|Ccr6|Cd200|Spn|Tnfsf4|Cxcl13|2610528A11Rik,-1.3,Geneid
GO Biological Processes,19,GO:0030155,regulation of cell adhesion,19_GO:0022610 biological adhesion,-5,2.6,5.2,20504,772,267,26,9.7,1.8,11629|12162|12520|12977|13642|13848|14758|16153|16768|16878|17387|18846|19122|20583|20737|20750|22164|54371|55985|60505|74256|94214|171285|218397|277360|100043314,Aif1|Bmp7|Cd81|Csf1|Efnb2|Ephb6|Gpm6b|Il10|Lag3|Lif|Mmp14|Plxna3|Prnp|Snai2|Spn|Spp1|Tnfsf4|Chst2|Cxcl13|Il21|Cyld|Spock2|Havcr2|Rasa1|Prex1|Tigit,-1.2,Geneid
GO Biological Processes,19,GO:0050863,regulation of T cell activation,19_GO:0002376 immune system process,-4.9,3.6,5.6,20504,342,267,16,6,1.5,11629|12458|12520|13642|13848|16768|19122|20737|22164|59009|60505|74256|171285|234396|252838|100043314,Aif1|Ccr6|Cd81|Efnb2|Ephb6|Lag3|Prnp|Spn|Tnfsf4|Sh3rf1|Il21|Cyld|Havcr2|Ankle1|Tox|Tigit,-1.2,Geneid
GO Biological Processes,19,GO:0072678,T cell migration,19_GO:0040011 locomotion,-4.8,8.5,6.9,20504,63,267,7,2.6,0.98,11629|12458|17470|20737|22164|55985|70045,Aif1|Ccr6|Cd200|Spn|Tnfsf4|Cxcl13|2610528A11Rik,-1.2,Geneid
GO Biological Processes,19,GO:2000401,regulation of lymphocyte migration,19_GO:0040011 locomotion,-4.8,8.5,6.9,20504,63,267,7,2.6,0.98,11629|12458|17470|20737|22164|55985|70045,Aif1|Ccr6|Cd200|Spn|Tnfsf4|Cxcl13|2610528A11Rik,-1.2,Geneid
GO Biological Processes,19,GO:1902105,regulation of leukocyte differentiation,19_GO:0002376 immune system process,-4.6,3.6,5.3,20504,323,267,15,5.6,1.4,12262|12458|12977|16153|16768|16878|17387|22164|26379|59009|60505|74256|93694|234396|252838,C1qc|Ccr6|Csf1|Il10|Lag3|Lif|Mmp14|Tnfsf4|Esrra|Sh3rf1|Il21|Cyld|Clec2d|Ankle1|Tox,-1.1,Geneid
GO Biological Processes,19,GO:0002685,regulation of leukocyte migration,19_GO:0040011 locomotion,-4.4,4.1,5.4,20504,223,267,12,4.5,1.3,11629|12458|12520|12977|16803|17387|17470|20737|22164|54371|55985|70045,Aif1|Ccr6|Cd81|Csf1|Lbp|Mmp14|Cd200|Spn|Tnfsf4|Chst2|Cxcl13|2610528A11Rik,-0.98,Geneid
GO Biological Processes,19,GO:0050920,regulation of chemotaxis,19_GO:0040011 locomotion,-4.3,4,5.3,20504,230,267,12,4.5,1.3,11629|12458|12977|13043|13642|14173|16803|18846|20361|20583|22415|55985,Aif1|Ccr6|Csf1|Cttn|Efnb2|Fgf2|Lbp|Plxna3|Sema7a|Snai2|Wnt3|Cxcl13,-0.98,Geneid
GO Biological Processes,19,GO:0031295,T cell costimulation,19_GO:0022610 biological adhesion,-4.3,12,7.2,20504,32,267,5,1.9,0.83,12520|13642|13848|20737|22164,Cd81|Efnb2|Ephb6|Spn|Tnfsf4,-0.98,Geneid
GO Biological Processes,19,GO:0051249,regulation of lymphocyte activation,19_GO:0002376 immune system process,-4.3,2.6,4.7,20504,611,267,21,7.9,1.6,11629|12458|12520|13642|13848|16016|16153|16768|17387|19122|20737|22164|59009|60505|74256|171285|232415|234396|252838|380797|100043314,Aif1|Ccr6|Cd81|Efnb2|Ephb6|Ighg2b|Il10|Lag3|Mmp14|Prnp|Spn|Tnfsf4|Sh3rf1|Il21|Cyld|Havcr2|Klrh1|Ankle1|Tox|Ighd|Tigit,-0.98,Geneid
GO Biological Processes,19,GO:0031294,lymphocyte costimulation,19_GO:0002376 immune system process,-4.1,11,6.9,20504,34,267,5,1.9,0.83,12520|13642|13848|20737|22164,Cd81|Efnb2|Ephb6|Spn|Tnfsf4,-0.89,Geneid
GO Biological Processes,19,GO:0002694,regulation of leukocyte activation,19_GO:0002376 immune system process,-4.1,2.4,4.5,20504,725,267,23,8.6,1.7,11629|12458|12520|13642|13848|16016|16153|16768|16803|17387|17470|19122|20737|22164|59009|60505|74256|171285|232415|234396|252838|380797|100043314,Aif1|Ccr6|Cd81|Efnb2|Ephb6|Ighg2b|Il10|Lag3|Lbp|Mmp14|Cd200|Prnp|Spn|Tnfsf4|Sh3rf1|Il21|Cyld|Havcr2|Klrh1|Ankle1|Tox|Ighd|Tigit,-0.88,Geneid
GO Biological Processes,19,GO:0045577,regulation of B cell differentiation,19_GO:0002376 immune system process,-4,11,6.7,20504,36,267,5,1.9,0.83,16153|17387|60505|74256|234396,Il10|Mmp14|Il21|Cyld|Ankle1,-0.84,Geneid
GO Biological Processes,19,GO:0071675,regulation of mononuclear cell migration,19_GO:0040011 locomotion,-3.8,5.2,5.3,20504,118,267,8,3,1,11629|12458|12977|17470|20737|22164|55985|70045,Aif1|Ccr6|Csf1|Cd200|Spn|Tnfsf4|Cxcl13|2610528A11Rik,-0.71,Geneid
GO Biological Processes,19,GO:0032103,positive regulation of response to external stimulus,19_GO:0048518 positive regulation of biological process,-3.8,2.9,4.5,20504,427,267,16,6,1.5,11629|12458|12520|12810|12977|13043|14173|16016|16768|16803|20583|22164|55985|60505|171285|243655,Aif1|Ccr6|Cd81|Coch|Csf1|Cttn|Fgf2|Ighg2b|Lag3|Lbp|Snai2|Tnfsf4|Cxcl13|Il21|Havcr2|Klre1,-0.71,Geneid
GO Biological Processes,19,GO:0045785,positive regulation of cell adhesion,19_GO:0022610 biological adhesion,-3.8,2.8,4.5,20504,472,267,17,6.4,1.5,11629|12162|12520|12977|13642|13848|16878|20737|20750|22164|54371|55985|60505|74256|94214|171285|277360,Aif1|Bmp7|Cd81|Csf1|Efnb2|Ephb6|Lif|Spn|Spp1|Tnfsf4|Chst2|Cxcl13|Il21|Cyld|Spock2|Havcr2|Prex1,-0.71,Geneid
GO Biological Processes,19,GO:0040017,positive regulation of locomotion,19_GO:0040011 locomotion,-3.8,2.5,4.3,20504,615,267,20,7.5,1.6,11629|12162|12458|12977|13043|14173|16800|16803|17387|18508|18805|20361|20583|20737|22051|22164|55985|67179|71653|232415,Aif1|Bmp7|Ccr6|Csf1|Cttn|Fgf2|Arhgef2|Lbp|Mmp14|Pax6|Pld1|Sema7a|Snai2|Spn|Trip6|Tnfsf4|Cxcl13|Ccdc25|Shtn1|Klrh1,-0.71,Geneid
GO Biological Processes,19,GO:0050865,regulation of cell activation,19_GO:0050789 regulation of biological process,-3.7,2.3,4.2,20504,770,267,23,8.6,1.7,11629|12458|12520|13642|13848|16016|16153|16768|16803|17387|17470|19122|20737|22164|59009|60505|74256|171285|232415|234396|252838|380797|100043314,Aif1|Ccr6|Cd81|Efnb2|Ephb6|Ighg2b|Il10|Lag3|Lbp|Mmp14|Cd200|Prnp|Spn|Tnfsf4|Sh3rf1|Il21|Cyld|Havcr2|Klrh1|Ankle1|Tox|Ighd|Tigit,-0.68,Geneid
GO Biological Processes,19,GO:0006935,chemotaxis,19_GO:0040011 locomotion,-3.7,2.5,4.3,20504,623,267,20,7.5,1.6,11629|12162|12458|12977|13043|13642|13848|14173|16803|18508|18846|20361|20583|20750|22415|55985|65254|70045|277360|545428,Aif1|Bmp7|Ccr6|Csf1|Cttn|Efnb2|Ephb6|Fgf2|Lbp|Pax6|Plxna3|Sema7a|Snai2|Spp1|Wnt3|Cxcl13|Dpysl5|2610528A11Rik|Prex1|Ccdc141,-0.68,Geneid
